6r1/5R2/8/8/5p1K/5k2/8/8 w - -,f7h7
rn3rk1/p4qpp/1p1pb3/2p2p2/2P2P2/2BBP1P1/P1Q4P/R3R1K1 w - -,e3e4
4R3/6p1/8/p3Pk1p/8/5KP1/7r/8 w - -,e5e6
1r3rk1/1pp2n1p/3pq1p1/5p2/PpP2P2/1P2P1P1/1Q1N3P/R4RK1 w - -,f1e1
2b2b2/5pkp/1qN3p1/p2B4/P6P/2R3P1/P2n1P2/2R3K1 b - -,c8f5
1r3k1r/5pb1/pq2p1p1/3pn1B1/Pp3NP1/8/P4PQ1/2RR1BK1 b - -,f7f6
2r1k2r/p4p2/2n4p/1p1p2p1/n7/2PRPNB1/P1K2PPP/7R w k -,h1b1
2r3k1/pp4pp/1n2qp2/8/3B1n2/PQ2PN1P/1P3PP1/3R2K1 w - -,b3b5
2r2rk1/pb1qn1b1/1p1p2pp/n2P1p2/2p2P2/N1P2NP1/PP1Q1BBP/3RR1K1 b - -,e7d5
2r5/8/1p3rk1/1PbR2p1/4pp2/4P1P1/5PK1/3R1B2 w - -,g3f4
rr4k1/p4pb1/2n1p1pp/2B5/2BNb3/2P5/P4PPP/3RR1K1 b - -,c6d4
8/2k3rp/2P5/2nR1p2/P7/1p5K/5rPP/3R4 b - -,c5e6
2rq2k1/ppb1rppp/5n2/1Pnp4/P7/2N1PNP1/1B3P1P/R2Q1RK1 b - -,c7a5
7k/6p1/2p4p/2P5/1P6/8/6PP/5b1K w - -,h1g1
2rq1rk1/4bppp/p1npb3/1p1pP3/N2P4/BP3N1P/P3QPP1/2RR2K1 w - b6,e5d6
r5k1/5p1p/3p1pp1/3P4/P2r4/2R3PP/R4PK1/8 w - -,a4a5
b1q3k1/4bpp1/3p1n1p/1Q6/3BP3/2P4P/2B2PP1/4R1K1 w - -,f2f3
1r3rk1/p5pp/1pnppq2/2b2p2/2Pn1P2/1PNB2P1/PB3PKP/2RRQ3 b - -,f6f7
rn1qkb1r/pp2pp1p/2p2np1/3p1b2/2PP4/3BPN2/PP3PPP/RNBQK2R w KQkq -,d3f5
8/8/5p1p/4bB2/pP4P1/P1rN4/3k4/1K6 w - -,d3c5
3rr1k1/p3ppb1/1p4p1/n1pqP3/P2P1BQP/2PR4/5P1N/4R1K1 b - -,d5e6
2r2rk1/pp3ppp/6b1/2n5/2PN4/4PB2/P4PPP/R1R3K1 b - -,f8d8
r3k3/p4p2/2q1p1p1/4PnNr/2pp3p/Q4R2/PPP2PPP/2KR4 w q -,g5h3
8/5kpp/8/2p1K3/8/1R4P1/2P4P/r7 w - -,e5d5
2b2rk1/2q1n1pp/4p3/3pPp2/B1pPn1P1/RpP1P2P/1P2Q2K/4BR2 b - -,c8b7
r1bqk2r/pp4b1/3p2pp/2pP1n2/4B1PP/2N1B3/PP1Q1P2/R3K2R b KQkq g3,f5h4
