8/8/3B4/K2n1kp1/P7/7P/8/8 b - -,d5c3
2rbr1k1/1p1n1pp1/p1p2n1p/2Ppp3/1P1P1BPP/2N1PB2/1P3P2/R3R1K1 w - -,f4g3
r4rk1/pp2ppbp/2np1np1/7q/2P1PP2/2NBBR1P/PP2Q1P1/R5K1 b - -,f6d7
6r1/1r5k/p6p/P4p2/5P2/3p2BP/1P3K2/3R4 b - -,b7b2
r4rk1/p4b1p/p4bnP/q2p1pp1/3Pp3/1PN1P1PN/PB2QP2/2R1K2R b K -,a8c8
1rr1k3/pp1bpp1p/3p1PpB/3Nb3/P1P1P3/1P1n2PP/6BK/1R3R2 b - -,e7e6
3r1rk1/pbq1bppp/2p1pn2/4N1B1/8/3B4/PPP1QPPP/3R1RK1 w - -,f1e1
r1bq1rk1/1pp3bp/3p2p1/pP1PpnN1/2P1n3/6P1/P4PBP/R1BQ1RK1 w - -,g5e4
8/r5k1/4pq1p/1p1p2p1/2p5/2Pp1N1P/1P3PP1/1Q2R1K1 w - -,b1c1
8/6R1/6p1/pp6/1k4P1/r4K1P/8/8 w - -,f3g2
8/p4rkp/1p4p1/3B4/5P2/4n2P/PP6/3R2K1 w - -,d5f7
r1bqr1k1/3nbppp/p2p1n2/2pP4/2B5/1PN5/PBQ1NPPP/R4RK1 w - -,e2g3
r3k2r/pp2qpp1/2p1bn2/4p1B1/2P1P3/4Q3/P3B1PP/R4RK1 b kq -,b7b6
3r4/6k1/2p2pp1/bbP1p2P/q3P1P1/3pN3/3Q4/BRK5 w - -,a1c3
5rk1/4bp2/p3Pnp1/1pq5/2p3P1/2Pr1QB1/PP4BP/R4R1K w - -,e6f7
3r1r2/ppp1ppkp/4bnp1/1q2N3/4PP2/2P3PP/PPQ3B1/R4RK1 b - -,f6d7
7R/ppk3p1/2p2n2/3p2R1/3P1Pp1/P3r3/1PP5/2K5 w - -,g5g7
8/8/8/1Q6/8/3k2K1/4r2p/8 b - -,d3d2
r2qkbnr/pp2pp1p/2bp2p1/2p5/4PP2/2N2N2/PPPP2PP/R1BQ1RK1 b kq -,f8g7
2r2r1k/pp4bp/6p1/3P4/P2pQ2P/1P6/1q2NP2/3R2RK b - -,c8e8
r1b2rk1/5ppp/p1n2n2/qp1p4/8/P1P3N1/P3BPPP/R1BQK2R w KQ -,c1b2
2r1kb1r/p4pp1/2p1p1p1/6P1/2P1N2n/4B2P/PP3P2/R4R1K w k -,e3a7
1q3rk1/3bbppp/p1np3n/2p3NQ/PpB1PP2/2P4P/1P3BP1/R2R2K1 w - -,c4a6
r2qk2r/1b3ppp/p3pn2/n1b5/Pp1P4/3BBN2/1P3PPP/R2Q1RK1 w kq -,d4c5
1r3k2/4bp1p/pprppnp1/8/2P2PP1/1P2PK2/PB2N2P/2R2R2 b - -,b8c8
8/7p/2Bk2p1/5p2/2p4P/P1B3P1/1P2PPK1/3r4 w - -,c6b7
3k4/p1p2p2/2p1p1p1/4P1N1/2P4n/8/PP1K1P2/8 b - -,d8e7
3rq3/p5r1/4pk2/2p1p3/2P1Pp2/2P2RP1/P3R1KP/1Q6 b - -,e8h5
8/1b2k3/3pr1p1/p3rp1p/2PRP3/1PKBRp2/6PP/8 w - -,g2f3
8/5pk1/6p1/4R1P1/4Bn1p/5P2/3r4/6K1 b - -,h4h3
6R1/5p1p/r7/P4kp1/3p4/3K4/6PP/8 w - g6,g8g7
1k1r3r/5pp1/p1b1pq2/2QP1n2/P1B2P2/3P4/1P4pP/R1B1R1K1 w - -,d5c6
3nk3/5pp1/R3p3/7Q/2pq4/5PPp/3p3P/3R3K b - -,d4f2
rn1q1rk1/pb1nppbp/1p4p1/2p5/3PN3/3BBN1P/PPPQ1PP1/2KR3R w - c6,d4c5
2K5/6pk/2P4p/q6P/5p2/3Q4/6P1/8 b - -,h7g8
r4k1r/pp1R2p1/2p2b2/4Bbp1/2P5/1P3N2/P4P2/4R1K1 w - -,d7b7
r3r1k1/ppqn1ppp/2p2n2/2b1p3/4P3/1P3NPP/PBP1QPB1/R4RK1 b - -,c5b6
r3r1k1/pp1q1pb1/7p/2PN2pn/8/1P3P2/Pn1QNBPP/R3R1K1 b - -,a8d8
rnb2rk1/pp3pp1/2p2q1p/3p4/3P4/P1R1PN2/1P3PPP/3QKB1R b K -,c8f5
5rk1/R4p1p/nr4p1/2p1b2n/8/2P1B1PP/P3NPB1/R5K1 b - -,f8d8
8/4b3/4p3/3p3p/kP1Pn2P/4K3/2N5/4B3 b - -,e4d6
r3r3/1p4bk/p5pp/2pP1b2/P7/2NB3P/1P3PP1/R4RK1 w - -,d3f5
8/p3r1kp/2p5/3n4/6P1/2P3KP/PP3R2/8 b - -,e7e3
3r4/4b1pk/1pr5/p1n1P3/2P2R2/5N2/P1P2PK1/1R2B3 b - -,c5e6
4r1k1/p4ppp/1r6/1n6/q1pPp3/1nP2PN1/4R1PP/2BRQ1K1 w - -,g3e4
r5k1/p3rppp/2p1p3/q2n4/PnBP1P2/2N2Q2/1P4PP/2R1R1K1 b - -,d5b6
r3k2r/1p1nqppp/p1n1p1b1/2ppP3/3P2P1/2PB1N1P/PP2NP2/R2Q1RK1 w kq -,e2f4
2R2bk1/p3pp2/Pp4pp/8/nP2P2P/5N2/4NPPK/3r4 b - -,a4b2
8/3kb3/p3p3/3pP1Pp/N2P4/3nP1K1/1P2r1N1/R7 b - -,e7g5
2r2rk1/2qnbppp/b3pn2/p1p5/PpN1P3/3P1NP1/1PQ2PBP/R1BR2K1 b - -,a6c4
2rqr1k1/pp3pbp/3pbnp1/n7/4PN2/2N3P1/PP3PBP/R1BQ1RK1 b - -,e6g4
3rr1k1/3qb1pp/8/p1n1Qp2/1p3p2/2P4R/PP1B2PP/1B2R2K b - -,e7f8
8/B2kb3/1R6/2p5/2K5/2P5/1P4r1/8 b - -,g2g4
2rq1rk1/1p2bppp/1p6/3Pnp2/8/1QN4B/PP3P1P/2KR2R1 b - -,e7g5
r4rk1/pb1nqpp1/1pp1pn1p/6N1/2PP1B2/P5P1/1PQ1RPBP/R5K1 w - -,g5e4
r3r1k1/1p2bppp/nq3n2/p1pp4/3P4/P1N1P1N1/1PQ2PPP/R1BR2K1 b - -,a8c8
3r1rk1/1p3ppb/1q2pB1p/pNnP4/P4P2/6P1/2P1Q1BP/R2R2K1 b - -,g7f6
r1b2rk1/p3bppp/2p1pn2/1q6/8/2P1BB2/PP3PPP/RN1Q1RK1 w - -,b1d2
2r1r1k1/4qpp1/2p2np1/ppPpn3/3Q1BP1/1PN1P2P/P4PK1/2R2R2 b - -,e7e6
8/1Q2k1p1/5b1p/4q3/8/1B3PPK/7P/8 b - -,e7d8
2r2r1k/2qn1P1p/3p2pP/3Bp3/1p2Pn2/1N2QP2/PpP4R/1K1R4 w - -,b1b2
6k1/1p3pb1/p1p3pp/2P1r3/1P1rN1n1/5PP1/P5P1/1Q3R1K w - -,f1e1
8/1b1nk2p/p1r2pp1/R1P1pn2/1P6/2B1NP2/1K2B1PP/8 w - -,e3f5
rn2kb1r/pq1n1ppp/3pp3/1P6/N3b2Q/4BNP1/2P1PPBP/R4RK1 w kq -,a4c3
3r2k1/R1R2pp1/4pq1p/p2r4/1b1PQ3/1P2B1PP/P4P2/6K1 w - -,g1g2
8/p2nn3/1p3k2/3p4/P2Pp1PN/2K1B3/5P2/8 w - -,c3b4
r3k2r/pp1bq3/2np1pp1/2p1p2p/4P2P/2PPQPPN/PP4B1/R3K2R b KQkq -,e8c8
6k1/R4p2/p2p3p/P1nP4/8/2b2NP1/5P2/1r3BK1 b - -,b1a1
r1bqkb1r/pp1n1ppp/2pp1n2/4p3/2PP4/2N2NP1/PP2PPBP/R1BQK2R b KQkq -,e5e4:f8e7
2r3k1/1p2bppp/pn2pn2/8/3NP1P1/1P1N1P1P/PB3K2/3R4 w - -,d1c1
r2qkb1r/1p2pppp/1np2n2/p2P1P2/P7/2N2P2/1P4PP/R1BQKB1R w KQkq -,d1b3
3r2k1/p4p2/b2q1bn1/3p1pN1/3P1Pp1/1PP3P1/P2Q1KB1/4R3 w - -,d2c2
r2qk2r/pp1bbppp/2np1n2/4p3/3pP3/2P2N1P/PPB2PP1/RNBQ1RK1 w kq -,c3d4
8/1p6/p5pr/3Pkp2/8/4K3/PP4RP/8 w - -,d5d6
8/p2Rr2p/2K3kP/P5P1/8/8/8/8 b - -,e7e5
r1b3k1/5p1p/pp1r1p2/2b4N/8/1P3N1P/P4PP1/2RR2K1 b - -,d6d1
r2q1rk1/2pnbppp/1p2pn2/4N3/p2P4/P5P1/1PQNPPbP/R1BR2K1 w - -,g1g2
8/5pk1/2p1q1p1/Q1Pp3p/3P1P1P/6K1/8/8 b - -,e6g4
1r4r1/5p2/4p3/1p1p1kp1/1P1P3p/R1PK1P1P/6P1/R7 w - -,d3e3
r4rk1/ppqnbpp1/2p1bn1p/4p3/8/1P1P1NP1/PBQ1PPBP/RN3RK1 w - -,b1d2
8/p7/7p/1P5P/3PKN2/b7/P1k5/8 b - -,c2b2
r7/pp5p/n3k1p1/PN3pB1/1b3p2/4P1P1/1P4KP/3R4 w - -,e3f4
