3R1k2/2K5/p7/Pr5p/1P5P/8/6P1/8 b - -,f8g7
1r1qnrk1/1p1bnpbp/p2p2p1/2pPp3/1PP1P3/4BPP1/P2QNN1P/2R1KB1R b K b3,b7b6
1rr3k1/5pp1/q1pbpn1p/1p6/p1PP3P/1P2BBP1/P3QPK1/1R1R4 b - -,a4b3
r1b2rk1/1p2qp1p/2p3p1/pn2p3/1P2P3/PBP3Q1/5PPP/R2R1NK1 b - -,e7f6
8/1b5p/p3p3/4kpp1/PnB5/1P3P2/5KPP/3N4 b - -,h7h5
4r3/6pp/6k1/8/8/BP3RP1/r6P/5K2 w - -,a3c5
rq3rk1/p4pbp/1p2p1p1/8/1PPp4/2NP2P1/4PPKP/1RQ2R2 w - -,c3e4
r1r3k1/7p/5pp1/2n1p3/2bpP3/P7/1PRN1PPP/1R4K1 w - -,c2c4
r2qr1k1/2bb1ppp/3n1n2/1p1Pp3/pP2P3/N2B2N1/3B1PPP/RQ3RK1 b - -,c7b6
4r1k1/p4pp1/Bp5p/8/3P4/P4Pq1/1P1R4/3Q2K1 w - -,g1f1
r4rk1/pp1qppbp/2np2p1/8/2P3n1/1PN3Pb/P1N1PP1P/R1BQR1KB w - -,c1b2
q3r1k1/1b1r1pp1/5n1p/p1b1pP2/PpPpP1P1/1P4NP/2PB2BK/R3QR2 w - -,g4g5
r1b2k1r/1p4pp/p3pqB1/3N4/8/5R2/P1P2PPP/R5K1 w - -,d5f6
r1r2bk1/pp3p2/5np1/3p1p1p/3P3P/PP1BP1P1/1B3P2/2RR1K2 b - -,f8d6
3r2k1/4bp1p/2R1p1p1/4P3/1qp2P2/7R/6PK/5Q2 b - -,d8d4
r2r2k1/qp1bbppp/4pn2/p1pp4/NnPP4/1P2PNP1/PB2QPBP/R4RK1 w - -,a4c5
1Q2nk2/pp2qp2/2r2r2/3p3P/3P4/1P4N1/P4RB1/6K1 w - -,g3f5
2r2rk1/1p2bpp1/p4np1/3p4/3P4/3BPPP1/1P2K2P/R3B2R w - -,e1d2
8/1R6/R7/2kp4/2n5/6P1/2r2PKP/8 b - -,d5d4
r3r1k1/5p1p/p5p1/1p6/4Pnq1/1P4Q1/P4PK1/1B1RRN2 w - -,g2h1
6k1/5p2/6p1/P5b1/1N2p3/7P/4r1P1/3R3K b - -,e2b2
4rrk1/5bpp/p1nqpn2/1p1p4/3P4/5NN1/PPBQ1PPP/2R1R1K1 w - -,f3e5
8/1Q3ppk/1B1P3n/1p2p2p/p3Pr2/PpPR4/1q6/4K1R1 w - -,d6d7
r2q1rk1/p1p2ppp/2pp1n2/2b1p1B1/4P1b1/2NP1N2/PPP2PPP/R2Q1RK1 w - -,h2h3
r1r3k1/1p3pbp/2n1p3/p1Pp3B/5B2/1PQ4P/P4PP1/3RR1K1 b - -,g7c3
2k4r/Qp3ppp/3rp3/3q1n2/1b1P4/4BP2/PP2KP1P/R4B1R w - -,a1c1
6k1/1p3p2/7p/8/2PNnpP1/7P/5P2/6K1 w - -,f2f3
k2b3r/1p1r1pp1/p1n1p3/P2pP2p/bB1P1P2/P2BK3/1R5P/1NR5 b - -,g7g5
r4rk1/2qn1ppp/1b2p2n/1p1pP3/p2B4/2PQ1N2/PP1N1PPP/R4RK1 b - -,a8b8
r1bqk2r/4bppp/p2ppn2/1p6/3BP3/1BN5/PPP1QPPP/R3K2R w KQkq b6,e1c1
r1bqk2r/p2nb1pp/4p3/1p1pPp1P/2pP1B2/2P2N2/PPBQ1PP1/R3K2R b KQkq -,b5b4
8/r1k5/8/5p1p/3K2bP/8/p5P1/1R6 w - -,b1a1
2r1k1r1/1b2bp1R/p3p3/1p2q1p1/3B4/3PpP2/PP1QN1P1/1K5R w - -,d4e3
3br1k1/p4pp1/3p1n2/3P1P1p/2rB1R2/q5PP/P2QR1BK/8 b - -,e8e2
8/5k2/2p1r1p1/1p1p1p1p/p1bRr2P/P1P1B1P1/1PP2P2/3K2R1 b - -,e6e7
8/4kn2/bPp2p1p/2N1p1p1/4P2P/5PP1/5K2/8 w - -,c5a6
6k1/1bp3pp/1pqpn1r1/1P6/2P2R2/3QPN2/5PPP/B4K2 b - -,c6e8
1r2k2r/p1q2p1p/2p2PB1/2n1p3/2P4Q/8/P5PP/3R1R1K w k -,g6f5
4r2k/p1p3p1/3b3p/5p1b/2Q1p2q/1P4P1/PB1PPPR1/4R1K1 b - -,h4g5
rn1q1rk1/pp3ppp/2ppbn2/4p3/1bP1P3/2N3P1/PP1PNPBP/R1BQ1RK1 w - -,d2d3
3rrbk1/p1qb1p1p/5P2/1pp1P2Q/3pP2B/P6P/1PP3B1/R4RK1 b - -,c7e5
r2q1rk1/5pbp/1n3np1/p2P4/P3p3/1PN1BP2/1N1Q1KPP/R2R4 w - -,f3e4
r1b1k2r/ppppn1p1/2nb1pq1/6Pp/4P3/1N3P2/PPPQ3P/RNB1KB1R w KQkq -,b1c3
6k1/7p/p1p2np1/Pp1b1p2/1P1P1P2/5B2/1B4PP/4K3 w - -,e1e2
8/8/8/8/r3k3/4b3/1R2K3/8 w - -,e2d1
6k1/7p/4R1p1/8/1pp1p2b/7P/1PPq1P2/5RK1 b - -,d2c2
4r2k/2pr2pp/5p2/1pQ1n3/1P2p1P1/4B3/P4K1P/8 w - -,c5b5
4r1k1/3prp2/3p4/1pqP3p/p1b1PPp1/PnN1R1P1/1P3QBP/3R3K w - -,e4e5
r1bq1rk1/1pp3pp/p2pnp2/2b5/2PNP1n1/4B1P1/PP2NPBP/R1Q2RK1 w - -,d4e6
4rrk1/1bq2pbp/p1n3p1/P1p4n/1pNpPP1N/1P1P4/R1P3BP/Q1B2RK1 b - -,g7f6
2R5/4n2p/8/8/1PP5/2k4P/5BK1/8 b - -,e7c8
4r1k1/1p1b1pp1/2p2n1p/1n1p1P2/q2P1BPP/P2B1P2/4NQ2/R5K1 w - -,g1g2
2Q5/1p2rnk1/p3pp2/6p1/5qP1/PP5P/5PB1/3R2K1 w - -,d1d7
r2qbrk1/pp2bppp/2p1pn2/4N3/PnBPPB2/2N3P1/1P3P1P/R2Q1RK1 b - -,d8a5
7r/p2nkpp1/1p1p1b2/2p3pP/2PP2P1/B1P1P3/P1K1B3/7R w - -,e2f3
8/5ppk/6qp/3p1p2/3PbP2/r5P1/4QB1P/4R1K1 b - -,a3c3
7k/6p1/p1p4p/4p3/4Q2P/3B2PK/1q3r2/8 b - -,f2h2
3Q4/3b1kpp/1p1Pp3/p7/Pp1P4/1P1BP3/5K1P/3q4 b - -,d1d3
4k1r1/4Bp2/4r3/3pPpP1/p1pP1P2/1pP4R/1K5R/8 b - -,e8e7
6k1/1p3ppp/2n1b3/pN2p3/P5P1/2P2PBq/1r1r3P/R2B2QK b - -,d2g2
8/5pk1/2R1rp2/1P5p/4p1q1/4Q1P1/6KP/8 b - -,e6e5
rnbqkb1r/pp1p1ppp/4pn2/2p5/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq c3,b8c6
rnb1k2r/2q1bppp/pp1ppn2/8/P2NP3/2N1B3/1PP1BPPP/R2Q1RK1 w kq -,f2f4
2r2rk1/q3bppp/p2p4/Pp1Nn3/1P1RP3/1B1R2QP/5PP1/6K1 w - -,d3d1
6Q1/5R2/4p1qk/5bp1/4p2p/1Pb1B2P/1P3PP1/1K6 w - -,f7h7
r1b1r1k1/1p1n1pbp/1q2p1p1/4P1B1/p1Bp4/5N2/PPPQ1PPP/R3R1K1 b - -,a8a5
8/3k1R2/p3n3/4P3/1p4PB/r4P2/5K2/8 b - -,d7c6
3rk1nr/1bp2ppp/p2B4/1p5q/4P3/5N2/PPN1QPPP/R4RK1 b k -,d8d6
6k1/1p2qpp1/p2p2np/2b1r3/1P4Q1/4PP1P/P7/2R1RB1K b - b3,c5e3
1B6/p4k1p/1p5b/1P1p1p2/8/5KP1/P6P/8 b - -,h6g5
5bk1/1b3pp1/3p4/p6p/P2Pqp2/1p1R3Q/1P2N1rP/3R1K2 w - -,e2c3
1q2r1k1/1p4p1/6bp/5pb1/3PpN2/1P2Q3/1PPB2PP/R5K1 w - f6,h2h4
1rbq1rk1/p4pp1/2pb1n1p/3p2B1/8/1PNB1Q2/P1P2PPP/4RRK1 w - -,g5f6
rnbqk2r/1p2ppbp/p4np1/3p4/3P1B2/2N1PN2/PP3PPP/2RQKB1R b Kkq -,e8g8
r3rbk1/5pp1/p1q1bn1p/np2pN2/P3p2N/2P1R2P/1PB2PP1/R1BQ2K1 w - -,e3g3
r3r1k1/bp3p2/2p1np1p/p2pp3/6P1/P2P1K2/1P1NN2P/1BR4R b - -,h6h5
5bk1/5p2/3p1npp/p2PpN2/2b1P3/5P1P/P5P1/4R1K1 w - -,f5e3
3qr1k1/1b1rbpp1/p2ppn1p/1p6/3BPP2/P1NB3Q/1PP1R1PP/5R1K w - -,d4g1:e2e3
r4rk1/pbq1b1n1/4p2p/1p1nNp2/2pP1P2/2P4Q/PPBN2PP/R4RK1 w - f6,a1e1
5r1k/pp1rb1qp/2npbnp1/2pBp1B1/2P5/P3PNNP/1PQR1PP1/3R2K1 b - -,e6d5
2kr1r2/1p4b1/p1n1p1n1/3p2pp/8/2P3PP/PPN2P1B/2KR1B1R w - -,f1e2
rnbq1rk1/ppp3bp/3p1np1/3P1p2/8/5NP1/PP2PPBP/RNBQ1RK1 w - -,b1c3
3rr1kb/1ppqn2p/2n2pp1/1BPp4/P2P1BP1/5N1P/3Q1P2/2R1R1K1 w - -,c1b1
3r4/p4kp1/4p2p/2b2p2/1pP5/1Q1qPBP1/P4P1P/1R4K1 w - -,b3b2
2b5/b3kp2/1P1p1n2/3Pp3/2N1Pn2/2P3NP/r1B2PP1/1R4K1 b - -,a7b8
rbb2rk1/1p1n1ppp/p2Npn2/7q/2B5/BP3N2/P1P1QPPP/R4RK1 b - -,b8d6
r1bq1b1r/1p3k2/p1n1p2p/2pn1p2/6p1/3P2N1/PPPN1PPP/R1BQRBK1 w - -,a2a4
1r1q1rk1/pp2ppbp/2npbnp1/8/8/BRN1PN2/P1PPBPPP/Q3K2R w K -,b3b1
r4rk1/pp1bppbp/3p2p1/q1pPn3/1nP1P3/1PN1BP2/P3N1PP/RB1Q1RK1 w - -,a2a3
2r1k2r/pp3ppp/8/3ppb2/1Pqn4/P2Nb3/1N2P1PP/RK1Q1B1R b k -,c4b3
8/5pk1/4r1p1/7p/1p2P2P/4K1P1/8/4R3 w - -,e1b1
r1q2rk1/4bppp/1B1pb3/pP2p1P1/1n2P2P/1NN2P2/1PP5/2KRQ2R b - -,a5a4
7b/3r1k1p/2pP3P/2p1pP2/2P5/3RN3/nrN1KP2/3R4 b - -,e5e4
r1bqkb1r/p4pp1/2p1p1n1/2ppP2p/7P/3P1NP1/PPP1QP2/RNB1K2R b KQkq -,f8e7
5rk1/1p2Rppp/p3b3/3rB2n/8/6P1/PP2PP1P/3Q1RK1 b - -,d5d1
2b5/8/5N2/1pP4p/5Kp1/Pk6/8/8 w - -,f6d5
8/7p/6p1/6k1/K7/P1B5/6P1/8 b - -,g5f4
8/8/R4pkp/7p/P7/5P2/6PK/r7 b - -,g6f5
4R3/2kP3p/5p2/pB6/P6p/7P/3r2PK/8 w - -,e8c8
r1rb2k1/1pq2pp1/p2pbn1p/P2Np1n1/4P3/2N1BB1P/1PP2PP1/R2QR1K1 b - -,g5f3
2r1r1k1/5pb1/1P2p1p1/p1qpP2p/1p2nP2/1P2Q3/1N2RBPP/3R3K w - -,f2e1
r1bqk1r1/1p1nbp2/p2ppn1p/6p1/3NP1PP/2N1BQ2/PPP2P2/2KR1BR1 w q -,h4g5
8/5p2/1p3k2/3pbPp1/P6p/2qB3P/6P1/5Q1K b - -,e5d6
2r1k2r/4q1bp/p2p2p1/1p1Pn2P/4p1P1/P3B3/1PP2Q2/1K1R1B1R w k -,h5h6
