3b4/7p/5p2/pk4p1/4P3/5P2/6PP/4BK2 w - -,f1e2
r2qr1k1/1Q3pbp/4b1p1/p7/8/1P6/R1P2PPP/1N1B1RK1 b - -,e6d5
8/8/R7/7k/5p2/6r1/6PK/3n4 b - -,d1e3
2b5/7p/4k1n1/3N1pB1/2pK4/5P2/6PP/8 w - -,d4c4
8/6p1/8/1pR4p/p4k1K/P2r3P/1P6/8 w - -,c5b5
8/8/1p2p2R/1Pk1p3/p1P2n2/8/5K2/r4B2 w - -,h6h8
r6r/pp2kppp/8/4p3/3nP1b1/4B1P1/PP3PBP/1R1R2K1 w - -,e3d4
r1bqk2r/pppn1ppp/3ppn2/8/1bPP4/2N5/PPQBPPPP/R3KBNR w KQkq -,a2a3
8/R4p2/2k1p3/2p2p1p/7P/1K6/2P2r2/8 b - -,f2f4
1r2r1k1/2qbppbp/1n1p2p1/p1pP4/4P3/2P1BNPP/P2Q1PB1/2RR2K1 b - -,b6c4
r1b2rk1/1pqnppb1/2pp1npp/p7/P2PP3/2N3PP/1PP1NPBK/R1BQ1R2 w - a6,c1e3
5k2/1r3p2/1PK3p1/8/5P1p/1R2p2P/6P1/8 b - -,e3e2
r1bq1rk1/ppp2pbp/2np1np1/4p3/2PP4/2N1P1P1/PP2NPBP/R1BQ1RK1 b - -,c8d7
rnbq1rk1/p3b1pp/4pn2/1Ppp4/8/2N2NP1/PP2PPBP/R1BQK2R b KQ -,a7a6
r1b1nqk1/5p1p/3p1Rp1/p1pP4/P3P3/2N3Q1/1P2B1PP/6K1 w - -,f6f2
6k1/ppq2ppp/5n2/2np3b/8/1NP3P1/PPQ2P1P/4NBK1 b - -,h5g6
rnbq1rk1/1pp2ppp/4pn2/p7/1bQP4/5NP1/PP1NPPBP/R1B1K2R b KQ -,b7b6
3r4/1r1qp1kp/3p1pp1/p1pP4/4PP1P/1P2Q1P1/P3R3/2R3K1 w - -,c1c4
r1b1r1k1/p2nbp1p/2pp1Np1/4p1B1/4P3/qBN5/P1P2PPP/R2QR1K1 b - -,d7f6
1r6/2q2kp1/2n1pp2/3p3p/6P1/rPP2P1K/2QB4/1R5R w - -,g4h5
1r2RR2/3r2kp/6p1/2p3N1/2p5/7P/P3nPP1/5K2 w - -,e8b8
5k2/7R/7p/5P1K/3r2PP/8/8/8 w - -,h7h6
6k1/r5p1/4P2p/4K2P/p5P1/5R2/8/8 b - -,a4a3
4B3/8/1p5p/p1n4P/P4p1k/5P2/6K1/8 b - -,c5e6
r2qkb1r/1p1npppp/p1p2n2/2Pp4/3PbB1N/2N5/PP2PPPP/R2QKB1R w KQkq -,e2e3
3r3k/R2Pp3/6pp/1PP5/5QP1/7P/1q3P1K/8 b - -,h8g7
rnbqkb1r/pp3ppp/4p3/3nN3/3P4/3B4/PP3PPP/RNBQK2R b KQkq -,b8c6:f8b4
r4rk1/1p3ppp/1pn1bn2/1Nb5/3p1B2/5NP1/PP2PPBP/R4RK1 w - -,b2b3
2rr1b1k/1p2qpp1/p3p2p/3nN3/b2PR3/PP4Q1/5PPP/1BBR2K1 b - -,c8c3
5B2/5p1k/4p1rp/1p1pP3/3K2R1/3P1PR1/4r1P1/1b6 w - -,f8b4
5rk1/1q3pp1/2p1p1bp/1pPpP3/1P6/2Q1P2P/3nBPP1/B4RK1 b - -,d2f1
2r3k1/1b3ppp/p3pn2/1p1P4/3N4/b1PP2NP/3B1PP1/4R1K1 b - -,f6d5
6k1/5pp1/p6p/1p4n1/8/8/PPB2PPP/7K b - -,g5e6
3r2k1/1p1r1ppp/2q1p3/2n3Pn/p1BN3Q/2P5/PP2KP1P/1R5R b - -,c6e4
8/1p2rk1p/1Pn5/1Q1pq1p1/4p3/1N2P2P/6P1/2R3K1 w - -,b3c5
3r2k1/1pq2pp1/2p2np1/2n3N1/p6P/2P3P1/PPQ2P2/1K2RB2 b - -,b7b5
r3r1k1/ppp1qppp/4bn2/8/2p5/P1Q2PP1/PB1PP1BP/R4RK1 b - -,a8d8
1r3r2/p1q2pk1/3p1bp1/2pBn3/5Q2/2PP2P1/P6P/R1N2R1K b - -,c7e7
3r4/5pkp/3r1bp1/p1pp4/8/1PP3P1/P1R1BP1P/3R1K2 w - -,h2h4
r2qkb1r/pb1p1ppp/np2p3/3nP3/2BP4/5N2/PP3PPP/RNBQ1RK1 w kq -,c1g5:f3g5
8/8/1Q3qk1/8/6PP/8/1p6/7K w - -,h4h5
3r2k1/4bp2/2qp2pp/1p2p2n/4P2N/1P1Q4/r1PR1PPP/2B1R1K1 w - -,h4f3
3r1r2/p2B2k1/4Ppp1/1pq2n1p/4R2P/5R2/3Q2P1/7K b - -,b5b4
2r1r3/pb3pk1/2q3p1/1p3nB1/8/P2R2p1/BPP3PP/R4QK1 b - -,c6b6
r6r/4bkpp/5n2/3pp3/1p6/4B1P1/1PP2PBP/R4RK1 w - -,e3g5
2r1kbr1/1b1n1p2/pq1ppp1p/1p6/3NPPPP/P1N4R/1PP1Q3/1K1R1B2 w - -,f4f5
1n2rk2/5p2/p2p2p1/1pnP4/4Pp2/1P2NP2/P1R4P/5B1K w - -,e3g2
1r4k1/5pp1/2p1q3/2Ppr2p/1Pb1PQ2/R5PP/6B1/2R3K1 b - -,b8e8
1R6/5pk1/6p1/2P5/1K6/5r1p/8/8 w - -,b8d8
6r1/pp1k1n2/2b1p3/8/2p2B2/P1P3P1/5P1r/RB2R1K1 w - -,b1e4
4rrk1/pp1b1qpp/1nn5/3pP1P1/5N2/1B6/PP3PP1/R1BQR1K1 b - -,c6e5
r2nk2r/1pb1qp1p/p1pp1np1/P3p3/1P2P3/1bPPNN2/5PPP/R1BQR1K1 w kq -,d1b3
2r1r3/pp3kb1/4b3/2p2p1p/2P1PN2/1P6/P2B1PK1/2R1R3 b - -,g7h6
1r2r1k1/2q2p1p/1n1p2p1/3P4/1ppQPP2/5B2/1P2RKPP/4R3 b - -,b6a4
r2q1rk1/1bpn1ppp/1p2p3/p2n4/2NP4/P2BP3/1P1B1PPP/R2Q1RK1 b - -,c7c5
8/3Qqk2/1p1p2B1/pPpPp3/P1P4P/4n1PK/8/8 b - -,f7f8
1rb1qrk1/p4nbp/p1p5/2P2p2/Q4p2/P1N4P/1P1N1BP1/1R3RK1 b - -,f7e5
r2qr1k1/2p2pb1/2p1pnbp/p5p1/3P4/PP2PNP1/1B1NQPBP/5RK1 w - -,f3e5
q7/6kp/4pNp1/3nP3/1p5P/6P1/1P3Q2/6K1 b - h3,d5e7
1nrqkb1r/3npppp/3p4/2p5/Bp2P3/2P4P/1P1PQPP1/RNB1R1K1 b k -,e7e6
7r/pp1kn1qp/3Np3/2rpnp2/2P5/4P1P1/PP3PKP/1R1Q1R2 w - -,d6b7
3r4/1b1r2k1/p4n2/2P5/1P6/2Q2P2/P2p2PP/3R2K1 w - -,c5c6
rnbqr1k1/1p1p1ppp/2p2n2/pP2b3/2PQ4/P1N1P3/1B2NPPP/3RKB1R w K -,d4d2
r4rk1/pbp1n1pp/1p2p3/4Np2/NbP5/3BB2P/PP3KP1/R6R b - -,f5f4
2r2r2/5k2/4p1p1/pb1p3p/1p1n1P2/3PB2B/PP4PP/2R1R2K b - -,d4c2
r2q1rk1/pp2ppbp/2np1np1/8/3P2b1/1P3NP1/PBP2PBP/RN1QR1K1 b - -,e7e6
8/6p1/4k2p/p3N3/8/BrnR1P2/6PP/6K1 w - -,a3d6
8/3kb2R/3p4/1K2p3/4Pp2/5P2/8/8 w - -,h7g7
r1b2rk1/pp2bppp/1q2pn2/3nN1B1/3P4/P1NB4/1P3PPP/R2Q1RK1 b - -,d5c3
5k2/pp3p1p/5b1q/3p4/8/5R1B/PP3P2/4R2K w - -,h1g2
rn1q1rk1/pppbbppp/4pn2/8/Q1pP4/5NP1/PP2PPBP/RNB2RK1 w - -,a4c4
2rb1rk1/p5pp/4p3/1P3p1n/P1p5/1N4P1/2RBPP1P/5RK1 b - -,d8b6
r1b2q2/5k2/3b1npp/p1p2pQ1/2Pp4/3B2NP/PP2RPP1/4R1K1 w - -,g5c1
8/3k2p1/4p2p/n2pP3/1pbP2PP/2pBKN2/r1P5/2R5 b - h3,c4d3
r1q1r1k1/1ppn1pp1/2n1b2p/1Q2p3/p7/P2PB1P1/1P1NPPBP/2R1R1K1 b - -,a8a5
rn3rk1/pp1B2pp/4pq2/3p4/3P4/4Q3/PP2NPPP/R4RK1 b - -,b8d7
3r2Rk/5b1p/p6q/2p2p2/1pP1pP2/1Bb1P3/P2NQ2P/3R3K b - -,d8g8
rn1q1rk1/p4pp1/1p1bpn1p/2p1N3/2PP1B2/1Q5P/PP2NPP1/R4RK1 b - -,d8c7
2k4r/2pqr1p1/p6p/1pbn1Q2/3p2P1/1P1P2NP/PBP5/R4RK1 b - -,d7f5
r1b2rk1/ppppnppp/1bn2q2/8/3NP3/2P1B1P1/PP2BP1P/RN1Q1RK1 b - -,c6d4
2r2rk1/1p2bppp/p1bppn2/q7/P3PP2/2N2BQ1/1PP3PP/R1B2R1K w - -,c1d2
8/7p/3bk1p1/8/1B5P/1R3K2/r4P2/8 b - -,d6e5
r2r4/1pp1k3/p2pbp2/2n3P1/4PRp1/2P1P1N1/PP1R2P1/3B2K1 b - -,f6g5
5r2/pb5k/3P2pp/2R2p2/8/3B3P/P4PP1/6K1 b - -,f8f7
r7/P4k1p/5pp1/3n4/1b1B4/4N1P1/2R4P/7K b - -,d5e3
r2q1rk1/1pp1b1pp/pnn1b3/4pp2/1P6/P1NP1NP1/1B2PPBP/2RQ1RK1 b - -,d8e8
4r1k1/ppR2p1p/6p1/1P1q4/5B2/P4nKP/2Q3P1/8 b - -,f3d4
r3k2r/pp3ppp/2npb3/3q4/3p1B2/5N2/PPP2PPP/R2QR1K1 w kq -,c2c3:c2c4:d1d2
2b3k1/p3b1pp/1p6/3n4/3P4/PP2B1P1/5P1P/R5K1 b - -,a7a5
r1b1kbnr/ppq2ppp/4p3/2ppP3/3n4/3P1N2/PPPN1PPP/R1BQKB1R b KQkq -,g8e7
br2nr2/2q2pk1/pp1p2pp/4pP2/P1P1P1P1/1PN3QP/6B1/1R1R2K1 b - -,g6g5
1nk1r3/2p1rp2/1p1p1q2/p2Pp1p1/P2PB1Pp/2PQ3P/2P2P2/1R3RK1 w - -,e4f5
2k5/p1p2q2/2b5/2Q1B3/2P2P1p/6rP/PPR3PK/8 b - -,f7g6
