8/8/8/p7/2K5/k7/8/1R6 b - -,a3a2
3rr1k1/pp3pp1/1np2n1p/8/3qPP2/2N4P/PPQ3P1/2B1RRK1 w - -,f1f2
7k/7p/p2N1rp1/b1p1R3/2P4P/3b2P1/Pr2N1K1/7R w - -,e5e8
8/p2B2k1/5p2/5P1p/1P5P/P4KP1/8/4b3 w - -,d7e8
r4rk1/3bppbp/pq3np1/3p4/Pp1P1B2/1Q1BP2P/1P2NPP1/R4RK1 w - -,a4a5
1k1r4/1p2r3/p1npBQ2/2q5/4P3/2P3P1/PP5P/1K1RR3 w - -,e6d5
8/kpR4p/pN6/8/P1p5/2n5/2P1K1P1/1R5r w - -,e2f3
rnbq1rk1/pp4bp/3p2p1/2pPp2n/2P1Pp2/P1N2N1P/1P1B1PP1/R2QKB1R w KQ c6,f1e2
8/R7/2rkp3/P2p2p1/6P1/3K4/8/8 b - -,c6c4
3Q4/2k1P3/p7/1p4pp/8/5P1P/4r1r1/3K4 b - -,c7b7
r1bq1rk1/ppb2pp1/2p2n1p/2n1p3/4P2B/1BP2N2/PP1N1PPP/R2QR1K1 w - -,b3c2
B7/3k4/1p1p1p2/p3bPp1/P2pK1P1/1P6/2P5/8 b - -,d7c7
8/1p1bk3/2pp4/p1nPp1q1/2P1P3/PP3QN1/5K2/3B4 w - -,f2e1
r5k1/1p1b1q1n/p2p4/P1pP1p1n/3b3p/2NBRP1N/1P1Q2PP/5R1K b - -,d4e3
r2b1rk1/1p1b1pp1/3p3p/p2P4/3N4/P3B2P/1P3PP1/2R2RK1 w - -,e3f4
1rq2rk1/1ppbppbp/p2p1np1/n7/2PP4/2N2NPP/PPQ1PPBK/1RB2R2 w - -,e2e4
r2q1rk1/5pbp/p1npbp2/1P1Np3/4P3/2P1N3/1P3PPP/R2QKB1R b KQ -,a6b5
r1bqkb1r/pp2pp1p/2np1np1/8/3NP3/2N3P1/PPP2PBP/R1BQK2R b KQkq -,c6d4:c8d7
2r2rk1/pppbq1pp/1nn1pp2/1N1pP3/3P1P2/5N2/PPPQB1PP/R4R1K b - -,a7a6
5bk1/pp1r1p1p/2b2PpB/8/2B4P/2P5/PP4P1/2K4R w - -,h6f8
8/pR6/4k3/5ppp/1P6/4K1P1/r4P1P/8 b - -,g5g4
8/8/8/pb2p1p1/1p1kPp2/1P3P1B/P2K4/8 b - -,b5e8
8/1p1nkp2/2rpb1n1/p5p1/P1PRP1P1/1PK2P2/8/3B3R b - a3,e7f6
8/2p1b1n1/1p1p2k1/pP1P2Pp/P2P1P1B/4NK2/8/8 w - -,f3e4
r1bqr1k1/1ppp1pp1/p1nb1n1p/4p3/B3P2B/2PP1N2/PP2QPPP/RN2K2R b KQ -,d6e7
8/5pk1/3Qp1p1/3nP1Bp/7P/8/5K2/3q4 b - -,d1c2
r1b2r1k/pp4b1/2n2qpp/3Q4/3pB2P/5n2/PP1B1PP1/R3RNK1 w - -,e4f3
2kr1b1r/1ppb2pp/p4pn1/2p5/3NP3/P3B3/1PPN1PPP/R3R1K1 w - -,d4e2
r7/r4p2/pkb1p1p1/R2pP1Pp/1P1K3P/2P3P1/4B3/R7 w - -,e2f1
