8/6K1/2b5/4kP1p/7P/8/8/8 w - -,f5f6
8/8/5p2/3k2p1/3np1Pp/4N2P/5PK1/8 b - -,d5c5
5r1k/3r1qpp/5n2/p1pPpPB1/PpPbB2P/1P3QR1/7K/5R2 b - -,f8e8
8/5p1k/R6p/1p1B4/1P6/P6P/1b3PK1/r7 b - -,a1a3
rn3rk1/ppp1ppbp/5np1/1P1qN3/3Pb3/P2BPN2/5PPP/1RBQ1RK1 b - -,e4d3
1rb2rk1/p5pp/2pppb2/q1p5/N1P5/3PB3/PP2QPPP/R3R1K1 w - -,e2c2
r2q1rk1/1pN1bp1p/2n1b3/p5p1/2Pp1B2/3P1NP1/PP3PBP/R2Q2K1 w - g6,c7e6
2k5/8/1pp1p3/2PpPqp1/1b1P3r/pP1R1PQ1/P3K1Br/6R1 w - -,c5b6
8/1p5p/p1n1k1p1/5p2/7P/2BR2P1/PP2KP2/7r b - -,b7b5
rnbqkb1r/ppppp1pp/5n2/5p2/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -,g2g3:b1c3:c2c4:c2c3:e2e3:c1f4:c1g5
r2qk2r/pppnbpp1/4pn2/3p1b2/P4P1p/N1PPPN2/1P2B1PP/R1BQ1RK1 b kq -,c7c6
2Q5/5p1k/6pp/6q1/8/8/7K/8 b - -,g5f4
1r3rk1/2p3p1/p3b2p/2pNPp2/q1p2P2/2P2Q2/P2R2PP/3R2K1 b - -,f8f7
8/7b/8/4k2P/5pBK/5P2/8/8 w - -,h4g5
8/4bk2/4ppp1/3b3p/3B1R1P/8/2Q2PPK/4q3 b - -,e7d6
1r6/5k2/5p1p/8/1p5R/3B2P1/2PbK2P/8 b - -,d2c1
rnbqk2r/pppp1ppp/5n2/4p3/1bB1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,e8g8:d7d6
r4rk1/pp1q1ppp/2pP1nn1/4p3/4P3/2N1NPPb/PP1QB2P/R3K2R w KQ -,e1c1
2q2b1k/1r1r1p1p/pp1p1P2/8/2P1PQ2/4R2R/PP4BP/6K1 b - -,c8c5
6r1/8/3k4/4R1K1/5P2/8/8/8 w - -,g5h5
5nk1/2qb1pb1/2p4p/NpP1p1p1/1P2Pn2/5N1P/5PPK/B2Q1B2 w - -,a1c3
rnb2rk1/pp2ppbp/1qp2np1/8/2P5/1P3NP1/PB2PPBP/RN1Q1RK1 b - -,a7a5
r2br1nk/pp1b1ppp/2pp4/5P1q/P3P3/5PQP/BPPBN3/3RR1K1 w - -,d2c3
3R1rk1/1pp2pb1/p1n1b1pp/4p2n/4P3/P1N1BN1P/1PP1BPP1/5RK1 b - -,f8d8
4q3/1p4k1/4p1pr/2Pr1p2/p2PpP1P/6Q1/PP1R4/1K4R1 w - -,d2g2
r4rk1/ppp2qpp/2nbb3/4n3/4Q3/4NN1P/PPP1BPP1/R1B1K2R b KQ -,e5f3
2brr1k1/2q1bp2/1ppp1np1/p1n5/2P1PBP1/1PN2P2/P2RNQB1/3R2K1 b - -,f6d7
r2qk2r/pp1nb1pp/2p5/3pPp1b/5P2/2N3PP/PP2P1B1/R1BQ1RK1 w kq f6,g3g4
8/5p1k/1P4p1/8/1RN2PP1/1K3q1P/8/8 w - -,b3a4
1r4k1/2prb1pp/p4p2/2pp2P1/4pNbP/PP1PP1P1/1BPK4/R5R1 w - -,g5f6
6k1/1pp2p1p/3p2p1/p2P4/PbP5/1P2Q1P1/1q3PKP/3B4 b - -,b4c5
2rqr1k1/1b3pbp/p5p1/1p1nn3/8/P1N1B2P/1P1NQPP1/1BR2RK1 w - -,c3d5
r6r/ppp1k1pp/2nbpn2/4p3/4P3/2N1BP2/PPP3PP/2KR2NR w - -,g1h3
r4rk1/1bq1ppbp/1pnp1np1/p7/1PP5/P1B1PN2/1Q1NBPPP/R4RK1 b - -,a5b4
r3k2r/p3ppbp/2p1b1p1/2P3B1/4Q3/4P3/q2N1PPP/2R2RK1 b kq -,a2d5
1rbqk1n1/5p2/3p2r1/1pnNp3/4P1pp/5Q1P/2P1BPPB/1R1R2K1 w - -,h3g4
3q1nk1/3b2b1/1p1p1npp/p1pP1p2/P1P5/1PNB1N1P/3B1PP1/4Q1K1 w - -,f3h2
r1b1k1r1/pp2np1Q/2n1p3/2P1P3/1q6/8/1pPB1PPP/1R2KBNR b Kq -,b4c5
r1b2rk1/pp2bppp/2n1p3/3pP3/3q4/2N3P1/PPQ1BP1P/R1B2RK1 w - -,c3b5
r6k/2p2qb1/3p3p/1r1Pp1p1/1P2N1P1/B2RQP2/3R2KP/8 b - -,b5b7
rn1q1rk1/pb1pbppp/1p2pn2/8/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,b2b3
8/1k6/1p2p2p/pq1pPP2/2b2p2/5P2/3Q1B1K/8 b - -,e6f5
2r4k/1b1q1p2/p3pP1p/1p2B1p1/3P3P/4Q3/PP4P1/2R3K1 b - h3,c8c1
2rk4/pp3p2/3bppr1/3p3p/3P3P/4B1P1/PPP2P2/2KR3R w - -,d1d3
5r2/8/6P1/R7/1p2p3/p1k4K/8/8 w - -,h3g4
r4r2/pbq1p1kp/1p3pp1/2pp4/3PnP2/2PBPN1P/PP4P1/R2Q1RK1 w - -,f3d2
3k1K2/5Q2/4pq2/8/8/6P1/7P/8 b - -,f6h8
1r2k2r/p1q1bpp1/1nn1p2p/1bppP2P/5B2/2pP1NP1/PP1NQPB1/R3R1K1 w k -,b2c3
r2r4/4npb1/p2N2kp/1p2P1p1/2n3P1/5N1P/P4P1B/2RR2K1 b - -,c4b6
8/1p2n1k1/p1p2n1p/3p2p1/P2PQ3/1PP1N2P/6PK/2B5 b - -,f6e4
1r3rk1/3q2p1/p1b1p2p/3pPp2/p1pP1PP1/R3P2P/1PQ1B2K/4R3 b - -,b8b3
1k1r3r/1p1bBp2/2pNp2p/p2nP2Q/3nN3/P4qP1/1P3P1P/3R1RK1 w - -,h5f3
8/8/4r1p1/pp1k1p2/2pP1P1p/P1K2P2/1P2b2P/3B2R1 w - -,d1e2
r1bq1rk1/1p2ppbp/p2p1np1/2pPn1B1/2P1P3/2N2PN1/PP1Q2PP/R3KB1R b KQ -,b7b5
8/6k1/7R/r4PK1/5P2/8/8/8 w - -,h6e6
r1bq1r1k/p3n1b1/3p1n1p/1Pp2pN1/P1P1p3/R1N5/4BPPP/2BQR1K1 w - -,g5h3
2br1rk1/bpp1qp2/p1n2n1p/3pp1pN/4P2B/2PP1N1P/PPB1QPP1/R3K2R w KQ g6,h5f6
r5k1/5p1p/1p2p1p1/1P1qPnPP/rRpPp3/p1P1P3/P4K2/1Q2B2R b - -,a4b4
8/2R5/p3pk2/3p1p2/1P6/2P4K/1r5P/8 b - -,f6e5
3B4/k7/2K5/2N5/8/8/8/8 w - -,d8c7
1q2r2k/1b3p1p/pp1b2p1/3P4/8/1Q3P1P/P5P1/1BBR2K1 b - -,h8g8
4rrk1/7p/2p1p3/2P1P3/PP1p4/4p3/6PP/3R1RK1 w - -,d1d4
r2bqrk1/2pb2pp/pp1p4/nN1Ppp2/1QP5/2P3P1/P3PPBP/R1B1R1K1 w - -,b5a3
3r2k1/3q1ppp/2r1p3/1pP1P3/pP3P2/1bQPN1P1/3K3P/R1R5 b - -,b3d5
2r1r1k1/4bpp1/p2pbn1p/q3p3/P1P1P3/B1N2N2/4QPPP/2RR2K1 w - -,c4c5
r3kb1r/pbpn1ppp/1p2pq2/6B1/2PP4/2PB1N2/P4PPP/R2QK2R b KQkq -,b7f3
r1b2rk1/pp1pbppp/1qn1pn2/8/3N4/1P4P1/PBP1PPBP/RN1Q1RK1 w - -,d4c6
r1bq1rk1/pp3pbn/n1pp2p1/3Pp1Np/2P1P2P/2N1B3/PP2BPP1/R2QK2R b KQ -,h7f6
8/1p6/2pNk3/p1P5/3b3P/5K2/8/8 w - -,f3e4
1R6/5p2/4p3/2K2kpp/8/8/8/8 w - -,c5d4
8/1p2k2p/2p1p3/2P2p2/p1PPpP2/4P2P/2KB1b2/8 w - -,c2b2
3r2k1/1b3ppp/nb2p3/p2n4/3NB3/4PP2/1P1BNKPP/3R4 b - -,g7g6
r4rk1/1bp1q1b1/pp1p1npp/3Ppn2/2P4P/2N2NP1/PPQ2PB1/2BRR1K1 w - -,h4h5
r4r2/1p2ppbk/p1p1bnpp/q7/3PP3/2N1BN1P/PP1Q1PP1/R3R1K1 w - -,a2a3
4q1k1/p1Q1Pb2/6p1/7p/1P6/5P2/6PP/4R2K b - -,e8a4
4R3/5p2/8/2bk1P1P/1p4N1/1KPr2P1/1P2p3/8 w - -,e8e2
1kqr3r/p4p2/1bp1p1p1/1p1pP1P1/PPnP1B1p/2PB3Q/R4PP1/R5K1 w - -,g1f1
6B1/p7/1pp5/6n1/2Nk4/1P6/P6n/2K5 w - -,c4d6
r4rk1/1bqn1ppp/pp2pb2/8/3NB3/2P1B3/PP2QPPP/3R1RK1 w - -,e4b7
r2qr1k1/pp3ppp/3pb1n1/2pNb3/4P1B1/2P5/PP3PPP/R1BQR1K1 w - -,g2g3
2rq1rk1/pb4pp/1p6/2nN1p2/4n3/3BPN2/PPQ2PPP/2RR2K1 w - -,d3c4
3rr1k1/p4pp1/1ppq2np/3b1B2/6QP/P3B3/5PP1/2RR2K1 b - -,d6f6
r4rk1/6pp/p2bq3/1p6/5p2/2PPB1P1/PP1N1P1P/R2Q2K1 w - -,e3d4
2kr4/1b5p/RQ6/4p1p1/2q2p2/2P3P1/1P3p1P/R5K1 w - -,b6f2
1r3rk1/p1p1bpp1/b3p2p/n4q2/P1NPN3/1p2P1P1/1P3PBP/R1Q2RK1 w - -,g3g4
rn1q1rk1/ppp1bppp/3n4/1B1PB3/6b1/2N2N1P/PP3PP1/2RQ1RK1 b - -,g4h5
r1b2rk1/2p3pp/1p1p1nq1/3P1p2/1PPBpP2/4P2P/2Q1B1PK/R4R2 b - -,c8d7
8/8/1R4pk/5p1p/1p3P1P/p7/Pr3PK1/8 b - -,b2b1
2r1r3/p7/1p1nkbn1/3p3p/P2Pp1pP/1P2B1P1/3NNPK1/2R1R3 b - a3,d6f5
r1b2rk1/1ppp1pp1/p3q2p/b3P3/8/PP6/1P3PPP/RNBQ1RK1 w - -,c1e3
2r2rk1/pp3p1p/3pb1p1/4p3/3qP3/P2P2P1/1P1Q1PBP/2R2RK1 b - -,b7b6
rnbqkb1r/pppn1ppp/4p3/3p2P1/5P2/1PN1P3/PBPP3P/R2QKBNR b KQkq -,c7c5
8/8/5p2/2pk1P2/2p4R/2P1b3/1P1r2K1/5R2 w - -,g2f3
8/5pkp/6p1/1p1pP3/1Pn2P2/r1P2NP1/4R2P/6K1 w - -,e2c2
8/pr5p/5R2/6r1/2k3P1/P3PK2/1P5R/8 b - -,b7g7
6k1/5pp1/p1bppq1p/P3P3/2P5/R1N2P1P/1r1bBBP1/2nQ3K b - -,f6e5
7k/3n3p/1p4p1/rN6/4P1n1/P4N2/P5PP/R5K1 w - -,a1b1
r2r1bk1/pb2q1p1/2p1p2p/1pPnNp2/1P1P3P/3R2P1/P1B1QP2/R3B1K1 b - -,e7f6
2b3k1/4q1p1/R3P1Qp/1pp2p2/8/P7/1PP3PP/7K w - -,a6a8
r4rk1/3nbppp/bq2p3/p2pP3/1n1P1P2/3NBN2/P2QB1PP/R4RK1 w - -,a1b1
2kr3r/1pp2ppp/1q2p3/p2n4/Pb1P4/1PN1QP2/1BP1R1PP/1K1R4 w - -,c3d5
8/8/R7/4k1p1/4p1r1/8/3B1K2/8 w - -,a6a5
3b1r1k/p5qp/P2pn1r1/1ppNpQ2/1P3p2/2PP1N2/5PPP/R5RK w - -,f5e4
r7/4pp1p/2P2kp1/1R6/3K4/6P1/7P/8 w - -,d4c5
2qbb3/rpn3k1/2p1p2p/2PpNpp1/3P1P2/P2NP1P1/1Q5P/1R1B2K1 w - -,a3a4
2k5/P4R2/r1KP2p1/3p1n2/3P4/8/5p2/8 w - -,c6d5
8/1p3pkp/4p1n1/2bpP1B1/8/2P2N2/rP3PP1/4RK2 w - -,e1e2
8/p3r2p/8/P2R4/2k2KP1/4P3/8/8 w - -,d5e5
r4rk1/bpp1npp1/p2pqn1p/4p3/4P2B/1PPPNN1P/1P3PP1/R2Q1R1K w - -,f3h2
2rb4/r2q2nk/3p1p1n/pRpPp1pP/2P1P1P1/K3NQN1/3B4/1R6 b - -,c8c7
r1b2rk1/ppp1qppp/5n2/3p4/3P4/4PN2/PPQ2PPP/R3KB1R w KQ -,f1d3
4rn1k/pp1q2pp/2p1p1r1/3nR2N/3PQ3/1B5P/PP3PP1/4R1K1 b - -,d7f7
3q2k1/2p1n1b1/3p1n1p/2PPp1p1/4P1b1/2NNB3/4B1PP/Q5K1 w - -,e2f1
8/8/3b4/p6k/P3RP2/7K/3r2P1/8 w - -,g2g3
5rk1/ppQ1Rnp1/6p1/1q5p/7P/5P2/PP6/2R4K w - -,c7b7
r2q1rk1/pb1nppbp/2p2np1/1p6/1P1P4/BBN1PN2/P3QPPP/2R2RK1 b - -,e7e6
r5k1/3n2pp/2q3n1/1p1p4/1QpPP3/2P1BPN1/7P/5RK1 w - -,g3f5
r7/1pp2pkp/6p1/1P1N4/n5n1/1N2P1P1/P4PBP/6K1 b - -,c7c5
8/p4k2/1p3n1p/4r1pP/2P3P1/P1P2K2/5N2/3R4 w - -,d1d4
3kb3/p1p3r1/3p1bpR/2p5/2P3P1/3B1P2/PPKB4/8 w - -,f3f4
r3k2r/ppp2pp1/2p1b3/4P2p/6Pb/P1N2P1P/1PP5/R1B2RK1 w - -,g1g2
8/p7/Pb6/8/1k3R2/3K4/8/8 b - -,b4b5
2r1r1k1/p2n1ppp/4p3/2b3B1/PpN5/5qP1/1P2PPKP/2RR4 w - -,e2f3
r5k1/2bq1pp1/r3p2p/1R6/3P1P2/3Q2P1/5B1P/3R2K1 b - -,a6a1
4r1k1/1p1bp2p/3p2pb/1prP1p2/4Pn2/PR3N1P/1P3PP1/1RB2BK1 w - f6,c1e3
r2qr1k1/1p4bp/5np1/2pP1p2/QnP2P2/3B3P/N3NBP1/1R3RK1 w - -,b1b4
r1r3k1/5p1p/2p2np1/p1P2b2/2Rp1B2/1P3PP1/4P1BP/R5K1 b - -,f5e6
r1bq1rk1/1p1n1pbp/2p1pnp1/p2p4/P1PP4/1QN1PN2/1P2BPPP/R1BR2K1 w - -,b3a2
8/1R6/8/3k4/1PrN1KP1/4P3/8/8 b - -,c4c1
r3k1nr/pp1qppbp/2np2p1/8/4P3/3Q1N2/PPP2PPP/RNB2RK1 w kq -,f1d1
2r5/2qr2pk/5p1p/1p2pP2/pBb1PnR1/P1P2P2/7Q/3B2RK w - -,h2g3
1r4k1/2r2p1p/4p1p1/3p4/2P5/1PR2P2/1PK3PP/4R3 b - -,c7c5
3r4/1p4p1/p4p2/5k1p/1PPp3P/3K4/P4P2/4R3 w - -,e1e7
2rqkb1r/1b1n1ppp/pn1pp3/1p6/3NP1P1/2NBBP2/PPP2Q1P/2KR3R w k -,c1b1:c3e2
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/2P2N2/PPBPQPPP/RNB2RK1 w - -,f1d1
4r2k/1pp1r1bp/p1np1qp1/3B4/2P2P2/1P2B1PP/P2Q4/3RR1K1 w - -,e3f2
2r5/5pkp/4p1p1/2p5/4P3/5P2/P2R1PKP/8 w - -,g2f1
1r2qr1k/p1b3pp/2p2n2/2P2p2/3PpP2/PQ5P/1P1B2P1/R3NRK1 w - -,b3c3
6k1/5r1p/6p1/1p1P2P1/3Qp3/2P2q2/PP4R1/5rRK b - -,f7f4
4r1k1/5p1p/5Pp1/1pq2bPP/p2R4/1BP1p3/PP2Q3/2K5 w - -,b3d5
5R2/8/8/4K3/8/4k2p/5p1P/8 b - -,e3e2
r1b1k2r/ppp1ppbp/2n3Q1/8/8/2P5/PP1B1PPP/2KR1BNR b kq -,h7g6
8/2R2k1p/pN1p2p1/1b2p3/1P2P3/5P1P/6r1/3K4 b - -,f7f8
