8/1r6/1P2p3/P1k5/3p4/8/5P1K/1R6 w - -,h2g3
2b5/1p4p1/2p5/3rpPk1/p1Rr2P1/P2BK3/1P2P3/2R5 w - -,d3e4
r2q1rk1/4ppbp/1p2nnp1/p1ppN1BP/3P4/2P1P3/PP1NQPP1/R3K2R w KQ -,h5g6
8/3b4/p2P3p/p1R2p2/2P2k1P/8/1r4BK/8 b - -,b2d2
2r1b1k1/6pp/1p2pbq1/2pp1p2/p2PnB2/2P1QNPP/PP4R1/1K5R w - -,a2a3
3q1r1k/5R2/p6p/1p1p3N/3Pn1r1/1P2P2P/P5Q1/7K w - -,f7f8
8/4pk2/5np1/pp6/4PRn1/6P1/PP5r/2R3K1 b - -,h2b2
5r2/3r1k2/1pp3Rp/5Pp1/2qp2P1/5Q2/PP6/5R1K w - -,g6c6
2R1n1k1/p2rq3/4ppp1/2Q4p/1P6/P3P3/5PPP/2R3K1 b - -,e7f7
3q1rk1/1bppb1pp/1pn1pn2/1NP2p2/1P1P4/4PN2/3BBPPP/Q3K2R b K -,f6e4
1q1r1rk1/p3bppp/b1p2n2/B7/3pP3/1N3P2/PP3KPP/RN1Q3R w - -,a5d8
1rbq1rk1/pp2bppp/n2p1n2/1NpPp3/P1P1P3/6P1/1P2NPBP/R1BQ1RK1 b - -,b8a8
r1bqk2r/ppp2p2/1n5p/3p2p1/1b1P4/2N1P1P1/PPQN1PP1/R3KB1R b KQkq -,c7c6
r4rk1/1pq1bppp/p1bppn2/8/3BPP2/2N3Q1/PPP1B1PP/4RR1K b - -,b7b5
1r1q1rk1/p4p1p/3pb1p1/7n/1p2PP2/3P1N2/PP1QR1BP/5RK1 b - -,f7f5
r2qk2r/1bpnbpp1/pp2p2p/4P3/2P2Bn1/2N2N2/PP2QPPP/2KR1B1R b kq -,h6h5
r3kb1r/1pBBppp1/5n1p/3p4/3n3N/2P5/PP1N1PPP/R3K2R b KQkq -,e8d7
r2q1rk1/1b1nbppp/p3pn2/1p4B1/2pP4/1BN1PN2/PP2QPPP/2RR2K1 w - -,b3c2
rnbq1rk1/ppppppbp/5np1/6B1/3P4/2P2NP1/PP2PP1P/RN1QKB1R b KQ -,d7d6
r2q1rk1/pppbbpp1/3p1n1p/3Nn3/4PB2/1B1P3P/PPP3PN/R2Q1RK1 b - -,e5g6
b2r1rk1/4b1p1/1p2p2p/1Pp1Pq1P/P3NP2/2p2QP1/5BB1/2R3K1 b - -,d8d2
5rk1/r3ppbp/b2p2p1/2pQ4/8/P4NNP/1P3PP1/1qB1R1K1 w - -,d5b3
2r2r1k/4p2p/p1p5/4R3/Nn1p1P2/7P/1PP3P1/5RK1 w - -,f1f2
r1bq1rk1/pp2bpp1/1np2n1p/3p4/3P4/2N2NP1/PPQ1PPBP/R1B1R1K1 w - -,f3e5
r1bqk2r/pppn1pbp/5np1/4N1B1/4P3/2P5/PP3PPP/RN1QKB1R b KQkq -,d7e5
r5k1/pp5R/2n1pQ2/3bP3/1P6/P7/5PrP/2B1R1K1 w - -,g1f1
8/8/p1b4p/2PN2b1/2Pk4/RK3B2/P7/2r5 b - -,c1c4:c1b1
1k1r3r/pbq5/5P1p/2p1b2P/1p1p1B2/2PB4/PP1Q2P1/R4RK1 w - -,c3c4
7r/2q1b3/p5kn/1pp1Pppp/2Pp4/1P1P1NP1/P2BQ2P/5RK1 w - -,h2h4
r1bqk2r/pp2nppp/2n1p3/2PpP3/1b6/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f1d3
8/8/K5p1/5q2/4p2P/5k2/8/2Q5 b - -,f3g4
