7r/4R2p/8/1B6/P4k2/7P/3n4/4b2K w - -,e7e1
5r2/r3qpk1/4bN1p/1p2P1pP/3RQ1P1/pP6/P7/1K5R b - -,f8h8
8/1p6/p1p5/P1P2P1k/1P2K1pP/6B1/7P/3r4 b - -,d1d5
2rqr1k1/pp3p1p/2n3p1/1B2b3/1P2p3/4P2P/P2BQPP1/2RR2K1 b - -,d8b6
3r4/rp3pk1/2bp2p1/2q1p2p/p1PnP2P/3NR3/PP1Q1PPK/3R1B2 b - -,c5b6
r3kb1r/p2npppp/1qp1bn2/1p4N1/2pPP3/8/PPQNBPPP/R1B2RK1 w kq -,g5e6
7k/p2r1pp1/2q1n2p/2P5/6QP/P3B1P1/5P2/2R3K1 w - -,c1b1
2rr2k1/pp1qbppp/4pn2/3p4/3PP3/1P3N2/PB2QPPP/R4RK1 w - -,e4e5
rnbk3r/1p3pp1/p3pn1p/1N1p3P/5P2/1NP4R/1q2B1P1/R2QK3 w - -,a1b1
r1b1qrk1/1p1np1b1/p1p1n1pp/2Pp1p2/N2P4/1QB2NP1/PP2PPBP/3RR1K1 b - -,e8f7
3r2k1/4pp1p/6p1/p1q1b3/P3P3/1Pp4P/2Br1PP1/2R1QR1K b - -,e5d4
r2q1rk1/1bpn2pp/1p1pp3/p4pn1/2PP4/PP2PN2/1B2BPPP/R2Q1RK1 b - -,g5f3
1rbqk1nr/3ppp1p/2n3p1/1pp5/N7/1P3NP1/Pb1PPPBP/R2QK2R w KQk -,a4b2
5rk1/2qbQpbp/6p1/3p4/1P6/2nB1N2/5PPP/2B1R1K1 b - -,c3e4
r1bq1rk1/p2pnpbp/1pn1p1p1/8/3pP3/2P1BNP1/PP3PBP/RN1Q1RK1 w - -,f3d4:c3d4
rn2kb1r/ppq2ppp/2p1pnb1/3p4/2PP3N/1QN1P3/PP3PPP/R1B1KB1R w KQkq -,c1d2:h4g6
r2r2k1/ppn1q1pp/4bn2/2P1Np2/1PpNpP2/4P1P1/P5BP/R3QRK1 b - -,d8d4
r1b2rk1/ppq1bppp/4pn2/n7/3P4/P1N2N2/BP3PPP/R1BQ1RK1 w - -,c1g5
1r4k1/6b1/4p2p/1b2Pp2/1P4pP/6P1/1p4P1/1K1RR3 w - -,b1b2
2r3k1/8/7p/p2pB1p1/npP5/3RP3/P1K2rPP/1R6 w - -,d3d2
5nk1/5bpp/3Q4/3p4/P1p3r1/6N1/7P/2r2BK1 w - -,d6a3
1r1q2k1/2Q2rb1/p2P3p/P1B3p1/2B1p3/6nP/1P4P1/R5K1 w - -,c4f7
