8/3k4/8/p2pBp1p/3P4/2R2P1P/Pq6/7K w - -,c3c7
8/8/5pk1/r1B5/6p1/6P1/r4PK1/4R3 w - -,c5e3
2rq1r1k/5ppp/pN1pb3/1p2p3/4P3/1PP4P/P4PPN/2RQR1K1 b - -,d8b6
r4rk1/pp1n1p1p/2p3p1/3n4/2Nb4/2P4P/PP3PPB/R4RK1 w - -,c3d4
6rk/5p1p/pb6/1p3P2/3p4/1Pr2bBP/P2Q4/R4RK1 b - -,g8g3
r1br2k1/pp2ppbp/6p1/3nP3/5P2/3B1N2/PP1B1KPP/2R1R3 w - -,d3e4
r4rk1/p1q2pp1/1pppb1n1/4pB1p/2PPP1QP/2P1P1R1/P5P1/4BRK1 w - -,g4h5
r1b2rk1/1q3pbp/n2p1np1/2pp4/4PB2/2N2N1P/PPQ1BPP1/R4RK1 w - -,f4d6
4nrk1/2n3q1/p2p3p/2pP1pp1/PrP5/2b4P/2BNQPPB/3R1RK1 b - -,f5f4
2kr1b1r/pp1b1pp1/1qn1p2n/2p1P3/3p1PP1/3P1NNP/PPP3B1/R1BQK2R b KQ -,f8e7
8/4k3/2P3p1/4Pp2/K4P1p/5N1P/2r5/8 b - -,c2c6
r2qkb1r/pb1n1ppp/1pp2n2/3p4/3P4/2NBPN2/PP3PPP/R1BQK2R w KQkq -,e1g1
3b1r2/3P4/6pk/2Q1p3/4P3/5r2/6B1/6K1 b - -,f3f7
r1bqk3/pp3p1p/2n1p1r1/3pP3/1b1pn3/P1N1Q3/1PP1NPPP/R1B1KB1R w KQq -,e2d4
1nbq1rk1/r1p2ppp/4pn2/pp6/P1pP4/6P1/1PQNPPBP/RN3RK1 w - -,b1c3
r1rq2k1/1p1n1ppp/3b1n2/p2Pp2b/NP6/BQ2P1PP/P2N1PB1/R4RK1 w - -,b4b5
r1b2rk1/1pqpppbp/p1n2np1/8/2P5/2N3PP/PPN1PPB1/R1BQ1RK1 b - -,d7d6
r3r1k1/p1pb1ppp/8/2Bpqn2/8/2PPPR2/P1Q1B1PP/R5K1 b - -,e5e6
r1b2rk1/pp5p/2p1p1p1/3pPp2/1qPP4/3BPR2/PPQ3PP/R5K1 w - -,a2a3
r1bqkb1r/1ppn1p1p/3p1np1/pP2p3/P7/4PN2/1BPP1PPP/RN1QKB1R w KQkq -,d2d4
8/5pk1/8/1R5p/6pP/8/r6P/6K1 b - -,a2a3
1R6/r5k1/8/1pp5/8/4K3/8/8 w - -,b8b5
5k2/Q4p2/p1p2q2/1p1p3p/1P2n3/P5P1/5PB1/6K1 b - -,f6a1
rn3rk1/1bq1bppp/p3pn2/1p2p3/3N1P2/2N1BB2/PPP3PP/R2Q1R1K w - -,f4e5
r1br2k1/1p3pp1/2p4p/p2nP3/1qB1N3/1P4P1/PBQ2P1P/3R2K1 b - -,c8f5
8/p1r1k2p/2p2r2/3p2p1/1P1Npn2/P1R4P/2P3PK/5R2 b - -,e7d7
8/4rpk1/2R5/4P2p/5PK1/8/8/8 w - -,g4h5
3qr2k/r2b1pp1/3p1n1p/2pP4/2P2P2/2BB3P/1PQ3PK/3N1R2 b - -,d8e7:f6g8
r6r/1p3ppb/1nnkp2p/1p1p4/2pPP3/P1P2N1P/1P1N1PP1/2RBR1K1 w - -,d1c2
3b4/5p2/6p1/1k1p1p1p/3P1P1P/5P2/1PK5/4B3 b - -,d8e7:d8f6
r5k1/1ppq2pp/3p2n1/8/p1P1BPb1/4N1P1/PP1Q3P/4R2K b - -,a8e8
2r2rk1/pbqnppbp/1p3np1/1Pp1N3/2NP4/1Q2P3/PB2BPPP/2R2RK1 b - -,d7e5
3r1r1k/1b2q1pp/1pn1pp2/p7/2BP4/P1Q3B1/1P3PPP/3R1RK1 w - -,d4d5
3rn3/2qr2kp/p1p2p2/1pP1ppP1/1Pb1P2P/P1QB1R2/4N3/3R2K1 w - -,e4f5
8/p2rpk1p/1pp2bp1/8/2P1R3/1P2B3/P1K2PPP/8 w - -,g2g4
8/5pk1/R6p/1r5P/5K2/5B2/8/8 b - -,b5c5
r1bq2k1/1ppnn1bp/p2p1r2/P2Pp1p1/2P1Pp2/2N2P2/1P2BBPP/R2QNRK1 w - -,e1d3
8/3kb3/R2pp1pp/1p6/5P1P/5NP1/1r4K1/8 w - -,g2h3
7r/p3Np2/3pkP2/1P2p1K1/1P4R1/8/8/5r2 w - -,g4g2
8/6pp/4b3/P7/2k1p3/4P1P1/3K3P/2N5 b - -,e6c8
2Q5/p7/1p2pk1p/7P/2P3K1/1P4P1/P3rr2/8 b - -,f6g7
8/5k2/2n3p1/6K1/6PP/6B1/8/8 b - -,c6d4
rnbqk2r/pp2nppp/4p3/3pP3/3p2Q1/P1P5/2P2PPP/R1B1KBNR w KQkq -,f1d3:c3d4:g4g7
8/5p2/p7/5p1p/1p1kpP1P/1P4P1/P3K3/8 b - -,d4c3
2r2rk1/pp3p1p/5bp1/2N5/1nB3b1/2N5/PPP2PPP/R4RK1 w - -,c3e4
r4rk1/p4p1p/1p4p1/4P1q1/3pb3/R3b3/PPP1B1PP/3NQR1K w - -,d1e3
q5k1/p3r1b1/1p1Nbp2/4p1pp/1PB5/P5QP/5PP1/4R1K1 w - -,g3d3
r1bq1rk1/1p2ppbp/3p1np1/p7/2P1P3/2N1B3/PP1QBPPP/3RK2R b K -,c8e6:a5a4:c8d7
8/8/p1k1r3/1p1qP3/2p1R3/4Q3/7P/4K3 b - -,b5b4
8/3n1Rpk/2R5/p6p/1p3pbP/1P6/r7/5K2 b - -,d7e5
3r2k1/5pb1/p1b4p/1p3Bp1/2pP4/PP2P1BP/5PP1/2R3K1 b - -,c6d5
R7/p1p2pk1/2r5/2BpnB2/8/8/PP3P2/3K4 w - -,c5d4
3nR1k1/3b1r2/pr1p2p1/3P2P1/2Pp4/1P4N1/1B4B1/4R1K1 b - -,d7e8
4R3/pp3pkp/2p3p1/2Pq4/3r4/1PQ5/P2r2PP/R5K1 w - -,c3g3
4B3/2p5/3p3k/3b2p1/1p6/P1P3K1/8/8 w - -,c3b4
5b2/1p1k3p/4p3/4Pp2/1P1N1P2/P5PP/8/6K1 b - -,f8e7
r1b1k2r/p1pp1pbp/2p3p1/2PqP3/4QP2/2PB4/P5PP/R1B1K2R w KQkq -,e4d5
1rb2qk1/5ppp/p3p3/8/1n6/5P2/1R2B1PP/2QR3K w - -,c1c7
1r1qr1k1/3b1pbp/pp1p2p1/2pPn3/PP3B2/2N3P1/Q3PPBP/1RR3K1 w - -,c3e4
r2qk2r/1ppb1ppp/p3p3/4b3/5P2/2PB4/PPP1Q1PP/2KR3R w kq -,e2e5
3k4/3q4/p4N2/8/5P2/6P1/1r5P/4R1K1 w - -,f6d7
2rr4/1p1nkp2/p3p3/4N1p1/2P5/1P2KP2/P5P1/2RR4 w - -,e5d7
2k4r/ppp2p2/2nr4/3q3p/3p3N/P4Q2/1PP2PP1/R4RK1 b - -,d5g5
1q4rk/3b1p1p/4pp2/pp2n2Q/4P3/P1N5/1P3PPP/1B1R2K1 w - -,c3e2
8/5p2/1pkpb1nr/p5p1/P1P1P1Pn/1P2KPR1/7R/3B4 w - -,g3g1
3r2rk/8/p4qn1/1p1pp2p/8/1PPQ1PP1/P6P/1N2RR1K w - h6,d3e3
3n4/1pr1kb2/p3p2p/4p1p1/P3B3/5P2/1P4PP/1KNR4 b - -,f7e8
2bq1rk1/p2n1pbp/3p1np1/3Pp3/1r2P3/1NN3P1/1P3PBP/R1BQ1RK1 b - -,d8c7
r5k1/5ppp/2p5/p1PpP1b1/P2P4/1rBb2P1/6BP/R1R3K1 w - -,g2h3
3r2k1/1pr2pp1/p3pn1p/2Pp4/bP1N1P2/P1R3PP/4PKB1/2R5 b - -,d8c8
2kr4/pbqp2pr/1p2pp2/6Pn/Pb1B4/1PP1P3/4BP2/R2QKNR1 b Q -,b4c3
8/pp5p/2p2k2/1PPp4/3N1Pb1/4K3/P6P/8 b - -,g4d7
2r1r1k1/2BR1p1p/p4bp1/1PP1p3/P3R1P1/2p5/8/1K6 b - -,a6b5
8/5pk1/6pp/2Rqn3/1P6/P3Q2P/4K3/8 b - -,d5a2
6k1/4R1p1/4n2p/1p6/1P5P/P7/2r1rBP1/4R1K1 b - -,e2f2
r2qk2r/p4pbp/bpn1p1p1/2pn2B1/8/2PP1NP1/PP2QPBP/RN2R1K1 b kq -,d8d7
5rk1/qp4bp/3p2b1/1Rn3p1/2P1p3/4R2P/3NBPP1/3Q2K1 w - -,d2b3
3r1n1R/5kr1/1p4p1/2p1PpP1/1p1p1P2/P6R/1PP1N3/2K5 b - -,b4a3
3rB3/1pr2pk1/3b2p1/p1pP2P1/P1P1Rp2/5P2/1P1K4/4R3 b - -,g7f8
r1bq1rk1/p1p2pbp/2p3p1/3n4/8/2N1B3/PPPQ1PPP/2KR1B1R w - -,c3d5
4rrk1/3q1p1p/2n1b1p1/1p1p4/1P3b1P/3P2P1/1B3PB1/1R1QR1K1 w - -,g3f4
4r2k/1b6/p3q1p1/1p6/2p1p1Pp/2Pr2bP/PPQ1RNN1/4K1R1 w - -,c2c1
r1br2k1/p2nqppp/1ppn1b2/4p3/1PP1P3/4NNP1/PBQ2PBP/R2R2K1 b - -,c8b7
2rqkbnr/pp3p2/2n1p1p1/3pP2p/3P1Q2/2PB4/5PPP/RNB1K2R w KQk -,c1a3
1r4k1/p1p3b1/1p2q1p1/2nB1pR1/4N2P/2B5/P3KP2/1R6 b - -,e6d5
1r6/2r5/2P2pk1/p2Bp1pp/1pR1P3/3K2PP/N7/8 b - -,b8d8
5R2/p1k1r1pp/Pp6/2nP4/6B1/7P/5PP1/6K1 w - -,f8a8
b1r3k1/q4p1p/5np1/2N5/1p2PP2/7P/1PR2QP1/1B5K b - -,b4b3
r2q1rk1/pp1bpp1p/3p1npb/n7/3NP3/1BN2P2/PPPQ2PP/R3K2R w KQ -,d2h6
8/3k4/R1p4p/8/1P1K4/P3r3/8/8 b - -,e3g3
3r2k1/pp1rq2p/2b1p1p1/4Pp2/5R2/P2B2Q1/1PP3PP/4R2K w - -,h2h4
1rb2rn1/3n1pkp/pq4p1/1pbPp3/2p1P3/4BPP1/PPQ1N1NP/R2R1B1K w - -,c2c3
8/1b1kr3/p1p1p3/1pPq4/1Q1PB3/2P3P1/5P1P/4R1K1 b - -,d5a2
r3k3/1p1n1pp1/p3b3/3pp3/3P4/1NPB1P2/PP3QPq/2KR4 b q -,h2f4
1k4r1/ppq2p2/4pQ2/3pn3/3R2P1/2P1N2r/PP3P2/1K1R4 w - -,e3d5
r1b1r1k1/1p3pbp/6p1/1P4q1/1Q6/6P1/1B3PBP/1R3RK1 b - -,g7b2
8/4rpk1/3p1Np1/p3n1Pp/1p2P2P/1P4R1/PPK5/8 b - -,g7f8
1r4k1/5pp1/4pb1p/pp5P/6P1/PR2QP2/1PP5/1KN4q w - -,b1a2
3r4/4npkp/3rpNp1/6P1/P1R2P2/2R2K2/7P/8 w - -,a4a5
5r1k/3b2pp/p3prq1/3p4/1p1P4/1P3P1R/PBQ3B1/2R1K3 b - -,f6f5
2r1k2r/p2q1ppp/3P2b1/1pp2n2/5R2/P2PB2P/B1P3P1/R4QK1 w k -,f1f2
1r3rk1/3n1pbp/p2pb1p1/q1p5/2P1P3/2N1BP2/PP1QB1PP/2R2RK1 w - -,b2b3
r2qkb1r/pp1b2pp/2n1pp2/1B1p3n/Q2P3B/2N1PN2/PP3PPP/R4RK1 b kq -,g7g5
2R5/6k1/2K5/1P1B4/2P5/1r6/8/6b1 w - -,c8g8
r4rk1/n3b2p/pp2p3/3pPpp1/qP1P4/PNB5/2BQ1PPP/R5K1 b - -,a4c6
r7/1p1n1pk1/p4n2/P5p1/1Q1Pp1q1/4P3/1P1KN3/2R2N2 w - -,f1g3
4k2r/5ppp/2p5/3p4/r1nP4/2R5/4BPPP/4K2R w Kk -,e1g1
r2q1rk1/4ppbp/p1np1np1/1pp5/P3P3/1BPP1Q1P/1P1N1PP1/R1B2RK1 b - -,d8c7
r5k1/1R3p2/4pB2/3p2pP/p2P2P1/4PnQ1/1P2qP2/6K1 w - -,g1g2
2r1kb1r/1bqn1p2/pp1p1n2/4pP1p/P3P3/2N1BB2/1PPNQ2P/3R1RK1 w k -,g1h1
8/6p1/4p2p/8/Q2b2KP/R4bP1/PP3kq1/8 w - -,g4f4
2k5/1pp1r3/5pp1/p2p1n2/P2PrP1p/2PN4/1P1R2PP/R5K1 b - -,f5d6
1r5r/q2bb1k1/3p1pp1/p1pPp1p1/P1Q1P1P1/R1P3RP/1P1N1PK1/2B5 w - -,a3b3
3r4/4k3/3pp3/5p1p/pR3P2/1Pr3PP/5K2/3R4 w - -,b3a4
6k1/3n1pp1/1pbQp1p1/3p2P1/3P4/4RN2/1qr2P1P/4R1K1 b - -,d7f8
r2qk2r/ppp1bppp/2n1pn2/3p4/2PP2b1/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,e1g1
2kr3r/1pqb1ppp/p2bpn2/6B1/1PBN4/2P5/P3QPPP/R3R1K1 w - -,h2h3
8/p7/7p/3bkP2/n1p5/6KP/PP6/3R4 w - -,d1d2
r1bq1rk1/p2nbp1p/2n1pp2/1p1pP3/2pP4/2N1BN2/PPPQB1PP/2KR3R w - -,e5f6
6k1/p4p1p/1pq1R1p1/3n4/P1pP2P1/2P2P2/2QB3P/6K1 b - -,c6e6
1rr5/5pkp/5p2/p1pPpQ2/3bB3/1P4P1/P2q1P1P/2R2RK1 w - -,f5h7
r2qr2k/pb1nb1pp/8/2pp4/8/1P1B1N1Q/P4PPP/R1B2RK1 b - -,d7f8
r1b2r1k/pppn2pp/2nbpq2/3p4/3P4/2PB1N2/PP1N1PPP/R1BQR1K1 w - -,d2f1
k1q3r1/2b2Q2/ppN3n1/4p2p/8/6P1/PP3P1P/2RR2K1 b - -,g6f4
8/6k1/8/5pp1/4p2P/8/r5PK/1R6 b - -,g5h4
