8/8/5k1p/PR3pp1/8/2P3P1/r4PKP/8 b - -,g5g4
r1q2rk1/ppp1bppp/3p4/2n5/3Q2bP/2P1BN2/PPP2PP1/2KR1B1R w - -,f1c4
1k6/pp1n1ppp/8/3Bp3/8/PPrP2P1/5PKP/4R3 b - -,f7f6
8/1R6/6k1/3PpNb1/4K1P1/5P2/3r3p/8 w - -,b7b6
r3kb1r/1b3p2/pq1p2p1/1pn1p1Pp/4PP1P/3B1N1Q/PPP1N3/1K1RR3 w kq -,f4e5
rn1qkb1r/ppp1pppp/3p1n2/5b2/2PP4/1QN5/PP2PPPP/R1B1KBNR b KQkq -,d8c8
r1bq1rk1/bpp2pp1/p1np1n1p/4p3/4P3/1BPP1NNP/PP3PP1/R1BQK2R b KQ -,c6e7:f8e8
r1b2rk1/p3nppp/1p2pq2/1P6/2BP4/PN6/5PPP/R2QR1K1 w - -,d1g4
7k/4Q3/6K1/8/8/5P2/8/q7 b - -,a1b1
r3kb1r/3p1ppp/p1q1p3/1p1bP3/5B2/3B1P2/PPP1Q1PP/R4RK1 b kq -,f8c5
rnbqk2r/ppppp1bp/5np1/5p1P/2PP4/2N5/PP2PPP1/R1BQKBNR b KQkq -,f6h5
2br4/5pk1/p3pqpp/1p1B4/3P4/1P2QN2/P4PPP/3R2K1 b - -,d8d5
2rr2k1/1b2bppn/p3p2p/2n1B3/1q2P3/2N2N1P/1PB1QPP1/R3R1K1 w - -,a1a3
q1nr2k1/4ppbp/1p2b1p1/3p4/rB1P1N2/1Q2P1P1/P4PBP/R1R3K1 w - -,a2a3
r1bq1r1k/ppn1pN1p/3pB1p1/2pPb3/8/P7/1PP1QPPP/R1B2RK1 b - -,f8f7
1r3k2/1rqnbpp1/b2p3p/p1pPpP1Q/P1P1N3/1P4P1/2BB3P/1R3RK1 w - -,d2h6
r1bq1rk1/pppnn1bp/3p2p1/4p3/2P1P3/2N1B1P1/PP2NPBP/R2Q1RK1 b - -,d7c5
8/8/8/4p1k1/5p2/1R3P1K/4r3/8 w - -,b3b8
r1b2rk1/pp2nppp/2p5/3n4/2BP4/1qN2N2/PP3PPP/R3R1K1 w - -,c4b3
r4r2/1pp1n1k1/2qp1p1p/p1n1p1p1/P1P1P2P/1PP2PP1/2Q2NK1/R1B4R w - -,b3b4
3r2k1/2q1bppp/8/1p1bp1P1/8/p4P1B/PK1NQ2P/3R4 w - -,b2b1
6k1/pp4p1/1bn1pr1p/3r4/2R4P/5NPB/P3PP2/5RK1 w - -,g1g2
r1b3k1/6b1/p6p/Pp1P1pp1/3P4/qPpQ1PB1/2B3PP/5RK1 w - -,d3c3
8/2kr1p2/1pp2qp1/p1p4p/P3R2P/1P1P2P1/2P2PK1/4Q3 b - -,f6d6
8/1r2bkpp/R2p2n1/1p1Pp3/2p1B1bP/2P1BPP1/1P1N4/6K1 b - -,g4c8
r1b3k1/4Bnpp/2r1p3/6P1/p3P3/7B/2P2R1P/3R3K b - -,c8a6
5n2/pp2k2p/2pn2p1/P2p4/1P1B4/2NB4/2P4P/7K b - -,d6c8
8/pp6/8/2B2k2/2P1b3/1P3p2/P4P2/3K4 b - -,a7a6
5rk1/5pbp/p1N3p1/4p3/4Q3/P4BP1/1PP2q1P/1K1R4 b - -,f2h2
5k2/7p/6p1/3n4/1P1B4/3b2PB/r6P/2R3K1 w - -,h3g2
1r4k1/2n2ppp/1r6/2qp4/3p4/1BbP1NPP/R1P1QP2/5RK1 w - -,f3h4
r3r3/pp1n1pbk/3p2pp/2pP4/2P1bB2/1PQ2N1P/P3BPP1/4RRK1 b - -,g7c3
r2qkb1r/pppb1pp1/2np1n2/3Pp3/2P1P2p/2N3P1/PP2NPBP/R1BQK2R b KQkq -,c6e7
