8/4k2p/R5p1/8/3K1P2/7P/P5r1/8 w - -,a2a4
4r1k1/1bq2n1p/3pr3/p5p1/3RPp2/1PP2B1P/4NQP1/3R2K1 w - -,d4c4
Q7/6pk/1p4r1/2bPQn1p/5Pb1/6P1/7P/7K w - -,e5e4
rnbqk2r/pp3ppp/8/3npN2/8/2PB4/P1PB1PPP/R2QK2R b KQkq -,c8f5
rn2kbnr/ppq2ppp/2p1p3/5b2/3P4/2N2N2/PPP1BPPP/R1BQ1RK1 w kq -,f1e1
8/R7/3kp1p1/4R1P1/3n1P2/6K1/2r5/8 w - -,a7a6
7k/4rpp1/p2q3p/2pP4/2P1RP2/6P1/PrQ4P/3R2K1 w - -,c2d3
r2r2kb/pbp1pp1p/1pn4B/4Pp2/8/1P3NNP/1PP2PP1/3RR1K1 b - -,d8d1
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,f8b4:d7d5
8/p2r3p/3k2p1/6K1/8/6P1/R6P/8 b - -,d6c5
8/2R2p1K/4PP2/8/5k2/8/8/6r1 b - -,g1h1
2R5/3r3k/p6P/6K1/6P1/Pb6/2p5/8 w - -,g5h5
8/2p2p2/2p1k1p1/2p1P2p/p1P2P2/1b1KN1P1/1P5P/8 b - -,b3a2
3Q4/1p5k/6b1/8/q2P3K/5P2/6P1/8 w - -,d8c7
8/6k1/p1N3p1/1p1p2bp/8/R6P/3r4/6K1 b - -,d5d4
r3k2r/3qppbp/p2p1np1/8/1p1PP3/5N2/PP1BQPPP/R4RK1 b kq -,e8g8
1r6/r1q1p1kp/P2p1pp1/1BnP4/3Q4/R4PK1/6PP/R7 w - -,d4c4
1R3bk1/5p1p/2P3p1/5p2/KPn5/3r1PP1/7P/7R w - -,c6c7
5R2/5p2/P5p1/5k1p/4p2P/r3K1P1/5P2/8 w - -,e3e2
5k2/p4Bb1/1r5p/2p3p1/8/2P3N1/PPR3PP/6K1 b - -,f8f7
r2q2k1/3n2bp/n2p1pp1/p2P1P2/Np2r3/4BN2/1P4PP/R3QRK1 w - -,f3d2
brr1q1k1/5pbp/1p4p1/p1np4/P3n3/3NPN2/QPR1BPPP/3RB1K1 w - -,d3c5
r1r3k1/5ppp/4p3/ppqpP3/4RP2/2P1Q3/PP2B1PP/3R2K1 b - -,d5e4
1rb2k2/p3q1pp/2Q1Pr2/2p2p2/8/1B6/P4PPP/3RR1K1 w - -,e1e5
8/R5p1/5pk1/1p1b3p/p2B1K1P/2P3P1/5P2/2r5 w - -,a7a5
r1q1kb1r/p1nn1p1p/2Q5/2pN1Np1/2Ppp3/6P1/PP1PPP1P/R1B1K2R b KQkq -,c7d5
1r3rk1/p4pbp/B1ppp1p1/4P2n/5P2/q1N1BQ1P/P1PK2P1/1R5R w - -,f3c6
4r3/k3r1p1/ppR1R3/3K3p/PP2P2P/8/6P1/8 b - -,e8d8
5rk1/2b1qrpp/2p5/ppPp3Q/3PpP2/2B1P2P/PP4R1/1K4R1 w - -,c3e1
r2Qk2r/pp2bppp/2p2n2/2n5/4P1b1/2N2NP1/PP3PBP/R1B2RK1 b kq -,a8d8
rnbqk2r/ppp2ppp/8/3pP3/7b/2P2N2/P1PPQ1PP/R1BK1B1R w kq -,d2d4
r7/3n1kb1/pp4pp/2pP1p2/2P1rP2/4BK1P/P4NP1/2R1R3 b - -,e4e8:e4e7
r2qk1nr/pp2ppbp/2p3p1/2p5/4P1b1/3P1N2/PPPN1PPP/R1BQK2R w KQkq -,e1g1:h2h3
5rk1/2n1ppbp/pq1p2p1/2nP4/R4P2/3RB2P/1P4P1/1N1Q2K1 w - -,b2b4
5k2/p2bq3/1p4Q1/8/4NP2/4K2P/8/8 b - -,d7h3
