1R6/1P4k1/1r5p/8/6PP/4p3/8/2K5 w - -,c1c2
8/6p1/5k1p/7P/3N2K1/8/3b4/8 w - -,d4f3
4r1k1/8/p3p1pp/1qpn1p2/2Rb1P2/PP3R2/6PP/4Q2K w - -,e1h4
8/p3R3/2b2k2/7n/3p3P/P5P1/2r5/1N4K1 w - -,e7h7
8/8/pk6/5R2/7p/1Pp5/P6r/3K4 w - -,f5h5
r2qr1k1/p1p2pp1/2p4p/2bpPb2/5P2/1P4P1/PB2P1BP/R2Q1RK1 w - -,b2d4
4rrk1/3nqpp1/1Pp5/3p1p2/p2P2p1/PP3PP1/2Q4P/2BR1RK1 b - -,g4f3
r1r3k1/3bpp1p/3p1bp1/pp6/3NP1P1/1P2BP2/PP1R3P/1KR5 b - -,c8c1
1R2b3/4kp1p/6p1/B2p4/P7/1P3P2/1r3KPP/8 w - -,f2e3
5rk1/2n1p2p/3p2p1/p2P1p2/q1PNn3/P3Q2P/4BPP1/1R4K1 w - -,b1b7
2r5/p4k1p/b4pp1/8/NN1pP2P/pP4P1/2r2PB1/4R1K1 b - -,c2c1
r2qkb1r/p2n1ppp/2n1p3/1p1pPb2/2pP4/2P2N2/PP1NBPPP/R1BQ1RK1 w kq b6,f3e1
6k1/pp5p/2nbp1p1/2p2p2/5PP1/2P1BB1P/PP2K3/8 b - -,g8f7
2b5/5Npp/pk2p3/1n1p4/3P4/2p1PP2/R4KPP/1r3B2 w - -,f1d3
2r2k2/p4p1p/6p1/2rpP3/5P2/3R4/P2R2PP/6K1 b - -,c8d8
r2qr2k/pppb2bp/3p1n2/3Ppp1n/2P2P2/1PN1B1PP/P2QN1BK/R4R2 w - -,a1e1
2rq2k1/p2p3p/1p1Pp1pR/2bn1r2/8/3Q1N2/PB3PPP/5RK1 w - -,f3h4
2r2rk1/p1qn1pbp/1pp1pnp1/8/1PPP4/1N1B1Q2/PB3PPP/3RR1K1 b - -,f8e8
r1q3k1/p2n2bp/1p3pp1/2nN4/2P5/1P3QP1/PB4NP/4R1K1 b - -,c8f8
1rbqrbk1/6pp/1pp1pp2/2P2n2/1PNP4/3BP3/1BQ2P1P/2KR3R w - -,c4b6
r1b1k2r/1p2bppp/p3p3/3q4/4BP2/8/PPPBQ1PP/R3K2R b KQkq -,d5b5
8/p1r5/2pRbkr1/2P1p2p/P3Pp2/5p2/7P/1R2B2K b - a3,f6f7
r2qk2r/pp3pb1/2n5/3pp1PB/8/8/PPP2P1P/R1BQK2R b KQkq -,e5e4
1R6/6pk/8/r1P2PP1/3K3p/1p6/8/8 b - -,a5a4
2rq1rk1/1b1nppbp/pp1p1np1/8/2PQ4/1PN1BNP1/P3PPBP/2RR2K1 w - -,d4h4
r2qkb1r/pp1bpppp/2n2n2/1Bpp4/5P2/1P2PN2/P1PP2PP/RNBQK2R w KQkq -,c1b2
