8/Pk3p2/6pp/4p3/1P6/6PP/4KP2/8 b - -,b7a7
8/1k6/6R1/1P6/1K6/8/8/2r5 w - -,g6g5
1r2qr2/1pnb1pbk/3p1npp/p1pPp3/2P1P3/PPNBN1PP/3BQPK1/1R5R w - -,a3a4
r1bqr1k1/1p1nbppp/p7/2p1p3/2P1P3/1P3N2/P4PPP/RNBQR1K1 w - -,b1c3
7r/p1pk1p2/2p1b3/2QpP1qp/2P3p1/P2B2P1/2P3PP/1R4K1 b - -,g5e5
8/2K5/8/1B3R2/7P/4k3/5p2/3r4 w - -,h4h5
r2q1rk1/1p1bppbp/p1np1np1/8/2PN4/1PN1P3/PB2BPPP/R2Q1RK1 w - -,d1d2
r7/pbP2Bkp/1p3bp1/8/8/8/PP4PP/3RR1K1 b - -,g7f7
1r1q1rk1/1p3ppp/3Q2n1/p2Bn1b1/3NPpb1/BP6/P1P1N1PP/R4RK1 b - -,e5d7
8/8/8/1p6/5k2/1PP2N1p/4K3/8 b - -,f4f5
1rb2rk1/5ppp/4qb2/p7/1N1P4/P7/1P3QPP/2KR1B1R w - -,d4d5
r4rk1/p1pq1ppp/2n1bb2/1p2p3/3pP2P/2PP2Q1/PPBN1PP1/R3K1NR w KQ -,g1f3
1r1r2k1/p4ppp/2p1p3/q1NpP3/1P1Q1P2/P1R4P/4b1P1/2R3K1 b - -,a5b6
6k1/pp3pb1/4b2p/P1qrP1p1/5p2/1Q3N1P/5PP1/4RBK1 w - -,b3b7
8/6k1/pp1Q1pp1/1q5p/1P3P1P/6P1/7K/8 b - -,b5e2
r2qrbk1/pb1n1p1p/1p2p1pB/3n4/3P4/P1NQ1N2/1PB2PPP/R3R1K1 w - -,h6g5
r1bqk2r/p4ppp/2p2n2/3Pp3/1b6/2NB4/PPPB1PPP/R2QK2R b KQkq -,c6d5
r1bqkbnr/pp1p1ppp/2n5/2p1p3/4P3/2N3P1/PPPP1PBP/R1BQK1NR b KQkq -,g8f6:g7g6
4k3/5pp1/4p1p1/4P1P1/6nP/1r4B1/4K3/6R1 w - -,g3f4
1r1r2k1/3b1p1p/2p1pp2/2bp4/p3PP2/1P1B2P1/P1P1N2P/1K1R1R2 w - -,e2c3
5Q2/6nk/1Nb5/1n2p1pp/2B1P3/4qP2/6PP/R6K w - -,c4f1
5rk1/1pQ2p1p/p3p1p1/3q4/3P1P2/P5P1/5P1P/5RK1 b - -,f8d8
r1br2k1/p1p1qpb1/1p3npp/4p3/2B1P3/2P2N1P/PP2QPP1/R1B1R1K1 b - -,c8b7
r2q1rk1/pb1p1ppp/1pn1pn2/2b5/2P2B2/P1N1PN2/1PQ2PPP/R3KB1R w KQ -,a1d1
8/2pk2p1/2n2p2/p1Pp1n1p/3P3P/1rP3P1/Rr1B1P2/R3NK2 w - -,f1e2
2b2k2/1p2r3/p1p2qpr/2PpPp1p/P2P4/1R1BP2P/3K1QP1/6R1 b - -,f6h8
2kr3r/1pqbbpp1/p1nppn1p/8/4PP1B/2NB1N2/PPPQ2PP/1K1R3R b - -,c8b8
rnb2rk1/1p1n1ppp/p3p3/8/3b4/3N2P1/PP1BPPBP/RN2K2R w KQ -,d2c3
3r2r1/pp3bbk/6pp/4npP1/2PPp2P/P3N3/1B2N1R1/R5K1 b - -,e5f3
r4rk1/1b2qnb1/3p1n1p/pNp2pp1/2P1p3/BP2P1P1/P2QNPBP/1R1R2K1 b - -,f8d8
5rk1/1r4bp/4b1p1/1pnN1p2/5N2/P1P3PP/1PB2P2/2KR3R b - -,e6f7
1R6/5pkp/b2Np1p1/p3P3/r4P2/7P/6P1/7K w - -,d6e8
6rk/q7/p6p/4R2P/2P1QP2/6p1/8/6K1 w - -,c4c5
3r4/1p3pkp/p1n2bp1/8/1P3QN1/r5P1/5PKP/4R3 b - -,f6b2
rn1qkb1r/pp2pppb/2p2n1p/4N3/3P3P/3B2N1/PPP2PP1/R1BQK2R b KQkq -,b8d7
r1bq1rk1/p3bppp/1p2pn2/3p4/1nPP4/1P3N2/PB1N1PPP/RB1Q1RK1 b - -,c8a6
