3Q1b1k/8/6P1/8/2PpBq2/p7/5P2/5K2 w - -,d8d4
r5k1/1pp2p1p/p2p3Q/3P4/4P3/6q1/PPP1Br2/6RK b - -,g3g1
8/1p1k2pp/4b3/3nPp2/PpNP4/1P4P1/2KB3P/8 b - -,d7c6
1r1r2k1/2pnbpp1/2n4p/pp2p3/4P3/1PP1B3/1PNNKPPP/R2R4 b - -,d7c5
6k1/4K3/6pp/5r2/8/2bQ3P/8/8 w - -,d3c3
r2r2k1/5ppp/2b1p1n1/pn2P1N1/4N1R1/2P5/1B2BbPP/3R3K b - -,d8d1
2r2rk1/pp2bppp/1qp1p1b1/3nP3/3PN3/P3P1N1/BP2Q1PP/2R2RK1 b - -,c6c5
2rr2k1/pb1q2pp/1p3b2/3pp3/1P1N4/PQ4P1/4PPBP/3RR1K1 w - -,d4c2
r1b2rk1/ppp1bppp/4pn2/3qN3/3P4/2PB4/PP3PPP/R1BQ1RK1 b - -,c7c5
r4rk1/ppp1ppbp/2n1b1p1/8/N2P4/4PN2/PP1nBPPP/R1R3K1 w - -,f3d2
2bk3R/pr6/2p1p3/2PpPp1p/KP3Pp1/3BP1P1/6P1/8 b - -,d8c7
8/8/8/7p/5K1P/5N2/r2Rk3/8 b - -,e2f1
r1bqkb1r/p2npp1p/n1pP2p1/8/2P5/P1N2N2/1P3PPP/R1BQKB1R b KQkq -,e7d6
8/k7/4p3/8/3n4/p3KP2/8/2N5 b - -,d4b5
3rr2k/pp4pp/4P3/3pRp1b/1B1P1P2/P6P/1P3K2/R7 b - -,b7b6
8/4r1kp/5n2/1p6/8/3nBK1P/2B2PP1/1R6 b - -,d3e5
8/2p3p1/1p3k1p/p1n5/P1PN1K2/1P5P/6P1/8 b - -,g7g5
r2r2k1/pp3pbp/4nnp1/1PPpB2q/3Pp2P/P1N2PP1/6K1/1R2QRN1 b - -,e4f3
5Q2/6rk/p1p2R1p/Pp6/4P3/1PKP4/2P5/6q1 w - -,f6f1
8/4n1b1/ppn1k2p/4ppp1/2P5/1N4P1/1PN1PP1P/2B3K1 b - -,a6a5
8/1Rr1qnk1/2Pp2pb/p2Brp2/P1PQ3p/7P/1P3BP1/5RK1 w - -,b7c7
5bk1/p3qpp1/2p4p/1pn1B3/P3PQ1P/1P4PB/2P2P2/6K1 w - b6,a4b5
1r3rk1/5pb1/1nR3pp/8/p2pP1b1/P2N1NPP/1P3PB1/3R2K1 b - -,g4d7
3r1rk1/p1qnbp2/2p2pp1/1p6/2p1PP1P/5NP1/PPQ3B1/3R1RK1 w - -,h4h5
2r2rk1/1b1p2pp/p3p1n1/5p1Q/2B1Pq2/1PB4R/1KP3PP/3R4 b - -,f4h6
2r5/7k/p5pp/P1pq1p2/4p2P/1PQ1P3/5PP1/2R3K1 b - -,h6h5
3rr1k1/ppq2ppp/2n5/1BPb4/2p1n3/4BN2/P1P2PPP/3RQRK1 w - -,f3d4
5R2/kb1K4/p5p1/1pN5/1P1P2P1/8/4r3/8 w - -,f8f7
8/3Bb3/1R3k2/P6p/1P2K1p1/r3P3/7P/8 b - -,f6g5
2r3k1/1pqbppb1/p1r4p/3p4/1P1P2p1/P1NBP1P1/2Q2PP1/2R2RK1 w - -,c3d5
3k4/8/2P1p1p1/NB1bPp1p/5P1P/6P1/4K3/6b1 b - -,d8c7
r2q2k1/1b3r1p/pn2p1pQ/1p3p2/2ppP3/P1N5/1P3PPP/3RKB1R w K -,e4e5
1rr2bk1/p1q1npp1/3p3p/P1pPp3/3P4/2P2N1P/Q2B1PP1/R3R1K1 b - -,e5d4
2rqr1k1/1R1nbppp/2p5/2PpP3/4N3/3NP2P/2QB1PP1/1R4K1 b - -,d5e4
r3r1kb/1p2pp1p/3p2pB/3Qn3/p1q1P3/5P2/PPP3PP/1KNRR3 b - -,c4b4
3rq2k/4b1pn/pp2p2p/2p1Pp1P/2P2PP1/1P5Q/P2r1N1K/2R1R1B1 b - -,f5g4
2r2k2/P4p2/1B4p1/3b4/1Kp2P2/2R3P1/8/8 w - -,c3e3
8/5p2/5kpp/8/8/rpP2KP1/1R3P1P/8 b - -,f6e5
r3k3/pq2pp2/1p1p3r/6Np/4P1pP/2RQ4/6P1/4R1K1 b q -,a8c8
r1br2k1/pp2ppbp/2n3p1/q2n4/P7/1B3NNP/1PPBQPP1/R4RK1 b - -,a5c7
rnbq1rk1/ppp3bp/3p2p1/5p2/2PNP1n1/2N5/PP2BPPP/R1BQK2R b KQ -,f5e4
3rrnk1/pb5p/3q1np1/bP1p4/N1p5/5P1B/PPQ1N1PP/R1B2R1K w - -,a4c3
rn2k2r/pp3ppp/2p2nb1/q1b5/2B2p2/2NP2N1/PPP1Q1PP/R1B2R1K b kq -,e8f8
r1bqk2r/4bpp1/pp1p1nn1/2pPp2p/P1B1P3/2P1BP2/1P1Q2PP/RN2NRK1 w kq h6,e1d3
1rb2rk1/pp3p1p/3qp1p1/3nN3/3P4/P2BP3/5PPP/R2Q1RK1 w - -,e5g4
6k1/5p1p/6p1/4b3/P3P3/1p4PP/1P3PK1/3B4 b - -,e5b2
8/3K4/1b1N1pk1/6p1/4P1P1/5P2/8/8 w - -,d7e6
6k1/3b2b1/p3p3/2P1P3/3N2p1/2N1P1P1/P2K4/8 b - -,g7e5
8/5p2/5p2/p1K4p/1p6/6Pk/PP5P/8 w - -,c5b5
rn2k2r/1bp1qppp/p2p1n2/2b1p3/2P5/5NP1/PBNPPPBP/R2QK2R w KQkq -,e1g1
r2qr1k1/pp3pp1/3p3p/2p1p2n/2P1P1b1/P1QP1PB1/1P1NR1PP/3R2K1 b - -,h5g3
5rk1/p1r1bppp/1p2p3/2ppN3/3P4/2P1P3/PP1K1PPP/R6R b - -,f8d8
rn1q1rk1/pp2ppbp/5np1/3p2B1/3P4/5B2/PPP2PPP/RN1QR1K1 w - -,c2c4
8/7p/2p2R2/p3P1k1/5N2/P3bp1P/1PK5/5r2 w - -,f4d3
8/8/1K5r/P7/2k5/8/1R6/8 w - -,b6a7
1k1r2r1/1ppq3p/p3b3/P3p1b1/2Pn2pN/3P4/1P2BBPP/R2Q1R1K b - -,d7e7
r3b1k1/4qn2/p2p1pp1/1p1P4/3P3Q/4NBP1/PP3P2/2R3K1 b - -,g8g7
5k2/3b1pb1/p2p2pp/1p1B4/4P2P/1Pr5/3N1PP1/5RK1 b - -,g7f6
rn1q1rk1/pbppbppp/1p2p3/8/2PPn3/2N2NP1/PPQ1PPBP/R1B2RK1 b - -,e4c3:f7f5
8/3k4/3b4/2BP3p/p3Kp2/7P/P7/8 w - -,c5d6
r4rk1/pp2bpp1/2nq1n1p/5N2/N1P3b1/1P4P1/PB4BP/R2Q1RK1 b - -,g4d1
rnbr2k1/pp2ppbp/5np1/q1PP4/5B2/2N2N2/PP1QPPPP/R3KB1R w KQ -,e2e4
8/p3r1kp/bp2p1p1/2p1P1P1/8/2P5/P1P3BP/3R2K1 b - -,h7h6
r5r1/1p3kbR/2p3p1/2n2p2/4pP2/1P2P3/1B1P2R1/1KN5 b - -,c5e6
