8/7R/1k4B1/8/3K4/5r1n/7p/8 w - -,h7b7
r2qk1nr/ppp4p/2np1pp1/3N2P1/2PP4/5P2/PP3P2/R2QKB1R w KQkq -,f3f4
8/1p6/p2k1n2/3p4/3P4/1P2P1PB/P7/6K1 b - -,f6e4
8/4kp2/6p1/4P1p1/pR1P4/P5P1/1P2r1PK/8 b - -,e7e6
r5r1/1p1b2qk/2n2pnb/p1p1p1pp/2PpP3/PP1P1PP1/3BNNBP/2Q2RRK w - -,f2d1
8/R7/6pk/6p1/P3BnP1/5P1P/r7/5K2 w - -,a4a5
r2q1n1k/pp6/2p4p/3p4/3P1r1P/7B/PP3P2/2RQR2K w - -,d1h5
1R3bk1/2PK1p1p/3n2p1/8/1P3p2/2r2PP1/7P/7R w - -,h1d1
8/8/4k3/1pr4p/3K1P2/1R5P/8/8 b - -,e6d6
5r2/3b1pk1/p2pNqp1/1p3P1n/2r1P2P/2N5/PPPQ4/2K3RR b - -,d7e6
r1b2rk1/ppp2p1p/2nq2p1/1Bb2n2/3pQ3/1P2PN2/PB1P1PPP/RN2K2R b KQ -,c8d7
r3k2r/pp1bpp2/3p1bp1/2p4q/2PnP2P/P2P1NP1/1P4B1/1RBQR1K1 w kq -,f3d4
r2qr1k1/2n2pbp/pp1p2p1/2pPn3/P3P3/2N4P/1PQ1BPPB/3RR1K1 b - -,a8b8
4bk2/7R/1r1p4/2pP2Pp/4P2P/8/3K4/3B4 b - -,e8g6
5b2/7p/4pkp1/4p3/2R5/3P2P1/1r3P1P/5BK1 b - -,f8d6
r1bq1rk1/1p3pp1/2p2n1p/p1b1p1B1/4P3/3B3P/PPPN1PP1/R2Q1R1K w - -,g5h4
3n4/7k/4p2p/1p1pP2P/p1pP2PK/P1P5/1P6/2B5 b - g3,d8f7
8/3k1p2/6p1/6P1/1R2pP2/1p2P3/2r5/2K5 w - -,c1b1
3q4/7p/p3p1pk/4p3/4Pn2/1PN4P/2P2QP1/7K w - -,f2e3
rn1bk2r/1b1q2pp/p2p4/1p1N4/4nN2/P3B3/1PP2PPP/R2Q1RK1 b kq -,e8g8
r1bq1r2/p1pnppbk/2p3pp/3n4/3P4/1N3N2/PP1B1PPP/R1Q1KB1R w KQ -,c1c6
r2q1rk1/ppp2pp1/2npbn1p/2bNp3/2P1P3/3P2PP/PP2NPB1/R1BQ1RK1 w - -,a2a3
8/nN1n3k/2pb4/2P2ppp/1P1p4/3P1B1P/5PP1/6K1 w - -,b7d6
r1bqk2r/pp2bppp/2n1pn2/8/2BN4/2P2N2/PP3PPP/R1BQK2R b KQkq -,c6d4
8/5bp1/1k6/4K3/1P6/3BP3/5P2/8 w - -,e5d6
2kr1br1/1p3p2/p1Nppp1p/q7/4P3/2N1Q1P1/PPP2P1P/1K1R3R b - -,b7c6
6k1/pp3pp1/2p2n2/4P2p/2P5/1P2P3/P3R1PP/3rN1K1 b - -,f6g4
8/4pp1p/5kp1/3P4/6PP/4KNb1/8/8 w - -,e3e4
7b/8/8/p2p1k1P/1p1p1Pp1/1P1K2P1/P6N/8 w - -,h5h6
b2r2k1/Q5pp/7q/3p2n1/1P2pr2/PBB5/5PPP/R2R2K1 w - -,a7e7
r2qk2r/ppp2ppp/1bnp1n2/1B2p3/N3PP2/3P1Q1P/PPP3P1/R1B1K2R b KQkq -,d8e7
1r1q1rk1/2pbppbp/3p1np1/n2P4/Np1N4/1P4P1/PB2PPBP/R2Q1RK1 w - -,a1c1
8/1P1n4/6k1/7p/7K/8/8/8 w - -,h4h3
6k1/2r4p/6pb/pr2pp2/2Np1P2/1P1P2P1/1P1R3P/R6K w - -,a1f1
r2qkb1r/pp1n1p2/3pbn1p/2p3p1/2P1PP1B/2N5/PP4PP/R2QKBNR w KQkq g6,f4g5
r3k2r/1p1qbp1p/p1n4B/3npQ2/8/1NP5/PP1N2PP/R3K2R w KQkq -,e1g1
8/N6k/3p4/6n1/3PPK2/4B3/1r3p2/8 w - -,e3f2
5rk1/1p5p/p2pp1p1/2p5/3n4/2NP4/PPP3PP/R6K w - -,c3e4
r2qkb1r/pp2pppp/2np1n2/7b/4P3/2PB1N1P/PP2QPP1/RNBR2K1 b kq -,d8c7
1r6/k1p4p/2P2p2/p1Pnp1p1/P3P3/5PP1/5K1P/3R4 w - -,e4d5
r2q1rk1/pp1bbppp/2n1pn2/2Pp4/3P4/2NB1N2/PP3PPP/R1BQ1RK1 w - -,a2a3
r4qk1/p2r3p/2N1R1p1/3p2Q1/2nP4/8/6PP/4R1K1 b - -,f8f7
r3b1k1/pq3p1p/1r1pp1p1/2n1b3/3BP2P/RBN2Q2/1PP2PP1/3R2K1 w - -,d4e5
rn2r2k/1pq3pp/p4n2/2P1pb2/8/1QP1BB2/P5PP/1R3RK1 w - -,b3b7
8/pp3k1p/4rpp1/2p5/1P1b1B2/P4P2/5P1P/3R2K1 w - -,f4b8
2r3k1/6pp/p3r3/1p1pb3/3p4/3P2P1/PPPB3P/4RRK1 b - -,c8e8
8/8/pBr4p/P2kp3/4p1Pp/2b4K/5P2/2R5 w - -,b6e3
3r2nr/p4Rbk/1p2P2p/3p1N2/2pP4/2P5/PP1B2K1/7R b - -,h7g6
2rq1rk1/1p1nbppp/p1n1p3/3p4/3P1B2/2NNP2P/PP2QPP1/R1R3K1 b - -,c6b4
3n2r1/1bpk3p/1p2p1nq/pP1pPpr1/P2P4/2PNQB1N/4R1PP/1R4K1 b - -,f5f4
8/5pk1/4p2p/pp2N1p1/2b3P1/r5PP/3K4/8 b - -,a3g3
1b6/kP6/2B4R/2r4K/7P/8/8/8 w - -,h5g4
1k1r3r/ppqb1p2/8/3pn1pp/8/2PB2NP/PP3PP1/R2QR1K1 w - -,d3e2
8/8/4k3/r4b2/3K1R2/1PP5/3N3P/8 w - -,c3c4
rn1qr1k1/pp3ppp/2pbbn2/3pp3/8/1P1PP1P1/PBPNNPBP/R2QK2R w KQ -,c2c4
8/R4pk1/4p3/p4p2/P5p1/1p2P1P1/1Pr2P1P/5K2 b - -,c2b2
r2q1rk1/ppp1ppbp/2n3p1/3P4/4P1b1/2B2N2/PP2BPPP/R2QK2R b KQ -,g7c3
1rr3k1/2qb1pbp/2np1np1/1pp2PB1/4P1P1/1PN1N2P/P5B1/2RQR1K1 w - -,g5f4
r2qkb1r/pppnpppp/5n2/3p1b2/3P3N/4P3/PPPN1PPP/R1BQKB1R b KQkq -,f5g6
rn3rk1/pp2qppp/2p1pnb1/8/PbBP1N1N/4P3/1P3PPP/R1BQ1RK1 b - -,f6d5
4r1k1/1Q5p/8/p1p3p1/P2q4/6P1/5PP1/5RK1 w - -,b7b5
r2q1r2/pp4kp/4pnp1/1bppNp2/3Pn2P/2P1QNP1/PP2PPB1/R4RK1 b - -,b7b6
8/6R1/2k3p1/5p1p/7P/5PP1/2r5/4K3 b - -,c6d5
r3kb1r/pp1qpppp/2n2n2/2pP4/2P5/5b2/PP2BPPP/RNBQK2R w KQkq -,e2f3
2r3rk/1q2bp1p/p2p4/B2Pp1p1/2P1NnP1/1P1Q1P2/7P/1RR3K1 w - -,d3e3
8/2k1b2p/p2p2p1/3Ppp2/P1N5/1P5P/5PP1/5K2 b - -,h7h5
r4rk1/bp1qnpp1/p4n1p/3p3b/3N1B2/1NP2PP1/PPQ3BP/R3K2R w KQ -,g3g4
rn2k1nr/ppq2ppp/2p1p1b1/4N3/3P2PP/P1b5/1PP1BP2/R1BQK2R w KQkq -,b2c3
8/3k4/1prnrp1p/3Rp1pP/p3P1P1/P1P1BK2/1P6/3R4 b - -,d7c7
8/8/2p3pp/1p1kPp2/p4PP1/P1PN3P/1P1nK3/8 b - -,d2e4
