8/1r5R/6n1/1kp1bKP1/2p5/8/1P1R4/8 b - -,b7h7
r3r1k1/pbqnbppp/1p2pn2/2P5/2P1N3/1P1B1N2/PB2QPPP/R2R2K1 b - -,b6c5
r1bqk2r/pp2ppbp/3p1np1/8/3QP3/2N3P1/PPP2PBP/R1B2RK1 b kq -,e8g8
r2q1rk1/pp4pp/1n1bp3/Nb3p1Q/3P4/2P5/PPBN1PPP/R1B1K2R b KQ -,b6d5
8/p4Q1p/2p5/2P5/4K1k1/P7/1P1qp3/8 w - -,f7f3
rnbqk2r/ppppppbp/5np1/8/8/P4NP1/1PPPPPBP/RNBQK2R b KQkq -,e8g8
r1bqrn2/1p3kp1/p2bpn2/2P4P/2P5/4PN2/PBQN1P2/R3K1R1 w Q -,c5d6
r1q1kb1r/1b1n1ppp/p3pn2/3p4/R1pP1B2/2PBPN2/1P1NQPPP/5RK1 w kq -,d3c2
1r6/3k1pp1/2n1pn1p/2Pp4/1r6/5NPP/2R2P2/R4BK1 b - -,f6e4
3r1rk1/1bpp2p1/np3q1p/3Ppp2/1PP2P2/4P1P1/N5BP/2RQ1RK1 b - -,e5f4
rnbqkbnr/pp3ppp/4p3/2pP4/3P4/6P1/PP2PP1P/RNBQKBNR b KQkq -,e6d5
r2qk2r/p1p2ppp/1pn1pn2/3p4/2PP1P2/2N3P1/PP1Q1P1P/R3KB1R w KQkq -,c4d5
r1bqk2r/pppn1p1p/2n3p1/3NP3/3P1Q2/8/PPP2PP1/R3KB1R b KQkq -,g6g5
1kn1r3/pp4pp/2pp4/P7/R3P3/1PqPN2P/2P2QP1/6K1 b - -,e8e5
r2qr1k1/1p1b1pbp/p2p1np1/n1p1p3/4P3/2PP1NNP/PPB2PP1/R1BQR1K1 w - c6,c1g5
8/1p5p/p5p1/1kPr1p2/1P2p2P/P1R1P3/4K1P1/8 w - -,h4h5
5k2/5p2/p1p1pP1p/2P1P3/4P3/P6P/3K4/8 b - -,f8e8
r3r1kb/2p1q2p/p2p2P1/1p1P2pP/n7/2P5/PPQ5/1KBR1B1R w - -,g6h7
8/1kp1r2p/p5b1/2R5/1P1K1B2/P2p2P1/3N4/8 w - -,d2c4
r2q1rk1/1ppb1ppp/2n1p3/p7/1npP4/2N2NP1/PP2PPBP/2RQ1RK1 b - -,a5a4
r2q1rk1/1bpnnpb1/pp1pp1pp/8/P1BPP2B/2N2N2/1PP1QPPP/R3R1K1 w - -,a1d1
r1bq1rk1/1p3pbp/3ppnp1/1R6/3BP3/2N3P1/P1PQ1PBP/4K2R w K -,e1g1
r3k2r/pp2ppb1/1qbp1np1/4n2p/2P5/1PN1N1P1/PB2PPBP/R2Q1RK1 w kq -,c3d5
8/8/3pk1p1/1r6/3R1K1P/4N3/8/8 w - -,e3c4
r2qr1k1/ppp2pbp/2n1b1p1/4p3/3P4/2P1PN1P/PPBQ2P1/RN3RK1 w - -,b1a3
8/p4kp1/7p/2p5/8/5bP1/Pr5P/R4KR1 b - -,b2h2
r1b1rnk1/ppq2pp1/2p2n1p/3p4/3P4/BP1BPN1P/P1Q2PP1/R2R2K1 w - -,f3e5
8/pRrkbp2/P3p1p1/3pP2p/2R2P2/4p2P/2n1N3/B6K b - -,d5c4
6k1/2p4p/pnb2pp1/2N2p2/1PP2P2/4r3/6PP/2R2R1K w - -,h1g1
3r2k1/p5p1/1pp4p/5b2/N1PbpB1P/1P1r2P1/P4P2/2R1R1K1 w - -,g1g2
r3r1k1/pp3pp1/2n4p/2p1P2Q/2PpPB2/8/bq1N1PPP/R1R3K1 b - -,c6e5
8/8/3kpp1p/1P4P1/3K1nP1/6B1/8/8 b - -,h6g5
rnbqkb1r/pp3ppp/4pn2/2p5/2Pp4/1P3NP1/PB1PPPBP/RN1QK2R b KQkq -,b8c6
7r/3R4/4ppk1/p1Pp4/r2N1Pn1/2P5/6K1/4R3 w - -,e1e6
r1bqr1k1/p4pbp/2p3p1/3p4/4P3/4BP2/PP2B1PP/2RQ1RK1 w - -,c1c6
r1r1q1kb/p2npp1p/1pnp2p1/8/2P1P3/1PN1BP2/P1NQ2PP/3RR1K1 b - -,d7c5
8/4Nk2/8/3p2p1/2b2bN1/2P2K2/8/8 w - -,e7f5
2r4k/pR5p/6p1/5p2/8/4PBP1/bP5P/6K1 w - -,h2h4
8/8/1Pk5/2P3N1/3K4/6P1/4b3/8 w - -,g5f7
8/3k3p/3P2p1/PN3p2/2K2p2/3n4/6PP/8 b - -,d3e5
8/4k1pp/p4p2/1p6/7P/6P1/1rBR1P2/5K2 b - -,h7h6
rn1q1rk1/p1p2ppp/Bp3n2/3p4/3P4/P1P1PP2/4N1PP/R1BQK2R b KQ -,b8a6
r1bq1rk1/1p1n1pbp/p4np1/2p5/2PNP3/2N3P1/P4PBP/R1BQ1RK1 w - -,d4e2
3R4/6pk/5p2/4p2P/R5r1/5b2/5K2/8 w - -,a4a3
1rbq1rk1/4bppp/p3p3/1ppnP3/4NP2/2P3P1/PP2Q1BP/R1B2RK1 b - -,c8b7
6k1/pp3pb1/q5p1/2r1p1N1/P1N2n2/1P1P4/4Q1PP/5RK1 w - -,f1f4
1R6/8/6P1/2r5/2k2K2/1p3P2/8/8 b - -,c5c7
2r2rk1/pq4pp/1p2p3/4P3/2P5/1Q2RbP1/PB3P1P/2R3K1 w - -,c1c3
8/8/8/8/2k5/1p6/8/1K6 b - -,c4c3
r1b1k1r1/1p4pp/pn1Bpp2/4P2Q/2q5/8/PPP1N1PP/2KR3R b q -,e8d8
3r2rk/1p1q1p1p/p1p2n2/3p2p1/1P1P4/4PP1P/1P4QP/1B1RR1K1 w - -,g1h1
1R6/5kp1/5p1p/P7/6P1/8/6K1/r7 w - -,b8b7
r1bqk2r/1p2bppp/pnn1p3/2p5/5B2/1BNP1N2/PPP2PPP/R2Q1RK1 w kq -,f1e1
1r2rnk1/4bppp/pq2pn2/2pp4/4PP2/3P1NNP/1PP3P1/R1B1QR1K b - -,b6c6
2r3k1/5p1p/4p1p1/2P1P3/1P3PP1/1q4QP/8/4B1K1 b - -,b3c4
r3r1k1/1pb2pp1/p2q2bp/3pn2n/P2N3B/2P2P2/1PB3PP/2RQRN1K b - -,d6d7
8/2p3pp/2nb4/1p1k4/3P4/1PB2N2/r1K1RPPP/8 w - -,c2d3
R7/3r2kp/4p1p1/3p1nP1/5P1P/5K2/5P2/8 w - -,f3g4
6k1/3qp1bp/1p1pp1p1/p1r5/P2pPPQ1/3P4/1PP2RPP/2BK4 b - -,g8f7
5r1k/5Qbp/7q/pP3pp1/P2Pp3/1B2P1P1/5P1P/2R3K1 w - -,f7e6
8/5kpp/p7/1p6/1Pb5/2B4P/2R1pKP1/3rN3 w - -,c2d2
r7/8/3P4/1R6/p4k2/P7/1P3K2/8 b - -,a8a7
1rb3r1/3pkp1p/2nNpp2/8/Pp6/4P3/1P1R1PPP/2K2B1R b - -,c6a5
r2q1rk1/4ppbp/1np3p1/1p6/p1bPP3/2P1B3/P1B1NPPP/R1Q1R1K1 w - -,e3h6
7B/4n3/8/3p4/2k5/4K3/8/8 b - -,e7f5:e7c6
r4k1r/1p1Q1pp1/p5q1/4p2p/7P/2NB4/PP1K1PP1/n6R b - -,g6b6
4r1k1/1R3ppp/8/2pp4/3Pr3/4P2P/P4PP1/4R1K1 b - -,c5d4
r1nq1rk1/pp1b1pnp/3p2p1/P1pPp3/2N1P1PP/2N5/1PPQBP2/R3K2R b KQ -,a8b8
r1b1k2r/pp2b1pp/1q2pp2/nP1pP3/3P2P1/P3nN2/4BP1P/RN1QK2R w KQkq -,f2e3
3q2k1/4pp1p/p5p1/1bP5/pP6/2Q2B1P/5PP1/6K1 w - -,c3e5
