8/8/1P1k4/3b1p2/3K1P1p/6pP/4N3/8 b - -,d5f3:d5g2
4r1k1/4bppp/2p5/ppp1BP2/P3N3/2Pr1P2/BP3PKP/4R3 w - -,f5f6
r2q1rk1/ppp1n1pp/2nb1p2/3p1b2/3P4/2PB1NB1/PP3PPP/RN1QK2R w KQ -,e1g1
8/8/1pk2p1p/p1B1p1p1/2P1P1P1/P1K2P2/7P/8 b - -,c6c5
8/1p4r1/p1pPk2p/2P3p1/PP2K1P1/4R2P/8/8 w - -,e3d3
r1b1k2r/1p1p1ppp/p1q1pn2/2b5/4PP2/2NBB3/PPP1Q1PP/R3K2R b KQkq -,d7d5
r2r2k1/1p2ppb1/6pp/2pnP3/p1b2N2/2P2NP1/PP3PBP/R3R1K1 w - -,g2f1
r1b1kb1r/p4ppp/2P1p3/8/2p5/5N2/1PK2nPP/RNB2B1R b kq -,f2h1
1r1r2k1/R1Qb1ppp/4p3/2q1P3/p7/5BP1/P2p1R1P/6K1 b - -,b8b1
5r2/1B4bk/p3Pp1p/1pq3p1/6N1/8/PP4PP/3R1R1K b - -,f6f5
1qrbk2r/1b1n1pp1/pp1p1n2/4pP2/1NP1P2p/1PN5/P2BQ1PP/1BR2R1K w k -,c3d5
r2q1rk1/1p2p1bp/2nppnp1/1N4B1/2P5/1B6/PP2QPPP/3R1RK1 b - -,d8c8
2q3k1/p4pp1/1p1bp2p/4N3/3PQ1P1/P4P2/1P2R1P1/2r3K1 w - -,g1f2
8/p5kp/r7/4R2p/1Pp5/2P2P2/P4P2/6K1 w - -,e5h5
4r1k1/2p4p/1p3np1/1P6/4PP1b/8/1rN1R1K1/5R2 w - -,e4e5
2r1r1k1/5b1p/2p3p1/p1qpbp2/P2N4/1R1QPB1P/2P3P1/5RK1 w - -,g1h1
4kr2/1p3p1B/p3bQ2/3q4/1n1P4/4p3/P4PPP/2R3K1 w - -,f2e3
r1bqkb1r/1p1n1ppp/p2ppn2/6B1/3P4/2PB1N2/PP1N1PPP/R2QK2R b KQkq -,f8e7
8/p1k5/5p2/1BP3pp/7P/P1K2bP1/8/8 w - -,c3b4
6k1/p4p2/4p2p/2p3pn/1PP5/P4P1P/3KNP2/8 b - -,c5b4
1q1rr1k1/1b1nbppp/pp1ppn2/8/2PNP3/1PN1BPP1/P4QBP/2R1R1K1 b - -,d7e5
8/6N1/1k6/5p2/8/3K1Pn1/2P4r/R7 w - -,g7e6
8/7p/6p1/3p4/2kPpp1P/4P3/3K1PP1/8 b - -,f4e3
r1bqrbk1/p2n1ppp/2pp1n2/1p2p1B1/3PP3/P1N2N1P/1PP2PP1/R2QRBK1 b - -,d8b6
