8/2N1k3/1K2P3/1p5N/1P4p1/8/5r1P/8 b - -,f2h2
4r1k1/5pp1/6qp/p2pr3/6P1/1P4Q1/P6P/3R1RK1 w - -,g3f3
r2k3r/ppqB1b1p/2n2p2/2Np2b1/1P1P2P1/P3PQ1P/8/R4RK1 w - -,a1c1
1r3rk1/1b3ppp/6q1/2p5/PpB1P3/2b2N1P/4QPP1/1R1R2K1 w - -,c4d5
r1bq1rk1/pppn1pbp/6p1/4p3/Q2PP3/2P1BN2/P4PPP/2R1KB1R b K -,c7c6
r4rk1/pq1nbppp/1p1ppn2/8/2PN1P2/1PN1P1P1/PB4KP/R2Q1R2 w - -,d1f3
r4rk1/1ppnqpp1/1b1p1nbp/3Pp3/1PP1P3/2N3PP/4NPBK/1RBQ1R2 b - -,f6h7
8/6B1/8/P1pk3p/4n1p1/4PK2/8/8 w - -,f3f4
7Q/5p1p/4p1k1/5qp1/8/2B5/1K5P/8 b - -,g6h5
5r2/1p3qpk/pBrpp2p/P3p3/4Pn1b/2N2R1P/1P1Q1PP1/3R2K1 b - -,f7g6
4k1Q1/5p2/3p4/2pPp3/1r2P3/6P1/1P5r/2KR4 b - -,e8e7
8/p3q2k/1n5p/2N1r3/1P4P1/2P5/Q4KP1/3R4 b - -,b6d5
r2qkb1r/pp1n1ppp/2p1pn2/3p3b/2PP1B2/3BPN1P/PP3PP1/RN1QK2R b KQkq c3,f8e7
3b2k1/pp3pP1/2p1p3/4N2P/1q6/8/PPP1QP2/1K6 b - -,d8f6
rn1qk2r/1ppbnpb1/p2p2pp/3Pp3/B1P1P3/4B3/PP1N1PPP/RN1Q1RK1 b kq -,f7f5
rnb2rk1/pp2ppb1/2pp1npp/7q/2PP1B2/2NQ1NP1/PP2PPBP/R3R1K1 b - -,c8h3
8/5p1p/p1k1p3/6p1/2P3P1/2K5/P2RrP1P/8 b - -,e2e1
2r1r1k1/1p2bppn/pq1Np1p1/2n1P3/P1B5/4B2P/1P2QPP1/2RR2K1 b - -,e7d6
8/7p/2p1k3/6p1/1n2p3/4K1PP/2P5/4N3 b - -,e6e5
2kr3r/1bpnq1pp/1p1p1n2/p3p3/P1PPP3/B1PBN3/4Q1PP/R4RK1 b - -,g7g6
8/5rk1/p3p1p1/7p/2P5/4q1NP/6P1/3QR2K b - -,e3g3
r4rk1/pb1pqppp/1p2pn2/8/1nPP4/1PN2NP1/4PPBP/RQ3RK1 b - -,d7d5
8/4k3/1n3p2/7p/1P3PbP/2NB4/5K2/8 b - -,e7e6
r1b2rk1/2q1bppp/p2ppn2/1p6/1n2PPP1/1NNBB2Q/PPP4P/1K1R3R b - g3,f6d7
1r6/5pk1/6p1/1p2K1P1/8/1R6/7P/8 w - -,b3b4
8/1P3p1k/2Q3p1/7p/7P/6P1/5PK1/1q6 w - -,c6d5
4r1k1/2q2pbp/3p2p1/p2P4/1rb1PP2/2N2QPP/1P4BK/R1B5 w - -,h3h4
k3r3/p1R1n2Q/1p3p2/1P1p3p/3PrB1P/6Pq/P4P2/2R3K1 b - -,e7c6
2r2rk1/1bqnbppp/pp1ppn2/8/P1PPNB2/2NB4/1P3PPP/2RQR1K1 b - -,c7b8
