2B5/4k2p/2K5/p4P2/2P5/7P/P2b4/8 b - -,d2f4
r2q1rk1/pbp1bppp/1pn1pn2/8/3PP3/P1N2N2/1P3PPP/RBBQ1RK1 w - -,h2h3
r1bqr1k1/3p1pp1/2p4p/pp4Pn/4P2B/1P2bP2/PPQ1N2P/1K1R1BR1 w - -,g1g2
r1b2rk1/pp1n1pp1/1b3n1p/q2p4/7B/P1N1PN2/1P1Q1PPP/2R1KB1R b K -,f6e4
r1bqkb1r/1p3ppp/p1nppn2/8/3pP3/2N2NP1/PPP2PBP/R1BQ1RK1 w kq -,f3d4
8/5k1R/8/5PK1/5P2/8/8/r7 b - -,f7g8
3br3/p3qkrp/1p1p1np1/2pP1Q2/2P2N2/PP2PPR1/3B3P/6RK b - -,g7g8
2r1n1k1/p2nqpp1/1pB4p/8/3P1B2/P4Q2/5PPP/R5K1 w - -,h2h3
r4rk1/3nppbp/b2p2p1/q1pP4/2N5/2N3P1/PPQ1PPBP/1RB1R1K1 b - -,a6c4
r1bq1rk1/pp2p1b1/2np2pp/2p5/2P3n1/P1NP1NP1/1P2PPB1/1RBQK2R b K -,g6g5
5q1k/5Qb1/p1r3np/3NpN2/2p1P3/6P1/P4P2/2R3K1 w - -,f7d7
8/2P5/b7/2Pk1N1p/p4K1P/P7/8/8 b - -,d5c5
8/pp2P3/4N1pn/2r3k1/3P3p/4K2P/PP6/8 b - -,g5f6
3rr1k1/5ppb/p2q3p/PpR2P2/1P6/2B1Q2P/6PN/5BK1 w - -,e3f3
3nr1k1/1r3ppp/pQ1Bq3/1p2PP2/1P6/8/1P4PP/2RR2K1 w - -,b6b7
r3kb1r/pb3ppp/1qp1pn2/1p6/3P4/2N3P1/PPQ1PPBP/R1B2RK1 b kq -,a7a6
r3r1k1/pp1nbppp/2qp4/2pR4/2P5/1P2BN1P/P1P1QPP1/2KR4 b - -,d7f6
rb2br1k/1p4p1/1nn1pq1p/pN1pN3/P2P4/4B1P1/1PQ1BP1P/R4RK1 w - -,f2f4
