1Q6/7p/4k3/4q1p1/4p3/3rp1R1/6PK/8 w - -,b8e8
k5rr/pbqn4/2n1pb2/3p4/3P2p1/P3B1P1/4QPBN/1R2RNK1 b - -,c6d4
3k3r/4pp2/3n2p1/p2P3p/1b6/1B3P2/P5PP/2R3K1 w - h6,c1c6
rnqk1b1r/p2pp2P/1p3nQ1/2p3N1/3P1P2/3B4/PPP4P/RNB1K2b b Q -,d8c7
1R6/3q2pk/p2P3p/2pQ1p2/2P2P2/6P1/4r2P/6K1 b - -,h7g6
2K5/1P2Q2p/7k/q7/8/8/8/8 b - -,a5c3
3rRbk1/pq3p2/1nn3pp/2p5/2P5/2Q2pPP/1PP2PB1/R1B3K1 b - -,d8e8
r2r2k1/1p1nqppp/2p5/p2p4/1b1Pn3/1P1QPNN1/P4PPP/RR2B1K1 b - -,d7f6
8/6p1/3k1b2/1P5P/3pK3/1r1B2P1/2R2P2/8 w - -,f2f4
7k/2q1r1b1/1p5p/1PpBp1p1/2P5/2BPP1P1/7P/5QK1 w - -,f1f5
r4r1k/1b4p1/p3p2p/5p1P/3p1PB1/1P4NQ/q1PR2P1/3R2K1 b - -,f5g4
1r1q1rk1/pbp2pp1/1p3b1p/8/3P4/2PQ2P1/P1P1NRBP/1R4K1 w - -,g2b7
2r1r1k1/pp3ppp/1qn1b3/8/3pn3/3NB1P1/PP2PPBP/2RQ1RK1 w - -,e3f4
rnbq1rk1/ppp3bp/3ppnp1/5p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,f1e1:d1c2:b2b3
r1bqk2r/p3bppp/1pnppn2/8/4P3/4QN1P/PPP1BPP1/RNBR2K1 b kq -,d8c7
2r1r1k1/1p4np/p2p2p1/3P4/P2QBP2/6qP/1P6/R2N1RK1 w - -,e4g2
r5k1/2p1rppp/1p1p4/p1nP4/4PP1q/2Q2R1P/PP4PK/1B2R3 w - -,g2g3
3r2k1/pb1r1pp1/1p1Np2p/2qnP3/8/P4P1P/1P1Q2P1/RB2R2K w - -,b1e4
r7/1p3pkp/1q1p2p1/1P1P2P1/5P2/pP1Q4/Pb2R2P/1K2R3 w - -,f4f5
r1bR2k1/pp2bpn1/2q1p1pp/8/2P3PP/P1B2N2/1PQ1BP2/1K5R b - -,e7d8
8/k7/4R3/1p3p2/p5p1/4K3/6PP/8 b - -,a4a3
1rbq1rk1/p1nnppbp/1p1p2p1/2pP4/P1B1P3/2NQ1N1P/1PP2PP1/R1B2RK1 w - -,a1a3
r3r1k1/1p3ppp/pqpBbb2/4p3/NP2P3/6Q1/P1P2PPP/3R1RK1 b - -,b6b5
8/3R1ppk/1p5p/4b3/4N2n/1r2B3/2r2PP1/5RK1 b - -,h4f5
8/1Bp5/p6p/8/PPk3b1/6P1/5K2/8 w - -,b7a6
8/pp3p2/2kr1p2/3Np1bR/4P2P/8/PPP1K3/8 b - h3,g5c1
r1bq1rk1/1p1nbppp/p2pp3/8/3nPPP1/2N1B3/PPPQB2P/2KR3R w - -,d2d4
2r3k1/p1rn3p/1pp1q1p1/3N1p2/3p4/1P1QP1P1/P1RN1P1P/2R3K1 w - -,d2f3
rn2k1nr/1bqpbppp/p3p3/1p6/4PP2/1NNB4/PPP1Q1PP/R1B2RK1 b kq f3,g8f6
