8/4kp1p/p5p1/3Pp3/bP4P1/7P/4BPK1/8 w - -,e2a6
8/6pk/1p3rn1/p1b5/P1Q4p/1P4nP/3P2PK/4R3 b - -,f6f4
rn4rk/pbp2p2/1p2p2p/8/3PN2q/2b3P1/PP3P1P/R2QRBK1 w - -,b2c3
8/ppk1r3/7R/8/PP4Rp/3K1PbP/6P1/8 b - a3,a7a6
rnb2rk1/p5b1/2pqp1Q1/2Nnp1Bp/1pBP2P1/8/PP4PP/R4RK1 w - -,f1f8
1r3rk1/p1p2ppp/2bp2n1/2p3R1/2N1P3/1PP2P2/P1K2P1P/3R1B2 b - -,f7f6
r3k2r/pp2b1p1/1q1npn2/3p1p2/1P1P1R2/P1NBP1P1/7P/R1B2QK1 b kq -,d6e4
rnbq1rk1/ppp1b1pp/3p4/3P4/2BNp3/2P5/PP3PPP/R1BQK2R w KQ -,d4e6
2r3k1/1b3pp1/pq2p2p/1pn5/8/4PNP1/PP1Q1PBP/2R3K1 w - -,b2b4
3r4/2q1b1kp/2b2pp1/n1pnp2P/1p2N3/2PP1N2/BP3PP1/2BQR1K1 b - -,g6g5
4r2k/pp3r1p/2ppRn1B/5p2/1qP2P1R/2bQ2PP/P5B1/7K w - -,e6e8
2q1r1k1/1p3p1p/1r1p2p1/pPn5/1n2PP2/1PN1R1PP/1R6/3Q1B1K b - -,d6d5
q4rk1/1bppbppp/2n5/3np3/1p2P3/1B1P1N2/1PP2PPP/2BQ1RK1 w - -,b3d5
r1b2rk1/4q2p/p1N3pR/3pPp2/1p2nP2/1P1B4/1PP4P/2KR2Q1 b - -,e7g7
r2qk1nr/ppp3b1/2npb1pp/4pp2/2P5/2NP1NP1/PPQ1PPBP/1RB2RK1 b kq -,g8f6
8/7p/5k2/5p2/3N2pP/1Pr5/3r2P1/1R4K1 w - -,d4b5
r1bq1rk1/ppp1bppp/3p1n2/n3p3/2B1P3/2NPBN1P/PPP2PP1/R2QK2R w KQ -,c4b3
b4r1k/8/1Q4pp/1P1n1n2/3p1q2/5P2/1N3BPP/R4BK1 w - -,b6c5
2r5/1p2k2p/4bp2/1pP4P/3qP3/2R5/p4PP1/R1Q3K1 b - -,b5b4
1r4k1/5p1p/1q3np1/2b1r3/8/P1B5/1P1R1PQP/1B1R2K1 b - -,e5e7
r2q1rk1/1Q1nb1pp/1p1p4/4pp2/P3P3/1NP2P2/1P2N1PP/R3K2R w KQ f6,e1g1
3r4/R2pk1p1/4p3/4P1Pp/p4p1P/rP3P2/P2R1K2/8 b - -,e7e8
6r1/1p2p2k/p1p2b1p/8/1PP1bN2/7P/1q2Q1P1/R3R1K1 b - -,b2e2
8/4qbk1/3p1rp1/p2B3p/2P2Q1P/1P4P1/P2R1P1K/8 w - -,f4d4
r2qkb1r/pp1n1ppp/2p1pn2/8/3P4/2N1BQ1P/PPP2PP1/1K1R1B1R b kq -,d7b6:f8d6
6k1/np4p1/4p2p/2PpPp1b/p2P1P1P/PqQ3P1/1B5K/6N1 b - -,a7c6
3r2k1/5pbp/3P2p1/prp1B3/4n3/4PN1P/1P3PP1/R4RK1 w - -,f1d1
r3qrk1/p5pp/bp2p3/n1p1PpB1/2P5/1BP4P/P3QPP1/3R1RK1 b - -,f5f4
8/8/6kp/7R/6P1/1r6/5PK1/8 w - -,h5c5
5r2/1R6/6pp/4Np1k/n3pP2/4KnP1/3RB2P/2r5 b - -,a4c3
2rr3k/pp2b1pp/1q2pnb1/3p1p2/3P1B2/P1NQ1PP1/1P2P1BP/1R1R3K b - -,f6h5
r3k3/2p2pp1/p1p1q2r/2BpPb2/1P3P1p/P1P2Q2/5RPP/R5K1 w q -,a1a2
8/1r1k1n2/2p1rp2/1pBp2p1/pP1P1PNp/P1R1PPnP/2R2K2/8 w - -,f4g5
3r1rk1/ppqnbpp1/4p2p/2p4P/2PPQ3/2B2N2/PP3PP1/1K1R3R b - -,d7f6
r2qr1k1/pb3pp1/1p1b1n1p/2np4/8/P1NBPN1P/1PQB1PP1/R3R1K1 w - -,d3b5
8/8/3Q4/2pPp3/2P5/8/3q3k/5K2 b - -,d2d1
3r1rk1/p4ppp/5n2/1pq5/2Np4/1P1R1PP1/PQ3P1P/5RK1 w - b6,c4a3
r1b1rnk1/bpq2ppp/2p2n2/p3p3/P1P1P3/1N3NPP/1PQ2PB1/R1B1R1K1 b - -,c6c5
r2r2k1/p3nppp/1ppqpn2/8/2pP1P2/1P4PB/P2QNP1P/R2R2K1 w - -,b3c4
r1b2r1k/2p1q1pp/1p6/3Pp3/p1P1Pp2/P2NQP2/6PP/R1R3K1 w - -,e3f2
2kr1b1r/ppp3p1/1nn5/4N3/7p/PP1P2Pq/1B2PP1P/R2Q1RK1 w - -,e5f3
r1b1kb1r/Npp3pp/3q4/1B1p4/4n3/8/PPPPQPPP/R1B1K2R b KQkq -,e8d8
R7/p4k2/1p1b2r1/2p2ppp/P7/1PBP2P1/2P4K/8 b - -,h5h4
r4rk1/1p1bb1pp/1pp1pn2/3p4/P1PPp3/1P2P1PB/3BNP1P/R4RK1 b - -,g7g5
r1bqkb1r/1p1n1ppp/p2p1n2/2pPp3/P3P3/8/1PP1BPPP/RNBQK1NR w KQkq -,b1c3
8/1pp5/3pn1k1/Pp2pr1p/7R/2P2PK1/8/1R6 w - -,b1b5
b3rrk1/p4q1p/2p1ppp1/P7/3PpP2/4P1RB/1PQ2P1P/6RK w - -,h3g2
r1b2rk1/ppq2ppp/4p3/3n4/2B1Nn2/1P3N2/P1PQ1PPP/R2R2K1 w - -,f3d4
r1b2rk1/pp2pp2/6pp/2PQ2N1/3n4/5B1P/P2q1PP1/1RR3K1 w - -,c1d1
n7/P4k1K/6p1/4Bp2/2p2P2/6PP/8/8 b - f3,a8b6
1r2r3/pp2b1k1/2p3p1/3n1p1p/3pN3/PN1P2P1/1PR1PP1P/4R1K1 w - f6,e4d2
r2r2k1/1pR2p1p/pQ4p1/4p1N1/8/3RP3/1P3PPP/1q3BK1 b - -,d8d3
1k1r1bnr/pp1b2pp/1q2p3/n2pPp2/2pP3P/P1P2NPB/1P3P2/R1BQKN1R w KQ -,f1e3
8/1brnrpkp/pppR1np1/4p3/PP2P3/2N4P/B1PN1PP1/3R2K1 w - -,f2f3
r1b3k1/1pq2rbR/3p1ppB/p1nPp3/P3P1P1/2N3Q1/1PP1BP2/2K4R w - -,h6g7
r1bqk2r/p1p2pp1/1p1p1n2/4p2p/2PPPn2/2P2P2/P2N1BPP/R2QKB1R w KQkq -,h2h4
rnbqkbnr/pp3ppp/4p3/2p5/3pP3/3P2P1/PPP1NP1P/R1BQKBNR b KQkq -,b8c6:e6e5
2r1rbk1/5ppp/1n1p4/2qn1PP1/1p2p3/1P2N3/2PBQ1BP/R4R1K w - -,e3d5
r3kb1r/p1p2pp1/2p5/4P2p/4P3/2P2bP1/P1P1N2P/R1B1K2R w KQkq -,h1f1
1R3b2/r4pk1/4p1p1/2p1P1Bp/2Pn4/1p6/5PK1/3R4 w - -,g5f6
8/8/1Nkp2P1/P1n5/2P5/1pK5/8/8 b - -,c5e6
r1b1qrk1/1p2b1pp/n1pp4/p3p3/2PPp3/1P2P1PP/P2B1PBN/R2Q1RK1 w - -,d2a5
r3r1k1/ppq2pNp/2pp1np1/8/1Pb1P3/P1N1B1PP/5P2/R2QR1K1 b - -,g8g7
rnb2rk1/2q3bp/p3pnp1/1Ppp4/P3P3/N1N2P2/1P1B2PP/R2QKB1R w KQ -,e4d5
1r3r1k/pp4pp/3b4/3p1p2/3Pq2P/5Q2/PP1B1P2/2R2K1R w - -,f3e4
r4rk1/pp2ppbp/6p1/n4b2/3P1B2/4PN2/P3BPPP/R4RK1 w - -,f3d2
8/3k2p1/3p4/2pK2pP/3pP3/8/r1P5/2R5 w - -,c1g1
1rbq2k1/2p2p1p/p4np1/2PP4/1p1Q1P2/1P4PP/P2Nr1B1/2RR2K1 b - -,d8e7
1qr1r1k1/1bbn1ppp/pp1ppn2/8/1PP1P3/1NN1BP2/P2Q2PP/2RR1B1K w - -,e3f4
Qr6/2k2p1p/1p2p3/2pp1p2/1q6/6P1/P3PP1P/5BK1 w - -,a8a7
2b2rk1/q4pp1/p2Q1n2/6Np/5P2/1P4nP/P4R2/3R2KB w - -,d6d4
r1q3k1/pb2bppp/1pn1p3/3r4/5P2/PN2B1Q1/1PP1B1PP/3R1RK1 w - -,d1d5
8/5ppk/4p2p/p7/8/PRK2b2/2P2q1P/2Q5 b - -,f3d5
2b2k2/p1nq3p/1p1p4/2pP3Q/P3rP2/1PB4P/R6K/8 w - -,h5h6
3q1rk1/1b1rbp1p/p2p2p1/1p1NpP1n/4P3/P2BB2Q/1PP3PP/4RR1K b - -,b7d5
r2qk2r/p2nbppp/1p2p3/2p5/3Pb3/2P2N2/PP3PPP/R1BQR1K1 w kq -,e1e4
rnbqkbnr/ppp2p2/3pp3/4N2p/3P2p1/6PP/PPP1PP2/RNBQKB1R w KQkq -,e5d3
r2r2k1/1pqn1pb1/4p1pp/p1pp1n2/2PP1P2/PP3NP1/1B2QPBP/1R1R2K1 b - -,d5c4
1Q6/1pp4p/pkqb4/8/3p2B1/2P1r3/PP1R2PP/5RK1 b - -,d6h2
3r1rk1/pbq1bppp/1pnppn2/2p5/4PB2/1BPP1N2/PP1NQPPP/3RR1K1 b - -,b7a6
8/1pk3r1/2p1Bp2/p3p2P/5bP1/2P2K2/PP3P2/3R4 b - -,g7e7
8/p2bkp1p/6p1/2p5/4PP2/P5P1/5K1P/5B2 b - -,d7e6
1r3rk1/pPp1q1bp/3p2p1/1bPPp3/6P1/B3QP2/P5B1/R4RK1 w - -,c5c6
8/3k4/8/5K2/2n1r3/5R2/8/8 b - -,c4d6
r1bq3r/p3b1kp/1p2pp2/3n1NpP/3P4/P2Q1N2/1P3PP1/1BBRR1K1 b - -,e6f5
6k1/rp3ppp/pP1p1qr1/2pP4/5P2/2P1PB1b/6PP/R2Q1R1K b - -,a7a8
rn1qr1k1/3b1pb1/3p2pp/pB6/Qp1PpP2/4B1N1/PP4PP/2R1K2R w K -,f4f5
r5k1/p5p1/2p1br2/2BpRp1p/1R6/3P4/PPP2KPP/8 w - h6,b4b7
r1b3k1/1p2nr2/2p4p/2PpPpp1/p2N4/3B4/1P3PPP/R3R1K1 w - -,d3c2
5rk1/2p3pp/1p1p1q2/r3Ppn1/p1P5/P3PP2/1PQ1R1PP/3R1NK1 b - -,d6e5
3r4/4nkpp/3R1p2/p1pB1P2/1pPp1PPP/3P4/P7/6K1 b - -,e7d5
r4r1k/1pq1bppp/p2pbn2/4n3/3NPB2/2N3Q1/PPP1B1PP/3R1R1K b - -,a8c8
1r1qnrk1/1ppbn1b1/p2p4/2PPp1pp/1P2Pp2/2N2P2/PN1QBBPP/2R1K2R b K -,f8f6
3rr1k1/1pp2ppp/p1n5/1Np1q3/4P3/2P2BPb/PP2QP1P/R3R1K1 w - -,b5a3
r4rk1/1b2qppp/p3pn2/1pb5/8/1P1BPN2/PB2QPPP/2R2RK1 b - -,a8c8
4N3/p3qp1p/2Q1n1pk/1P2p3/N2bP3/5PP1/6KP/8 w - -,e8d6
3q1rk1/r4pp1/1p2n1np/2ppPQ2/3P2N1/P1P3P1/7P/R1B2RK1 b - -,c5d4
3rk3/1p2r1bb/p2p1p1p/3Q1N2/3P4/5P2/PP4PP/R5K1 b - -,h7f5
1r3k1b/1p5p/p5nr/P1p1PpRN/3p3q/3P2R1/1PPBQ2P/6K1 b - -,f8e7
r5k1/pp1q1ppp/2n2n2/8/3p1B2/P2B4/1PPQrPPP/R5K1 w - -,d3e2
8/7p/2k1p1pP/1p1pPbP1/p1pP4/P1P5/1P2B3/2K5 b - -,c6b6
r3k1r1/ppp5/2n4q/3nP3/Q2p4/5bB1/PP3PPP/R4R1K w q -,g2f3
3r1r1k/1p2qp1p/p2p1Rp1/3Pn3/P6Q/3B4/1PP3PP/5RK1 b - -,e5d7
8/8/8/8/1bk2B2/p7/4n3/K7 w - -,f4e5
r3k2r/4qppb/p2np2p/3p4/Pb1P2P1/1B5P/1PPBQP2/1K1R2R1 w kq -,d2b4
r2q2k1/1p3p1p/6p1/p1br4/3p1Q2/3B1P2/PPP3PP/R3R1K1 w - -,e1e2
7r/6k1/1p4P1/p1n1Q3/2P3r1/1P3p1N/P3P3/5K2 b - -,g7g8
n7/3b4/1p1p4/1PpPp1k1/2P1P2p/2N2KP1/8/5B2 w - -,g3h4
5rk1/p2nrpq1/1p1p2p1/1PpPn2p/2P1PR1P/P1N4Q/4B1P1/5RK1 w - -,h3g3
4r3/p3qppk/1pPb4/8/8/5QP1/PP3P1P/3R2K1 w - -,f3d3
