5R2/3PK1r1/8/7k/6p1/8/8/8 w - -,e7f6
r2qk2r/pp1bbppp/2n2n2/1B1p4/3N4/8/PPP2PPP/RNBQR1K1 w kq -,b1c3
rnbqkb1r/pppp1ppp/8/4P3/2P3n1/2N5/PP2PPPP/R1BQKBNR b KQkq -,g4e5
rnbqk2r/pp3ppp/2p1p3/3nP3/P1pP4/2P2N2/3B1PPP/R2QKB1R b KQkq -,b7b5
8/r7/P4p2/2K3p1/4P1k1/R5P1/8/8 b - -,a7a8
1r1q1rk1/p1n1p1b1/1p1p2pp/5p2/1PPp4/P2P2P1/1BQNPPbP/1R3RK1 w - -,g1g2
1qr2k2/1b1n1ppp/p2pp3/Np6/1P2P3/2RPBP2/P1Q3PP/7K w - -,h2h3
r4kr1/p4p2/np2p3/2pp4/3P3N/P1P5/2P2PP1/R3K2R w KQ -,h1g1
2b3k1/1pp1qpn1/3p2p1/3Pr3/1PP1PQP1/2NB1RK1/8/8 w - -,g3f2
r1b2rk1/pp4pp/1qnbpn2/3p4/3P4/2BB1N2/PP3PPP/R2QRNK1 b - -,c8d7
r1q2rk1/pb1n1ppp/1p2p3/2bn4/Q3N3/5NP1/PP2PPBP/R1BR2K1 w - -,e4c5
r2q1rk1/1bpnppbp/p2p1np1/8/Pp1PPP2/3BBN1P/1PPN2P1/R2QK2R b KQ -,c7c5
6k1/8/2p4p/3p2p1/3PN3/1P4P1/P2Q1K1P/7q b - -,d5e4
r1b2rk1/ppq1npbp/3pp1p1/2p3B1/1P1nP3/2NP2P1/P1PQNPBP/1R3RK1 b - b3,c5b4
1r3rk1/1bpnqpbp/pp1p1np1/8/2NPp3/1QP1P2P/PP1NBPPB/R4RK1 w - -,a2a4
1k1r3r/5p2/2n1p1p1/3pP3/2pP1PP1/1bp1N3/1P3RB1/4R1K1 w - -,b2c3
8/5kpp/5p2/1Nq5/1pB5/1P2R1P1/5P2/6K1 b - -,f7g6
8/7k/4p2p/pp1pPn1P/2pP4/P1P2Kp1/1P4P1/2B5 b - -,f5g7
rn2kb1r/pbq2ppp/2p1pn2/1p2N3/P1pP4/1P4P1/4PPBP/RNBQ1RK1 b kq -,c4b3
r1bqkbnr/ppp1pppp/2np4/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq -,g8f6:c8g4
8/8/4p3/P7/K4nk1/2R3p1/8/4r3 w - -,a5a6
r1b1kbnr/pp2pppp/2p5/8/2Pq4/3P4/PP3PPP/RNBQKB1R w KQkq -,b1c3
r3k2r/pp1n1ppp/2p3b1/q2p4/1b1P2QB/2N1P3/PP2NPPP/2KR1B1R w kq -,f2f4
1r1q2k1/4npp1/4rn2/p2pP2p/2pP4/PpP2P2/4RNPP/1QBR2K1 w - -,f2h3
3r1rk1/p1q1np1p/1pnp1Qp1/8/2P1P3/1P3BP1/P3KN1P/2R4R b - -,c6e5
4r1k1/5ppp/1qnB4/1p6/2b1P3/4RN1P/r4PP1/1Q1R2K1 b - -,e8a8
2r1r1k1/5pp1/1p2pn1p/pNb1q3/2P1P3/P6P/4QPP1/3RRB1K w - -,g2g3
rn1r2k1/pp2ppbn/2p3p1/5bPp/3PNP2/4BN2/PPPKB2P/3R3R w - -,e4g3
4r1k1/1p4bp/1p6/5r2/5PP1/PP6/7P/3R1RK1 b - -,f5c5
6n1/1kqb1rrR/1p1p2p1/p1pP1pP1/P1P1pP1R/1PN1P3/3K2B1/7Q b - -,d7e8
2r2nk1/1pq1bpp1/p3b2p/P2rp3/8/3NBP2/1PPQB1PP/R2R2K1 w - -,d1c1
1r2n1k1/3Q4/4Pp1p/pp6/1p3p2/1P5P/Pq3PP1/3R2K1 w - -,d7f7
r1b2rk1/pp3pbp/1q4p1/3p4/3P4/1Q2B1P1/PP3PBP/R4RK1 b - -,c8e6
