8/4r1kp/2R1P1p1/1N6/4n3/7P/6P1/6K1 b - -,e7b7
2r1r3/2RRP2p/4kbp1/1pB2p2/5P2/1P2P3/5P1P/5K2 w - -,d7d6
6k1/6p1/q2p1r1p/2bPp2P/4P1Q1/5NP1/3R2K1/8 b - -,a6a1
7Q/1pp1kp2/p3p3/4n3/8/P3P2R/1P3P1P/1q2K3 w - -,e1e2
rnb2rk1/pp2ppbp/2pp1np1/q7/2PP4/5NPP/PP2PPB1/RNBQ1RK1 w - -,b1c3
8/8/bp3p1p/p2kp1pP/4B1P1/bP2PP2/P2B4/3K4 b - -,d5d6
8/5p2/4bkpp/8/7P/1p1B1P2/1P2RKP1/r7 w - -,d3b5
8/8/4kp2/3np1p1/3bB1P1/3K1P2/3B4/8 b - -,e6d6
7r/8/1p2p3/p2kN1p1/P1pP4/2n1P3/2P3K1/R7 b - -,h8h7
1rq2rk1/2pn1ppp/3p1b2/1p1P4/4Ppb1/1BP2N2/1P1N1PPP/R2R1QK1 w - -,d1b1
r1b2rk1/p3bppp/2p1pn2/q7/PnBPP3/2Q2P2/3B2PP/RN2K1NR w KQ -,g1e2
r5k1/1pqbrpp1/2pp1n1p/p1n5/2PNPP2/1PQ1R1PP/P2N2B1/4R1K1 b - f3,a8e8
2r1k2r/1q1n1pp1/B3p1p1/6P1/1p3P1P/P1B1P3/2Q5/1K1R3R b k -,b7a6
r3r1k1/1b2nqpp/p3Rp2/1p3P2/3P4/6BB/2P2QPP/R5K1 w - -,h3g4
r2q1rk1/1p2b1pp/1nn1bp2/p3p3/2N5/P1NP2P1/4PPBP/1RBQ1RK1 b - -,b6c4
5rn1/3P1q1k/ppN1R3/2p2pp1/P7/2PP4/4Q2P/6K1 b - -,f7d7
r4rk1/pp2pp1p/5qp1/3P4/3R4/1P3BP1/P2Q1P1P/2R3K1 b - -,f6f3
b1r3k1/2nq3p/p2p2p1/2pP1pP1/P1B5/1QP5/4RPPB/6K1 b - -,d7d8
6k1/rq1rpp1p/6pB/2pn4/P2b2P1/2N3QP/1P2RP2/3R2K1 w - -,d1d4
3r4/4k3/8/6Rp/pp3P1K/P5P1/1P6/8 w - -,g5a5
8/PR5p/5pk1/6p1/6P1/5PK1/rp6/8 b - -,h7h5
2kr3r/pp1b1p1p/2n1pp2/q7/4PQ2/2N5/PPP2PPP/2KR1B1R b - -,e6e5
8/1p2kpp1/p4q1p/2P5/1P6/P2Q2PP/1b1N1P1K/8 w - -,h2g2
r1q1k2r/p2nbppp/1pp5/2Pp1p2/3P2P1/1QN5/PP2PP1P/2KR1B1R b kq g3,f5g4
2q2b2/1p3p1k/p2p1npp/1b1Pp3/1P2P1P1/P2BBN1P/2Q2P1K/8 b - -,c8d7
r1bqk1nr/p2pp1bp/2p3p1/2p1p3/8/5N2/PPPP1PPP/RNBQR1K1 w kq -,f3e5
8/8/4n3/5n2/p2bk3/P4N2/K5PP/5R2 b - -,d4e3
3r4/5k2/1PR3p1/3p2p1/3Kp1P1/4P3/5P2/8 b - -,f7g7
2rqk2r/1p1nbppp/p1b1p3/4P3/1P2Bn2/P4N2/5PPP/R1BQRNK1 b k -,c6e4
nr3rk1/5p1p/3Pb1p1/2qBp3/1p1N4/pP4P1/P2N1Q1P/1R3RK1 b - -,e6d5
5rk1/2r1bppp/p3p1n1/1p1b4/3N1P2/P2BB3/1PP3PP/3R1R1K b - -,g6h4
2R5/8/8/3n4/8/3k4/3r4/2K5 w - -,c8d8
3k4/p2n1p2/1pQ1p3/2p1P2q/P1P5/1KB2P2/1P6/8 b - -,a7a5
2r3k1/p3bpp1/2p1p2p/3r3P/3P2P1/1P2BP2/P1K1R3/3R4 w - -,e2d2
4rrk1/2pq2b1/p2p2np/1p1bPpp1/3P4/1P1Q1N1P/P4PPB/1BR1R1K1 b - -,e8e6
8/2p2ppk/1r5p/4N3/4Pp2/1BP1bP1P/Pn4PK/5R2 w - -,b3f7
5k2/p2q3p/6p1/2pn2Q1/4p2P/P2pP3/3P3K/B7 b - -,f8f7
8/8/8/8/8/6k1/3br3/1R4K1 b - -,e2g2
r3rnk1/pb2qp1p/1pp2np1/3p1B2/N2P4/PQ2PN1P/1P3PP1/2RR2K1 w - -,f5d3
r4rk1/1p1nqppp/4pn2/pP6/N2R4/P3P2P/1B2QPP1/R5K1 b - -,e6e5
6k1/5p2/1rn1p1pp/1B6/3RPPP1/P7/6P1/6K1 w - -,b5c6
