8/PR4p1/6k1/r1p5/8/1P5P/6K1/8 w - -,g2f3
r2r4/pp3pk1/4bqp1/4p2p/1pNnPn2/P2P3P/1Q3PPN/R2R1BK1 w - -,a3b4
3r4/1b3pk1/p4p1p/2pP4/P2n2P1/2pRBBKP/5P2/8 w - -,e3d4
8/5p1p/4pPp1/4k3/pK4P1/P6P/8/8 w - -,b4a4
r1bqrbk1/ppp2ppp/2np1n2/4p3/2P5/P1NPP1P1/1P2NPBP/R1BQ1RK1 b - -,c8f5
8/4k2p/p1p5/P1p2p1p/1rP2P2/2K1P3/5P2/7R b - -,e7f6
7r/1b2r1k1/p1pbq1n1/PpN3p1/1P1Pp2p/6P1/N1Q2RBP/4R1K1 b - -,d6c5
r1bq1rk1/1p2bppp/1np5/p1n1p3/P1N1P3/2N4P/BPP2PP1/R1BQR1K1 b - -,b6c4
r2qr1k1/1b1n1pbp/pp2p1p1/2ppN3/2P1nP1Q/1P2P3/P1BPN1PP/B2R1RK1 w - -,h4h3
r2r2k1/1pqb1ppp/n3p3/p2pP3/P4PP1/1NP1Q3/1P2B2P/R1R4K b - -,d8c8
8/8/6r1/4Pk2/5P2/7K/5R2/8 w - -,f2f3
rnbqkb1r/pppppp1p/6p1/8/3Pn2B/5N2/PPP1PPPP/RN1QKB1R b KQkq -,f8g7:d7d5
r3r1k1/pp1b2bp/3p2p1/q1pPnpB1/2P5/1PN3N1/P2Q1PPP/2R2RK1 b - -,e5f7
rn1qkb1r/1p3ppp/p2pbn2/4p3/4P3/1NN2P2/PPP3PP/R1BQKB1R w KQkq -,c1e3:c1g5
2r3k1/pp1b2p1/8/4pr2/5P1q/2P1BR2/PP2Q1P1/R5K1 w - -,a1d1
2k3rr/pppqn3/2n2p2/P1Np2p1/1P1P1bbp/2PB1NB1/5PPP/R2Q1RK1 b - -,d7d6
2r1r1k1/1b3ppp/p1p1qn2/1p2b3/P3P3/2NB1PP1/1P1BQ2P/2RR2K1 b - a3,c6c5
r7/2qnb1k1/r1p1pnp1/ppPpNp1p/1P1P1P2/P1N1PQ2/1B4PP/4RRK1 w - -,f3g3
r2q1rk1/pb1nbppp/1p2pn2/2Pp2B1/2P5/P1N1PN2/1P2BPPP/R2Q1RK1 b - -,d7c5
1brq2k1/p1n2r1p/6pP/1P2pB2/1P1p4/P2P4/Q2B1PP1/R3K2R b KQ -,g6f5
2r3k1/R4p1p/3Q2p1/8/6q1/6p1/7P/3R2K1 w - -,h2g3
4kb1r/2p2ppp/p1P1p3/3r1q2/QB6/7P/PP3PP1/3R1RK1 w - -,d1d5
2r5/1b1q1pk1/p2pp1p1/1p4Pp/4PP1P/3P1N2/PP3Q2/1KR5 w - -,c1c8
r1r3k1/2q1bppp/4p3/3bP1P1/1PpQ1P2/R7/N1PB3P/1KR5 w - -,a3a8
2q3k1/1br2ppp/1nn1p3/4N3/8/1P2P3/4QPPP/R1R2NK1 w - -,e2b5
1Q6/8/6p1/2k4p/6r1/1n2KB2/8/8 b - -,g4b4
7R/5k2/4pB2/3p1bP1/3P3p/8/4r3/6K1 b - -,h4h3
4r1k1/p4ppp/3p4/1pr2PPP/5R2/2PR4/PP6/1K6 b - -,b5b4
2r2rk1/1bqnbppp/pp1p1n2/4pP2/P3P3/1NN1BB2/1PP3PP/R3QR1K b - -,f8e8
r2qkbnr/pppn1ppp/4p3/4P3/2BP2b1/2N2N2/PP3PPP/R1BQK2R w KQkq -,c1e3
1rb1r1k1/6qp/pnp1pbp1/1n1p4/NP1P3P/1Q3N2/PB3PP1/3RRBK1 w - -,a4c5
6k1/2r2b1p/2pqp1pP/p4p2/Pp1P1n2/5QR1/1PB2PP1/4R1K1 w - -,g3g5
