8/7p/4ppk1/5p2/3q3P/5RP1/5RBK/8 w - -,f2f1
r5k1/1b3ppp/1p3q2/pN2p3/PnP5/B3PP2/4Q1PP/1R4K1 b - -,e5e4
8/8/2kb4/8/2N1RP1P/r7/6K1/8 b - -,c6d5
r4n1r/p3bpk1/Pp1p4/1NpP1P2/2P1p1P1/1PR3P1/6K1/R5N1 b - -,e7f6
8/B5pk/5r2/8/1p3nR1/1P6/P5K1/8 w - -,g2g3
1r4k1/2pr1p2/1p2p1p1/p1bnPb1p/2N2P2/2P3PP/PP1R3K/R1B2B2 b - -,b8d8
8/8/3r1kpp/1R3p2/1p6/3B2P1/5PK1/8 b - -,d6d3
r1b2rk1/4ppbp/1q1p1np1/n1pP4/8/2N3P1/PPQNPPBP/R1B2RK1 b - -,c8f5
1rbq1r2/1p1nppkp/p1np2p1/8/P1P1P2N/2N3P1/1P2QPBP/3R1RK1 b - -,d8a5
r2q1rk1/pp1nbpp1/2p1pn1p/4Nb2/2BP1B2/2N4P/PPPQ1PP1/3RR1K1 b - -,d7b6
6k1/2p3p1/4pPP1/8/1p1PBN2/2r1nP2/5K1P/8 b - -,g7f6
r5k1/3r2bp/1p3p2/p1pP2p1/1nP5/qB3bB1/P2Q1PPP/4RRK1 w - -,g2f3
r4rk1/5qb1/p2Pb2p/2pNpp2/2N3p1/3Q4/RP3PPP/5R1K w - -,d5b6
2r2qk1/p2n1p1p/1p2r1pQ/4Pp2/2pP1N2/P1P5/2P3PP/3RR1K1 w - -,h6f8
8/1pk5/6R1/p7/8/P5P1/1PP3r1/1K6 w - -,b2b3
3rk2r/p2nbppp/1pBqpn2/4N3/Q2P4/8/PP3PPP/R1B2RK1 b k -,e8g8
rn1qkb1r/pbp1pppp/1p6/8/3PP3/2n5/PPQ2PPP/R1B1KBNR w KQkq -,b2c3
3r3k/1pp3b1/p1n3pp/P2qpp2/8/1N2P2P/1PP1QPPB/R5K1 b - -,d8d7
r6k/pp3r1q/2p2P2/2Ppp1R1/4bP2/1P2P1Q1/PB5P/6RK w - -,g1g2
r1bq1rk1/pp3ppn/2pbp2p/8/3P3Q/3B1N2/PPP2PPP/R1B1R1K1 w - -,h4e4
8/7p/6k1/2p2p2/4nR1P/4r3/6B1/6K1 w - -,g1h2
3r4/5k2/p5pp/1p3p2/8/1R5P/PP1rn1PN/4KR2 b - -,e2c1
r4k2/6pp/8/np2N3/1p1R2P1/1P3p1P/5P2/6K1 b - -,a5b3
3k4/1p1n1p1p/p1p3p1/P3PP2/2P1K3/4B3/5P1P/8 b - -,d8e7
8/p7/1p3kp1/2p1n3/P1P2KPP/2P5/4B3/8 b - -,e5c6
6k1/5p2/7Q/4P3/5PK1/3q4/8/8 w - -,h6d6
2r3k1/1b4p1/pp3q1p/2p1np1Q/2P1p3/4P1N1/PP3PPP/1BRr2K1 w - -,c1d1
1r6/4bkp1/7p/2p5/P1Pp1P2/6P1/P2B1K1P/4R3 w - -,f2e2
rnbq1rk1/pp2ppbp/6p1/2pPn3/8/5NP1/PP3PBP/RNBQ1RK1 w - -,f3e5
r4rk1/3n1pbp/2pp2p1/q7/p1PB1P2/2N5/PP2Q1PP/3R1RK1 w - -,d4g7
8/1p2Rpkp/1P1r2p1/8/1p3N2/1P4P1/3b1PKP/8 b - -,d2f4
2R5/pp1Rb3/n1pN1kpp/8/5PP1/1P6/4r2P/7K w - -,d6b7
r2r2k1/4qpp1/1pp2n1p/4p3/1PPbP3/5Q1P/2BB1PP1/3R1RK1 w - -,f3g3
8/5pkp/2N3p1/1P1nR3/2p2P2/6P1/r6P/2K5 b - -,d5b6
8/1Bkb4/P4pp1/1p6/1P6/4K1P1/8/8 b - -,c7b6
8/5pk1/4pbp1/3p1q2/3P1P2/2P1Q1P1/1R2K3/r4N2 w - -,e3f3
8/1p6/1N2p1p1/3pPn2/p2P1P2/1b1K1k2/8/2B5 w - -,d3c3
r5k1/Br4p1/4p3/Rp1pPbP1/1P3R2/5Q2/6PK/4q3 w - -,a7f2
r1bq1rk1/3nppbp/p2p1np1/1PpP4/8/2N1PN2/PP2BPPP/R1BQ1RK1 w - -,a2a4
r1b2rk1/1pp1qp1p/1n4p1/4b3/P7/2N1P1P1/PB2QPBP/R4RK1 b - -,c7c6
