8/3N3p/6b1/p1p3P1/8/2P2kP1/1P1K4/8 b - -,f3g3
r5k1/1r1q2pp/b2Bp3/3nPp2/3N1P2/Q2P4/3bN1PP/2R2R1K w - -,c1c6
8/4k1p1/5p2/q1P1p2Q/4P2K/5P1P/6P1/8 w - -,h5h7
rn1qk2r/1bppbppp/p3pn2/1p4B1/3P4/3BPN2/PPPN1PPP/R2QK2R w KQkq -,e1g1
r2q2k1/3nb2p/p2p2pB/2pP1r2/PpN3P1/3Q4/1P3P1P/R4RK1 b - g3,f5f7
r4rk1/pRn2ppp/2p1b3/N7/4P3/b5P1/3B1PBP/4R1K1 b - -,c7a6
r2q1rk1/p4pbp/2p3p1/2npPb2/5P2/2P1B3/P3BNPP/R2Q1RK1 b - -,c5e4
3r2k1/4qppp/Q4n2/8/1P2p3/P5P1/4PPBP/2R3K1 b - -,e4e3
r2qkb1r/p2npppp/2pp1n2/1p6/4P1b1/P1NB1N2/1PPP1PPP/R1BQK2R w KQkq -,d3e2
r3k2r/pp1bnpp1/4p2p/3pP2P/q1pP1R2/P1P5/R1P2PP1/2BQKB2 w kq -,d1f3
1r3k2/3Bbp2/3p3r/q2P1QpP/1pR2p2/pP3P2/P1P5/1K5R b - -,f8g7
r5kr/6p1/2p2n2/p1Pp1BR1/Np1P1p2/1P3P1P/PB6/1K6 w - -,b2c1
2r1r1k1/5pbp/p1b2np1/1p6/2nBP3/2N2PP1/P3N1BP/3R1RK1 w - b6,e2f4
8/8/7p/1B4k1/P5p1/2N5/r4PKP/8 b - -,a2a3
r3k2r/ppp2ppp/1nn1p3/4P3/1bPP4/2N2P2/PP1qBB1P/R3K2R w KQkq -,e1d2
rn1qk2r/pb3ppp/1p2p3/2bnP3/4N3/P4N2/1PQ2PPP/R1B1KB1R b KQkq -,c5e7
5r2/2P2pk1/1p3qp1/3B1b1p/1Q2R2P/6P1/5PK1/8 w - -,e4e3
8/8/1Nn5/p7/8/8/2k1K3/8 b - -,c6e7
r3r2k/ppqb2pp/1n6/R3p3/1P2P3/2P2N2/B5PP/3Q1RK1 w - -,f3g5
r2q1rk1/1p3ppb/1np1pn1p/p3N3/Pb1P4/2N1P1P1/1P2QPBP/R1BR2K1 b - -,d8e7:f6d7:b6d7
1rb2rk1/2q1ppbp/p1pp2p1/4P2n/3P4/2N2N1P/PP3PPB/R2QR1K1 b - -,f7f5
2B1r1k1/2q3p1/1p5p/p3p2P/3P1P2/1R2Q1P1/PPr5/4R1K1 b - -,e8c8
2r1r1k1/p2q2p1/1bp3p1/3pPp2/1B1P1P2/2PQ3P/6P1/R4RK1 w - -,b4a5
8/8/8/8/P1P4p/1P1R2p1/1kr5/6K1 w - -,d3f3
3r1rbk/6b1/7p/3p2qP/1ppPpRB1/4P1Q1/1P6/1N3RK1 w - -,f4f5
r7/8/6K1/1R4P1/4k3/8/8/8 w - -,g6h7
r4qk1/p1r2p1p/4nnp1/2pp4/8/QP1BP2P/P3NPP1/2RR2K1 b - -,a8d8
r4n2/pp5p/5kp1/2p2b2/6n1/3P4/PPPN1PPP/2K1RB1R w - -,f2f3
rq1n1rk1/4bppp/2pp1n2/1p1Pp3/4P1b1/p1P1BN2/PPBNQPPP/1R1R2K1 w - -,d5c6
5rk1/1q1nppbp/r2p1np1/2pP4/2N1P3/2N5/PP2QPPP/R1B2RK1 w - -,a1b1:a2a4
r3qrk1/3b2b1/p2p2p1/3Pp1Q1/P4pB1/1P6/1P1B2PP/R4R1K b - -,f8f5
r1bq1rk1/pp2ppbp/2n3p1/1B1p4/P2Pn3/2P2N2/1P3PPP/RNBQR1K1 w - -,b1d2
r1bqr1k1/3nppbp/2pp2p1/p7/4P3/2N1BB2/PPPQ1PPP/1R3RK1 w - a6,f3e2
8/3Q1pk1/5rp1/1P5p/4K3/7P/5bP1/8 w - -,d7c7
4r2r/1p6/3kpp2/np1p1p2/3Pn2p/P1PN3P/1P1NRPP1/3R2K1 w - -,f2f3
rnb3k1/ppq1n1pp/4pr2/3p4/3P2Q1/P2B4/2PB1PPP/R3K1NR w KQ -,g4g3
2r1rnk1/4b1p1/Q3pp1p/3b4/1q1P4/3N2B1/1P2RPPP/1B1R2K1 b - -,b4b3
r2qr1k1/5pbp/3p2p1/2pP4/2n1P3/1R5P/2B2PP1/1RBQ2K1 b - -,g7d4
3rk1r1/3nb1p1/2q2pP1/2p1pP2/2P1N3/5N2/1PnBQ1K1/R6R w - -,a1c1
1r1r2k1/1p1b1ppp/p1n1pn2/2b5/2P5/1N2PNP1/PB3PBP/R4RK1 b - -,c5e7
4r3/7k/p1p4p/1p1n1pp1/3B4/PR4PP/1P2qP1K/3Q4 w - -,d1c1
