8/4kp2/1b4p1/4Pr1p/2R4P/6B1/6K1/8 w - -,g3f4
1qr1r3/1b1nbpkp/p2pp2Q/1p4P1/1Pn1PP2/PBN2R2/2P1N2P/3R3K b - -,g7h8
8/5bnB/3Pk1p1/4P1P1/1p5P/p7/8/2BK4 b - -,f7e8
8/7B/5k2/4b3/6p1/4B1P1/3N1PKP/4r3 b - -,f6e6
r1b1r3/1p2bk1p/pqn2nN1/P1p3Q1/3P4/4P2P/1P3PP1/R1B2RK1 b - -,b6c7
b3k2r/5p2/1q1Pp3/1pn3p1/2p4p/2n4P/1P2BPPB/3Q1RK1 w k -,b2c3
6k1/p6p/5p2/1p1R4/4rb2/2P3K1/1P4PP/2R5 w - -,g3f3
8/pp3pk1/2b3p1/P2pqn1p/7P/1PP3P1/2NQ1PB1/6K1 b - -,e5f6
8/2kb3p/n5p1/1ppr2P1/3N3P/1P1NKP2/8/2R5 b - -,c7b6
8/8/2b1p3/P3R2P/5R2/1K1pk1P1/2r5/8 b - -,e3d2
R7/2b3pk/8/4qp2/2P4p/1P3Q1P/1r4P1/6BK b - -,g7g6
8/6rk/1p6/p1p1Np2/2Q3P1/PP1PPPn1/7r/4K3 b - -,h2e2
8/p3rkp1/1pRN3p/3nP3/3P1P2/6P1/P6P/5K2 b - -,f7f8
1qr2rk1/pb3ppp/1p1bpnn1/3pN3/3P1P2/P2BP2P/1P1N2PB/R3QRK1 w - -,a1d1
8/6p1/5k1p/8/4P3/2Pr2P1/1P2R1K1/8 b - -,f6e5
8/pp1k4/8/5Rp1/6Kp/4bP2/PP6/8 w - -,f5f6
1r6/RB1r1pk1/4p2p/N5pP/6P1/5PK1/8/8 b - -,f7f5
8/5k2/7n/1pB3pP/1Pp3P1/2P2K2/8/8 w - -,c5d4
3rr1k1/1pqnbpp1/p2p3p/2pR4/2P1PB2/1P3N1P/P1Q2PP1/R5K1 b - -,d7f6
6k1/p4pp1/1pB1p2p/8/P6P/Bb2P1PN/5P1K/b2r4 b - -,b3d5
r2qkb1r/p2bnppp/2p1p3/3pP3/2PN4/2N5/PP3PPP/R1BQ1RK1 b kq -,e7c8
r3kb1r/1p1Qpppp/p4n2/8/3n4/2N5/PPPB1PPP/R3KB1R b KQkq -,f6d7
3rk1nr/p1q2pb1/1nppb1pp/4p3/2PPP3/3BBN1P/P2QNPP1/R3R1K1 w k -,d4d5
r2qr1k1/pb1nbppp/Bp1ppn2/2p5/3PPB2/2P2N2/PP1NQPPP/2R2RK1 b - -,b7a6
8/8/8/p1NK3p/PbP5/7k/8/8 w - -,c5e4
1r6/1P4bk/6pp/3Bp3/8/6P1/5P1P/1R4K1 b - -,g7f8
rn1q1rk1/pp3ppp/2p1pn2/2b2b2/4N3/3P2P1/PPPN1PBP/R1BQ1RK1 b - -,c5e7
r1bq1rk1/pp2ppbp/3p2p1/n1pP2Bn/2P1P3/2N2N2/PP2BPPP/R2Q1RK1 b - -,h7h6
5r1k/ppq2p1p/1np2np1/4b3/4P2P/4BPN1/PPQ2P2/1K1B2R1 b - -,f8d8
r1bq1rk1/1p2npbp/pn2p1p1/P1pp4/4PPP1/1BNP1N2/1PP4P/R1B1QRK1 b - -,d5d4
r2qr1k1/p1pb1pb1/2np1npp/1p6/4P1P1/P1N3NP/1PP2PB1/R1BQ1RK1 b - -,a8b8
6k1/5p1p/p3qP2/1p6/1P1Q4/P5P1/6KP/8 b - -,e6c6
1rq1r1k1/bppb1ppp/p2p1n2/8/PnP1P3/1PN3PP/4NPB1/R1BQ1RK1 w - -,g1h2
rnb2rk1/ppq1b1pp/2pp1n2/4pp2/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 w - -,d4d5
3r4/pp2bp2/4p1k1/3nP1pp/3PK3/1P3N1P/P1RB2P1/8 w - -,f3e1
8/8/8/p1Rp4/P7/kr6/2K5/8 b - -,d5d4
5r2/5pk1/p1p1p1np/4P3/2N1q3/1P4Q1/1KP4R/8 w - -,h2g2
kr5r/5pp1/p1n1p3/3pP1pP/1Pp3P1/P1B1R3/5P2/1R3K2 w - -,e3e1
8/5R2/1p1r4/2pn3p/P6P/1Pk2K2/4B3/8 w - -,e2c4
1r2r3/p2nb1kp/b1pq4/2p1p1p1/P3PpP1/BNQP1P1P/2PN4/RR4K1 w - -,g1g2
6k1/6b1/7p/1P3pp1/2R1P2q/4BPQ1/2P2K2/r7 b - -,a1f1
2k3rr/1q1nbp2/pp2p2p/2p1n2P/2Pp2p1/3P2P1/PPNBQP1N/1R2R1K1 w - -,d2f4
r2qr1k1/1p1n1ppp/2p1pb2/p1P1N3/3P1B2/8/PPQ2PPP/2RR2K1 b - -,f6e5
1r4k1/2rpbp1p/p3n1p1/3BPpP1/b1PB3R/1N6/P1P4P/1K4R1 w - -,d4e3
2b5/1BPk4/1K5p/5pp1/8/5P2/2P4P/8 w - -,c2c4
2b1r1k1/5p2/p2p1p2/1p1P3P/5P2/P1NR3P/1PP5/4rRK1 b - -,c8f5
