8/5kb1/1p5p/5PP1/P7/4B3/2K5/8 w - -,g5h6
4k3/1p2p3/p3p1pp/2PbP3/3K4/P5P1/1PB4P/8 b - -,g6g5
8/3k4/5R2/2P5/8/3p3p/3Kb2P/8 w - -,f6h6
2r3k1/1p2qp1p/3b2p1/P2p4/2rBn3/1QnNP2P/3R1PP1/R4NK1 w - -,d2b2
8/1R2b1k1/5pP1/p3r3/2Pp4/P2q4/2N2Q2/2B2K2 w - -,f1g1
r2r2k1/pb3p2/1pp1pqpp/2P5/8/4Q3/P1B2PPP/1R2R1K1 b - -,b6b5
2k5/5p1p/1Bp5/p7/Pp6/1Pn2P1P/2r2PK1/R7 b - -,c3d5
4r1k1/3q2b1/pp1p3p/2pP2p1/1PP1P3/P5BP/3Q2P1/4R1K1 w - -,b4c5
r1bqkb1r/pp1n1ppp/2p2n2/4p3/2B1P3/2N2N1P/PPP2PP1/R1BQK2R b KQkq -,f8b4
3Q4/5pkp/6p1/pq6/2N5/7P/5PPK/8 w - -,c4a5
4r1k1/pp3pp1/2p4p/5P2/8/B1P5/PQ4BP/3q1n1K w - -,g2f1
rn1q1rk1/6bp/p1ppbnp1/1p3p2/2P5/1QN3P1/PP1NPPBP/R1B2RK1 w - -,a2a4
r3k2r/1b1n1p2/p1p1p2p/q2nP1p1/Np1P4/3B2P1/PP1N1PP1/R2Q1RK1 b kq -,e8e7
k2r1b1r/ppqn1pp1/2p3p1/1PPp3n/3P2P1/5P2/P1QBN2P/R3KB1R b KQ -,h5g3
r1bq2k1/p2r2p1/1n3pp1/1p1pP3/2pP1B2/Q1P5/PP2B1PP/RN3RK1 b - -,g6g5
5bk1/p4p2/4p1p1/2PqP3/p3Q3/3r1NP1/5PK1/2R5 w - -,e4e2
2kr3b/pR5p/2p5/P1N3pP/R2P4/2P1r3/6P1/6K1 b - -,e3c3
5Q2/8/8/1p5p/1p5P/1k6/p5K1/8 w - -,f8f6
5r1k/p2R4/6p1/4p3/Pp1bP1KP/1P6/8/8 b - -,d4e3
2rq1rk1/1p3p1p/p1bp1pp1/8/3QP3/1P4P1/P1P2PBP/R4RK1 b - -,f8e8
2r3k1/p1q2pp1/1p1p1n2/2rPp2p/P3P3/1QP2PP1/2R3BP/2R3K1 b - -,h5h4
rnbqk1nr/pp2bppp/2p1p3/8/2BPP3/2N2N2/PP1B1PPP/R2QK2R b KQkq -,b7b5
r4rk1/1pqb1ppp/p3pn2/2b5/P1BN4/1P3Q2/1BP2PPP/R4RK1 w - -,a1d1
1r3rnk/2qn2bp/pp1p2p1/2pPp3/1PP1Pp2/P1N2P2/1RQ1BBPP/1R4K1 b - -,f8c8
q3rbk1/2Rn1ppp/p4n2/1p1p1N2/8/PP4P1/2Q1PPBP/1N4K1 b - -,d7e5
2kB4/p6p/1np3p1/4pp2/1P6/1KP5/5P1P/8 w - -,d8g5
3r1rk1/p3Qb1p/6p1/q3pp2/3p4/1B6/PPP2PPP/R4RK1 w - -,f1e1
3r4/pq4k1/1rp1npp1/1p1p3p/1Q1P4/P3P3/1PR2PPP/2R1N1K1 b - -,g7f7
2b2k2/r4n1p/p1pqpNp1/8/3P4/4BQ1P/6P1/1R4K1 b - -,e6e5
r2q1rk1/ppnnppbp/2p3p1/5b2/3PN3/1BPN4/PP3PPP/R1BQR1K1 b - -,f5e4
5qk1/3b4/2p1r2p/1pPp1ppB/2nP4/2Q1P1B1/5PPP/R5K1 b - -,f8e7
8/b5Rp/2p2k2/8/5P2/p7/r7/3K4 w - -,g7a7
r2qk2r/4bppp/p2pbn2/1p2p3/P2pP3/2P2N2/1PQ2PPP/RNB2RK1 w kq -,c3d4
2r1r1k1/p4pbp/bq1B1np1/4n3/4P3/P4P2/BP2N1PP/1Q1RK2R w K -,b2b4
