r7/P2k1p2/3p2pp/3K1p2/7P/R4PP1/8/8 b - -,d7c7
2rqr1k1/p3ppbp/1p3np1/3pn3/P2P4/2P2N1P/1P2QPPB/R3R1K1 w - -,f3e5
r2r2k1/5p2/pp2qp2/2bp4/4pQ2/2N3P1/PP2PPKP/2RR4 b - -,c5f8
4nrbk/1p1rp2p/p5p1/6N1/3N2P1/5P2/PPP4R/1K2R3 w - -,c2c3
r1bqk1nr/pp2ppbp/2n3p1/3pP3/3P4/2N5/PP2BPPP/R1BQK1NR b KQkq -,g8h6
2q2rk1/b5pp/p2Q4/8/PP6/4P1B1/5PPP/4R1K1 b - -,c8b7
6k1/6p1/p2p2qp/b1pPp3/1pP1N3/1P3rP1/R3QP1r/3K4 w - -,e2f3
r5k1/3b1p2/rp4n1/2pPpNq1/1bP1P3/1R4P1/1Q2N3/1B3RK1 w - -,b2c1
8/1p5p/p5p1/3kp1P1/6P1/2K2P2/PP6/8 w - -,c3d3
3k1b2/8/p2p4/1p2p1p1/4P1B1/7P/PPP3P1/2K5 w - -,c1d2
8/3q3k/1p3Qpp/p7/2P5/3B2P1/r4P1P/6K1 b - -,d7g7
rnb2rk1/pp3pp1/4p2p/q7/1bBp4/4PNN1/PP3PPP/2RQ1RK1 w - -,e3d4
r2q1rk1/6pp/1p1p2n1/3P4/pP1Qp3/P4P2/4B1PP/3R1R1K w - -,d4e4
r1bq1rk1/pp1nppbp/3p2p1/2p5/B2nP3/2NPBN1P/PPP2PP1/R2QR1K1 b - -,a7a6
3r1nk1/pRRb3p/3p4/P1pPp3/2P1P1q1/5P1n/2BQ1N2/5K2 b - -,g4g1
r2qr1k1/3n1pbp/p1n3p1/3Np3/4PP2/2P1B3/PP2B1PP/R2Q1R1K w - -,f4f5
rq3rk1/3n1ppp/2p1pnN1/p2p4/2PP4/P4PPB/1B1QP2P/2RR2K1 b - -,h7g6
1r3r1k/2q3pp/1p1R1p2/pQp1Pn2/8/P5P1/1P3PBP/4R1K1 w - -,d6d7
4r3/1k3p2/3p1n2/pp1P1B1p/2nN1P2/6pP/P5P1/3R3K b - -,b7b6
2r2rk1/1p2ppbp/p2p1np1/3P4/1q3P2/3QBB2/PPP3PP/1R3RK1 b - -,b4a4
2b2r2/2k5/p1p2q2/4bp2/P7/1NNR1Q1P/1PP5/2K5 b - -,f8g8
r1b1kb1r/pppq1ppp/1n1p4/3NN1B1/3QP3/8/PPP2PPP/R3K2R b KQkq -,c7c5
5R2/2Pk1n2/4p2p/pN1pPp2/P1r5/2P5/4K2P/8 b - -,f7e5
r4rk1/5p1p/p2p1np1/1qpP4/7R/5N2/PP1Q1PP1/R5K1 b - -,h7h5
2r1r1k1/pb2bppp/1p2p3/2p5/2PPp2q/PPQ1P2P/1B1N1PP1/2R2RK1 w - -,f2f4
r3r1k1/pp2bp1p/1qn1b1p1/4P1N1/2ppBB2/2P5/PP1Q1PPP/R3R1K1 b - -,a8d8
5rk1/1p4pp/p1q5/3ppPP1/8/1Q5P/PPP5/2K2R2 b - -,g8h8
8/p7/8/PP1k1p2/8/8/4K3/8 b - -,d5e5
2bq1rk1/p1p3pp/1r1b1n2/3p4/B7/6N1/PPPPQPPP/R1B2RK1 b - -,f6g4
5r1k/6p1/1p1R4/8/1P6/3p1qQ1/2r4P/4R1K1 w - -,d6d3
r1b1kb1r/7p/p1p1pp2/4p3/4N3/8/q1PQ2PP/3RKB1R b Kkq -,f8e7
r1b2rk1/1pq1bppp/p1nppn2/8/4PPP1/1NN1B3/PPP1Q2P/2KR1B1R w - -,g4g5
r3br1k/q6p/2pp1b2/p3p3/N1P1PpB1/P6P/1PQ2P2/1K4RR w - -,g1d1
r1b2rk1/pp1n1pbp/2pp1npB/q3p3/3PP3/2NB1N1P/PPPQ1PP1/R3K2R w KQ -,e1g1
r1b1r1k1/1pqnbppp/2pp1n2/p3p3/P2PP3/2N1B1PP/1PP1NPB1/R2Q1RK1 w - -,f2f4
2nRk2r/5ppp/2b1p3/1p2P3/6PP/PNN2P2/1PP5/1K5R b k -,e8d8
r3k2r/pp1b1p2/4p2p/3pPn1P/6R1/P1BP1N2/5PP1/R3K3 b Qkq -,a8c8
8/1p1n4/p2Pkpp1/1b6/1P1K1B1P/5PN1/6P1/8 w - -,g3e4
8/1k3p2/2R1bP2/rp2N1P1/4K3/8/8/8 b - -,a5a4
r2q1rk1/ppp2pp1/2n2n1p/2b1p2b/4P3/1BP2N1P/PP1NQPP1/R1B1R1K1 b - -,d8e7
r2q1rnk/1p1n1pb1/3p2pp/p1pPp3/P1P1P1P1/2NN2R1/1P1BQP1P/6RK b - -,g7f6
1r3rk1/4ppbp/bq1p1np1/nNpPP3/P7/6P1/1P1NQPBP/R1B2RK1 b - -,f6e8
2r1r1k1/5pb1/2p1pq2/6n1/1B1P2p1/1Q2P1P1/5PB1/2RR2K1 w - -,b3c2
rnbq1rk1/ppp1ppbp/5np1/3p4/5P2/2PP1NP1/PP2P2P/RNBQKB1R w KQ -,f1g2
r1b1r1k1/1pqn1pbp/p2p1np1/2pP4/P1P5/1QN2N1P/1P1BBPP1/R4RK1 b - -,f6e4
r2q1rk1/pp2ppbp/2np1np1/2p5/4P1b1/1BPP1N2/PP3PPP/RNBQR1K1 w - -,b1d2
8/8/7p/2r2ppk/4p2P/4N1PK/5P2/3R4 w - -,h4g5
3r2k1/pnqb1r1p/1p3pp1/2bPp3/PNp1P3/2P2P2/2BQ1BPP/1R1R2K1 b - -,b7d6
7R/pp2k1r1/3p4/4p3/2bn4/P3n1P1/1PP1N1P1/3K2B1 w - -,g1e3
r1bq1rk1/pp1nbppp/2pp4/4p2n/4P3/1BPP1N1P/PP3PP1/R1BQKN1R b KQ -,h5f4
b2r1rk1/3P1p1p/p3pp2/q7/3Q4/4BP2/4B1PP/2R3K1 w - -,e3h6
8/8/5kp1/4b2p/4B2P/5KP1/4P3/8 w - -,g3g4
r1bqnrk1/pp2ppbp/2n3p1/1R6/3P4/B1N3P1/P1P1NPBP/3Q1RK1 b - -,e8d6
2r1k2r/1b3p2/p3p2p/1p2p3/8/P1PR2P1/2P1R1PK/5B2 b k -,e5e4
r1b2rk1/p4ppp/1n2p3/1P1pn1q1/1P3N2/PQ3PP1/1B3K1P/R4B1R w - -,h2h4
q1rnr1k1/pb2bp2/1p2pnp1/6Np/3P4/P1N3QP/BP3PP1/2BRR1K1 b - -,e7f8
r2qkb1r/3bpppp/p2p1n2/1p6/3NP3/2N5/PPP2PPP/R1BQR1K1 b kq -,e7e6
5b1r/p3kpp1/2N4p/2p1P3/7P/P5P1/1rP2PK1/R2R4 b - -,e7e6
6k1/3bn2p/3p4/1p1P1p2/1R3P2/1N2KBPP/1r6/8 b - -,g8g7
r2q1rk1/2p3p1/4p1Pp/6P1/p2P4/1P4Q1/PP5R/K5R1 b - -,d8g5
7r/p1p1kRpr/1p6/3pP1P1/P2P4/2P3R1/2P5/6K1 b - -,e7f7
8/2Q3p1/p1pp2k1/1pq5/8/1PP5/2P3P1/7K w - -,b3b4
rn3rk1/p4ppp/1p2pn2/8/2PPq3/4BN2/P3QPPP/R4RK1 w - -,f1d1:f3g5
