k5r1/2p5/p2p3B/3P4/2P5/2R2KN1/8/r7 w - -,h6c1
1r3rk1/pN2bpp1/1np1p1p1/1n2P3/1P1P4/P5P1/1B3PBP/2R1R1K1 b - -,b8b7
1r3rk1/1p3ppp/p1pn2q1/4Q1P1/3P4/2P2NP1/P4PK1/4RR2 b - -,b8e8
2r2rk1/pbq2ppp/1p2p3/5n2/1PB1n3/PQ2PN1P/1B3PP1/2R1K2R b K -,c7e7
r4rk1/ppqn1ppp/2pbp3/4Nb2/1n1P4/PB4B1/1PP1NPPP/R2QR1K1 b - -,b4a6
rn1qk1nr/pbpp1ppp/1p2p3/8/1bP1P3/2N2N2/PPQP1PPP/R1B1KB1R b KQkq -,g8e7
3r1b1k/p2r3n/1p1P1p1p/1Pp1pKpP/P1B1P3/2BR2P1/3R1P2/8 w - -,c4e6
2b3k1/5p1p/6p1/1B1p4/6P1/b1B4P/P5P1/5K2 b - -,d5d4
r4rk1/pb3pbp/1pnq2p1/3p2B1/4P3/3Q1N2/P3BPPP/3R1RK1 w - -,d3d5
2R5/8/3k4/6p1/4P1rp/8/5K2/8 w - -,c8e8
3rrk2/q4bp1/3p1p1p/1ppNn3/5P2/PPR3PP/3RP1BK/2Q5 b - f3,e5d7
r4rk1/1p1b2pp/pqpPp3/5p2/PP3B2/2Q5/2P2PPP/R2R2K1 w - -,d1d3
r2q1r1k/ppp3p1/1bnpbn1p/4p3/4P3/2P2N1P/PPB2PP1/R1BQRNK1 b - -,f6h5
2QR4/pp3p1k/6pp/2n5/4p3/1q2P2P/2K2PP1/8 w - -,c2d2
6k1/q4p2/6n1/1p2pQ2/2p1P3/2P1P1P1/1P5K/5R2 w - -,h2g2
r1bqkb1r/2p2ppp/p2p4/1p1Pp3/3N4/2N5/PPP2PPP/R1BQK2R b KQkq -,e5d4
r1bq1rk1/pp3pp1/2n1pn1p/b1p5/2BP4/P1NQPN1P/1P3PP1/R1B2RK1 b - -,c5d4
r5k1/6p1/3Npp1p/8/1P1PP3/p1Rb1P1P/6P1/6K1 w - -,c3d3
8/r6k/7P/4R2K/6P1/8/8/8 b - -,a7a6
8/1p1r2k1/3pQn1p/3P2p1/6P1/5P2/6K1/8 w - -,g2f2
3qr3/r4pk1/p1p3p1/3p3p/3P1Q1P/5P1R/PPP5/2KR4 w - -,h3h2
r5k1/5pb1/q2p2pp/1rpPp3/4P3/1NQ4P/PR3PP1/R5K1 b - -,a8b8
3rk2r/pp1q1p1p/2p2p2/5P2/P4n2/2P4B/5P1P/1Q3R1K w k -,b1e4
8/8/3npkp1/2n1p2p/1p2P2P/4KPP1/1P2BN2/8 b - -,f6e7
rn1qk2r/pb2bppp/1p2pn2/3p4/2PP4/2NB1N2/PP3PPP/R1BQ1RK1 w kq d6,c4d5:f1e1
r1bq1rk1/p1ppbppp/2p5/4P3/3n4/2N1B3/PPP1QPPP/R3R1K1 w - -,e3d4
8/8/8/8/7p/6r1/5K1k/5R2 b - -,g3g8
rn2kb1r/pp1bpppp/1np5/8/3PP3/2N1BN2/PP3PPP/R3KB1R b KQkq -,e7e6
8/2Q2bk1/5p2/6pp/4q2P/6P1/5P2/6K1 w - -,h4g5
r1b2rk1/ppp1q1b1/3pp2p/3P1p2/1nB2BnP/2N2N2/PPPQ1PP1/2KR3R b - -,e6e5
r1b3k1/pp3p1p/2p3p1/6q1/2P1P3/Q7/PP1rB1PP/R4RK1 w - -,f1e1
