8/4B3/pK6/1p3k2/1P5p/2P5/1P6/5b2 w - -,e7h4
r1bq1rk1/1p3ppp/p4n2/3p4/1P6/P1N1n3/1BB1N1PP/1R1QK2R w K -,d1d3
rn1qk1nr/1bpp1ppp/1p2p3/8/p1PP4/P1b2N2/1PQ1PPPP/R1B1KB1R w KQkq -,c2c3
3r1r1k/1p4np/5qp1/pPpp4/8/1PP3P1/3R1PBP/3QR1K1 b - -,f6c3
2r2rk1/4bppp/pp2b3/8/P3Q3/8/2P3PP/1N3R1K w - -,b1d2
6k1/pp3p1p/4p1p1/3pb3/3P4/P2BP1P1/1P5P/3b2K1 w - -,d4e5
3R4/5pk1/2b1p3/1p2n1pp/p3P3/P4PP1/BP3K1P/8 w - -,f2e3
r2qkb1r/pp1n1p2/2p3p1/4Bb1p/3Pp3/2P1P3/PP1NBPPP/R2Q1RK1 b kq -,d7e5
rn2kb1r/1bq2ppp/p3pn2/3p4/1p1NPPP1/3BBQ2/PPP1N2P/R3K2R w KQkq -,e4e5
r3kbnr/ppp1qppp/2n5/3p3b/3P4/2N1BN1P/PPP1QPP1/R3KB1R b KQkq -,e8c8
1kr1b3/ppr5/1q2pb2/3p4/5PPp/1PNR1B1P/PP1Q4/1K1R4 w - -,f4f5
2r3k1/q4pp1/1p1Bn3/pQ6/P1P1R3/6P1/5P2/6K1 w - -,b5h5
r2qkb1r/1p1bnppp/p1n1p3/3pP3/3P4/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,c1g5
r1b1k2r/p3nppp/2p5/2b1p3/8/3B4/PPP2PPP/R1BN1RK1 w kq -,c1e3
r1b1k2r/p2nppbp/2pp1np1/qp6/3PP3/2N1BP2/PPPQ2PP/1K1R1BNR w kq b6,g2g4
1rbq1rk1/2p2pp1/1bnp1n1p/1p2p3/4P3/1BPPBN2/1P1N1PPP/R2Q1RK1 w - -,e3b6
8/5p2/3p1k2/2pP2p1/BpP1Pp2/1P1K1P2/8/7n w - -,d3e2
2q2bk1/1r3p2/2p3pp/Qp2p3/4P3/2P2P1P/1P3BPK/R7 b - -,b7d7
3r4/2pk1ppp/2b2n2/8/8/4PB2/1r3PPP/3NK2R w - -,f3c6
8/3b1pk1/6p1/1ppPp3/2p1Pq1p/2P4P/1P2QPP1/rB1R3K w - -,h1g1
1r6/4k1p1/1p2bp1p/p1p2P2/4P3/P3K1P1/1P1R2BP/8 b - -,e6b3
2rrbbk1/pp3pq1/6pp/nP1NN3/8/P3Q3/B4PPP/3RR1K1 w - -,e3a7
8/8/2n3k1/2N1ppp1/8/5PKP/8/8 b - -,c6d4
2rr2k1/1q2bpp1/pn5p/QpPp4/8/P2PP1P1/5PBP/2RRB1K1 b - -,e7c5
2r1r1k1/3n1pb1/pq2p1pp/1p1p4/2P3NQ/1P3PP1/P2NP2P/2RR1K2 b - -,h6h5
rn1qkb1r/pbpp1ppp/1p2pn2/8/2P5/4PN2/PP1PBPPP/RNBQK2R w KQkq -,b2b3
8/8/1p6/1P6/1P6/3k4/6K1/8 w - -,g2f2
r4k1r/p3npbp/bpnNp3/2p4R/5B2/2Pq1NP1/PP3PB1/R2QK3 w Q -,f3g5
r1bq1k1r/2p5/pp1pRp1p/3P3B/2PQ1P2/7P/PPK5/6R1 w - -,e6f6
6k1/5p1p/p3b1p1/4p3/3r2P1/3K3P/8/1R2R3 w - -,d3c3
3rr3/p2bqpkp/3p2p1/1p2p3/4P2P/PB4Q1/1PP2PP1/3RR1K1 w - -,d1d2
8/3b1R2/1p6/p1b4k/P3B3/8/1P5P/7K b - -,d7a4
r4rk1/pp2p1bp/6p1/2pPn3/7P/2PQB3/q3NPP1/2R1K2R w K -,d3d1
8/3bk1p1/R5P1/1p1BKn1p/5p1P/P7/8/8 w - -,e5f4
2r3k1/5p1p/p3b1p1/4p3/np2PP2/2bNB1P1/6BP/2R3K1 b - -,b4b3
rnbq1rk1/1p3pbp/p1pp1np1/3Pp3/2P1P3/2N1BP2/PP2N1PP/R2QKB1R w KQ -,d1d2
2rr2k1/1pq1ppbp/p3b1p1/8/P1p1P3/2P1BP2/1PB1Q1PP/3R1RK1 w - -,e2f2
r2q1rk1/pp3pbp/1nnpp1p1/8/3P4/1BP2Q1P/PP3PP1/RNB1R1K1 w - -,b1d2
8/4pp1p/p1r3p1/K1Nk4/PP6/6PP/5P2/8 b - -,c6c5
r2r2k1/p2n1pbp/qppBp1p1/4P3/3P4/2P1Q2P/P2N1PP1/R4RK1 b - -,d8e8
5q2/2bb3k/2p3pp/1pPp1p2/p3rP2/P1Q1PN1R/1P4PP/2R4K b - -,h7g8
1q2r3/1p1n1rbk/p1p1b1pp/B1P1p3/N3Pp2/1P4PP/P2R1PB1/3RQ1K1 w - -,g2f1
r6k/6p1/5p1p/PQ1p2q1/3P3n/1R3PBP/1P4PK/8 b - -,h4f5
r1bqkb1r/1p1ppp1p/p1n2np1/8/2PN4/2N3P1/PP2PP1P/R1BQKB1R w KQkq -,f1g2
3r4/bk1b1p2/pq2p3/1p1p4/3N4/Q1P2NpP/6P1/R4K2 w - -,a3e7
8/6p1/7p/3p1P2/3P2P1/k1p5/P7/1K6 w - -,b1c1
1r1q1rk1/1p1bppbp/p1n2np1/2p5/2P5/1PN1PNP1/PB3PBP/R2Q1RK1 w - -,d1e2
1k1r3r/pp3pp1/1q2b2p/n2pPp2/3P4/1PR4N/P2QNPPP/R5K1 b - -,d8c8
r7/4pp1p/pk1p2p1/R1p5/4P2P/1P2K3/P4PP1/8 w - -,a5a4
2QR4/1p3p1k/6pp/p7/4P3/4P2P/1q3nP1/4K3 b - -,f2e4
r3r1k1/4npp1/4p2p/N3P3/np6/8/1P1B1PPP/2R1R1K1 w - -,d2b4
8/8/1R2r3/5k2/P7/2K5/8/8 w - -,a4a5
r3k2r/1p1bbp2/pN1pp3/n5p1/4P3/5B2/PPP2BPP/2KR3R b kq -,a8d8
r1b1r1k1/ppp1qp1p/5bp1/6n1/2B1P1P1/2P2NQP/PP3P2/RN1R2K1 w - -,b1d2
2r3k1/7p/6p1/5p2/1P1Pp3/2r1P1B1/PKQ4b/2R4q w - -,c2c3
5n2/1p6/p2kp1pp/P4p2/1PPK1P2/5N1P/6P1/8 w - -,f3e5
4bbk1/1p3pq1/6pp/QP1rN3/8/P7/B1r2PPP/3RR1K1 w - -,a2d5
r5k1/1Qn1ppbp/5qp1/3n4/2N5/P2P1PPb/1PR1PB1P/2R3K1 b - -,h3c8
8/4r2p/1rk2p2/Rp4p1/3R2P1/1K3P1P/4P3/8 w - -,e2e4
8/5k1p/5pp1/3P3n/5PN1/q1r1QKPP/2p5/2R5 w - -,c1c2
2b1r1k1/1pn2pbp/2pp2p1/8/1qP1P1P1/rP1QB1P1/3N1PB1/1RR3K1 w - -,g4g5
5rk1/ppnn1p1p/2p1p1p1/4P3/P1Q5/1P1P2PP/3q1PB1/1R2R1K1 w - -,b1d1
6k1/1p3p1p/2p1n2Q/1r5p/3p4/q2P1BP1/4PPK1/7R w - -,f3h5
3q4/5k1p/p1N4P/1p1p1p2/1P2b1p1/2Q4K/8/8 w - -,h3g3
r4r1k/ppqnbp1P/6pP/2pP4/4N3/1Q2PN2/PP2K3/R6R b - -,c7b6
8/5bkp/1pBn2p1/1P6/2p3P1/3r3P/5KN1/R7 w - -,g2f4
r1bq1rk1/1pn1ppbp/p2p1np1/2pP2B1/P1P1PP2/2NB1N2/1P4PP/R2QK2R b KQ a3,a8b8
3r1r2/1p3ppk/p1p1bnnp/4N3/N3P1P1/4P2P/PPP3B1/R2R2K1 w - -,e5g6
2r3k1/pp3ppp/8/4Pb2/8/1B2P3/P2r2PP/R5KR w - -,a1d1
1r1q1rk1/1bpn1p1p/ppnp1bp1/3Bp3/P2PP3/2P2N2/1P3PPP/RNBQR1K1 w - -,c1h6
r1bqk2r/pp1pppbp/2N3p1/8/2P1P3/2N1n3/PP3PPP/R2QKB1R w KQkq -,c6d8
8/7p/1p2p3/p3qpPk/P1P4P/8/8/1R1R1K2 b - -,e5f4
4R3/5p2/pk6/1p6/2p3P1/2P5/PP1K2n1/3B1r2 b - -,g2f4
b1R2bk1/3n1p1p/pr1qpnp1/1P6/N2P4/4PN2/1P1BBPPP/5RK1 w - -,c8a8
r1r2k2/1p1nppbp/p2pb1p1/6B1/N1P1P2P/1P3P2/P2KB1P1/2R4R w - -,c1c2
r2q1rk1/pp2bppp/2n1bn2/2p1p3/4P3/P1P2N1P/1PB1QPP1/RNB2RK1 b - -,h7h6
r2q1rk1/pp1bbppp/4pn2/2n5/3N4/2P3N1/PPB1QPPP/R1BR2K1 b - -,d8c7
3B4/8/6p1/1p6/2b4p/P1P4k/5K2/8 b - -,h3g4
8/6k1/4p3/1b2p3/1pN1Pn1p/1P2bP2/7K/5B2 w - -,c4e3
5bk1/5p1p/4p1p1/pq1p4/7P/1P1NP1P1/P1Q2P2/6K1 w - -,g1g2
2n1k2r/pp4p1/5p2/1b2p2p/8/4P1B1/1PNR1PPP/6K1 w k -,f2f3
8/1R4pk/8/3r4/3P4/7P/5PP1/5K2 b - -,d5d4
2b2k2/2q3b1/4p2p/3pP1p1/1P6/2P2NQR/rr3PP1/2RB2K1 b - -,b2f2
r1bqk2r/ppp1bp1p/1nn5/4p1p1/8/P1N2NP1/1P1PPPBP/R1BQ1RK1 w kq g6,b2b4:d2d3
3rr3/6q1/p5pk/1pPp3p/3Qp1bP/P1R5/1P3PP1/1B2R1K1 w - -,d4d2
rnb1kb1r/p3pp1p/1np3p1/4P3/1p3P2/2N1B1PP/PPP5/3RKBNR w Kkq -,c3e4
r2r4/p1k2pp1/2p1bn1p/1pn1p3/4P3/5PP1/PPP1N1BP/1KNR3R b - -,e6c4
r2q1rk1/1b2bpp1/7p/p2np3/Pp4P1/3QB1NP/1PP1BP2/R4RK1 w - -,g3f5
r1b4r/2knq1p1/1ppp1pn1/p3p2p/P1NPP2P/2PB2PN/1P2QP1K/R4R2 w - -,f2f4
7k/6b1/p2pr1bp/4q3/5Rp1/1pN1P1P1/1P1Q1K2/3R4 b - -,h6h5
8/5n2/2n2k2/1pP1ppbp/1P1p2p1/3P1PP1/r2B3N/1R1K1N2 w - -,f3g4
8/5P2/4K3/6q1/7k/8/8/8 b - -,g5d8
8/3k4/8/8/3K1P2/2R2r2/8/8 b - -,f3f4
r1bqk2r/pp3pb1/2n2Bpp/2pNp3/8/3P1NP1/PPP1P1BP/R2Q1RK1 b kq -,g7f6
r1bq1rk1/pp2ppbp/3p1np1/n1p5/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 w - c6,c1b2
5k2/3Rn1p1/5p1p/5P1P/6P1/2r2NK1/8/8 b - -,f8e8
6k1/3n1ppp/2p5/1p3P1N/1P1q1Q2/r3r3/4R1PP/5R1K b - -,d4f4
3q4/3Pbpkp/Q5p1/1p2p3/2r5/7B/PP3PPP/3R2K1 b - -,f7f5
r1bq1rk1/pp2npb1/2n5/2ppp1pP/4P3/2PP2P1/PP2QPB1/R1B1KN1R w KQ -,c1g5
4r1r1/1p3pk1/p4p2/P1Q5/1P3qpR/8/3RN3/4K3 b - -,e8e5
2r1qrk1/pp1bppbp/1nn3p1/8/4PB2/2N2NPP/PPQ2PB1/2RR2K1 b - -,d7e6
8/8/5p2/Pk3K1p/7p/8/6P1/8 w - -,f5f6
6k1/5pp1/7p/p1qpP3/5QP1/1Ppb4/P4P1P/4R1K1 w - -,g4g5
1r4k1/1bp3pp/3p4/p1p1r3/2P1p3/1PN1RQ1P/P2q1PP1/3R2K1 w - -,f3g3
r2r2k1/6b1/pqn1b1p1/npp1p2p/4Pp2/1PP2P1P/P1BNQNP1/R1BR2K1 w - -,c1b2
r3k2r/pp1qbppp/2nppn2/2p5/4PB2/2NP1N1P/PPP2PP1/R2Q1RK1 b kq -,a7a6
r1b1r1k1/1pqn1pbp/p1pp2p1/7n/2P1P3/1PN3PP/P1NB1PB1/2RQR1K1 w - -,c2e3
r1bq1r1k/pp1np1bp/2pp1np1/5p2/1PPP4/1QN2NP1/PB2PPBP/R4RK1 b - -,d7b6
2r3k1/2P1b3/8/4pp2/p1Rp2p1/3P4/4K3/N7 w - -,c4a4
8/p1R2prk/1q2p1r1/5p1p/2R4Q/1P1p2PP/P4P2/5K2 w - -,c7d7
5rk1/pppq1rbp/6n1/1Pnppp2/2P4P/P2PP1P1/2Q1NR2/2B2RNK b - h3,d5c4
2rqrbk1/pb3ppp/1p1ppn2/8/3PNB2/2P5/PP3PPP/1BRQR1K1 w - -,f4g5
7k/p7/2p5/4rbpp/2B5/1PP1pP2/P6P/5KR1 w - h6,f1e2
rnbq1rk1/1pp1ppbp/1n4p1/8/p2P1B2/2N1PN2/PPQ2PPP/3RKB1R b K -,c8f5
