3Q4/p4k2/1pp3r1/8/3R4/P6P/1q4PK/8 w - -,d4d7
4r3/p5kp/1p4p1/n1pq4/7P/5N2/P4PP1/2Q2RK1 w - -,f1d1
2rr1bk1/p4ppp/q1p1pn2/8/1p1P4/1Q1NP1P1/PP3PBP/2R1K2R b K -,c6c5
4k3/1p6/3R4/8/4r3/1K6/8/8 b - -,e4e7
1nr4r/1N3kpp/p2Rpn2/8/5p1B/P7/2P3PP/2K1R3 w - -,h4f6
b5k1/3q1p2/1p2p1p1/p3B2p/4P3/1P3P1P/P2r4/2R1Q2K b - -,f7f6
1q3r2/1pr1p1kp/pQP2ppn/3Pn3/4P3/N4P2/P3B2P/1RR3K1 b - -,f8c8
r1r3k1/ppq2p2/1n2p1p1/6N1/3P4/PbPQ4/3B1PPb/RB2R2K b - -,h2f4
8/7k/7p/2p5/2P3KP/1P1R4/6r1/8 w - -,g4h5
8/5Q2/1p1k1p2/3Bp3/2P5/4P1PK/2q2P1P/4n3 w - -,f7f6
5r2/pp1Qpr1p/2n4k/2p3p1/2B5/1PP3q1/P7/2KR4 w - -,c1b1
7r/1p2npkp/p5p1/3BP3/1q6/8/P5PP/Q2R3K w - -,d5f7
2r3k1/1bqnbp1p/pn1ppp2/1p4P1/3PP3/1P1Q1NNP/P1rB2B1/4RRK1 w - -,g5f6
4q3/pp1n1pk1/2pQ2p1/3p3p/1P1P1P2/2PB1KPP/P7/8 w - -,g3g4
r1bbqrk1/p1p3pp/1p1p4/nN1Ppp2/1QP5/2P3P1/P3PPBP/R1BR2K1 b - -,c8d7
1rbq1rk1/5pbp/3pp1p1/P4n2/1p1P4/1P1Q2P1/3BNPBP/R4RK1 b - -,c8d7
6k1/5p2/8/7P/1p2K1P1/4Q3/1q6/8 w - -,e4f5
1k2r3/1pq1rpp1/p1p1p1p1/3p4/1PNP1P2/2P3PP/P1Q1RP2/1K2R3 b - -,d5c4
8/1p4kp/p2p2p1/3Pp1b1/8/2P3K1/PP5P/5B2 w - -,f1d3
r1bqkb1r/3p1ppp/n4n2/2pN4/8/4P3/PP3PPP/R1BQKBNR b KQkq -,c8b7
