8/8/p5R1/1kp5/8/7r/1K6/8 w - -,g6g4
2b2rk1/5pbp/pq1p1np1/5P2/2P1P3/P2BNn2/5Q1P/2B2R1K w - -,f2f3
rqr3k1/1b1nbpp1/2p1p2p/1p1n4/1P1PN3/2NBP2P/2Q2PP1/1RBR2K1 w - -,e4c5
1k1rqB1Q/p3np2/2p1P1p1/3p4/8/8/PP3PPP/3R2K1 w - -,h8e5
rn1q1rk1/pp2bppp/2p1pn2/3pP1B1/P2P2b1/2N2N2/1PP1BPPP/R2Q1RK1 b - -,f6d7
1Qb1r1k1/8/1N5p/pq4p1/1p6/7P/1P3PP1/R5K1 w - -,b8d6
r5k1/ppp3pp/1n6/3p1r2/2nP4/P1P2P2/4NKPP/1RB4R w - -,h1e1
8/2p5/4kbR1/2P5/2K5/1p6/8/8 b - -,b3b2
3r2k1/p4pbp/q1p1p1p1/8/1B2Q3/P3NBP1/r4P1P/5RK1 w - -,f1c1
8/6pk/6q1/p4R1p/5Q2/1P5P/r4PP1/6K1 b - -,g6e8
rnbq1rk1/p3ppbp/2p3p1/1p1nP3/2pP4/2N2NP1/PP3PBP/R1BQ1RK1 w - -,a2a4
r1q4k/1p3Qp1/4N3/p2p1p2/8/2PB4/PP3PP1/6K1 b - -,c8g8
6k1/1R1r1Np1/4p2p/p2r4/1p3PP1/1n6/5K1P/4R3 w - -,b7d7
r1bqk2r/1p2npbp/2ppn1p1/p3p3/2P5/1PNPP1P1/P2B1PBP/1RQ1K1NR w Kkq -,g1e2
rnbq1rk1/1p2ppbp/2p2np1/p2p4/2P5/3P1NP1/PP1NPPBP/R1BQ1RK1 w - a6,a1b1
6k1/4p3/p2N3p/P2Pp3/2P5/7P/8/6K1 b - -,e7d6
8/6k1/5p2/5pPR/P7/8/6PK/1r6 b - -,g7g6
8/8/4kn2/3pNp2/1B1KpP1p/6PP/8/8 w - -,g3h4
1rb1rbk1/1pqn1ppp/p2p1n2/2pP4/P3P1PN/2N5/1P3PBP/R1BQR1K1 b - -,g7g6
r1bNk2r/1p2ppbp/p2p2p1/6P1/8/2n4P/PPP1BP2/R1BQK2R b KQkq -,c3d1
r3r1k1/1bpq1p1p/p5pQ/1p6/1n1PP3/8/P1B1NPPP/R2R2K1 w - -,c2b3
4r1n1/1pp1rpk1/p1bp1b1p/5Pp1/P3P1P1/1BP2N1P/1P1NRK2/4R3 w - -,b3c2
4rr2/pppb2p1/3P2k1/3P3n/4P2P/2B2n2/PP2B3/2RK3R b - -,h5g3
1r1qr2k/1ppb1pp1/2n1pb1p/p1P5/3PB3/P1B2N2/1PQ2PPP/3R1RK1 w - -,f1e1
2kr3r/pppq1p2/2n5/7p/Q2b3p/3PN1P1/PP2PPK1/1RB4R w - -,h1h4
1r3rk1/2nq2pp/p2p1pb1/2nPpN2/p1p1P1P1/2P3NP/RPB1QP1K/6R1 b - -,b8b6
r4rk1/ppqbbpp1/4p2p/n2pP3/3P3P/2P3PN/P4PB1/R1BQR1K1 w - -,d1g4
rnbq1rk1/pp2ppbp/3p1np1/2p5/1PPP4/2N1P3/PB3PPP/R2QKBNR w KQ c6,d4c5
1R6/5kpp/1r3p2/1P6/8/1b4B1/5PPP/6K1 b - -,b6b8
8/1pnnkppp/3p4/3Pp3/1P6/r1P2P1P/B2RNKP1/8 w - -,f2e1
8/8/8/3k1n1p/5Pp1/p1BK2b1/P3N3/8 w - -,c3b4
3R4/1p5p/p4k2/3p1p2/2b2P2/P1P2P1P/5K2/8 b - -,c4b5
3r1rk1/2q1bpp1/1pp1p2p/p1n1P3/P4P2/2P1B1N1/1PQ3PP/3R1RK1 w - -,e3d4
2r3k1/pp4pp/5p2/3q4/3PbB2/bP3N2/P3QPPP/3R2K1 w - -,f3d2
r4rk1/pppq2p1/3b1n1p/3pP3/7B/2P4P/PP3PPK/RN1Q1R2 b - -,d6e5
