1R6/8/5p2/3pk3/7P/3r3P/5K2/8 b - -,d3h3
r7/8/3k4/8/4K2p/8/8/7R b - -,d6e6
r1b2rk1/1p2bppp/p4n2/2ppq3/P3PP2/2PBB2P/1P1N2P1/R2Q1RK1 b - f3,e5c7
3r3r/1PN1bpp1/pk2pnp1/2n5/4P1P1/1B2BP1q/PP2Q2P/2R2RK1 b - -,b6c7
1r2kb1r/3b1ppp/1qn1p3/p2pP3/3P4/1N6/2Q2PPP/R1BB1RK1 b k -,c6d4
5r1k/3Bq1p1/1p2P1bp/p1b2p2/P7/1P4P1/1B2Q2P/5R1K b - -,h8h7
8/5pk1/r5pp/R2p4/1nP2P2/7P/5P2/5BK1 w - -,a5b5
Rr1n3k/1P5p/3p1b2/3Pp3/4Pp1r/1P1N4/7P/6RK w - -,a8b8
r1b1r1k1/bppp1pp1/p1n2q1p/8/2PP4/2N3P1/PP2NPBP/R2Q1RK1 w - -,c3e4
3rrbk1/1q1b1ppp/1Np5/Q3n3/4P3/1P2B3/P3B1PP/2RR2K1 b - -,c6c5
8/4pp1k/3p1b2/3P2pp/4P3/5KP1/r4B2/7R b - -,h7g6
4r3/2p2pkp/pq4p1/2p5/3r4/2N1B1PP/PPR2PB1/5RK1 b - -,e8e3
r2q1rk1/pp1bppbp/2np1np1/8/2BNP3/2N1B2P/PPP2PP1/R2Q1RK1 w - -,d4e2:f1e1
r1b2rk1/pp1pp1bp/4n1p1/4q3/2P1N3/1P2B1P1/P2Q1P1P/2R1KB1R w K -,f1g2
r1b2rk1/pp1nbppp/2pp1n2/6B1/8/2NP1N2/PPP1BPPP/R3R1K1 w - -,d3d4
2krr3/pp3pbp/n1pq2bn/8/1P1N4/P1N1P2R/1B2BPP1/R2QK3 b Q -,c8b8
8/7p/2k1p2P/p2b4/1p5R/1P2q3/PKP5/3R4 b - -,d5e4
3rr1k1/1pq3p1/2npbp2/pB2p2Q/P3P3/2P1B2P/1P1R1PP1/4R1K1 w - -,h5e2
3r2k1/bb3pp1/p6p/P7/B2p4/2P2P2/3R2PP/R5K1 w - -,g1h1
3r2k1/2q2ppn/4b2p/1p2p3/1Pp1P3/2Q1BPP1/2P4P/R4BK1 w - -,a1a7
r2q1rk1/ppp3pp/1bn2p2/1B1pP3/3Pn1b1/2N1BN2/PP3PPP/R2Q1RK1 w - -,e5f6
1kr5/p7/1p2nN2/1P2P2p/2pP1pp1/2P5/5PPP/1R4K1 b - -,f4f3
3rrbk1/ppqb1pp1/2pp1nn1/7p/2PNPP2/1PN2QPP/P4BB1/2R2RK1 w - -,d4c2
r3rbk1/p1pq2pp/4bp2/Ppp1p3/3nP2N/1PBPN1P1/2P2P1P/R2Q1R1K w - -,f2f4
r4rk1/2q1bppp/p2p4/1pnPp3/4Pnb1/5N1P/PP1N1PP1/RBBR1QK1 b - -,g4d7
1r1k1nQ1/qb2b2r/2p5/p1p1P2p/N1Pp1P1P/BP1P2P1/P3R2K/4R3 b - -,b7c8
r1b1k2r/1pqpbppp/p1n1pn2/8/3NP3/2N1BB2/PPP2PPP/R2Q1RK1 b kq -,e8g8
r4rk1/pppqpnb1/2np3p/5p2/3PN3/1QP1B1P1/PP3PBP/R4RK1 w - -,e4d2
8/8/r1k1K3/4P3/p7/R7/8/8 b - -,c6c5
8/3r4/8/r3kpp1/1P2p3/6K1/6P1/R7 w - -,a1a5
8/6pp/2k1r3/p1pn1p2/Pp6/1P3PP1/3B1K1P/2R5 b - -,h7h6
1n1r1rk1/p3qpbp/1p2b1p1/n1p1p3/P1B1P3/1PP1BP2/2QN2PP/R1N2RK1 b - -,a5c4
r1b1k2r/pp1n1p1p/2p1p3/3p4/1qPPn3/4PpB1/1P1N1PPP/R1Q1KB1R w KQkq -,g2f3
8/5p1p/p4pk1/8/7P/P1K3P1/8/8 b - -,g6f5
4r1k1/1p6/2n1p1p1/p1b4p/2N1RB2/PP4P1/5PK1/8 b - -,g8g7
r1bq2k1/pp1nbr1p/4p1p1/3pP2Q/3p4/3B1N2/PP3PPP/R1B1K2R w KQ -,d3g6
r3kb1r/pp2p2p/2n2pp1/4P3/2B2Pb1/2P1BN2/P5PP/1R2K2R b Kkq -,e8c8
7k/pp4rp/2p2Q2/3b1p2/3P4/P6P/1PP5/2K5 w - -,h3h4
5q1k/7p/p2p4/4p1R1/2P1P2P/p2P2P1/1r6/2Q2K2 w - -,g5f5
8/p3p2k/1n2p1p1/8/2rR1B2/6PP/4PP1K/8 w - -,d4d3
rn4k1/4pp1p/8/pp2Pp2/8/1PB3P1/P4P1P/2R3K1 b - -,b8c6
r2q1rk1/pp3pb1/5npp/1N3b2/2P2B2/1Q1p2P1/PP3PBP/R2R2K1 b - -,g6g5
3r2k1/1p4p1/3b1rq1/5pBQ/4b3/P2p3P/1P4P1/R3R2K w - -,h5g6
8/2p2k2/2R2p2/1N3Kpp/8/5PP1/7r/8 w - -,c6c7
r4r2/pp5k/3n1Q2/2pP1p1B/P1P1p3/7P/4RPP1/1R4K1 b - -,f8f6
r3r1k1/pbqn1pb1/1p3npp/2p1p3/4N3/2PBP2P/PP1NQPPB/R2R2K1 b - -,a8d8
r1bq1r2/pp1nbpk1/2pp2pp/4p3/2BPP3/2P1NNP1/PP3PP1/R2QR1K1 w - -,d1c2
5k2/p1nq1p2/1pp3p1/6P1/4QP2/4N3/PP2PK2/8 w - -,e4e5
r3k2r/pp2bpp1/4pn1p/q2p3P/3P2P1/1P1B1Q2/P1P2P2/R1B2RK1 w kq -,c1f4
3q4/1b3pk1/1ppr2pp/p3b3/P1B1Pp2/1NP2P1P/1P3QP1/5R1K b - -,b7c8
5bk1/p5p1/3pQ1p1/6P1/2P4P/6B1/Pq3P1K/8 b - -,g8h7
r4rk1/p2q1ppp/np2p3/8/3bQ3/P5P1/1P2PPNP/1RB2RK1 b - -,a6c5
5rk1/2q1npbp/1p2b1p1/2p1p3/4P3/3PBN1P/1QPN1PP1/5RK1 w - -,f1b1
8/5k2/1n1r1pN1/1p2pP1p/p3R2P/PPP2KP1/8/8 w - -,e4b4
2r3k1/1p3rbp/pRq3p1/2B1n3/P3PN2/6P1/2Q4P/2R4K b - -,c6d7
8/1b1R4/5p2/1pB1K3/1P5k/2P3p1/8/5r2 w - -,e5d6
r4rk1/pp4bp/1qn3p1/1B1p4/4p3/1PPp3P/PB2Q1P1/RN2R2K w - -,b5d3
2rq1rk1/1p1nb1pp/p2p2b1/3Ppp2/2P2P2/1N2B3/PP1QB1PP/R2R2K1 b - -,e7f6
r1bq1rk1/p4pbp/3p1np1/1ppP4/2N1PPn1/2N5/PP2B1PP/R1BQ1RK1 w - b6,c3b5
2rb2k1/3r2pp/p2p1p2/1p1bpP2/1Pq1P3/2N1Q3/1PPR2PP/2R4K w - -,c3d5
r1bq1r2/pp3pkp/2n1p1p1/3n3P/3P4/P1NB1N2/1PQ2PP1/R3K2R b KQ -,d5f4
r1b3k1/ppQ4p/3bp3/3p4/5r1B/3B1n2/PP3PPP/R4RK1 w - -,g2f3
3r4/2k4p/6p1/1B2R3/Pp4P1/1K6/1P3n2/8 b - -,f2g4
8/6k1/4K3/1Pp2pR1/5P1P/6P1/8/1r6 b - -,g7h6
8/6k1/p4p2/Pp5p/1P4nP/6P1/5P2/3Q3K b - -,g4f2
r1bqnrk1/pp2ppb1/6pp/2pPp3/2P1P2B/2N5/PP2BPPP/R2Q1RK1 w - -,f2f3
r2q1r1k/pp1n1bpp/8/P2npPb1/8/3P1N1P/1P3PB1/R1BQ1RK1 w - -,f3g5
5b2/6p1/5p2/7P/pp1B4/3N4/k2K4/8 w - -,d4c5
r4rk1/3n1ppp/p1p1qn2/N1Pp4/P2Pp3/1P2P2P/4QPP1/1BR1R1K1 w - -,b1c2
r2qk2r/1b1nbppp/p2p1n2/1pp1p3/3PP3/2P2N2/PPB2PPP/RNBQR1K1 w kq -,b1d2
r3k2r/pp1bppbp/5np1/q7/1B6/3P2P1/P1P1NPBP/RN1QK2R b KQkq -,a5b4
6k1/4pp1p/3p2p1/1q1P4/pp1QP3/1P3P2/P5PP/4K3 b - -,a4b3
1r3r2/3nppkp/2p3p1/p3pP2/1q2N2Q/1P2R2P/2P3P1/5R1K w - -,c2c3
r2qk2r/pp1bnpbp/2npp1p1/2p5/2B1PP2/2NP1N2/PPP3PP/R1BQ1RK1 w kq -,f4f5
r4rk1/pbqnbppp/1p2p3/1PpN4/P2P4/4PN2/1B2BPPP/R2Q1RK1 b - -,b7d5
3r3r/pp6/2p1kp2/3p2pp/3Pn2P/1P2PNP1/P1R2P2/K4R2 w - -,f1h1
r4r1k/p1p2p1p/1b2b3/2ppP3/3B4/6R1/PPP1NKPP/3R4 w - -,d4e3
r2q1rk1/pbpnbppp/1p3n2/3pN3/3P1B2/2NBP3/PP3PPP/R2QK2R w KQ -,e1g1
6QR/6p1/3Pr1k1/ppn4p/2p1p3/P1P3B1/4q1KP/8 w - -,g2g1
2r5/1pr2pk1/p5p1/4Pb1p/P2P4/1B2q1P1/Q2R2K1/8 b - -,c7c3
4q1k1/1p3p1p/5bp1/B5n1/2P1b3/5nP1/PP3PBP/2QR3K w - -,a5c3
1r4k1/pq3pbp/2rQ1Bp1/8/4p3/1B3P2/PPP3PP/2KR3R w - -,d6d7
2kr3r/p4p2/4p1p1/1p1pP3/1P3P1b/2p2K1P/P4p2/1RB2N1R w - -,c1e3
2b1rbk1/1p3p2/r1q4p/p1pNp3/2P1P3/1Q3PP1/PP1R2BK/3R4 b - -,f8g7
2r1r1k1/1p3pbp/1qp1p1p1/p2nB3/3P3P/2P2B2/PPQ2PP1/3RR1K1 b - -,b6d8
3r1qk1/2pbnr2/1p1n3p/p2PBppQ/2P5/1P5P/P1B1R1P1/1N2R1K1 w - -,b1d2
6k1/1p3pbp/2p1b1p1/p1N1P3/n2B1P2/6PP/2r3BK/1R6 w - -,c5a4
1r3rk1/2p2p1p/2np2p1/2n1p3/p1P4q/4NP2/PP1QPPBP/1R3RK1 b - -,c6d4
r2qkb1r/1pp2ppp/p1n1pn2/8/2BP2b1/2N1PN2/PP3PPP/R1BQ1RK1 w kq -,a2a3
r1bqkb1r/pp1npppp/2p5/3p4/3Pn3/1P1BPN2/P1P2PPP/RNBQK2R w KQkq -,e1g1
r1bqr1k1/p5bp/2p2p2/3p2p1/3Pn3/1PNQBN1P/P4PP1/2R1R1K1 b - -,c8d7
r2qr1k1/1p3pbp/n2pb1p1/1Np5/NPn1P3/P3B1PP/2Q2PB1/3RR1K1 w - -,a4c5
r2q1rk1/1p1bppbp/p1Bp1np1/8/2P1P3/2NQ1N1P/PP3PP1/R1B2RK1 b - -,b7c6:d7c6
r1b1k2r/ppq1pp1p/2np1np1/8/3NP3/3B4/P1PB1PPP/1R1Q1RK1 w kq -,d4b5
2bqk2r/2p1bp2/pr6/1p1Pp2p/1P6/4P1P1/1P3PBP/RN1Q1RK1 w k h6,b1d2
q1r1r2k/1b4bp/2p2pp1/1p2p3/1B6/3P2P1/P1Q1PPBP/1RR3K1 w - -,b4c5
r1r5/1pR1p1kp/1q3pp1/p2p1b2/3P4/PPQ1P1P1/3N1P1P/2R3K1 b - -,b6d6
2b2rk1/6b1/2Bp2n1/1P1Pp2p/4Pp1q/3N1PpP/PQ4P1/R3R2K w - -,h1g1
2rqrbk1/pb3p2/1p2pn1p/3nN3/3P4/P1N3RQ/BP3PPP/4R1K1 b - -,g8h7
2rqbrk1/1p4pp/pbn1p3/2NpPn2/1P6/P2B1N2/1B3PPP/1QR2RK1 b - -,d8e7
r1r3k1/1b1qbppp/p2ppn2/1p6/4PB2/P2P1NNP/1P2QPP1/2R2RK1 w - -,c1c3
3rr1k1/pp3p1p/6p1/3P1Nq1/8/1P1R2P1/PQ3P1P/5RK1 b - -,g5f5
7R/kp6/2p5/p2nQ3/3P4/4P1K1/8/5q2 w - -,e3e4
1k2rb1r/Nppb4/7p/3pp2q/8/P4N2/1PP1QPPP/3RR1K1 w - -,d1d5
1B1k4/p2p3p/1p3pp1/3n1p2/2P1rP2/P4R2/1P1K4/8 b - -,e4c4
8/3r1ppk/2p2n1p/Q7/2B1q3/1P4PP/6PK/5R2 w - -,a5c3
8/p3q1pk/1p1r3p/4Np2/2Q1bP2/P6P/1P4P1/3R2K1 w - -,d1d6
r3k1r1/1p3pPp/p3bB2/3p3q/8/3BQ3/PPP3PP/5R1K b q -,d5d4
5rk1/pp2r2p/4pqp1/3pP3/8/P1R1Q2P/1P3PP1/4R1K1 b - -,f6f4
r2q1rk1/3bppbp/p2p1np1/1p3P2/P3P2Q/1PN5/1P2B1PP/R1B2R1K b - -,b5b4
rn1qkb1r/ppp2ppp/1n1pp3/4P3/2PP2b1/5N2/PP2BPPP/RNBQ1RK1 b kq -,f8e7
8/5k1p/3p4/1ppP4/5PP1/5K2/1P6/8 b - -,f7g6
3N2k1/p4p1p/4p3/6q1/3QPn2/5PP1/PP4KP/8 w - -,g2f2
r4rk1/pbqp1ppp/2n1pn2/2p5/2P5/5NP1/PPQNPPBP/R2R2K1 w - -,d2e4
4kb1r/3q1p2/4p2n/p2pPp2/Pp1N1B2/1PR4P/2PQ1P2/2K3R1 b - -,b4c3
2q1r1k1/pp3rbp/3p2p1/1QpP2P1/P4P1n/R3P1NP/1P6/2BK3R w - -,e3e4
2kr1b1r/1ppq1ppp/p1n2n2/4pbN1/8/P1NP4/1PP1BPPP/R1BQR1K1 w - -,e2f3
rn1q1rk1/pp4pp/2p1ppP1/3nN3/PbBP2P1/2N1P3/1P2QP2/R1B2RK1 b - -,f6e5
3rr1k1/p4p1p/4bp2/q1p5/2p5/P1P2P2/3QBKPP/R6R w - -,d2c2
rn1qkb1r/pbpp1ppp/4pn2/P7/1p1P4/5NP1/1PP1PPBP/RNBQK2R b KQkq -,c7c5
5k2/p2p2pp/1p3p2/4n3/8/P1N1q1P1/1P2BRKP/3R4 b - -,f8f7
r1b1qrk1/p4ppp/1nN5/2b5/2B1nP2/3Q4/PPPBN1PP/R3K2R w KQ -,c6e5
r1bqk2r/1p1nppb1/p1p3pp/2P4n/2BPN3/5N2/PP1B1PPP/R2QK2R b KQkq -,h5f6
3r4/p1R1k2p/1p2ppp1/8/3r1P2/PP6/3R2PP/6K1 b - -,d8d7
4r1k1/1q1n1pb1/1p1Pp1pp/p7/2P4B/1P3N1P/P3Q1P1/3R3K b - -,e8c8
5rk1/3Q1pp1/2p4p/1p2P3/1P3P2/4K3/P2R2qP/8 b - -,g2g1
8/6pp/2k5/P7/4p3/6P1/2K4P/8 w - -,c2d2
r3nrk1/5ppp/bqn1p3/p1ppP3/1pP5/3P1NN1/PPQ1BPPP/R3R1K1 w - -,c4d5
r1bqk2r/pp2ppb1/2p2Npp/8/2BP4/4PN2/PPPQ2PP/R3K2R b KQkq -,e7f6
r2q1rk1/1n3pbp/1p1p1np1/3Pp3/QpP1P3/3BBN1P/5PP1/1R3RK1 w - -,a4b4
r1b1k2r/ppp1nppp/3p1q2/2b1n3/4P3/2P2N2/PP1NBPPP/R1BQK2R w KQkq -,e1g1
2kr4/pnqr1pp1/2p2b1p/4p3/4Q3/1P1P4/PBP2PPP/RN2R1K1 w - -,b1d2
1Q6/5p2/4p1p1/4P3/K4Pk1/8/8/7q w - -,b8f8
rn2kb1r/pp3ppp/1qp1pn2/3pNb2/2PP4/1QNBP3/PP3PPP/R1B1K2R b KQkq -,f5d3
4k2r/2rbbppp/1N1pq3/2p5/1p2P3/3Q1N2/1PP2PPP/R2R2K1 b k -,d7c6
8/8/8/1Pb5/2K3p1/P5P1/1P6/5k2 b - -,c5b6
2r3k1/4npp1/pq2p2p/1p2P3/1P2Q3/P7/1B3PPP/3R2K1 b - -,e7d5
r1b1nbk1/1p1nqr2/2pp1ppp/p3p3/2PPP3/BPN2NPP/P2Q1PB1/3RR1K1 w - -,d2c2
2q2nk1/2r2pbp/p3p1n1/1p1pP1BQ/3P3N/1P6/P4PP1/1B2R1K1 b - -,g6h4
8/8/p3k2p/P4p1P/2P2K2/3pP3/5P2/8 w - -,f4f3
4rrk1/6b1/pp2P1p1/6qp/3pQ3/6BP/PP3PP1/3R1RK1 b - -,g5f5
r1b1r3/1pb5/p5pk/5p1p/P1NBnP2/2P2BP1/1P5P/R2R2K1 w - -,c4b6
8/p7/PnK1k2p/1P5P/8/1B6/8/8 b - -,e6e7
R7/1q3rk1/R3p3/1p1rPppp/1PpP4/2P5/3Q2PP/6K1 b - -,f5f4
r2qrbk1/2p2pp1/2n1b2p/p2n4/Pp1P4/3QNN1P/1PB2PP1/R1B1R1K1 b - -,g7g6
1kb1r2r/pp3p2/8/2qpb3/3N2p1/2PBP1P1/1Q3KP1/RR6 b - -,c5c7
5k2/p4ppp/1npr4/2Rp4/3P2B1/1P6/P4PPP/6K1 b - -,g7g6
r1b1kb1r/1pq2ppp/p1nppn2/8/4P3/PNN1B3/1PP1BPPP/R2QK2R w KQkq -,e1g1
5qk1/1p1n2p1/2p4p/2PpP2P/1P2b1P1/2B1Q1Kn/4N3/8 w - -,g3h3
r4rk1/pp2p2p/1q4pb/2p1P2n/2PN1P1Q/3bP3/PB3RBP/2R3K1 w - -,g2d5
rnr3k1/4b1p1/p1q2nQp/7N/1p1p4/6P1/PPP4P/R1B2RK1 b - -,f6h5
8/4k3/p6r/4K1pp/4P3/6P1/8/7R b - -,h5h4
r1bqk1nr/pp3ppp/2n5/3p4/3N4/2b3P1/PP2PPBP/R1BQK2R w KQkq -,b2c3
8/R5p1/5pk1/8/5K1P/p3P3/5P2/r7 b - -,a1h1
3r4/1p3b2/p1p3kp/2P2Np1/8/1P2r3/P5PP/5RK1 w - -,f5e3
2R1rk2/1p3p2/8/p7/2PP2R1/4PK2/r5PP/8 w - -,g4g8
3r1rk1/1p2bp1p/pq2pnp1/4B3/4BP2/6Q1/PPP3PP/R4R1K w - -,e4d3
8/8/5p2/P3nk2/6rp/1P2Q3/8/7K b - -,g4g3
