1r6/7p/8/N2k4/P7/4B2P/5P1K/8 b - -,b8b4
r2qkbnr/pp1npppp/2p5/3p1bB1/3P4/2N2N2/PPPQPPPP/R3KB1R b KQkq -,g8f6
r4rk1/pp2q1n1/2p1p1b1/3pPp1p/1PP3p1/4P1P1/PQ1N1PBP/R4RK1 w - h6,b4b5
1r1b1r1k/1q1n2np/ppbp2p1/2PNpp2/1P2P3/P2NBP2/Q5PP/2RR1BK1 b - -,b6c5
3N2k1/4p1bp/p4qp1/8/1Pb5/3B2nP/P4PP1/2R1B1K1 w - -,d3c4
r2q1rk1/1b2ppb1/p1np1n1p/3N2p1/Pp2P3/1N4B1/1PP2PPP/R2QRBK1 b - -,f6d5
4r3/8/8/6p1/6P1/2kp1N1P/5RK1/8 w - -,g2g3
8/p7/7p/3k1pp1/PP1P4/2K5/5PPP/8 b - -,h6h5
6k1/2q2rb1/1pp5/p1p2rpp/P1P1p1P1/2BP1P1P/2P1Q3/4RRK1 w - -,g4f5
r4r2/pp6/3P4/5k2/4R3/P4P2/1P4KP/3R4 b - -,f8g8
rn3rk1/6pp/1pp2p2/p4P2/3PQ1N1/4P3/qP4PP/2R2RK1 b - -,b6b5
1r1qk2r/1ppb1p1p/p1n2np1/3p4/2PP4/P4NP1/1PQN1PBP/R3R1K1 b k -,d7e6
2r3k1/p1r2p1p/6p1/2R5/4N3/1P1bP3/P4PPP/2R3K1 b - -,c7c5
1rbq1r2/1p4k1/p1np1ppp/2p1pP2/2P1P1P1/3P3P/PP1QN1B1/3R1RK1 b - -,g6g5
8/N4p1p/4pk2/1PR3p1/6P1/4nP1P/1r6/4K3 b - -,e3d5
r5k1/5pp1/2q4p/1p1p4/1QnP4/3BP2P/5PP1/5RK1 w - b6,f1b1
r2q1rk1/pp2ppbp/1n2bnp1/3p2B1/3p1P2/1NN1P3/PPP1B1PP/R2Q1RK1 w - -,b3d4
5rk1/pp1bq1bp/n4r2/2pP1p2/2P1p3/2N3P1/PPN1B2P/1R3RQK w - -,c2e3
8/2k2p2/2p1p1p1/7p/P4R2/4P1P1/4PK1P/3r4 b - -,d1d7
1r4k1/p1pn1ppp/b2Bp3/q7/1rpPP1B1/2N3P1/PP2QP1P/1R1R2K1 b - -,c7d6
7r/pp2k3/6p1/3Pp1N1/2r1N3/6K1/PP6/R7 b - -,c4d4
r1bq1rk1/pppnnpbp/3pp1p1/8/3PP3/1BP2N2/PP3PPP/RNBQ1RK1 w - -,f1e1
3rr1k1/p4p2/3q2p1/2pp1n1p/4n3/PPBQPN2/5PPP/2RR2K1 w - -,c3a1
rn1qk2r/5pp1/p3pn2/3p2p1/Rb1P2P1/1PN1PB1P/2QB1P2/4K2R b Kkq -,b4e7
r2q1rk1/ppp1bpp1/2n1b2p/3pP1n1/3P4/1Q3N2/P4PPP/RBB1RNK1 w - -,f3g5
r2qr1k1/pp1n1ppb/2pbpn1p/8/2BP1N1P/2P1B1N1/PP2QPP1/R4RK1 w - -,a1d1
5rk1/1q5p/p5p1/1p2pp2/5n2/2Pr1PQ1/PPRN2PP/4R1K1 b - -,d3d5
r2q1rk1/ppp1bppp/2n5/3b4/2BP1p2/2P2N2/PP2Q1PP/R1B2RK1 b - d3,d5c4
r2q1rk1/ppp2ppp/2p2n2/4p3/1b2P1b1/2NP1N2/PPP2PPP/R1BQ1RK1 w - -,c1g5
8/1B6/P3r1p1/2k2p1p/5K1P/rp1P2P1/1R2P3/8 w - -,e2e3
r2n2k1/pp3r1p/2p4R/3np3/4B1P1/2PPB3/P4PK1/1R6 w - -,e4d5
2kr1b1r/1pp3pp/p1p3q1/3b1nN1/3P2QP/4B3/PPN2PP1/R4RK1 b - h3,h7h5
r2qr1k1/1Q1n1Bbp/pp1P2p1/8/P4Bb1/2N5/1P4PP/R4RK1 b - -,g8h8
r1r3k1/2qnbp1p/p1bppnp1/P1p5/3PP3/B1PB1N2/2QN1PPP/R3R1K1 w - -,d4d5
8/1r1bk1pp/1P2p3/2KpPp2/2p2P2/2P3P1/1RB4P/8 w - -,b2a2
