7Q/3k4/p3q1p1/r3B3/2P2P2/7P/6PK/8 w - -,h8b8
8/1pk3n1/p2b1p1p/2p3p1/8/2P3P1/PPB2P1P/2B2K2 w - -,f1e2
3qr1k1/pbr2ppp/1p2p3/2npP3/2P5/1P4P1/PBR1QPBP/3R2K1 b - -,d8a8
3rn1k1/6Pp/5pp1/p1R5/1p1B4/1P2P2b/P3NP2/6K1 b - -,d8a8
5r2/kp3r2/p2q1p2/2p1nRpB/3pP3/P2P2PP/1PP2Q2/5R1K b - -,f7h7
r1bq1rk1/p1p2ppp/2p5/3pN3/3P4/2n2P2/P1P3PP/R1BQ1RK1 w - -,d1d3
5rk1/Qbq2ppp/p2bpn2/1p6/3N4/1BP4P/PP3PP1/R1B2RK1 b - -,f8a8
4r2k/6n1/6Pp/2q5/2B1PQ2/1P6/5RKP/8 b - -,c5g5
2br1nk1/1p3r1p/p1pP1pp1/P1Np4/1R1P4/3B1P1P/1P1K2P1/4R3 b - -,g8g7
6R1/p3kp2/P7/1P5p/2bb1p1P/5P2/6K1/8 w - -,g8b8
2rr2k1/pq3pp1/2p1p2p/2R2n2/Q4B2/2P4P/P4PP1/4R1K1 w - -,c5a5
8/1p1nkn2/1Pp1bp1p/P3p1p1/N1N1P2P/5PP1/4BK2/8 w - -,a5a6
4r1k1/ppp2ppp/3p4/6P1/3Q1P1q/1PPB1b2/P1P4P/2K1rRR1 w - -,f1e1
2k5/pp4pp/1bp5/5p2/5N2/3Rn2P/PP4P1/5K2 w - -,f1e2
8/3r1pk1/5b1p/2PB1RpP/8/5KP1/3p1P2/8 w - -,f3e2
1rB5/1P5p/6p1/1kp5/8/2P4P/5PP1/6K1 w - -,f2f4
r1bq1rk1/pp3pbp/n1pp1np1/4p3/2PPP3/2NB1N1P/PP3PP1/R1BQ1RK1 w - e6,c1g5
1k1r3r/1pq2pp1/p1pb2p1/P2n2P1/R2P3P/4PQ2/3B1PB1/4K2R w K -,h4h5
8/r3kp2/P2p2p1/2n1p3/2B1P3/5P1K/R7/8 b - -,f7f5
r6k/p1R2p2/7p/1pp4r/4b3/5NP1/PP3K2/4R3 w - -,e1e4
r3r1k1/p3nppp/1p6/2pp4/3P1PNq/3Q4/PP3KP1/R5B1 w - -,f2f3
4r3/8/6p1/R3bk1p/3Bp2K/4P3/8/8 b - -,g6g5
8/5pk1/4r2p/8/6KP/8/3Q4/8 b - -,e6e4
r1bq1rk1/pp3p2/2p2n1p/2bpp3/B3P3/2NP2Bp/PPP1QPP1/R4RK1 w - -,e4d5
