8/R2pk3/1p2p3/1P4p1/2P5/1PK3Pr/8/8 w - -,a7b7
8/1p6/6pR/2b1Pkp1/1r6/6B1/K4PP1/8 w - -,h6h7
2R5/1ppkn3/p3N1p1/4p1p1/4P3/2P1P2P/PP4P1/6K1 b - -,e7c8
8/7k/5R1P/8/5PK1/1p1r2P1/8/8 b - -,b3b2
1r3r2/1b2ppk1/6p1/p6q/6R1/1P1B2Q1/P5PP/3R2K1 w - -,d1e1
rn6/p5bk/1n2b1pp/1Np1P3/4B1q1/P2P1Q2/1PP3PP/R1B3K1 b - -,g7e5
5rk1/p2p2pp/q1b1p3/6r1/4Pp2/1P3PP1/P2R1QBP/2R3K1 w - -,g3g4
3r1rk1/pp2ppbp/2B3p1/q7/3P2b1/2N2N2/PP1Q1PPP/R4RK1 b - -,b7c6
8/3n2p1/1pr1kp1p/5p1P/2P5/1P1RB3/3K1PP1/8 b - -,d7c5
r1bq1rk1/3n2pp/p1p1pb2/3p4/5B2/2N2B2/PPP2PPP/R2Q1RK1 w - -,f4g3
5r2/1r4pk/4p2p/3p3P/p1p3P1/2p1PP2/PP1RK3/2R5 w - -,c1c3
r5k1/p1B2p2/Bnp2bp1/5p2/1P6/P7/6PP/R2r2K1 w - -,a1d1
5kr1/5p2/2b1p2p/p7/3r1P1p/P2N4/1PP3PP/2K2BR1 w - -,c1d2
3r3k/p5pp/1pbq1r2/2ppN3/8/P1P5/1P1Q1PPP/3RR1K1 b - -,c6a4
r1b2rk1/1pp3qp/p1nbp1p1/3p4/3P4/P1PB1N2/1P1Q1PPP/3NRRK1 w - -,d2g5
r2r2k1/3qnpbp/p2ppnp1/Qp6/2P2N2/1P2N1P1/PB2PP1P/2RR2K1 b - -,e7c6
2r2rk1/p4pb1/bp2p1np/3p4/8/1N1PB1PP/PPP1R1B1/1R4K1 b - -,g6e7
r2r3k/pp4qp/4Q1p1/8/3p4/5P2/PP3P1P/3RR1K1 b - -,d8f8
4rrk1/3n2p1/2p4p/1p1p1p2/p1bP1B1P/P1P1PP2/2B3P1/R3R1K1 w - -,g1f2
r4rk1/4q3/p1N4p/1p1p2p1/3P1p2/6P1/PP3QP1/2RR2K1 b - -,e7d6
rn3rk1/1bq2ppp/3ppn2/p1p5/2P5/PQ2BNP1/1P2PPBP/R4RK1 w - -,f1d1
r2r2k1/pp1nqppp/5n2/3p4/4p3/1P1P1NPP/PQ2PPB1/2R1R1K1 w - -,f3d4
5k2/6p1/2B4p/p1p5/P1p2P2/2P3PP/r3b3/4R1K1 b - -,a2c2
r1bq1rk1/3nppbp/p5p1/2p1P3/2P2P2/2N1B1N1/P2Q2PP/R3K2R b KQ -,d7b6
1r2k2r/p1pb1ppp/2p5/2bpP1nq/N2N4/5P2/PPP2BPP/R2Q1RK1 b k -,c5e7
2k4r/1pp5/p1pr1Rp1/2n1p2p/4P3/3PN1PP/PPP3K1/5R2 b - -,h8e8
r1bqr3/1pn2pbk/p2p1npp/2pP4/P3P3/2N1B1N1/1P1QBPPP/R4RK1 w - -,f2f4
