8/5K2/7P/7R/4k3/8/8/6r1 b - -,g1f1
8/5p2/p3n1kb/2q1P3/2pN2R1/2B5/PP3PP1/4R1K1 b - -,g6h5
8/3k1p2/4bP2/Q2p2P1/8/4B3/2q2K2/8 w - -,e3d2
r3k2r/3b2pp/p1nqp3/1p1p1p2/3P1Pn1/2NBPN1P/PP2Q1P1/2R2RK1 b kq -,g4f6
r3k2r/pp3p2/1bn1p1p1/3pP2p/1P1p1P2/P4q1P/RB1QN3/1R5K w kq -,h1h2
8/8/5k1P/2pr2N1/8/8/2KB4/8 w - -,g5h3
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/1P2PN2/P4PPP/RNBQKB1R w KQkq -,c1b2:f1d3:f1e2
2r5/5b2/4pp2/1pk2P2/p5Bp/1PPK3P/PR6/8 w - -,d3e3
3rr3/4b1kp/p2PRpp1/1p6/2P5/1P6/PB4PP/3R3K w - -,h2h3
3q3r/2pk1p2/p1n1pPp1/1pPp4/5PP1/PPPQ2B1/1K6/3R4 w - -,g4g5
3rkb1r/pp2ppp1/2n1bn1p/q5B1/2pP4/2N2N2/PP2BPPP/R2QR1K1 w k -,g5f6
2r2r2/q5k1/p3b1p1/1p2p1p1/3bP1p1/3B2N1/PP1Q1PP1/3R1RK1 w - -,b2b3
8/1K2kp2/1P3p1p/3B1P2/3bP1P1/7P/8/8 w - -,b7c7
5rk1/pp1q3p/2n3pb/2P5/3pN1P1/5p1P/PP3Q2/3RR1K1 b - -,d7f7
rq5r/4bk1p/p2p1p1n/3Pp1p1/2N3Pn/Q2RB3/PP2BP1P/2K4R b - -,f7g7
1kb1r3/1nr3bp/1q2p3/p3p3/1p3N2/3R1NPB/PPP4P/1K1RQ3 w - -,f3e5
2r5/1b1r2k1/p4n2/2P5/1P6/2Q2P2/P2p2PP/3R2K1 b - -,c8d8
r3rb1k/1p5p/p1pBp3/2PpP3/PP2pPp1/4P3/6PP/2R3RK w - -,g2g3
8/6k1/4B3/4NPKP/6P1/8/8/7r b - -,h1f1
r2qk2r/pp1nbppp/2p1pn2/3p4/2PP4/3QPN2/PP1N1PPP/R1B2RK1 w kq -,e3e4:b2b3
r2r1qk1/5pbp/p1p3p1/1p1pn3/5Q2/PP2P2P/1BP1BPP1/1K1R3R b - -,e5d7
2k1q1rr/pp6/4p3/2Pp4/P2Pn2b/4P3/1PR3B1/R1BQ2K1 w - -,c5c6
6rk/ppp5/2bppq1p/3n4/3PB2P/P1P2NP1/1P1Q1P2/K3R3 b - -,b7b5
3r1bk1/p7/1q4pp/2pp1p2/7N/1NP1P2Q/rP3PPP/3R2K1 w - -,b3d2
8/1p3k2/2p1b2p/p5p1/n2B2P1/P6P/1P3PB1/6K1 w - -,b2b4
8/4rp2/6p1/1P1b3p/R2k4/3p4/1P3KPP/5N2 b - -,d4c5
8/8/p2kp2K/P7/8/3B4/8/8 b - -,d6c5
r4rk1/1b2q1pp/p3pn2/1pnp4/3Q1P2/2NB1N2/PPP3PP/R4RK1 w - -,a2a4
5r2/5pkp/1p1Nbnp1/7r/1P6/P5P1/5PBP/2R1RK2 w - -,c1c7
r5k1/1b5p/6p1/2B5/P3N3/3r4/3N1P2/R5K1 w - -,c5b6
8/6k1/8/3B4/6P1/8/1P1K2P1/4N1r1 b - -,g7f6
4r1k1/5ppp/3Rp3/B7/2b5/4PP2/5P1P/6K1 b - -,f7f6
r7/pp2pkbp/2p3p1/5r2/8/2P1B3/PPK2PPP/R3R3 w - -,a1d1
8/p7/7p/2Pk2p1/1p1r2P1/1P2K2P/P2p4/3R4 b - -,d5c5
8/3Q3p/5kn1/4p3/7P/8/1rr2BbK/8 w - -,d7d6
8/p5kp/1b2K1p1/2p4r/1PP1R3/8/3R4/8 w - -,d2d5
r2qkb1r/pp1n1ppp/2p1pn2/3p3b/8/3P1NPP/PPPNPPB1/R1B1QRK1 b kq -,f8e7
r1bq1rk1/p1pp1ppp/1p3n2/n2Pp3/1bP1P3/P1N2P2/1P1B2PP/R2QKBNR b KQ -,b4e7
r4rk1/p4ppp/8/1p6/4Qn1q/1B5P/PP3PP1/R3R1K1 w - -,a1d1
8/5k2/1R6/8/5P2/5K2/1pr3P1/8 w - -,g2g3
rnb1k2r/ppq2ppp/2p1p3/3n4/2BP4/5N2/PPPBQPPP/R3K2R w KQkq -,c4b3
1kq5/1pp1r1pp/p1np1pb1/8/8/PPP2P1P/1KPRBBP1/5Q2 b - -,g6f5
r3k1nr/p3bp2/2p1p1p1/P2nq1Bp/1pB1N2P/8/1PQ2PP1/3R1K1R w kq -,c4d5
6k1/4r2p/QP1nq1p1/3p4/2pB4/2P5/6PP/5RK1 w - -,a6a8
3r2k1/p5bp/1p4p1/7r/1PPB1P2/2K1p2P/P2R4/7R w - -,d2d3
1k1r3r/pppqb1p1/2n1p3/3N4/3PQ3/P5P1/1P3PB1/R1BR2K1 b - -,e6d5
r7/2kq1p1r/p1pb1R1p/3p2p1/1P1N4/2P3P1/P3Q2P/4R1K1 b - -,c7b7
5r2/2N3Rp/1Pbk4/P2p4/2pK4/8/6PP/8 b - -,f8f4
5rk1/p2r1ppp/1p1Pq3/5Q2/3R4/6P1/P4P1P/R5K1 w - -,f5e6
r2r2k1/pp2bpp1/1nb1pn1p/8/3P1q2/P1NB1NB1/1P2QPPP/2RR2K1 b - -,f4g4
r4rk1/2q2pp1/3bbn1p/1p1p4/p1nP3N/P3B2P/1PB2PP1/2RQRNK1 w - -,d1f3
2R2r1k/pp3B1p/6p1/8/1r1b3P/8/P4PP1/2R3K1 b - -,f8c8
r1bq1rk1/pp3pbp/1nn3p1/2p5/5N2/1PN1P1P1/P2P2BP/R1BQ1RK1 w - -,c1a3
1r4k1/4pp2/1r4p1/pB1R2R1/4Q2P/2q2P2/2P5/1K6 w - -,b1a2
1r1r2k1/p2qppb1/1p4p1/7p/1P1n4/2NP2P1/Q2BPPKP/2R1R3 w - -,h2h4
2r1r1k1/3nppbp/p2pb1p1/1p6/2P1PP2/qPN1Q2P/P1R1B1P1/4BRK1 w - -,f4f5
r1b1k2r/pp1n1ppp/3p4/q1pn2B1/8/2PBP3/P3NPPP/R2QK2R w KQkq -,e1g1
r3k2r/1pqn2p1/p3p3/3pPnBb/1Q4p1/2NB4/PPP5/2KR3R b kq -,d7b6
8/2k2p2/4p1p1/3rP1Bp/1PK2P1P/8/8/8 b - -,c7c6
3r1bk1/pp6/6P1/2Pp3n/8/8/3RN1BP/6K1 w - -,d2d5
8/1p3p1k/1q1p2p1/R2P4/1n2p1pP/1NK1P1P1/3Q4/8 w - -,d2d4
r3kn1r/p3ppb1/npb3p1/1Np1P2p/2P2P1P/3BBN2/PP4P1/2KR3R w - h6,d1d2
1r4k1/p4pp1/q1p3bp/3p4/3Q4/2P5/PP2RPPP/2N3K1 w - -,h2h3
3r1k2/3npp1p/3p2p1/rPbB2B1/4P3/5P2/6PP/2RR1K2 w - -,g5h6
r2r2k1/pp3p1p/1n2p1p1/8/3Q1P2/b2B2PP/2P5/1R4K1 w - -,d4e4
r6r/p3n1pq/np2k3/3pP3/b1pP4/P1P5/2P2R1P/1RBQN1K1 w - -,d1g4
1R6/r3kp2/4pnp1/p6p/P3P1PP/4KP2/4B3/8 w - -,g4g5
r4rk1/pp2Bppp/2p1p3/3n1b2/2RP4/1q3NP1/PP2PP1P/R4BK1 w - -,a2b3
1rb3k1/5rnp/2p1p1p1/p2p4/2PB2P1/8/PP2BP1P/R4RK1 b - c3,c8a6
8/b7/3B2p1/3kPp1p/p4P1P/6P1/P3K3/8 w - -,d6b4
1r1Rr1k1/1P3ppp/p4n2/8/1bN5/2N2P2/1P5P/3R2K1 w - -,d8e8
3r4/1p3pp1/p4n1k/3p1PP1/1P2pb2/1BP5/2R2K2/6R1 b - -,f4g5
1N6/1p4pp/P1b1k3/4pp2/2p5/5P2/1r4PP/4R1K1 b - -,c6d5
5rk1/1pp3b1/4qnpp/1PPp1n2/4p3/6P1/QB2PPBP/3N1RK1 b - -,e6c8
1rb2rk1/2qnbpp1/1ppp1n1p/4p3/2BPP2B/2N2N2/1PP1QPPP/R4RK1 w - -,d4d5
8/q2k1p2/3pp3/8/1Q2P3/3b4/1K2r3/5R2 w - -,b2c3
r3r1k1/pp3pbn/2pB4/4P3/2PPN1Qp/1P2q1PP/P3N1BK/8 b - -,e8e6
r1b2rk1/1pqn1pb1/p2p4/4p1P1/4N2B/5Q2/PPP4P/2KR3R b - -,f8d8
8/2n5/6K1/6R1/3k4/8/r7/8 w - -,g5g1
r3kb1r/p2p1ppp/2p1p3/8/2P2nq1/1PB3N1/P2Q1PPP/R3R1K1 b kq -,d7d5
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P4/PPP1NPPP/RNBQ1RK1 b kq -,d7d5
1rbq1rk1/5ppp/p1np1b2/3Np3/1pP1P3/8/PPN1BPPP/R2QK2R w KQ -,e1g1:d1d3
2kr3r/pp1n1p2/2p1pn1p/2B3p1/2P3b1/P4NP1/1P1NPPBP/R2R2K1 b - -,d7c5
r2q1rk1/1p1b1ppp/p4n2/2bPp3/8/2NQNP2/PPP3PP/R1B1K2R b KQ -,a8c8
rnbqkbnr/ppp3pp/4p3/3p1p2/5P2/1P3N2/PBPPP1PP/RN1QKB1R b KQkq -,g8f6
2r3k1/3q1r1p/ppnbNpn1/3p2p1/1P1P2P1/P2Q1N1P/4RP2/2B1R1K1 b - -,a6a5
r2q1rk1/1p3ppp/3p1n2/4p2b/pPP1Pn2/P3QP2/3NB1PP/R1B1K2R w KQ -,e1g1
r3r1k1/1p1q1pn1/2p3pQ/P2pP2p/3P3P/2R2NP1/P4PK1/4R3 b - -,g7f5
4kn2/1p3p2/2p3p1/p3r1Pp/P2N3P/1PPK4/8/5R2 b - -,f8d7
2rq1rk1/pb3pp1/1pn1p2p/3N4/7Q/P4N2/BP3PPP/3R1RK1 b - -,e6d5
1r1q4/1b1n1pk1/pp2rnpp/2ppN3/NQ1P4/1R1BP3/PP3PPP/3R2K1 w - -,b4d2
r3r1k1/ppq2pbp/1n1p1np1/1PpP4/4PP2/2N2N2/1P4PP/R1BQR1K1 b - -,c5c4
6k1/2q2pb1/Q2p2p1/3Pn3/4P1P1/4BP2/1r4BP/5RK1 w - -,f1c1
8/p4R1p/1k1p2p1/3P2P1/2P4P/7r/3K4/8 w - -,f7h7
8/p1r1ppk1/1p4pp/4nb2/3R4/1BP1KPN1/PP4PP/8 b - -,f5c8
r2q1rk1/1b3ppp/p4n2/1p1pb3/8/P1NBP2P/1P1B1PP1/2RQ1RK1 w - -,d3b1
8/8/4R1pk/2pN1r2/3b3P/6K1/5r2/7R w - -,h1e1
r2qr1k1/pp3ppp/2n2n2/2b1p2b/3pP2B/2PB1N1P/PP1N1PP1/R2Q1RK1 w - -,d2b3
8/4r1K1/5Nb1/8/p6k/P7/8/8 w - -,g7g6
5rk1/2q5/4p1pn/2p1P2p/ppPp4/1P1P2P1/P3Q1BP/4R1K1 w - -,e2d2
2r1r1k1/1b3p2/p3pp1p/1pn5/4P3/P1b1RN2/B1P2PPP/R5K1 w - -,e3c3
r1bqr1k1/1pp2ppp/2nbpn2/p2p4/4P3/2PP1N2/PP1N1PPP/R1BQRBK1 b - -,e6e5
8/8/5Rpk/5r1p/8/5PK1/8/8 w - -,f6f5
r3k2r/1ppq1b2/pb1p1pn1/6pp/3PP3/1PN1B2P/1PPQ2P1/1K1R1RN1 b kq -,e8c8
r1b2rk1/1p3ppp/p2p1n2/2q1pP2/4P3/2NB1Q2/PPP3PP/R4R1K b - -,b7b5
r5k1/2pr1p2/p2n1p1p/1pb1p3/4P3/1PP5/P1B2PPP/R3RNK1 w - -,b3b4
r2q1rk1/pp4pp/1np5/3pnb2/P7/1QP1B2P/1P1NBPP1/R3R1K1 w - -,a4a5
2q2rk1/r2n1p1p/p4bp1/2p1pR2/2P1B3/2BQ2P1/PP5P/3R2K1 b - -,g6f5
4k3/4b1pp/2R5/2p1B3/pr6/4K1PP/8/8 b - -,g7g6
2r3k1/1rq1bpp1/4p2p/p3P3/3N2PP/2p1QN2/P1P5/K2RR3 b - -,e7a3
r1b2rk1/1pqpnpbp/p3p1p1/8/2PBP3/2N3P1/PP3PBP/2RQ1RK1 b - -,d7d6
6nk/2B4p/1PQ2ppb/p7/2p5/7P/P1R2PPK/3rq3 w - -,c6c4
1r2r3/4p1k1/3p1pb1/7q/p1Q4P/2P5/PP5R/K1B3R1 w - -,h2g2
3r4/1p2kpp1/4p3/2P3pP/1P1b2P1/1b1N1P2/3R1K2/1B6 w - -,f2g2
2r3k1/4b1p1/p2pp3/q6n/1p2P3/3B1rBP/PPPQ4/1K1R2R1 w - -,g3e1
r4rk1/1bqn1pb1/pp1ppnpp/8/1PP1P3/1NNBB3/P3QPPP/2RR2K1 b - -,d7e5
6k1/2p2pp1/1n3r1p/1p1n4/1P2q3/3QPP2/2RBBP1P/6K1 b - -,f6g6
4k3/3b4/1pq5/2pnpp1p/7P/3P1P2/1P1BPN1R/R3K3 b Q -,d5f6
5rk1/p1p1Qqp1/4p2p/3bn3/1P4P1/5P2/7P/3RNRK1 w - -,e7f7
rn1qk2r/pb1pbnpp/1p2p3/2p1Pp2/1P1P4/P1PB1N2/3NQPPP/R1B2RK1 b kq b3,c5d4
5q1k/2p1r1p1/1p1p3p/p7/2P2P2/P7/1P4QP/5R1K w - -,b2b4
8/6k1/6p1/6P1/4K3/4R3/3b4/8 w - -,e3g3
2r2bk1/r4p1p/p1bR2p1/4P3/5P2/2N4P/P1B3P1/1R4K1 w - -,d6d3
1rb2rk1/p2pppbp/1qp2np1/8/8/2B3P1/PPP1PPBP/RNQ2RK1 w - -,b2b3
5r2/p1n4k/1pPR4/4P3/2BB1pbp/P7/6K1/8 b - -,g4f5
r2q1rk1/1p1b1pb1/p2p1npp/n1pPp3/2P1P2B/2NB3P/PP1N1PP1/R2Q1RK1 b - -,d8c7
r4rk1/1p1q1ppp/p6b/1PPp1b2/5P2/6P1/PB1N3P/R3RQK1 w - -,a2a4
r3r1k1/pp3ppp/1bn5/3p4/8/1NPB1PPq/PPQ2P2/R4RK1 w - -,g3g4
2rr2k1/p3bp1p/4pqp1/n1pbN3/6P1/P1P1Q2P/1PB2P1N/3RR1K1 b - -,f6h4
1r1r1bk1/1b3ppp/p4n2/q3pN2/1pB5/4P2Q/PP1B1PPP/2RR2K1 b - -,b8c8
r4rk1/5ppp/p3p3/1pbbq3/3N4/4P3/PP3PPP/2RQ1RK1 w - -,c1c5
