8/8/2pk1p2/R4b1p/3r3p/5P2/1N4PK/8 b - -,f5e6
r1b4r/1p1pkppp/p2Np3/2b1P3/2P2P2/3B2P1/PP5P/2KR3R b - -,c5d6
4r2k/p5p1/Pq1p3p/5Q2/5P2/4r1P1/5R1P/3R3K w - -,f2d2
2r3k1/5pp1/4b2p/p7/3Q4/6PP/r1P2R1K/8 b - -,a2c2
8/8/6k1/1R3p2/1P4p1/1r6/5PK1/8 w - -,b5b8
r2qr1k1/1b2bpp1/p2p3p/1p1Pp3/P1p1P1P1/1BP1N3/1P3PP1/R2QR1K1 w - -,b3c2
1r5n/1p1R3Q/pkpp1qp1/4p1p1/1PP1P3/3PP3/1P1KN3/8 b - -,g5g4
r1b1rbk1/pp3ppn/q2p3p/2p1pN2/4P2P/2PP1QP1/PP3PB1/R1BR2K1 b - h3,c8e6
r1bq1rk1/1pppp1bp/2n2np1/p4p2/3P4/2P2NP1/PP1NPPBP/R1BQ1RK1 w - -,f1e1
3r4/p3n1pp/1b2pk2/NP3p2/P7/1B5P/5PP1/2R3K1 w - -,a5c4
2r3k1/pp5p/1n4p1/1q6/3Q4/2P1R3/P7/1KR5 w - -,b1a1
r1b2rnk/1pp2qbp/p2p4/3Pp1BR/2P1N1P1/5P2/PP2Q1B1/2KR4 b - -,g8f6
8/1Q2kr2/pp6/2pPBn2/5P2/1P6/P2r1P1P/6K1 b - -,e7f8
4rrk1/3nppbp/1q1p2p1/NQpP3n/4P3/2N4P/1PP2PPB/1R2R1K1 b - -,g7c3
r4rk1/p1q1bpp1/4p1p1/2npP3/3N1B2/5P1P/PP2Q1P1/2R2RK1 b - -,c7b7
4r1k1/pp3ppp/2n1q3/8/3prP2/P2Q4/1PPB2PP/R4RK1 b - -,f7f5
2r2rk1/pp1qn1bp/3p2p1/2pP4/4PP2/4B2P/PP2Q1BK/1R3R2 b - -,b7b6
8/8/2N2k2/4p2r/8/3KR3/8/8 b - -,f6e6
8/r1b5/2p2nk1/2P4N/3P2KP/4P3/1R6/8 w - -,h5f6
1rqr2k1/5pbp/2b1p1p1/1pP1pn2/1P2N1P1/PR3N1P/4QPBK/4R3 b - -,c6d5
3rk3/2q2pb1/pNnpp1p1/1p2P2r/2P2Pp1/4B3/PP3QPP/1K1R3R w - -,e5d6
