8/5b2/4p3/3k2Kp/5P2/7B/8/8 w - -,g5f6
3r1rk1/ppqb1p1p/4pQnp/2P1P3/6P1/P2B1N2/2P2P1P/R3R1K1 w - -,f3h4
r4rk1/p5pp/1p3q2/3Rn3/8/4QPP1/PP4BP/4R1K1 b - -,e5f3
r2qk2r/3nbppp/p3pn2/1P6/3pN3/3BPP2/1PQ2P1P/R1B2RK1 b kq -,a6b5
6k1/1R1N4/8/p4KP1/Pp3P1p/2b4r/8/8 b - -,h3d3
r2qr1k1/1pp2pp1/p1n1b2p/3np3/2N5/2PP1N2/PPB2PPP/R2QR1K1 b - -,f7f6
rn1qk2r/1p2bppp/3pbn2/p3p3/2P1P3/1NN1BP2/PP4PP/R2QKB1R b KQkq -,e8g8
1k2Q3/1p4p1/p4p2/7p/P2p4/3B1K2/1q6/8 b - -,b8a7
6kr/1b3p2/7p/5p2/2rb1BnN/2N5/1PP3PP/3R1RK1 w - -,d1d4
2R5/p1r5/Pp1k2p1/5p2/8/4P1P1/P4PKP/8 w - -,c8c7
2rq1rk1/1p3ppb/pP2p2p/R7/2NP4/1Q3PP1/4P2P/3R2K1 b - -,d8e7
8/8/1R4p1/7p/2p4r/2k5/8/1K6 w - -,b6g6
3q2k1/p2nbrpp/bN1p1n2/4p3/3PP3/2N1B3/PPP2PPP/R2QK2R b KQ -,d8b6
rnbq1rk1/ppp1ppbp/3p1np1/8/3PPP2/2N1B2P/PPP3P1/R2QKBNR b KQ f3,b8c6
4N3/3k4/6R1/8/3p1r2/P2P1b2/1KP5/8 w - -,g6f6
7r/5pk1/bq2p1n1/3pP1QP/p1pP2N1/b1P3P1/R1R2P2/1r3BK1 b - -,a3e7
8/6p1/5b1k/3P4/4QN1p/pP3P2/P1PK4/6q1 w - -,f4e2
r1b2rk1/5ppp/pp1q1b2/3Np3/P3P3/4B3/1PPQB1PP/R6K w - -,e3b6
8/1p4p1/p1r1p1kp/2Pp4/PR1P4/4P3/5P2/6K1 w - -,b4b7
3rrbk1/ppqn1pp1/2p2np1/2P5/1P1BN3/PQN2P2/6PP/R3R1K1 b - -,d7e5
6k1/6pp/4p1p1/1p2P3/pPpPq2b/P1Q1P2P/5rPK/3RN3 b - -,f2e2
r2qr1k1/1bp2pnp/1p1p2pb/p3p3/2P1N1n1/1PNPP2P/PBQ2PP1/2R1RBK1 b - -,f7f5
r7/1p1k4/1np1p3/5p1p/p1PP3B/1P3K1P/P3R1P1/8 b - -,a4b3
r1r3k1/1p1b1pbp/p1nBp1p1/8/3P4/1PPB1N2/5PPP/R3R1K1 b - -,g7f8
2rq1rk1/pp2npb1/2pp1npp/2PPp3/1PB1P3/2N3Pb/P4PNP/R1BQ1RK1 w - -,c1a3
2k5/5p2/2pbpBp1/7p/1PpP3P/rrP3P1/2RK1P2/4R3 b - -,c8b7
r1bq1rk1/pppn1ppp/3p1n2/4p1B1/2PP4/2PBP3/P2N1PPP/R2QK2R b KQ -,f8e8
3rrb2/ppq2bpk/2pp1npp/4p3/3PPP2/2P1B1NP/PPB3P1/R2QR1K1 w - -,d1f3
8/1B1b3p/1b1k1pp1/p1pp4/2P5/7P/PP1NKPP1/8 b - -,d7c6
1b2qkr1/4r3/p1p1p2n/P5R1/1P1PBp1P/2R3P1/4QP2/6K1 b - -,f4g3
4r1k1/5pp1/n6p/2pp4/p4B1P/P4PP1/1PR1PK2/8 w - -,e2e4
3R4/5pk1/3p1pp1/3n4/1r3P1p/6nP/6PK/2Q5 w - -,c1c8
8/p1k4p/8/3Q4/2pP3P/2q1P3/P7/5N1K w - -,d5f7
4Rn2/2q2pbk/2pR2pp/p1B2P2/2P1B1P1/1P5P/P7/6K1 b - -,g7d4
r1bq1rk1/ppp2nbp/2np1pp1/4p3/2PPP3/2N1BN1P/PP2BPP1/R2Q1RK1 b - -,f6f5
rnbqk1nr/1p2bppp/p1p5/3p4/3P1B2/1QN2N2/PP2PPPP/R3KB1R b KQkq -,g8f6
r2qnrk1/3nbppp/3pb3/5PP1/p2NP3/4B3/PPpQ3P/1K1R1B1R w - -,d4c2
