1B6/8/2b2b2/7p/4k2N/6K1/8/8 b - -,c6a4
r5k1/3R3p/p5pB/1p2p3/2r3pP/8/P4PK1/R7 w - -,a1d1
7k/1p1br3/p3p1p1/P1PpRrNp/3P1P1P/2P3K1/5R2/8 w - -,e5e3
8/5p2/1p1p1k1p/p6P/5PP1/2P2K2/PP5b/5B2 b - -,h2g1
3rr1k1/p2b1pp1/2p2n1p/q1P5/N2p4/1P1B1QP1/P4PP1/2R2RK1 w - -,f3f4
r3k1nr/pp1nqppp/2p5/8/1bPB2Q1/7P/P2P1PP1/RN2KB1R w KQkq -,g4e2
r4r2/2pq2k1/1p1pnppb/3Np2p/PPP1P2P/B4RP1/2Q2P2/3R2K1 w - -,c4c5
2r5/4pP1k/8/8/1P1pP2P/2N1Q3/1PKR4/q6r w - -,f7f8n
6k1/2p2pp1/3p3p/2rP4/8/2PR2P1/4rP1P/3R2K1 w - -,d1c1
8/8/8/2n5/2k5/K1b5/8/8 b - -,c3b4
rn1qkbnr/pp2pppb/2p4p/7P/3P4/5NN1/PPP2PP1/R1BQKB1R b KQkq -,b8d7:e7e6:g8f6
r1bq1rk1/ppp2nbp/3p1pn1/3Pp1p1/2P1P3/2N2NBP/PP1QBPP1/2KR3R w - -,c1b1
rr6/2pbqpk1/3p1nn1/p2Pp1Q1/4P3/2P1P3/RPBN2pP/4BRK1 w - -,g5g2
1k1r4/pp1n1p2/8/7P/bP1N2P1/P2BP3/3K4/6R1 b - -,d7e5
r2r2k1/p1q1bppp/4pn2/2p5/8/2NP1QP1/1PP2PKP/R1B2R2 b - -,f6e8
r2q1rk1/pp1b1ppp/4p2n/3pP3/3Q1P2/5N2/PPP3PP/2KR1B1R b - -,d8a5
r3r1k1/1bpq1pp1/pbnp2np/1p6/3PPB2/1P3NNP/P1BQ1PP1/R3R1K1 w - -,d2e3
r2r2k1/2p1qppp/bpnb1n2/p3p3/P3P2N/1NP3P1/1PQ2PBP/R1B1R1K1 w - -,h4f5
r1b2rk1/6pp/1pn1p2n/1N1p4/5Q2/8/PPP3PP/1K1R1BNR b - -,f8f4
8/2b5/8/8/3k4/2p3p1/2K2p2/5B2 w - -,c2d1
8/8/8/6p1/4kp2/7P/4K3/8 w - -,e2f2
8/6k1/1P4pp/8/3p3P/6P1/Q2bKP2/2q5 w - -,b6b7
1r3rk1/4b2p/4p3/pp1pP1p1/3Pqp2/P1P2R2/1PQ3PP/R3N1K1 w - -,e1d3
6R1/8/8/8/r5p1/4K1k1/8/8 w - -,g8f8
rn1q1rk1/pp2bppp/2p1bn2/6B1/2Q5/5NP1/PP2PPBP/RN3RK1 w - -,c4c2
1r4k1/p2r3p/2p1R1p1/P1Pn1p2/Rp1P4/1B4P1/1P3P2/6K1 b - -,g8g7
8/2P5/p3kn2/1p6/1P1K4/8/8/8 b - -,e6d7
r6k/p3b1pp/2ppb1q1/2p1p3/Q1N1Pr2/2P1RN1P/PP3PP1/R5K1 w - -,g1h2
6k1/8/3N1ppp/3K4/3NP3/5P2/8/3r4 w - -,f3f4
2r3k1/p4p1p/1p1p2p1/4b3/P3P3/1P1R1NPP/5PK1/8 b - a3,c8c2
8/5p1p/5p2/3p4/5k2/2N5/1r4PP/4R1K1 b - -,b2d2
r7/r1p1k3/3p1p1p/1R2n1pP/1P2P1P1/P4P2/1K1RB3/8 b - -,a7a3
r1b2rk1/pp4p1/4p2p/3pP1p1/2pP4/P1P2P1N/2P3PP/R4RK1 b - -,c8d7
2r3k1/1rnq1pbp/p1N1pnp1/3p4/3PP3/4BPPP/PPRQ2B1/5RK1 b - -,g7f8
3rrbk1/2q2ppp/5n2/p1pPp3/1p2P3/1P4PP/PB2QPBK/3R1R2 w - -,d1c1
6r1/3nk3/bp1p1n1p/p1pPp3/P1P1Pp2/3Q1BrP/1P3RPN/6K1 w - -,g1f1
rn1q1rk1/1bp1bppp/p3p3/1p1n4/3P1B2/5NP1/PP2PPBP/RNQR2K1 b - -,d5f4
8/p7/2n5/3N4/4p1k1/1PK5/2P3P1/8 w - -,b3b4
r7/1p3k1p/1pp1nbp1/5p2/PPP1pPPP/4P3/R2BB3/6K1 b - -,f5g4
r1bqk2r/1p1nbpp1/p2ppn2/7p/4PP2/1N1BB3/PPPNQ1PP/R3K2R w KQkq -,e1c1
2rq1rk1/nppnbppp/p2p4/P2Pp2b/1PP1P3/B4N1P/2QNBPP1/R3R1K1 w - -,f3e5
4q3/1p3r1k/2bPp1np/2Pp1p2/3Q1P1P/2B3P1/4BK2/R7 w - -,h4h5
8/3k1p2/1p2pPp1/1b1pP1Pp/KP5P/4P3/8/8 w - -,a4b5
5rk1/Rp3p1p/4pp2/1P6/8/6P1/1P2rPbP/2R3K1 w - -,g1g2
6k1/1p2q3/3pPrp1/2p4p/2P5/P3Q2P/5P2/4RK2 b - -,g8g7
2b2k2/1pN1n2p/1p2P3/4B1p1/1P6/5rPP/3n1P2/2RR2K1 b - -,f3d3
4kb2/p6n/p1Q1p2r/4P1p1/3P2N1/8/1q3BP1/2R3K1 b - -,e8f7
r2q1rk1/pp2n1b1/2npb1pp/2pNpp2/2P1P3/1P1P1NPP/P2B1PB1/R2QK2R w KQ f6,a2a3
8/5kp1/2n1pb1p/1R2p3/1pP1P2P/1P3NP1/rB6/5K2 w - -,b2e5
2kr3r/pp3ppp/4p3/8/3Pn3/2P1B3/P4PPP/R4RK1 w - -,e3f4
