8/2N5/8/p2p3p/PkpR4/5qNK/8/8 b - -,h5h4
1r1q1rk1/3bb2p/p3pnp1/3p2B1/2pP4/2N1P2P/PPQ3P1/1BR2RK1 w - -,g5h6
6Q1/8/8/6K1/1kP5/2n5/1p6/8 w - -,g8b8
5r2/pp1np1kp/3pbp2/6pP/1P1NPPP1/P7/2r1B3/R3K2R b KQ -,c2e2
8/p2b1k1p/4ppp1/2pp4/7P/P3PNP1/4BP2/4K3 b - -,e6e5
r1bq1rk1/1p2bppp/p1nppn2/8/P2NP3/2N5/1PP1BPPP/R1BQ1R1K w - -,f2f4
8/1p2kppp/p7/1Bb1Pp2/4n3/4P3/1P2KPPP/3R4 w - -,b5d7
r1bq1rk1/pp1n1ppp/4pn2/8/1PBp4/2N1PN2/1P3PPP/R1BQ1RK1 b - -,d4c3
r1b1r1k1/pp1nbpp1/2p1pq1p/2P5/PP1P4/3B1N2/5PPP/R1BQR1K1 b - a3,d7f8
r2q1rk1/3nbppp/p3pn2/1ppb4/P7/2NP1NP1/1PQ1PPBP/R1BR2K1 b - -,d5c6
3r2k1/1p3pp1/p2P1n1p/P6P/4pP2/8/1P3BP1/3R2K1 b - -,d8d7
2r1r1k1/5ppp/pq3b2/1p1P4/6Q1/P2B4/1PP3PP/R4R1K b - -,f6b2
5rk1/4q3/p1n1p2p/1p1pP1p1/n1pPr1PP/2P2NK1/PP1Q2N1/R4R2 b - h3,g5h4
2rq2k1/1pr2p1p/p1pnn1p1/3p4/1P1P4/P2BPN1P/1QR2PP1/2R3K1 w - -,a3a4
r4rk1/1pq3pp/p1pbpn2/4Np2/2PPpP2/PP2P2P/1B2Q1P1/R2R2K1 w - -,a1c1
r2q1rk1/5ppp/1p1Np3/p1n5/3QP3/P7/1P3PPP/R2R2K1 w - -,d4e3
4kr2/p4p1p/1r2bQp1/3p4/1q1P4/1PN2P2/2PK2PP/3RR3 w - -,d1a1
r4rk1/ppqn2bp/2p2np1/4p3/2P1Ppb1/BPN2NP1/P1Q2PBP/3R1RK1 b - -,f8e8
r1bq1rk1/1p2np2/p1n1p1pb/3p3P/3N1P1P/2N1B1Q1/PPP1B3/2KR3R w - -,h5g6
r2qr1k1/pp1n1pbp/2pp1np1/4p3/2P5/1P1P1NPP/PB2PPB1/R2Q1RK1 w - -,a1c1
r1bqr1k1/1ppnbppp/p4n2/3p2B1/3P4/2NBPN2/PP3PPP/R2Q1RK1 w - -,d1c2
5r2/4pp1k/p2p2pp/3b4/P5P1/3P1P2/3NK2P/1R6 w - -,b1b6
6k1/1pp4p/pn1p1bp1/3q4/3P2Q1/1P3N1P/P2B1PP1/6K1 b - -,d5f5
3rk2r/5ppp/p3p3/npNn4/2p5/4P3/PP2BPPP/RN1R2K1 b k -,d8c8
2r2rk1/p1qn1ppp/1p3n2/2b3B1/8/2N2bPQ/PP3PBP/R2R2K1 w - -,g2f3
2r1r1k1/1p2q1pb/1B2pp1p/pN2nP2/Pb2p1P1/1N6/1P2Q2P/2RR2K1 w - -,b5c7
6k1/1p3pb1/3r3P/p3p1Q1/5r2/2q5/B1P3P1/5RK1 b - -,c3e3
r1b2rk1/ppq2pbp/2p2np1/4p3/2P1P3/2N3P1/PP2QPBP/R1B2RK1 b - -,f8d8
8/3k4/8/3Kp1b1/4P3/1P6/3pB3/8 w - -,d5e5
r6k/3nq1pp/2b3r1/4p3/PPQpN3/8/3N1PPP/R3R1K1 w - -,b4b5
4r3/pp3pk1/3q4/3p1Bp1/P2Pn1Pp/4P2R/2Q1KPP1/8 w - -,f5e4
3q1r2/6k1/3p2p1/pp1Ppp2/2r1n2p/2PNP2P/PP2Q1P1/3RR1K1 b - -,d8b6
2r2Rk1/pp1n2pp/8/4P3/q1pP4/PnPb2P1/QB4BP/1N2R2K b - -,c8f8
r1b2rk1/4bp1p/2p1pp2/pp6/1P1P1B2/P3P2P/4BPP1/R4RK1 w - a6,a3a4
3r2k1/p4q1p/1pp1bppP/8/2P1RQ2/2P2B2/P4PP1/6K1 b - -,g6g5
r4r2/3n2k1/pp1q2pp/2pb1p2/P1B1p3/1P2P3/2QN1PPP/3R1RK1 b - -,d7f6
8/5p2/4k1p1/4P3/PR1P2p1/6P1/r5PK/8 w - -,h2g1
8/4kp2/1PK2p1p/3BbP2/4P1P1/7P/8/8 w - -,c6b7
1rq1r1k1/2pb1ppp/3p1n2/2bP4/1p1N4/1P4PP/PB3PBK/R2Q1R2 w - -,d1d2
5rk1/1pq1n1pp/2p2pb1/r1n5/3pPPPN/P2P3P/2Q3B1/R1B1R1K1 w - -,c1d2
5k2/6p1/p3p3/1PP5/1P3p1p/b4P2/6PP/3B3K b - -,a6b5
8/2k1r3/2bn3p/1pp4B/8/2N5/5K1P/2R5 w - -,h5f3
8/8/2K5/P1R5/4k3/8/8/1r6 b - -,e4d4
8/5b2/8/2K5/8/1N5k/P7/8 w - -,c5b4
2r4k/8/7p/p4Pb1/6q1/P6P/1P4B1/5R1K w - -,h3g4
r5k1/pp2rp2/3p2p1/1Pp1b1q1/2P3P1/P4B2/2N2QN1/3R2K1 b - -,g8g7
8/1kn5/1p3Rp1/1Pp1PpP1/2Pp1P2/3N4/3K3r/8 w - -,d2c1:d2d1
1r1q1rk1/pb3pbp/1pn1p1p1/2pn4/P1N2P2/2PP1NPP/1P4B1/R1BQ1RK1 w - -,d1e2
2r1r1k1/p4p1p/2p1p1p1/b1P2nB1/3P4/5B1P/P3RPP1/3R2K1 w - -,g2g4
2r5/1pq2pkp/p1n3p1/P2Bp3/1P2P3/1QPR1P1P/5KP1/8 b - -,b7b6
r1b2rk1/4ppbp/1q1p1np1/p1pP4/8/1PN2PPP/P2B1PB1/1R1Q1RK1 w - -,f3f4
4rk2/R4p2/3p1qp1/3P2bp/3NQ3/4PB2/2N1K3/8 w - -,e4d3
6k1/p4p2/1p2r2p/6p1/b7/3B4/1B3PPP/5K2 b - -,b6b5
8/1p2q2k/p1r1r1p1/P2bBpRp/2pP1P1P/2P5/2P3P1/QR4K1 b - -,h7g8
4r3/1b4R1/p6p/3P1k1P/1p6/1P6/P1r1B3/4RK2 b - -,c2a2
8/r5Q1/1k6/1p3P2/2p2K2/6p1/p7/n7 w - -,g7d4
2r3k1/5ppp/p7/n2BPb2/Pq1p4/7P/3N1PP1/3QR1K1 w - -,d2e4
8/2p3b1/2k3n1/1pp3pp/4P3/1pP1KP2/P3N1PB/8 w - -,a2b3
r6r/3kb3/pnn1N3/1p1p1p1p/2pP1pq1/2P3P1/PP4Q1/R2BR1K1 w - -,d1g4
4bnk1/1pq1b1pp/4p3/pP1pP2P/P1rP4/3QB3/4B1P1/R2N1K2 w - -,e3d2
