8/p7/5K1p/1kP3r1/2R3P1/8/P7/8 w - -,c4f4
r4rk1/ppqn1p1p/4b1p1/1Q1p4/8/2b2NN1/PP2BPPP/R3K2R w KQ -,e1f1
4r3/8/p1p4k/P1Pp1rb1/1R6/1NB5/2K3RP/5b2 w - -,g2g1
2rr2k1/2qnbppp/pp2pn2/8/2P1P3/1N3NP1/PB2QPKP/2RR4 b - -,c7b7
r3k1r1/pp2n3/2ppPpp1/q5p1/8/3B3R/P1Q2PPP/1R4K1 w q -,b1b7
8/7k/4Pr1p/pP1p1p1b/2nP1N2/BQ3R2/4KP2/7q w - -,a3e7
rnbqk2r/ppp1ppbp/3p1np1/8/2P5/1P2P3/PB1P1PPP/RN1QKBNR w KQkq -,d2d4
3q1rk1/1p2b1p1/p2p3p/2r1pb2/P1P5/1PN5/4QPPP/R2R1NK1 b - -,c5c8
r2q1rk1/1p2ppbp/p1npbnp1/6B1/4PP2/1NN2B2/PPP3PP/R2Q1RK1 b - -,a6a5
4r1k1/pb3p1p/1p4p1/8/1PqN4/5P2/PQ1R2PP/6K1 w - -,g1f2
r1bqkb1r/1p3ppp/p2ppn2/n7/3NPP2/1BN1B3/PPP3PP/R2QK2R b KQkq f3,b7b5
8/pb3pk1/4P1p1/7q/2pN1Q2/P1P5/3K1Pr1/4R3 b - -,g6g5
8/5kp1/4bp2/2q1p3/2p1P3/2Q3P1/r1P2NKP/3R4 b - -,a2a3
8/8/1p2p3/1P3pk1/1p6/1P5K/4B2P/4b3 w - -,h3g2
r2qkb1r/ppp1pppp/2n2n2/5b2/2QP4/5N2/PP2PPPP/RNB1KB1R w KQkq -,g2g3
3r1rk1/4qppp/p7/1p6/3b4/1PQ1PP2/P5PP/2RR2K1 w - -,e3d4
1k1r1r2/pbppqp2/1pn1p2p/2P3p1/1P1b2P1/P1N1PBN1/2Q2PP1/R3K2R w KQ -,e3d4
r4rk1/1pqnppBp/3p2p1/p2P4/P7/1B3P2/1PPQ2PP/R3K2R b KQ -,g8g7
1r2r2b/p2nBp1k/3P2P1/5N1P/8/6R1/1p3P2/3R2K1 b - -,f7g6
rn1q1rk1/pp2ppbp/2pp1np1/3P4/2P5/2N2PPB/PP3P1P/R1BQ1RK1 b - -,b8a6
8/8/1b6/pP1p1k1p/P2P2p1/5P2/6K1/4B3 w - -,e1g3
6rk/1R2R1b1/1p1r3p/pP3pq1/P7/1B4P1/1P1pQPK1/8 b - -,f5f4
r1b1k2r/2q2ppp/ppnbpn2/2p3B1/2PP4/2N2NP1/PP3PBP/R2Q1RK1 b kq -,c8b7
r6r/p6p/1p2Np1k/1P4b1/2RPQ1P1/P3P1qP/8/5RK1 w - -,e4g2
r4rk1/p4ppp/2p1n3/q2n4/8/3BB3/P3QPPP/2R1R1K1 w - -,e2h5
8/1k3pp1/4p2p/7P/P7/1Kb3P1/5P2/8 w - -,b3c3
5rk1/2r1N1p1/3p4/3PpBpp/1p5P/7b/PPP2R2/1K1R4 b - -,c7e7
1nqr2k1/4bppp/pp1pp3/2r5/P1PNQ3/1P2P1P1/5PBP/R2R2K1 w - -,e4g4
r3r1k1/p3n1b1/1pq3p1/4ppN1/2Pp3P/PQ1P1PP1/3BP1K1/1R5R b - -,a8b8
r5k1/pp3ppp/1r1p1n2/q2b2N1/2PQ1P2/2P4P/P1P3P1/2KR1B1R b - -,a5a3
4r3/2Q1nk2/P3p1p1/2B1P1P1/8/2K2b2/8/8 w - -,c3b4
1r1r2k1/3nbppb/1qp1p2p/pp1p4/2P5/PP1P2PP/1B1NPPB1/R1Q1R1K1 w - -,a1b1
r4rk1/pbp1bppp/1p1q4/8/1P1Pp1nP/P3P1P1/1BQ1BP2/R3R1K1 b - -,g4f6
rnbq1rk1/pp2bppp/2p2n2/1N1p4/4PB2/2N5/PPPQ1PPP/R3KB1R w KQ -,b5c7
8/3k4/2n3R1/3r2p1/p6p/P4P2/1PPB3P/2K5 b - -,c6d4
1R6/8/8/3k4/1P2r3/3p1K2/8/8 b - -,e4e7
rnbqkbnr/pppp2pp/4p3/5p2/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq -,g8f6:b7b5:b7b6
2b2rk1/2q2ppp/p2n4/1p1Bpn2/8/1N2B3/PPP2QPP/1K1R3R b - -,a6a5
3q4/4bkpp/4n3/3p1pP1/2QN1n1P/8/1PP5/1K5R w - -,c4a4
rn1q1rk1/pb3p1p/1pp1p1p1/4b2n/2PP4/2N2NPP/PP3PB1/R2QR1K1 w - -,f3e5
r1bq1rk1/p1pp1ppp/1p2pn2/3Pn3/1bP1P3/2N1BP2/PP4PP/R2QKBNR w KQ -,a1c1
3rkb1r/ppp2pp1/2p3bp/4P3/2PN4/1P2BP1P/P5P1/3RR1K1 w - -,f3f4
4rkr1/p1pp1p1p/1p3P1n/7Q/2P2P2/4n3/PB1K3P/4R1N1 b - -,e3c4
8/3n1k2/2p3p1/Bpp1P1K1/P1P2P2/1P6/8/8 b - -,b5c4
r3k2r/2p2p2/p1pq1p2/3ppQ1p/8/1P1PP3/P1P2PPP/R4RK1 b q -,e8e7
3rr2k/p1p1n3/2p1qp1p/6p1/2P1B3/1P3QPP/P4P1K/4RR2 b - -,e6f7
4r1k1/1pq2pb1/2ppr1pp/p3n3/2P1Q1P1/2B3PP/PP3PB1/3RR1K1 b - -,a5a4
3r2r1/pk6/1nppq2p/5p1P/3RPp2/1P3Q2/PBP3P1/1K5R b - -,g8g4
rnbqkb1r/ppp2pp1/4pn1p/3p4/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,e4e5:e4d5
r4r2/pp3kp1/4p1p1/1Pp1n3/3pP1P1/P2P4/2PN1qB1/R2QR2K w - -,d2f3
1r4k1/nb3pbp/2rp2p1/Pp2p3/1P1pP3/N2P2P1/4NPBP/1RR3K1 w - -,g2h3
6r1/pp1b1k2/2n1p2r/3p1p1q/2pP4/P1P2RBN/4Q1PP/5RK1 w - -,h3f4
1R3bk1/3b1r1p/6p1/3p4/6P1/3N1q1P/5P2/1Q1R2K1 w - -,b1b3
4k2r/4bppp/pp6/8/2r5/4BKP1/P3PP2/R4R2 b k -,b6b5
r2q1rk1/p1pbn1pp/1pn2p2/4p3/2P5/Q1P2NP1/P3PPBP/R1BR2K1 w - -,g2h3
r2qrnk1/pn3ppp/1p2p3/2p1P1P1/3p1B2/3P2P1/PPPN1P2/R2QR1K1 w - -,d2e4
r1b1k2r/pppn2pp/2nbpq2/3p4/3P4/2PB1N2/PP1N1PPP/R1BQ1RK1 b kq -,e8g8
rR4k1/2p2bpp/p1p2p2/2N5/4P1P1/3P1P1P/P1P3K1/qR6 b - -,a8b8
3rr3/pp4kp/2p3p1/2p1pb2/3q4/1P1P3P/P1PQNPP1/4RK1R b - -,d4b4
2r5/pk4p1/1p2q1p1/3p1p2/1P1Pn2P/2PQ4/1KN3P1/4R3 b - -,e6c6
r2qkb1r/pb1n1ppp/1p2p3/2pn4/8/1P1P1NP1/PB2PPBP/RN1Q1RK1 b kq -,a8c8
8/R4ppk/1Rrn3p/P6P/4P3/1K1N4/2P5/1r6 w - -,d3b2
8/p4pk1/1p2p3/3PP1Kp/6p1/6P1/P3QP2/7q w - -,d5d6
2r3k1/3q1ppp/4b3/3pP3/n1pB4/3r2PP/RP2QPB1/3R2K1 b - -,d7b5
2r2rk1/pp2bpp1/1n2p1bp/3n4/3NP3/7P/PP1NBPPB/R1R3K1 b - -,d5f6
r4r1k/1ppq2p1/p1np3p/3Bppb1/1PP5/P2PP1PP/2Q2P1K/R1B2R2 w - -,h3h4
5rk1/4bpp1/1n2p2p/P2p4/4nB2/3N2P1/4PPBP/5RK1 b - -,b6c4
8/5rk1/2bp2p1/2ppp2p/pQ3r2/1P1P1P1P/P1P3PN/4RR1K b - -,f4b4
r2qkb1r/pb1n1ppp/3p4/3Pp3/1p6/4BPN1/PPPQ2PP/R3KB1R b KQkq -,d8a5
5rk1/1p2R1p1/p2P2q1/4Qp1p/2p1b3/P5P1/1P5P/5RK1 b - -,h5h4
r1b1rqk1/p2p1p1p/n1p1pBp1/4P3/2P5/P2P1N2/3Q1PPP/R4K1R w - -,h2h4
r2q1rk1/2p2pp1/p1ppn2p/5Nb1/3PP3/5Q1P/PP3PP1/R1B1R1K1 w - -,f3g4
rn1q1rk1/ppp1ppbp/3p1np1/8/3PP3/2N2B1P/PPP2PP1/R1BQ1RK1 b - -,b8c6:e7e5:b8d7
8/8/2p2p1R/8/3kp3/1P1p1rP1/P4P1P/4K3 w - -,h6h4
1k6/5p2/ppb1r3/P4K2/4N3/4R3/1PP5/8 b - -,b6b5
5bk1/p1r2ppp/4p3/4PP2/R1p1P3/6P1/4BNKP/2r5 b - -,c1c2
1R6/pp4pk/1np5/8/P3r3/BP4P1/7P/6K1 b - -,e4e1
r4rk1/pb4bp/1p1Ppqp1/2p5/5P2/2P5/PB1QB1PP/1R3RK1 b - -,f6f5
1r4k1/p5bp/3p1pp1/qp1Q4/2r1P1P1/P7/1PP5/2KR3R b - -,g8h8
1r1q1rk1/R1n3p1/1p1b3p/1PpNpp2/2PB4/6PP/Q3PP1K/R4N2 b - -,e5d4
r2q1rk1/pp2bppp/2npbn2/4p1B1/2B1P3/2N2N1P/PP2QPP1/2RR2K1 b - -,a8c8
2r3k1/4ppbp/1qp3p1/pp1NP3/3r4/1P3QPP/P4PK1/2RR4 b - -,b6a7
