8/2Q5/pp4pk/3q1p2/P3r2P/5R1K/1P6/8 b - -,e4h4
r1b1r1k1/2q2pp1/p1pb1n1p/1p2n3/3NPB2/2N3P1/PPQ1BP1P/R2R2K1 w - -,a1c1
1b2r1k1/3q1n2/pPn1r1pp/2R2p2/2Np4/BQPP1N2/4PR1P/5K2 b - -,f7g5
6k1/1p1r1pp1/1p1P4/pN2n2p/P7/3b2PP/5PB1/2R3K1 w - -,c1c8
r1b1r1k1/1p1n1pbp/1qp1pnp1/p2p4/P1PP4/NP3NP1/1BQ1PPBP/3R1RK1 w - -,e2e3
8/8/8/6k1/6p1/1R6/4r3/6K1 w - -,b3a3
3r1rk1/pbnn2qp/1p1p1ppQ/2pPp3/2P1P3/1PR2NN1/P4PPP/1B2R1K1 w - -,h6d2
2qr3k/pb4pp/5n2/1P2pp2/1Q6/P4PP1/1BrN1RKP/4R3 b - -,f6g4
1r3rk1/p1q1ppbp/3p1nP1/3P4/1p4P1/4BP2/PPPQ4/2KR1B1R b - -,f7g6
8/8/3p4/2k2K2/1P2P3/8/2Nb4/8 b - -,d2b4
3q2k1/r1p2pp1/2p3np/Pr1pPN2/3P1P2/R4Q2/3B1P1P/6RK b - -,a7a8
6k1/5pb1/p5pp/Pr1q4/2p5/2P4P/Q2B1PP1/2R3K1 w - -,c1a1
r5k1/5ppp/1bpp4/4p3/PqP1P3/6P1/P1Q2P1P/3R1BK1 b - -,b6c5
8/BR4bk/p2p3n/3Pp3/P3Pp2/8/N3b1P1/6K1 b - -,h7g6
8/8/1p4b1/p1b1pk1p/2P1pp1P/1P2P1P1/P1B1KB2/8 w - -,c2d1
5rk1/1p5p/2p3p1/p1q2r2/PnP5/NQ5P/6P1/R4R1K w - -,f1f5
8/p3r3/1p3pk1/6p1/2R1P1p1/1P4P1/P1P2K1P/8 b - -,g6f7
r4rk1/2p1q1b1/3p2pp/p2Pp3/2P1N1b1/2N1P3/PR4PP/R3Q1K1 w - -,a1b1
r1q2rk1/pp1nppbp/2p3p1/5b2/2QPN3/4PNP1/PP3PBP/R1B2RK1 b - -,f5e4
r4rk1/bp2q1p1/n1pp1n1p/p3p3/2P1PP2/PP4PP/1B2N1BK/R2Q1R2 w - -,d1c2
2r4r/pp1Rkpp1/2p3n1/2N1P3/2P4p/5b1P/PP3PP1/4R1K1 b - -,e7e8
1r2r1k1/q1n3p1/1pQp2Np/3P1p2/2P1pb2/P6P/2RNR1P1/6K1 b - -,f4g3
6k1/4pp2/6p1/2pPb2p/2P5/r2R2P1/4B1KP/8 b - -,a3a2
r1b1k2r/1p2q1pp/p4p2/3p4/3P4/2b3P1/PPQK1PP1/2R2B1R w kq -,b2c3
r1bq1rk1/pp2bppp/2n2n2/3p4/3P4/P1NB2N1/1P3PPP/R1BQK2R w KQ -,e1g1
r2q1rk1/1p1b1ppp/p2p1b2/2p1nP1N/P7/2PP2P1/1P2Q1BP/R1B2R1K b - -,d7c6
8/8/2Pk2pp/4p3/4K1P1/5P2/8/8 w - -,c6c7
7k/1p4r1/p1p1p1b1/1PP1Nprp/P2Pp1PR/4P1KP/1R6/8 b - -,a6b5
r1n2rk1/pp1n2pp/4q1b1/P2pPp2/3Q1PP1/4N3/1P2B2P/R1B2RK1 b - -,c8e7
1r5r/3k2p1/4p2p/1p2b3/4P3/3P2PP/PP1B2B1/2R2K2 w - -,g3g4
r1bq1rk1/1p2bppp/p1n1p3/2pp4/4PP2/2NP1N2/PPP3PP/R1BQ1R1K w - -,e4e5
2r3k1/2rq2pp/pp3R2/3p4/1P1P4/P1NQn2P/R3N3/6K1 b - -,d7h3
3rrqk1/pp1n1p2/2p1n1pp/3pP3/3P2P1/5NN1/PPPQ2K1/4RR2 w - -,f1h1
3r4/pp4bk/2p1q1p1/3rP2p/PP2Q3/2B2R1P/6P1/4R1K1 w - -,e4c2
r7/2p1np2/1pk1bNpp/p1p1P3/5P2/P6P/1PPR1KPN/8 b - -,b6b5
r2r2k1/p3bppp/1pp1p3/2n1P3/2PN4/1P1q2P1/PB3PKP/R2QR3 b - -,a8c8
6k1/5pb1/ppn1p1p1/2p1P1P1/R4P2/3r4/1P1B4/4KR2 b - -,a6a5
r3k2r/1b3ppp/p3p3/2qp4/1n2PP2/2N5/1PP1BRPP/2RQ2K1 w kq d6,e4d5
6k1/5pp1/2bNp2p/3nP3/p7/P1B4P/1P1Q1PPK/2q5 b - -,c1f1
r2q1rk1/ppnbbppp/2n5/2p1p3/8/2NPB1P1/PP1NPPBP/2RQ1RK1 b - -,a8c8
r1bqrbk1/ppp2ppp/3p1n2/2n5/2B1PB2/2N2N2/PPP2PPP/R2QR1K1 w - -,e4e5
8/5R1p/p5pk/b1qpQ3/2pp4/4P2P/P5P1/7K b - -,a5d8
8/8/8/1P3Q2/8/2qk2P1/3p4/5K2 b - -,d3e3
r1bq1rk1/5pbp/p2p4/1p1Pp3/5p2/N1P3P1/PP3PBP/R2Q1RK1 w - -,a3c2
8/2kr1p1R/1p2p3/p3P3/2P1RPK1/8/2r5/8 b - -,c7c6
r2q1r1k/7p/5pp1/pp1P4/b1p1PQPP/P7/1P2B3/1KR3R1 w - b6,e2d1
