5r2/4RPk1/6p1/4Q3/5P1p/1q5P/6PK/8 b - -,g7h7
8/1k6/3N2R1/6p1/2p5/2K5/6r1/8 b - -,b7c7
1r3rk1/6p1/R2p2q1/2P1pb2/1p1n3p/1P3P1P/3Q2P1/R2B1N1K b - -,f8f6
r3kb1r/1p1q1ppp/2n2n2/p7/2Pp2b1/PQ3NP1/1P3PBP/RNB2RK1 w kq -,f1e1
6k1/3q1p2/p2p2p1/1p1Pr3/3N1QnP/2P1r3/PP6/1K4RR b - -,e5e4
r3k2r/2B4p/2p2bp1/p2p1b2/8/1BP5/PP3PPP/R3K2R w KQk -,e1c1
r1nk4/1p5p/4ppp1/3p4/P2P1P2/3BP3/5KPP/1R6 b - -,c8d6
r1q2rk1/p2n1ppp/1pbppn2/6B1/1RPP4/2PB4/P1QN1PPP/5RK1 w - -,f1e1
r3k1r1/1pq2pb1/p2pbn1p/4n3/3BP3/2N3QP/PPP3P1/2KR1B1R w q -,g3f2
4r1k1/8/3BP3/1p1b4/5p2/8/6r1/2R1RK2 b - -,f4f3
r2r2k1/1q1p1ppp/p3p3/1p2P3/3Q1P2/P1R5/1PP3PP/3R2K1 w - -,d4d6
8/1p2k3/3pp2p/p5b1/P1P5/1P1R1NPP/1r6/5K2 w - -,h3h4
8/R6p/6rr/3kB3/P4P1P/7K/8/8 b - -,g6g1
rnb2rk1/1pq1bppp/p2ppn2/8/3NP3/PBN4P/1PP2PP1/R1BQ1RK1 b - -,b8c6
rnbqr1k1/pp3ppp/2p1pn2/b2p4/2PP4/P1N1P1N1/1PQ2PPP/R1B1KB1R w KQ -,f1d3
r5k1/1pp2ppp/8/2r3P1/4p2P/Pp2P3/1BbP2R1/K2B4 w - -,d1e2
1r3bk1/3q1p2/1rp1pnp1/p6p/P1RP1P2/1P1Q1BP1/5BKP/1R6 b - -,f6d5
6k1/5pp1/p3nq2/Qp2p2p/6P1/2PbBP1P/1P3K2/4N3 w - -,e1d3
3r4/8/p6k/1b1B4/1P2N1R1/3p1P2/4n1P1/7K w - -,d5e6
3rr1k1/1pp3pp/2n1bbq1/pN1npp2/2N5/PP1PP1P1/1B2QPBP/2R2RK1 b - -,d8d7
4Rbk1/p4p1p/6p1/8/2B3b1/6P1/Pr3PKP/8 b - -,g8g7
rn1qnrk1/pb3ppp/8/1BpPP3/1b6/2N2N2/PP4PP/R1BQK2R b KQ -,e8c7
1k1r2r1/ppqb1QB1/4p3/2PpPp2/3P4/P2B4/2P2PKP/RR6 b - -,d7c6
r1bqk2r/1pp2ppp/p1np1n2/2b1p3/4P3/1BPP1N1P/PP3PP1/RNBQK2R b KQkq -,d8e7:b7b5:c5a7:h7h6
2rr2k1/1pqnbpp1/p4n1p/P2bp3/8/2NNBP2/1PP1B1PP/R1R1Q1K1 b - -,d5e6
rn1qkb1r/pp2pppp/2p2n2/5b2/2BP1B2/2N5/PPPQNPPP/R3K2R b KQkq -,e7e6
r3r1k1/1p4p1/p1pn1qp1/3p1p2/3P4/P2QP3/1P1N1PPP/R3R1K1 b - -,g6g5
r2qkb1r/pppnpppp/8/3n4/3P4/3Q1N2/PPP2PPP/RNB1K2R w KQkq -,e1g1
r1bqk2r/3nbp2/p1n1p3/1pppP1pp/3P2P1/2PB1N1P/PP1NQP2/R1B2RK1 w kq b6,a2a3
r1bq1rk1/pp1nppbp/5np1/3P4/2BP4/2N2N2/PP3PPP/R1BQK2R w KQ -,e1g1:c1f4:d5d6
r2q1r2/ppp2pkp/4bNp1/4n3/2B1PR2/2P5/PP4PP/R2Q2K1 w - -,c4d5
1brqr1k1/pb1n1ppp/1p3n2/2p1pN2/2P1P3/1P3PP1/PB1N2BP/2RQ1RK1 b - -,d7f8
r2qkb1r/p1pp1ppp/bpn1pn2/8/2PP4/1Q3NP1/PP1NPP1P/R1B1KB1R b KQkq -,f8b4:a6b7:c6a5:d7d5
5r2/p6k/1n5p/1P6/1ppNp2P/8/1KN2P1R/2R2b2 b - -,b6a4
2kr1b1r/ppp2ppp/4pn2/3n1P2/8/1B3N2/PPPP2PP/R1B1K2R w KQ -,f5e6
rnbq1rk1/pp4pp/2p1pn2/3p1p2/2PP1P2/5N2/PPQ1PPBP/RN3RK1 b - -,b8d7
r2qnrk1/pp1bppbp/2np2p1/8/2P1P3/2NBBN1P/PP2QPP1/R2R2K1 b - -,b7b6
2r2rk1/1pqbbpp1/p1nppn1p/2p5/4PP2/2PP1NPP/PPQ1N1B1/R1B2R1K w - -,g3g4
2kr1b2/1b3p2/pqp1pPr1/1p5Q/P1pP4/2N3P1/1P3PBP/R4RK1 w - -,a4b5
2rr2k1/1pq2ppp/p3pn2/8/3P4/P4N1P/1P2RPP1/1Q1R2K1 w - -,f3e5
3qr1k1/r6p/1p3b1B/p1n2P2/3p3p/PP3Q2/6P1/1BR2RK1 w - -,b3b4
r2q4/pp1knpb1/1np1N1p1/3pP1B1/3P4/1P1B1N2/P1Q2P2/2K3R1 b - -,d7e6
r1b3k1/pp3r1p/2n1pbp1/2Bp4/8/1BPQ1N2/P4PPP/qN3RK1 w - -,c5a3
1r6/4kp2/ppb2pp1/3p4/3P4/PPN5/5PPP/2R1K3 w - -,e1d2
1rb1kb1r/3n1ppp/p2p1n2/1p3NB1/4Pp2/q1N5/P1PQB1PP/3R1R1K b k -,a3c5
r1bqk1nr/pppp1ppp/2n5/2bNp3/2P5/P3P3/1P1P1PPP/R1BQKBNR b KQkq -,a7a5
2r1b1rk/p1PRQ1p1/R4p1p/1pq1p3/6P1/P1P4P/5P2/6K1 b - -,c5c3
8/7p/p7/2P1kP2/1r5P/r7/2R2K2/8 w - -,c5c6
5r2/8/7k/1P5p/K7/8/6R1/8 w - -,b5b6
r7/2k1r1p1/4np1p/P1p1p3/4P3/2B3P1/1R3PKP/1R6 b - -,c7c8
4r1k1/5pp1/p2p3P/1ppPqP2/7r/P4Q2/1PP2P2/1K1R2R1 b - -,h4h6
2r3k1/R4pp1/7p/2r1p1nP/PN6/3RP3/2P3P1/K7 b - -,c5c4
r2r2k1/pp2npbp/6p1/n2p4/q7/2NQP1PP/PP3PB1/1RB2RK1 b - -,g7c3
8/7p/R2kp1p1/1P6/4Pp2/2K5/5r1P/8 b - -,d6c5
r3rbk1/1bqn1ppp/pppp1n2/4p3/P2PP3/1PN3PP/1BPQNPB1/R3R1K1 w - -,g3g4
8/pp3rqk/3p1b2/2p2p2/2PpP1Pp/1P5P/P3Q2N/4R1K1 w - -,e4f5
1B1b2k1/1p3ppp/p1p3n1/2N2b2/PPB5/8/5PPP/6K1 b - -,f5c8
5k2/7p/bq2R1p1/p7/1p1n1Pn1/8/PPP2QBP/6K1 b - -,d4f3
2r5/3nk3/R1p1p1p1/1rPp2P1/1P1P4/2KN4/8/3R4 w - -,d1h1
r4rk1/p2nqppp/1p6/3pPp2/2pP4/P1P4Q/2P1N1PP/R4RK1 w - -,e2f4
r2q1rk1/pp1nbppb/2p1p2p/P2pPn2/1P1P4/4BN2/2PQBPPP/RN3RK1 w - -,c2c4
2rqk2r/pp1bppbp/3p1np1/4n3/3NP1PP/2N1BP2/PPPQ4/2KR1B1R b k h3,h7h5
r3r1k1/1bq2ppp/p1p2n2/1p2b3/8/P1N2B1P/1PP1NPP1/R1Q2RK1 w - -,c3d1
6k1/2r1pp1p/6p1/5b2/p1P5/1P2PB2/5PPP/q1R3K1 w - -,c1a1
2rr1bk1/1pq2ppp/p2pbn2/4nNB1/4P3/2N5/PPPQB1PP/3R1R1K b - -,f8e7
r2qr1k1/3bbppp/1ppp1n2/4n3/3NP3/2N4P/1PP2PP1/R1BQRBK1 w - -,a1a8
8/1p1rb3/1R1pk1p1/1N2p3/1B2K1p1/7P/8/8 w - -,h3g4
rn2k2r/1p3ppp/pq3b2/4pP2/3pN3/3Q4/PPP2PPP/2KR1B1R w kq -,g2g4
8/1p4kp/p2p2p1/3N1p2/PP2PP2/5P2/5KBP/3r4 b - -,d1d2
2k1r1r1/pb1np3/3p1np1/qPpP1pB1/5N2/2P1QP2/P3P1P1/R3KB1R w KQ -,e3d2
3k4/2pb2p1/p2n1p2/5r2/B2R4/2NP2Pp/P2K1P1P/8 w - -,a4d7
4Q3/p7/1p3pk1/1P4pp/1B5P/P4KP1/1q6/8 b - -,g6h7
3nq1k1/1p1b1rpp/pB2p3/2QpPp2/1P3P2/P2P4/4N1PP/5RK1 b - -,d7b5
6k1/1bR2ppp/pr6/8/8/1P6/n4PPP/3BN1K1 b - -,g7g6
2bq1rk1/3nbppp/1pp1p3/2Pp4/1P1P4/2nNP3/4BPPP/B2Q1RK1 w - -,a1c3
3qrnnk/1pbr2p1/p1pp2P1/3Pp1Bp/8/P1P2N1P/1PB2P2/2QRR1K1 b - -,g8f6
4r3/p5kp/2p3p1/3q4/5Q2/1P4P1/P4P2/5KN1 b - -,d5d3
5k2/5P2/1b2p3/pP2N3/2P2RP1/p1K5/6r1/8 b - -,a3a2
r1b2rk1/p1q1bppp/1p2pn2/6N1/3N3P/2PB4/PP1Q1PP1/1K1R3R w - -,d1e1
rnbqk2r/ppp1ppbp/5np1/4N3/2BP4/2N5/PPP2PPP/R1BQK2R b KQkq -,e8g8
r7/5R1P/8/8/2P1kp2/8/1K3P2/8 w - -,b2c3
r5k1/1R6/PP5p/8/1r2p3/5nP1/5P1P/R4N1K b - -,e4e3
br2r3/3nqpkp/6p1/1p6/1PNQp3/6P1/P3PPBP/2R2RK1 b - -,g7g8
r4rk1/1pq3p1/p1np3p/2b1p3/3P4/2P3PB/PP2NP2/R2Q1RK1 b - -,c5a7
r2b4/3P2k1/3R4/p3NR2/5P2/5K1r/P7/8 w - -,f3g2
6k1/5p1p/bn1p1bp1/3Pp3/qPp1P3/2Q1N2P/1B1N1PPK/8 b - -,a4a2
6B1/3Pkp2/pq3p2/bp2p3/3r4/3RQPP1/PP5P/1K6 w - -,d3d4
2r5/2R2pk1/1p2p1p1/p1p1P3/P1P5/1P3K2/6PP/3R4 b - -,c8c7
