3R4/6pk/2p4p/5r2/8/6P1/4PPKP/8 w - -,f2f4
r2qkb1r/5pp1/p1bp1n1p/1p2p3/4P3/2N1BP2/PPPQ2PP/2KR1B1R w kq b6,g2g4
2r2rk1/1bqp1ppp/p3p1n1/1p6/3nPb2/2P1B2P/PP1NQPP1/1BR2R1K w - -,e3d4
r1q1r1k1/1b1nbpp1/p1p1p2p/Bp1NP3/1P6/5N2/4QPPP/1BR2RK1 b - -,e6d5
r2qr1k1/pp3pbp/2ppnpp1/8/2P1P3/1PNQ2PB/P4PKP/2R4R b - -,e6c5
r4rk1/1bq2pbp/pp2p1p1/3n4/P1Q5/1BP2N1P/1P1B1PP1/R3R1K1 b - -,c7c5
2r3k1/1q1bppb1/1p4pp/p2p4/P2P1B2/1P2P2P/N2Q1PP1/5RK1 w - -,f1c1
3r2k1/5b2/p1p4p/3n1Bp1/1P1B2P1/2P4P/5P2/4R1K1 w - -,g1h2
2Q2k2/6p1/p6b/Pn1p4/7q/1P1PP3/1BPK1P2/7B b - -,f8e7
rnbqr1k1/4b2p/1p2p1p1/p2pPp2/3P1PP1/2NBB3/PP2Q2P/R4RK1 b - -,b8a6
1kr4r/1bq2p2/p1P1p3/1p1nP1pp/8/1Q4BP/4BPP1/R1R3K1 w - -,c6b7
r2qr1k1/pp1nbp1p/2p3pB/7n/2BN3Q/7P/PPP2PP1/R4RK1 w - -,h4e4
6k1/4N3/5KB1/8/8/8/8/8 b - -,g8h8
r2q1rk1/pppbbppp/2np1n2/8/4P3/1PN3PP/P1P1NPB1/R1BQK2R b KQ -,f8e8
1R3b2/3r1p1p/3pnpk1/3Np3/4P3/2P3NP/5PP1/6K1 w - -,h3h4
8/5pk1/8/5R1P/1r4PK/8/8/8 b - -,b4b6
r2q1rk1/4ppbp/p2p2p1/2pP4/2BnP3/8/1PP2PPP/R1BQ1RK1 b - -,d8b6
6k1/R7/6p1/8/2qBP2p/4KB1P/6P1/8 b - -,c4c1
r3r1k1/p1qn1bpp/4pp2/1pPn4/5P2/PB1N1Q2/1PPB1RPP/4R1K1 b - -,d7c5
r1bq1rk1/ppp1ppbp/3p1np1/3P4/2P1P3/2N3P1/PP3PBP/R1BQK2R w KQ -,e1g1
r1bq1rk1/pppp1ppp/2n2n2/2b1p1B1/2B1P3/2PP1N2/PP3PPP/RN1QK2R b KQ -,h7h6:d7d6
8/5rpk/p7/2R1B3/1P3KPP/2P5/4b3/8 w - -,f4g3
r2q1rk1/3b3p/p1p2b2/3pB1p1/1P1Qp3/P5P1/4PPBP/2R2RK1 w - -,f1d1
6k1/pbq1r1pp/5p2/2p1p3/2Pb4/1P6/P2BQPPP/1R2N1K1 w - -,b1d1
1r2qrk1/p1nbp1b1/3p1npp/1ppP1p2/2P5/PPNBPN2/1BQ2PPP/1R3RK1 w - b6,b2a1
r1bq1rk1/pp2ppbp/2n3p1/2p5/2Q5/2n2NP1/PP1PPPBP/R1B2RK1 w - -,d2c3
r1bq1rk1/4bppp/p7/npppPNn1/8/2P2P2/PPB3PP/RNBQR1K1 b - -,c8f5
2r1r1k1/3npp1p/p2p2p1/qp1P4/2PpP3/P7/1PQ1BPPP/3R1RK1 w - b6,c2d2
5k2/3rpp1p/6p1/2pN4/1pPbrP2/1P3R1P/6PK/3R4 b - -,f8e8
2rq1rk1/1b1nbppp/pp2p3/3p4/PN1P4/1P2PNP1/3Q1PBP/R1R3K1 b - -,a6a5
2r1rk2/5p1p/P7/1N3R2/2p5/P2n4/6bP/1R4K1 w - -,g1g2
