8/2R1pk2/8/6pp/5rN1/6K1/5P1P/8 w - -,g4e3
8/p4pkp/1p1n4/2rNp1B1/2n1P3/2P2PP1/P5KP/1R6 w - -,g3g4
6k1/R5pp/6b1/4r3/8/3p4/1P4PP/3N2K1 w - -,d1c3
r2qkb1r/3n1ppb/p1p1pn1p/1pPp4/3P1P1N/1PN3P1/P3P1BP/R1BQ1RK1 b kq f3,f8e7
4r3/pp3kp1/2p1r2p/3pRP2/3P2PP/1PP2K2/P7/4R3 b - -,e6e7
5k2/2R1Rp1p/1p4p1/p7/1b6/1P4P1/5P1P/6K1 b - -,b4e7
rn1qkb1r/pp2pppp/2p2n2/3p1b2/2PP4/5NP1/PP1NPP1P/R1BQKB1R b KQkq -,e7e6:h7h6
r2q1k2/1ppbRpbp/3p1np1/2nP4/p1PN4/P1N4P/1PBQ1PPB/2R3K1 b - -,d8e7
r2qk1nr/1pp3pp/p1pbbp2/8/3QP3/2N2N2/PPP2PPP/R1B1R1K1 b kq -,g8e7
8/3N1p2/k5p1/6P1/5n1P/2Kp4/8/8 w - -,d7e5
2rr2k1/3qb1pp/pn6/1p3p2/3N2n1/PP2P1P1/1B1NQ2P/2R1R1K1 w - -,d2f3
5r2/Q4pkp/1p1r2p1/2p2q2/2P5/3PR1P1/P4P2/5RK1 b - -,d6d3
r1bq1rk1/pppn1pbp/2np2p1/4p3/3P4/2P1PN1P/PP2BPPB/RN1Q1RK1 b - -,d8e7:f7f5
2r1r1k1/p3bpp1/q4n1p/1p6/1P6/1Q3NP1/4PPKP/BR1R4 b - -,a6b7
rnb1kr2/pp2pp2/3p3Q/q1pP2R1/2P1P3/2N2P2/PP2BKP1/R7 b - -,b8d7
2rr1nk1/1p3p2/3ppPp1/6Pp/4q2P/8/PPP2QB1/1K1R3R b - -,e4b4
r2k1b1r/pppb1ppp/2p5/4Pn2/8/2N2N2/PPP2PPP/R1BR2K1 b - -,d8c8:d8e8
r2r1qk1/3P1p1p/2p2Qp1/3p1p2/pP6/P7/5PPP/2R1R1K1 w - -,f6c6
2kr2nr/pp3p1p/1qn1p1p1/4P3/1PPpNP2/P2R1Q1P/6P1/2K2B1R b - c3,d4c3
8/7p/6p1/3k4/1P2p3/n3K1P1/3B3P/8 w - -,d2c3
8/5pk1/3p4/3P2p1/4Pbn1/R7/r4PK1/8 w - -,a3a2
4R3/8/p4k2/1p6/3pp1P1/3n2P1/1P1K4/8 w - -,e8e4
rnbqkbnr/pppppp1p/6p1/8/4P3/P7/1PPP1PPP/RNBQKBNR b KQkq e3,c7c5
8/7p/2kB2p1/6P1/2P2p1P/P2n1K2/8/8 w - -,d6f4
4r3/5R2/3B2pk/1P1np2p/3p2nP/P7/2B3P1/6K1 b - -,d5f4
2b5/1p1k4/4np2/BPPBp1p1/6P1/4KP2/8/8 w - -,c5c6
