3R2rk/5R2/7P/p5r1/6PK/2P2P2/8/8 w - -,d8g8
8/p1q2k2/1p1Rb3/2p1P1Bp/P1P3pP/1P1B1pP1/5P2/6K1 b - a3,a7a6
2kr3r/pppn1ppp/3b4/4p3/3P4/2PBBP1P/P1P2P2/R3K2R b KQ -,e5d4
8/p5k1/1p4p1/4qp2/4r2p/1P2P1P1/P4KR1/4Q3 w - -,e1d2
r2q1rk1/2pb2pp/2p1n3/p2pPp2/5P2/2Q1B3/PPPN2PP/R4RK1 b - -,d8e7
5k2/8/4p1P1/5K2/3PB3/8/4r3/8 w - -,f5e5
r1q2rk1/pp2p1b1/2p4p/5bp1/2PPn3/4QNBP/P3NPP1/2R2RK1 b - -,c8e6
3r2k1/p3b2p/1p2p2q/2p1Ppn1/b1P2N2/4PPP1/PB2QKB1/5R2 b - -,d8d7
8/8/8/3b2p1/3pk3/5BP1/5K2/8 b - -,e4e5
rn1qkb1r/pbp2ppp/1p3n2/3p4/3P4/2NBPN2/PP3PPP/R1BQK2R b KQkq -,f8d6
1q6/pr3kp1/Rn1bpp2/3p4/1P1P2P1/2P2P2/4NB1r/RQ4K1 w - -,g1f1
8/p4k2/1p5p/2pp2p1/7r/P1PK4/4R2P/8 w - c6,e2f2
8/2k4K/6p1/6P1/8/4P2r/8/8 w - -,h7g6
r4r2/ppp5/3pn1pk/1P1Npp2/2P1P2p/R2P1PP1/P5KP/5R2 w - -,f1b1
r5k1/p7/1p1B3p/2PP1qp1/2Pb4/7P/P2Q2P1/3R3K b - -,b6c5
2k5/1R1n1pp1/p1pr2p1/8/P1pPB1Pr/5P2/8/1R4K1 w - -,b7a7
1r3rk1/p1qnbppp/2p1b3/4p3/2BpP3/PP6/1NPBQPPP/R4RK1 b - -,d7c5
4n3/2p1k3/7p/p2P4/1p1K4/8/P3R3/8 b - -,e7d7
1k6/p7/2Rb1r1p/1P1B4/P4pp1/8/6K1/8 b - -,f4f3
8/1b2r3/n2r1kpp/1p1p1p2/p1pP3P/P1K1P1P1/1PN1RPB1/R7 w - -,c2e1
r1bqnrk1/pp2ppbp/2n3p1/1B1pP3/3P4/5N2/PP2QPPP/RNB2RK1 w - -,b1c3:h2h3
6k1/7p/1n3pp1/1N6/p3P3/Pp1K2P1/r3RP1P/8 w - -,e2d2
r1bq4/p1n1kpr1/2p1pNp1/4P1P1/3P1Q2/1PpB3R/6PP/R5K1 b - -,c8b7
4r1k1/pp4pp/2p1pn2/2b5/1q2P3/2N1BP2/4NQPP/3K3R b - -,b4b2
2r1k2r/1p1b1p2/p2bpn1p/2Np1p2/3P4/3BPNP1/PP1qKP1P/2R4R w k -,e2d2
8/5pk1/6p1/7p/4Q2P/2q3PK/8/8 w - -,h3g2
r1b2rk1/p2nqpp1/2p1p2p/1p2P3/3P4/P1PB4/3N1PPP/R2Q1RK1 b - -,d7b6
6k1/5pp1/p7/1pP2nB1/3p4/P4q1P/1P2rP1K/5RQ1 b - -,e2b2
2qr1rk1/pp1nppbp/2p1b1p1/P3N3/3P1B2/2PB1Q1P/1P3PP1/R3R1K1 w - -,e5g4
3n4/p3k3/1p3P2/6p1/3pNqN1/P6R/1P5P/6K1 b - -,e7e6
r3k2r/1pp2ppp/p1nbb3/4q3/2P5/P1N1B1P1/1P2BP1P/R2Q1RK1 b kq -,e5f6
7k/p2r4/1p1P4/n3q3/2p1P1P1/4Q3/PP2Br1p/1K1R3R b - -,f2g2
1r6/1P6/2K1k1p1/5p1p/5P2/1R6/8/8 b - -,h5h4
2r3k1/3b2p1/pp2p2p/n2pP3/P2P2PP/4BB2/5P2/R4K2 b - -,c8c3
q3r1k1/5pbp/p4np1/3N4/1p3P2/1P4P1/P2Q2K1/2RR4 w - -,g2h3
