8/6p1/6Kp/8/8/4N3/5pk1/8 b - -,g2g1
2r1bk2/1p3p2/pqn1p2p/4N3/3PpP2/P1N1P2P/1P4Q1/4K1R1 b - -,f8e7
2nr4/3r1kp1/1pp1qp2/p3p3/P1N1P1P1/1P1R3P/2P1Q1P1/3R2K1 w - -,g4g5
r1bqkb1r/pppp1pp1/2n2n2/4p3/2P4p/2N1P1P1/PP1P1PBP/R1BQK1NR w KQkq -,g1e2
4rrk1/pp2n3/1q6/3p1ppp/3Pp2P/2P1P1P1/PPQN2R1/R5K1 b - -,b6h6
6k1/4bppp/p3p3/qpp1P1P1/1n2NP1P/Pb2B3/1KP2QB1/8 w - -,e3d2
2q1r1k1/5ppp/2n4r/1QBN4/1p1P1N2/6P1/PP5P/R5K1 w - -,a1f1
r1rb2k1/pp1q1pp1/3p3p/3Rp3/2P1P1P1/5P2/PP2Q1P1/R1B3K1 b - -,d8b6
r2r1b1k/ppq2ppp/2ppnn2/P4N2/4P3/2N1BPQP/1PP3P1/R2R2K1 b - -,g7g6
3r1rk1/1p5p/pqb1p1p1/2npPpQ1/3R1P2/2N1P3/PP1R2PP/1B4K1 b - -,a6a5
8/5p2/2k3pp/8/1K6/3R3P/5rb1/3B4 b - -,f2f4
8/6k1/n7/P6p/2N3p1/1P3K1P/8/8 w - -,h3g4
2r3k1/p1b4p/2P2B1P/1P1r4/PP2R1p1/3p4/5P2/4K3 b - -,g8f7
r7/pR2N1n1/2p1k3/n3P3/5B2/5P2/P6P/4K3 w - -,b7c7
8/2p1b2p/4p1p1/1p1kP3/1Pp2PP1/2P1BK2/7P/8 b - -,e7d8
1r3rk1/1b3ppp/1q3b2/Q2pp3/4P3/2P5/RPN2PPP/4KB1R b K -,b6e6
3r1k1r/1p2p1b1/p1npp2p/6q1/2B1P1pN/R5P1/1PP2PP1/1R2Q1K1 b - -,d6d5
r5k1/1R2b1pp/p6r/2Pq1p2/Q3p3/2B1P1P1/P5KP/R7 w - -,b7e7
1r3rk1/pppqbppp/5n2/3P1b2/2N5/P1Nn2P1/1P3PBP/R1BQ1RK1 w - -,c1e3
8/5pk1/1pB3p1/1Pn3P1/3R1P2/1r2PK2/8/8 b - -,b3c3
8/2q2k2/4p2p/pQNbP1p1/5pP1/PP6/2P2K1P/8 w - -,b5d7
8/1R4pp/p5k1/3p1r2/5r2/2P5/P5PP/4R1K1 w - -,b7b6
r3kb1r/1pqb1p2/p2ppn1p/4n3/4PBP1/2N2N1P/PPP1Q1B1/2KR3R b kq -,e8c8
8/pp2r2k/1n2pp1p/P1p5/8/4N3/1PP2PPP/2KR4 b - -,b6d7
3r2k1/pp3pp1/4pn2/q6p/4P3/2N3PP/PP3PB1/2Q3K1 b - -,a5c5
r2qkb1r/pp2pppp/2n2n2/3p3b/3P1N2/2PB1P2/PP4PP/RNBQK2R b KQkq -,h5g6
