6Q1/7B/kb3B2/3b3p/4p3/P3P3/5K2/8 b - -,d5g8
r2q1rk1/1ppb1pb1/n2p1npp/p2Pp3/2P1P2B/P1N5/1P1NBPPP/R2QK2R b KQ -,d8e8
6k1/R5p1/7p/P6P/r7/5P1K/8/8 w - -,h3g3
3r2k1/ppr2p1p/2n1bqpb/3p4/3P4/P1N2NPP/1PR2PB1/3QR1K1 b - -,h6g7
5rk1/pp6/3p2p1/3P4/2P1n3/6RP/P4r2/4R1K1 w - -,e1e4
r1bq1rk1/1pp2pbp/p1np1np1/4p3/2PP4/P1NQ1NP1/1P2PPBP/R1B2RK1 w - -,d4d5
8/pp1bkp2/2pp3p/6p1/2P4P/1P3B2/P1P1KPP1/8 w - g6,h4g5
4r1b1/2R3pk/p2B1p1p/r4P2/2P1p3/1P2R2P/5PP1/6K1 w - -,e3g3
8/5B2/8/8/8/2n1K3/1pk5/8 w - -,e3d4
5k2/6Bp/pp6/2r2NP1/4rP2/3n2K1/PP6/3R4 b - -,f8g8
8/8/Pk3pK1/1P2b1p1/2B1P2P/2n5/7P/8 b - -,g5h4
1R6/6pk/4p3/3pPq1p/3Bp3/4P3/3KQP2/7r b - -,h1h2
rnbqk1nr/pppp1pbp/6p1/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq -,f1g2
r3r1k1/1p1q2bp/p2p1p2/2pP1P2/3B4/3B4/PP1Q2P1/R4RK1 b - -,c5d4
8/pp3nk1/2p3p1/5p2/8/1PN1r2P/P1P3P1/3R2K1 w - -,c3a4
r2q1rk1/p3bppp/2p1p3/1p1nP3/3PN3/1Q6/PP3PPP/R1B2RK1 w - -,f1d1
1nr4r/1b3pk1/1p1q1b1p/4pPn1/1P2P1P1/P2B1NK1/1B1NQ2R/7R b - -,b8c6
6k1/1p5p/8/2P1B3/1P4q1/7P/7K/8 w - -,h3g4
kb1R4/pp5p/5p2/PP6/8/3K1b2/5P2/8 w - -,b5b6
r4rk1/pp5p/3p2pb/3Qp2q/6n1/1N4B1/PP2PPB1/R4RK1 b - -,g8h8
8/4b3/p4pp1/7p/1Pp2Pk1/P5P1/1B3K1P/8 w - -,f2g2
1R6/8/1P1r3p/7K/2k3P1/8/8/8 b - -,c4c5
3kNn2/1b5p/1p4p1/4p1P1/BPP2p1P/4KP2/8/8 w - -,e3f2
1r5r/3nkp2/b2p1n1p/1p2p1p1/4P2P/5PB1/1PPN2P1/2KR1B1R w - -,g3f2
2r3k1/6R1/p3p1np/1q2r1B1/1p4QP/8/PPP3P1/4R2K b - -,g8g7
2r3k1/rppb1pp1/4pq1p/p7/1bQP4/5NP1/PP2PPBP/R2R2K1 b - -,d7e8
5r1k/2q3p1/1p1p1r1p/p1nBp3/2P5/1P2QPP1/P2R2KP/5R2 w - -,d2f2
r4k1r/pp2q1pp/2p1b3/2npPp2/8/1BN1Q3/PPP2PPP/2KR3R w - -,c3e2
r7/5pk1/8/2bN3p/P1P5/3Kp3/1R4PP/8 w - -,b2b5
r2qn2k/pp4bP/8/8/3p1r2/3BB2Q/PP4PP/3R2K1 w - -,e3f4
3r1rk1/1p3p1p/pN1pp1p1/8/1PP1P3/P4P1n/5P2/3R1RK1 w - -,g1h2
r2q1rk1/2p2ppp/p1npbn2/1pb1p3/4P3/2PP1N2/PPBN1PPP/R1BQ1RK1 b - -,c5b6
r1bqk2r/ppp1npb1/3p1npp/3Pp3/2P1P3/3BB2P/PP3PP1/RN1QK1NR b KQkq -,e8g8
8/4r1k1/p1p1Pn2/7p/2pB1P1R/8/P6K/8 w - -,f4f5
