7k/1P3Np1/2b1p2p/4P3/1q6/6QP/6PK/8 b - -,h8g8
1r3r1k/1p4p1/p2p3p/B2np3/8/5PKP/PPR5/2R5 b - -,f8f6
q1b1nr1k/3nb1pp/p7/4P3/PN6/4B1Q1/2P3PP/1R3RK1 w - -,b4d3
5rk1/p5pp/1p2p3/2PbRp2/1P3P2/PNR4P/6PK/3r4 w - -,c5c6
3r2k1/ppp4p/5pp1/4Pb2/2P2P1P/2Pr4/PR1B2P1/4K2R b K h3,f5g4
5bk1/ppN2p1p/6p1/2P2bqn/1nPpp3/8/P3PPPP/2RQKB1R w K -,d1d2
8/8/8/1pPk4/1P2pp2/8/4KP2/8 w - -,e2f1
2b2rk1/p4p1p/2pq2p1/3p3n/1rP5/1P1B1Q1P/P3NPP1/R3R1K1 b - c3,c8e6
7k/8/3p4/P2Qp3/4P3/6P1/4qPK1/8 b - -,e2a6
r4rk1/1p2ppbp/6p1/p1RP4/4P3/1P3P2/P2KB1PP/7R b - -,f8c8
8/8/5b2/8/5k2/2p3p1/4K1B1/8 b - -,f4e5
1r5k/2bq4/3p2pp/p2Ppb2/p3Np1P/1rP2B2/RP1RQPP1/6K1 b - -,c7d8
8/6pp/5k2/2p1n3/P2b4/3b3P/4BP2/2RK4 b - -,d4f2
4r1k1/pp3p2/4qbp1/3p1p1p/3PrP1P/P1P1RNP1/1PQ2K2/4R3 w - -,c2d2
rn1q1rk1/1p2bppp/p2p1n2/4p2b/4P3/1BN2N1P/PPP2PP1/R1BQ1RK1 w - -,c1g5
r5k1/1p1q1np1/2p4p/p2p1P2/P2B2P1/4QP2/1P5P/5RK1 b - -,c6c5
rn1q1rk1/1p2ppbp/pn2b1p1/8/3P4/2N1BN2/PPQ1BPPP/R4RK1 b - -,b8c6
r6k/7p/3Rqbn1/1Q1p4/4ppP1/5P1P/1P6/1R2BBK1 b - -,e6d6
rr4k1/5ppp/b3p1n1/2ppn1NQ/1q5P/1PNP2P1/P4PB1/2RR2K1 w - -,h5h7
r2q1rk1/pp2ppbp/2n1b1p1/2Pp4/3Pn3/2N2N1P/PP2BPP1/R1BQ1RK1 w - -,c1e3:c1f4
5Q2/8/8/1p4kp/5pp1/2q5/8/5K2 w - -,f8d8
2r2rk1/Q2p2pp/b7/p2RP1q1/8/2P3P1/P2N1P2/R5K1 b - -,c8c3
3r2k1/6p1/p1r1p2p/3P4/8/2NR4/PP5P/3R3K b - -,e6d5
3rrbk1/ppqn1p1p/2p2np1/8/2PN4/1P4PP/PBQ2PBK/3R1R2 w - -,f1e1
r3nrk1/1p1b3p/3b1p1P/q2Pp1p1/p1B1P1P1/P1N1QN2/1P3P2/2KR3R w - -,f3d2
6r1/2p5/8/1pkp1p1p/p1b4P/P1N2P2/1PPK2P1/6R1 b - -,d5d4
1rb2rk1/p1q1n1bp/1pn1p1p1/2pP1p2/5PP1/3PBNNB/P1P4P/1R1Q1R1K b - -,e6d5
4kr2/p4pQp/6p1/2ppp3/4q3/8/P1P3PP/1R4K1 b - -,e4d4
2r2rk1/pp1qbpp1/5n1p/3p4/3Q3B/2N5/PPP2PPP/R3R1K1 b - -,c8c4
7r/1k1b2r1/p4pp1/1ppNn2P/4P3/2p2P2/PPPRNK1P/3R4 w - -,e2c3
rnbqkb1r/pp1ppp1p/5np1/2p5/3P4/3BP3/PPPN1PPP/R1BQK1NR b KQkq -,c5d4
8/8/2p3p1/5p1p/5P1P/pk1q2PK/8/6Q1 b - -,a3a2
r1k4r/p1pb1ppp/1pp5/4P1N1/6P1/7P/PPP2P2/R2R2K1 b - -,h7h6
2rn2k1/1pr1pp1p/1n4p1/2p5/1P1NPP2/6PP/2RN1K2/1R6 w - -,d4b5
rnbqk2r/pp1p1pbp/2p2np1/4p3/2P5/2NP2P1/PP2PPBP/R1BQK1NR w KQkq -,g1f3
r2rb1k1/ppR2pbp/6p1/3Pn3/3N4/4B3/P2KBPPP/2R5 b - -,d8d5
R4bk1/1p1R1p2/2p1nP1p/4P3/p1P3p1/8/PP5P/3K4 b - -,h6h5
r1q1nk2/5ppp/ppQb4/1p6/5B2/5P2/PPP2P1P/3R2K1 w - -,f4d6
6k1/2q3bp/p2pp1p1/2p5/4PP1N/2Nb2PP/PQn3K1/4B3 w - -,e1d2
r5k1/1qr1bpp1/3p3p/3P1b2/1NB1nP2/1P6/1BPQ2P1/1K2R2R w - -,e1e4
1r4k1/6pp/p3P3/n7/8/5N1P/6P1/3R2K1 b - -,b8e8
