8/p4r2/1p1Pn1kp/8/8/3Q4/PP4PP/6K1 b - -,g6g7
r2q3r/5pk1/pn2p2n/1p1pP1NQ/P1pP3P/2P1R3/1P3PP1/R5K1 w - -,e3g3
5rk1/p2R1rp1/2P2n1p/5Q2/4pP2/8/4qN1P/3R2K1 b - -,f6d7
r1bbqrk1/p2n2pp/1pp1pn2/2Pp1pB1/1P1P4/1N1Q1NP1/P3PPBP/R1R3K1 b - -,b6b5
1rbqk2r/2p2ppp/pb1p4/8/PpBPn3/5N2/1P3PPP/R1BQ1RK1 w k -,a4a5
rnbqk2r/3p1ppp/pp2pn2/2b5/5B2/2N1PN2/PPP2PPP/R2QKB1R w KQkq -,f4d6
8/p7/2kn1ppp/2p5/5PP1/2K2NP1/8/8 w - -,g4g5
r3kbnr/1p3ppp/p3p3/8/3n2b1/2P2N2/PP2BPPP/RN3RK1 w kq -,c3d4
6k1/4pp1p/1p1p1n2/2r2Pp1/2P1P1P1/1B5P/P7/4R1K1 b - c3,g8g7
r4rk1/1ppbqppp/n2p1n2/3Pp3/1PP1P3/3N2PP/3N1PB1/R2Q1RK1 b - -,c7c6
2rq1rk1/pb2bppp/1pn1pn2/2pp4/2PP4/1PNBPN2/PB3PPP/2RQ1RK1 w - -,d1e2
r1bqk2r/p1pp1ppp/2p2n2/8/1bP5/2N3P1/PP2PP1P/R1BQKB1R b KQkq -,d8e7
r2qkb1r/ppp1nppp/2n5/3p4/3P4/P1N2P2/1P2PP1P/R1BQKB1R w KQkq -,e2e3
4r1k1/1p2qpbn/3p2p1/P1pP1nPp/1rN5/3QB3/RP2PPB1/4R1K1 w - -,e3f4
r4rk1/1pqb1pbp/pn1p1np1/2pP4/2P2B2/2NB1N1P/PPQ2PP1/R3R1K1 b - -,a8e8
6k1/5p2/1B2n1p1/P1p1p3/1pP2bK1/3R3P/6P1/1r6 w - -,a5a6
2kr3r/pp1nn1b1/q1p1pp2/7p/1PpP3P/3QBN2/P2N1PP1/R4RK1 w - -,d2c4
2k1r3/1b1r1p2/2pb1pp1/q7/pppPP1P1/5P2/PPP1N1N1/K2RQ2R w - -,g2e3
8/6kp/6p1/4np2/4p3/2NnP2P/P1N3P1/5K2 b - -,e5c4
3r1q1k/1p5p/p1np2p1/P2Nprb1/1PN1Q3/2P5/5PPP/3R1RK1 b - -,c6a7
6k1/8/1B4p1/5p2/7P/6P1/r7/6K1 b - -,g8f7
r4r2/2p2k1p/1p1p1qn1/1PnPp2R/pN2Pp2/P4P1B/1P1Q3P/1K4R1 b - -,f8h8
5R2/p5k1/1p6/2p3p1/P2p2P1/1P1P2P1/1r6/6K1 w - -,f8c8
r2r2k1/ppp2ppp/1nb2b2/4p3/4P3/1BP1BN2/PP3PPP/R3K2R w KQ -,f3d2
8/4pp2/5kp1/R7/P1r1BbP1/5P2/6K1/8 w - -,g2f1
1r3rk1/4q1b1/1n4pp/1p1bpp2/1P1pN3/3P2P1/3BPPBP/R1RQ2K1 w - f6,e4c5
6k1/2Q5/7p/8/8/7P/P5q1/3K4 w - -,c7c4
3r4/2R5/5kp1/5p2/8/P1pn2N1/1R5K/6B1 b - -,c3b2
1r4k1/r6p/5p2/8/pp1N4/2nP2P1/1R2PPKP/R7 b - -,b4b3
3r3r/p4pn1/2pbbk1p/2n1p1p1/1pP1P3/1N2NPB1/PPB1K1PP/2RR4 b - -,c5a4
2rrn1k1/4qp1p/1p1pp1p1/p1n5/2P5/1PN1PP2/PQ1RBP1P/3R2K1 w - -,c3b5
8/8/1pq5/5k1p/4R1pP/P5P1/1P2RPK1/8 b - -,c6d5
3r1r2/pb2N1bk/p4p1n/1q1N2pp/4P2B/2Q4P/PP3PP1/R3R1K1 w - -,h4g3
2R5/8/1p2k3/p2p2p1/P2n1p1p/1P3P1P/3K2P1/2B3r1 w - -,c1a3
8/2r1kpp1/1R2p2p/2Pr4/7P/6P1/5PK1/2R5 w - -,b6b5
1r3r1k/7p/1p1q1p2/3N1b2/3Q4/3P1BP1/P3P2P/2R3K1 w - -,c1c7
r3k2b/pp6/2npbn2/1B2ppp1/8/P1N1P1B1/1PP2PP1/R3K1N1 w Qq -,e1c1
1r6/1pRbk2p/p2p2p1/3Ppp2/4P3/6PB/PP3P1P/6K1 b - e3,e7d8
1rb1nrk1/2q3b1/1p3n2/2pPp1pp/2P1Pp2/1N1B1P1P/2Q1NBP1/RR4K1 b - -,g5g4
r2q1rk1/1ppn1bpp/2n2p2/p1b5/2Pp1BP1/3P1N1P/PPNQ1PB1/R3R1K1 w - -,f4g3
2r3k1/5pb1/1p2pnp1/pP6/P2P4/1q3NP1/4QP2/B3R1K1 b - -,c8c2
r4rk1/7p/4b1pQ/p2n3n/P1BP1N2/1P2qP2/1P1R4/2K4R w - -,h1h5
rn2k2r/1q2bpp1/p3pn1p/2p2PN1/1p6/3P2P1/PPP1N2P/R1BQ1RK1 w kq -,g5f7
3k4/7p/4pnp1/p1p2p2/2P2P2/1P4P1/P2KB2P/8 b - -,d8c7
8/8/5k2/4R3/5PP1/5K2/1r6/8 b - g3,b2b3
8/8/8/4R2p/1K4k1/8/r6P/8 w - -,h2h3
2r3k1/6b1/2P3pp/B2n2P1/2Q5/4q3/PP5P/2RR2K1 w - -,g1g2
rnbq1rk1/1pp2pbp/3p1np1/p3p3/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 w - a6,a1b1:c4c5
r1b2rk1/2q2pbp/1pn1p1p1/p1pn4/P7/N1PP1NP1/1P3PBP/R1BQR1K1 b - -,c8a6
rn1q1rk1/ppp2pp1/3b1n1p/3Pp2b/2B5/3P1N1P/PPPN1PP1/R1BQR1K1 b - -,b8d7
5nk1/1pq3pp/p2b1p2/2pR4/2P5/1P3N1P/PB2RPP1/6K1 b - -,g8f7
