2N3n1/5k2/8/p5pp/2R2b2/5P1P/P5K1/8 w - -,c4c5
r4r1k/7B/p6p/b1QPq1p1/6b1/P3P3/1P3PPP/R4RK1 w - -,c5a5
3k4/1R4p1/4P1Kp/8/8/8/1p2r3/8 b - -,e2e6
r4rk1/1q3ppp/2n1p3/p1P5/Rp1PPn2/8/1B1NQPPP/2R3K1 w - -,e2e3
2k5/2p2ppp/3npn2/8/P7/3RBPP1/7P/7K w - -,a4a5
7r/1p3k2/2b1pp2/1p5p/2rp4/PR6/1P2NKPP/4R3 w - -,b3h3
6k1/2R4p/2P3p1/8/3p4/7P/2r2PP1/4K3 w - -,f2f4
1r1r4/ppk1bp2/2p1p1p1/4P1Pp/1n2N3/5NP1/PP3P2/2RR2K1 w - -,f3d4
8/8/7k/r4PpP/4R1P1/2b1N3/5PK1/8 b - -,h6g7
rn1q1rk1/1p1bbpp1/p3pn1p/8/P1BN3B/2N1P3/1P3PPP/2RQ1RK1 w - -,d1e2
2r2rk1/B2nb1pp/1p2p1b1/1N1p1p2/5PP1/3P3P/PP2P1B1/R4RK1 w - -,g4f5
3r1r1k/pp4b1/2p2n1p/3ppq2/P7/2PP1R2/1PBB1PQP/3R2K1 b - -,f5h7
r1bq1rk1/p3npb1/1pn1p1pp/2pp4/2P5/P1NP1NP1/1P1BPPBP/R2Q1RK1 w - -,a1b1
r7/4k2p/5Rp1/5p2/2r1p3/bPB1P1P1/P4P1P/6K1 w - -,b3c4
1r1q1bk1/1ppbn2p/p5p1/2BPp3/1Q2P3/6PP/PP4B1/2R3NK b - -,b7b6
2b3k1/1r1q2bp/pp1Bp1p1/2ppP3/N6Q/1P1P4/1PP3PP/5R1K w - -,f1f3
1q3k2/4bppp/2Q1p3/B1p1P3/8/1P4P1/2P2P1P/6K1 b - -,g7g5
6k1/3r1p1p/1p3ppb/1N6/Pp6/1B5P/1P3PP1/5RK1 w - -,f1d1
r1b2rk1/p1pn1q1p/1p2pBp1/3pP3/3P3Q/2NR4/PPP2PP1/2K4R b - -,d7f6
8/8/1p6/p2k3p/Pr3pp1/3K4/6PP/R7 w - -,d3c3
r3qr1k/pp1bb1pp/2n1p3/3pP3/P2P1PB1/1P1Q1NR1/3B3P/R6K b - -,e8g6
2r3k1/5pbp/1p1p2p1/p2P4/1P1n1P2/N2B4/P2K2PP/5R2 w - -,a3c4
r1b1r1k1/2q2p1p/1ppp2p1/p1n1b3/P1P1P3/1PN2P2/2BQ1BPP/1R2R2K b - -,c8b7
4r1k1/3q3p/3p2p1/2pP1n2/2Nb1P2/7P/1P1B2QK/4R3 b - -,e8e1
8/5pk1/4pp1p/1r5P/5PP1/3RP1K1/8/8 b - -,b5a5
rn1qr1k1/1p5p/2p1b1p1/p2nNp2/8/2N3P1/PP2PPBP/1R1Q1RK1 b - -,d5c3
1r4k1/p1p2pnp/2p2bp1/2Pp1q2/3P1N2/PP2QP2/5BPP/4R1K1 b - -,b8e8
2b2rk1/3n2b1/p3p1p1/2P2p2/Pr1nNQ2/2N2B2/1P3PPP/R4RK1 b - -,f5e4
4r1k1/2BP1pp1/7p/p2n3P/8/r3bP2/P1R2P2/4R1K1 b - -,e8f8
8/np3k2/p5p1/4K1P1/5N2/1P6/P7/8 w - -,e5d5
q2rn1k1/p2R1pp1/1p2pb1B/1Q6/2P1N3/1P3PP1/P5KP/8 b - -,a7a6
r5k1/ppq3p1/2n1prbp/3p3Q/2pP4/P1P5/2P2PPP/R1B1RBK1 w - -,h5e2
r4rk1/p4pbp/1qp1p1p1/8/3p1N2/4P1PP/PP3P2/R1BQ1RK1 w - -,e3d4
r2q1rk1/3n1ppp/p2P1bb1/Pp6/3Np1P1/1Q2B3/1P2BP1P/R4RK1 b - -,f6e5
5q1k/r5bp/2bp2p1/p1p3N1/1pQ2P2/1P2B3/P5PP/3R2K1 w - -,c4e6
rn1q1rk1/ppp1ppbp/3p1np1/5b2/2PP1B2/2N1PN2/PP2BPPP/R2QK2R b KQ -,f6e4
r2q1rk1/1p2bppp/2npbn2/p3p3/P3P3/1NN1BP2/1PP1B1PP/R2Q1RK1 b - -,c6b4
r7/pp5k/2n1pQ2/3bP3/1P6/P7/5PrP/2B1RK2 w - -,f6h6
rn1q1rk1/p1ppbppp/bp2pn2/8/1PPP1N2/P1N1P3/5PPP/R1BQKB1R b KQ b3,d7d5
r1bqk1nr/pp2bppp/2np4/2p1p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,a2a3
rnbqk2r/pp1pbppp/8/2pQ4/4P3/5N2/PPP2PPP/R1B1KB1R b KQkq e3,b8c6
8/p4rk1/4n2p/R2N4/6P1/1P6/P5K1/8 b - -,e6g5
6k1/1pR1ppb1/p2p1npp/3P4/4P3/Pr4PP/3B1PB1/6K1 b - -,g7f8
2r3k1/1b4bp/pq4p1/3npp2/Qp6/4P2P/NP2BPP1/2RR2K1 b - -,c8c1
