8/6p1/2p1ppP1/8/1PP1bk2/p7/B4K2/8 b - -,e4g6
2r3nk/p1rb2bp/4pNp1/1p1pP3/q2p1BQ1/P2P2P1/1PP2PB1/2R1R1K1 b - -,b5b4
2r1kb1r/3bpp1p/p2p1n2/6p1/4P3/NNQ4P/P4PP1/R1B1R1K1 b k -,c8c3
1r1r2k1/4nppp/1q1pb3/pp2p3/4P3/2PQN1P1/PP3PBP/R2R2K1 w - -,d1d2
q1r3k1/2R2pbp/rn2p1p1/1N1nP3/p2P1P2/5N2/P2BQ1PP/R5K1 w - -,c7c8
rnb1k2r/1pq2pbp/p2ppnp1/8/2PNP3/2NBB3/PP3PPP/2RQ1RK1 b kq -,e8g8
5bk1/r3q3/pQ1R1p1r/1p2P3/8/8/PPP3P1/1K1R4 w - -,d6f6
r2r4/p3k2p/2p1p3/6p1/2P2p2/6P1/PP2KP1P/R2R4 w - -,g3f4
8/6k1/1p1n3p/p5p1/P2P2K1/1P5P/2B5/8 b - -,g7f6
3q4/3P2k1/2B3p1/2P1p2p/8/4P3/P4RPK/8 b - -,d8c7
1k1r2r1/pp2bq1p/5p2/2p1pP1N/P2p1pP1/3P1Q2/1PP1RP1P/R6K b - -,d8d6
R7/8/3p1p2/2p1bPp1/4P1r1/3k4/6B1/6K1 b - -,e5d4
1rb2rk1/1pq1bppp/p2p4/2n2pP1/3QP3/P1N1B3/1PP1B2P/2KR3R w - -,e4f5
8/p3p3/6k1/3P1p2/R5pP/6P1/P1r2K2/8 w - -,f2f1
8/8/7N/1R6/4k3/6Pp/5K2/7r b - -,h1h2
3r1rk1/pp2bpp1/5np1/n7/5P2/1PN1PBPP/6K1/2BR1R2 w - -,c3d5
2r5/3kb3/p2pQ1p1/3n3r/1p1B3p/1N1P3P/PP4q1/K3RR2 b - -,d7d8
8/1b1rq1nk/p4Rp1/Pp1PQ2p/3BB2P/6P1/8/6K1 b - -,e7e5
8/5ppk/Q7/Pp5P/1P3q2/5P2/6K1/8 b - -,f4g5
