8/6pp/5p2/2n5/p3P3/2k2P2/2N1K1PP/8 w - -,c2a3
r4rk1/pp1bq1pp/2nbp3/3p1p2/3P1P2/1Q1BP3/PP1BN1PP/2R2R1K w - -,f1f3
4r2k/7p/q6P/1P1p4/3P1P2/B7/KR1R4/8 b - -,a6h6
8/1q4k1/3p1pp1/1rpPpP2/2Q1P1P1/2B2n2/1PK5/R7 w - -,a1a7
8/p7/8/r2kBK2/1pp1NP2/8/8/2R5 b - -,a5a3
3r2k1/1p1P1ppp/p4bb1/2B1r3/P3P3/2N3PB/1P5P/R5K1 w - -,c5b6
5k2/4n3/6p1/pR4P1/5PK1/1Br5/8/8 w - -,b3e6
2R5/6pk/PR3b1p/5p2/1p6/rP1p3P/4K1P1/8 w - -,e2e3
r3r1k1/1bpp1p1p/1p1np3/p2P2q1/2PBn3/5NP1/PP4BP/2RQ1RK1 b - -,g5h5
4rnk1/1p2qppp/p1pr2b1/4P3/3P4/2NB4/PP2RQPP/4R2K b - -,d6d8
8/4kpp1/2R1p1p1/1p1rP3/1P2R3/6PP/1r3P2/5K2 w - -,h3h4
r3k2r/pp2npb1/1qp1p1p1/2n4P/4PP2/2N5/PPPBB1Q1/2KR3R b q -,e8c8
r1b2r1k/ppp1q1pp/2nb4/3n4/4Pp2/PP1P1N2/1BQN1P1P/R3KB1R b KQ -,d5e3
rnbq1rk1/pp2ppbp/5np1/3pN3/3P4/2N1P3/PP3PPP/R1BQKB1R w KQ -,f1e2
4r1k1/1p1b1p1p/p1r4P/P4pp1/2BP4/1PP5/5PP1/1R2R1K1 w - -,e1e8
r1b2rk1/1pqn1pbp/p2ppnp1/8/2P1P3/2NBN3/PP1BQPPP/R4RK1 b - -,b7b6
r1b2rk1/ppqnbppp/4p3/4N3/2P5/2P3P1/P3QPBP/R1B2RK1 w - -,c1f4
6k1/5pp1/4p2p/3pP3/3B4/P2R1N2/r5rP/7K w - -,d4g1
2r3k1/p4r1p/bq2npp1/2b5/2B1P3/PQ6/1B1N1PPP/2R1R1K1 b - -,c5f2
2r2rk1/1p2ppbp/p1bp1np1/q7/2PNP3/2NQB2P/PP3PP1/2R2RK1 b - -,e7e6
2r5/pp1nkp1p/2p1b1p1/P3p3/NP2P3/7P/2P1BPP1/3R2K1 w - -,a4c5
rnbq1rk1/1p1p1ppp/p4n2/4p3/4P3/1NQB4/PPP2PPP/R1B1K2R b KQ -,d7d5
8/2r1k1pp/b4p2/P2Rn3/8/1P4P1/6BP/4R1K1 w - -,b3b4
8/3k1p2/pp1Q1n2/2p4p/2P4P/3N4/PP2KPP1/8 b - -,d7d6
r1q1r1k1/6pp/5pn1/2R1P3/1P3b2/PP3N2/1B2Q1PP/5R1K b - -,c8e6
r2q1rk1/n4ppp/1p1p4/p1nPp1b1/4P3/5P2/PP1NB1PP/R2Q1RBK b - -,g5d2
r5k1/p2r2bp/1p3pp1/2pP4/1nP2Bb1/qB3N2/P2Q1PPP/2R2RK1 w - -,c1d1
3r1r1k/p1n3p1/1q5p/2p5/1n1bNP2/RQ3BP1/1P1B3P/1R5K b - -,c7d5
2r2rk1/1b5p/2p1p1pq/1pPpPp2/pP2nPP1/P2BPR1P/1BQ3R1/6K1 b - -,g8f7
4rrk1/p5p1/1p4n1/2p1p1B1/2PpR2P/1P1P4/P4P1K/5R2 w - -,h2g3
5rk1/1p1r1ppp/8/p3n3/7N/P3P1P1/2R2PKP/1R6 w - -,c2c5
r1b1k2r/pp1n1pbp/1qp2np1/3pp3/5P2/3PP1PP/PPPNN1B1/R1BQK2R w KQkq -,e3e4
r4rk1/ppqn1ppp/2p1pn2/P5B1/1b1Pb3/2N1PN2/1P1QBPPP/R4RK1 w - -,a1a4
8/5R2/R5pp/3kp1b1/4r3/1r5P/5PPK/8 w - -,f7d7
2rr2k1/2q2pbp/pnbpp1p1/2p5/2P1PP2/1P1R1NN1/P4QPP/1B2R2K b - -,c6b7
8/8/1p1n4/p1p1k1p1/2P5/3BK1P1/PP6/8 b - -,d6e8
8/8/6p1/5k1p/p1b4P/B3KP2/6P1/8 w - -,a3b2
1r3rk1/p1p2p1p/3np3/5p2/q2P4/2P1PB2/5PPP/R4RK1 w - -,a1a4
6k1/1q4pp/p1p2pb1/B1Pn4/2B5/3Q4/P4PPP/6K1 w - -,d3b3
r4rk1/pbp1q1pp/1p1pn3/4n3/2P2p2/PPQ1PP2/1B1NB1PP/4RRK1 w - -,c4c5
8/2r2pk1/3p4/p2P2r1/1pPbp1B1/1P5P/1PR5/1K3R2 w - -,f1f4
r1b2rk1/pp4bp/8/3P1ppP/2pq4/2N2QB1/PPK4P/4RB1R w - f6,g3f2
2rqk1nr/1b1nppbp/p2p2p1/1p2P3/3p1P2/2NBBN2/PPP3PP/R2Q1R1K w k -,e3d4
2r2rk1/pQ2ppbp/3p1np1/8/3P4/6P1/PP2qPBP/R1B2RK1 b - -,c8c2
1r3r2/3bnp1k/p2p2pP/1qpPp3/2p1P2P/5PN1/PP1Q3R/1BK3R1 w - -,g3e2
1r3r2/1pN2pk1/p2p2p1/5n1p/2P1QP2/2R3Pq/PP3P2/3R2K1 w - -,e4f3
rn3rk1/3pb1pp/1q2pp2/1Bpb4/P7/2BNP3/1P3PPP/R2Q1RK1 b - -,d5c6
8/8/7k/1P4p1/4q3/1KP5/8/3Q4 w - -,d1d4
r4rk1/1b1nbpp1/ppq1pN1p/2p3N1/3P4/2PB1Q2/PP3PPP/R1B1R1K1 b - -,d7f6
6k1/1R6/5rnp/p3Np2/2pP4/2P5/P6P/6K1 w - -,e5c4
5k2/R7/3P1pp1/1r5p/3KP2P/p5P1/8/8 w - -,a7a3
2rr1bk1/p4ppp/2p1pn2/3N4/2PpP3/1P1R4/PB1q1PPP/3R2K1 w - -,d5f6
8/5k2/R6p/p4P2/P1K5/8/8/2r5 w - -,c4b5
1N6/8/4np2/2p1p3/b1P1P2k/5P2/5K2/5B2 w - -,b8a6
r2kr3/1pq2ppp/p1B2p2/8/3P1n2/2P2N2/PQ3PPP/2R1R1K1 b - -,b7c6
r2qnrnk/p4p1p/Q2p1bp1/1PpPp3/4P3/4B3/P2NBPPP/1R3RK1 b - -,f6g5
4r1k1/1p1n2pp/p1p1pr1q/P4p2/3P3P/2PQ2P1/1P2RPB1/4R1K1 b - -,g7g5
2kr3r/ppp2p1p/1q2bNp1/8/3n1P2/1PQ2B2/PKP3PP/3RR3 w - -,f3g4
8/8/p7/4k3/1K2P3/8/8/8 w - -,b4a5
8/8/p3p1k1/2P3p1/1P1KN2r/R6P/8/2r5 w - -,a3g3
8/1R3Pp1/6kp/1p1rp3/p2p2P1/P6P/1P4PK/8 b - -,d5d8
6n1/Q4ppk/4p2p/4P3/1p1P4/4BK2/P5PP/1q6 w - -,a7a8
rn3rk1/ppp1bppp/3qpn2/8/2PPb2N/2N5/PP2BPPP/R1BQ1RK1 w - -,c3e4
3r2k1/1pp3p1/p1n1q2p/4p3/1P6/2P1p3/1P1NQPPP/R5K1 w - -,e2e3
r1r3k1/1bqnbppp/pp1p1n2/4p3/P1B1P3/2N1BP2/1PPNQ1PP/R2R3K b - -,d7c5
3r2k1/5pp1/1P3b1p/8/P1b5/4R3/4nPPP/4R2K b - -,f6d4
r1bqk2r/pppnppbp/3p1np1/8/4P3/1P4P1/PBPPNPBP/RN1QK2R b KQkq -,e8g8
5kr1/3Q3p/1P2p3/3pb3/B2n1PPp/P2b3P/8/3K4 b - f3,e5f4
2Q2b1k/8/6P1/8/2P1Bq2/p7/5P2/5K2 w - -,c8d7
rnbqkb1r/4pppp/p1p2n2/1p1p4/2PP4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq b6,b2b3:c4c5
rnb1r1k1/5pp1/p1pp1q1p/B3p3/P1Pb4/3P1NP1/4PPBP/1R1Q1RK1 b - -,d4a7
r1bqkb1r/2p2p1p/p2p1npP/1p1Pp3/NPQ1P3/4B3/2P1BPP1/R3K1NR w KQkq -,c4d3
8/r1p2k1p/P1R1r1p1/5p2/7P/8/3R2P1/6K1 w - -,d2d7
r1bqk2r/p3npbp/2pp2p1/4p3/2PnP3/2NBB3/PP2NPPP/R2Q1RK1 b kq -,e8g8
