8/5pk1/8/7p/PQ4n1/3P4/2K1q3/8 w - -,c2c1
4r3/pq3pk1/2p3p1/R1P2p1P/3P1Q2/4P1P1/5PK1/8 b - -,e8e4
r3r1k1/p1p2pp1/2p1bq1p/2b5/4Pp2/2P2N1P/PP1Q1PP1/R3RNK1 w - -,b2b4
r3r1k1/pp1b1pbp/n2pP1pq/2pP4/2N1R3/2N5/PP3PBP/R2Q2K1 b - -,f7e6
5rk1/4b1pp/1qnppr2/p3p3/1pP1P1QP/1P2N3/P1N2PP1/R2R2K1 w - -,d1d2
2rrn1k1/3q1ppp/1n2p3/2R5/1p2P3/1P1bB1PP/1R1NQP2/5BK1 w - -,e2d3
r1bqr1k1/pp1nbppp/2p1pn2/3p4/2PP4/1PN1PN2/P1Q1BPPP/R1B1K2R w KQ -,e1g1
rnbqkb1r/pp2pp1p/5np1/2pp4/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq -,e1g1
8/8/3k4/2bb4/2p2pB1/2P2Pp1/2NK2P1/8 w - -,d2c1
1b6/kP6/7R/7P/8/5B2/1r6/5K2 b - -,b2b1
3r1bk1/B2P2np/8/4P1p1/N4p2/7P/P1R4K/8 w - -,c2d2
6nr/2qkppbp/p2p2p1/1p4B1/5P2/1NP1Q3/P1P3bP/1K1R3R w - -,h1g1
r2qk2r/1p1n1p2/2p1p3/p1PpPp2/P4P1p/5Q1P/1PP2BPK/R2R4 b - -,d8e7
8/2r1kp2/4p1p1/3pPb1p/1P5P/1P3PP1/N2RK3/8 b - -,f7f6
rn1qkb1r/pp3ppp/2p1pn2/3p4/5P2/1P2P3/PBPPQ1PP/RN2K1NR w KQkq -,g1f3
r1b1rnk1/ppR2pp1/4q2p/8/3QPB2/5N1P/P4PP1/R5K1 w - -,d4c3
3k2r1/5p2/4pp2/1P2n3/8/3p1P2/1P4PP/3RBK2 w - -,e1c3
rnbq1rk1/pp2bppp/2p1p3/3p4/2P1n3/1P3NP1/PBQPPPBP/RN3RK1 b - -,b8d7
r1b1rk2/pppp2pp/8/8/3Pn3/5N2/PP3PPP/RN2R1K1 w - -,b1a3:b1c3
r1bqr1k1/1p1n2b1/2p2npp/p3p3/2P5/1NN3BP/PP2BPP1/R2QR1K1 w - a6,e2d3
3R4/p1r2kpp/bp3p2/8/3P4/1P2PNKP/5PP1/8 w - -,d4d5
8/r4k2/2p1p3/P2pP3/2n1PP2/7p/5RK1/4B3 w - -,g2h3
6k1/1p1rb1p1/p6p/5p2/8/n3P1B1/3N1PPP/3RK3 b - -,e7b4
5k2/1bR2p2/1r6/1p3B2/p3p3/1P2P3/P4KP1/8 w - -,b3b4
