3r3k/5R2/5K2/7P/4B3/8/8/8 b - -,d8d6
1r4rk/p1pPqn1p/p4b2/3Pp3/4Pp2/P1BQ1N2/5PP1/4R1KR b - -,e7d7
8/pkq1Qp1p/4b3/8/B1p1p3/6P1/P4P1P/6K1 w - -,e7b4
r2q1rk1/pb3pbp/1p1P1np1/2p5/P1B5/5N2/1P3PPP/R1BQR1K1 b - -,b7f3
8/1p6/6p1/p2p1k2/1n1P3P/1PK2N2/8/8 b - -,b4c6
5R2/kp4N1/p1p5/3n3p/8/1P2n3/P1P5/6K1 w - -,c2c4
r2r2k1/pb1n1pp1/5q1p/2pP1B2/Pp6/6N1/1PQ2PPP/2KRR3 b - -,d7b6
2b1r1k1/p2n1p1p/2qR2p1/b1p1p1B1/2P5/5N2/P4PPP/3Q1BK1 b - -,c6c7
r2qkbnr/pp1b1ppp/2n5/1Bpp4/8/1P3N2/PBPP1PPP/RN1QK2R w KQkq -,e1g1
r2q1rk1/pp2bpp1/2npbn1p/2p1p3/P3PP2/2NP3P/BPP3P1/R1BQNRK1 w - -,e1f3
8/2b1rpkp/6p1/p4rP1/2NR2K1/1P3RP1/1P6/8 b - -,f5c5:f5b5
8/1Q6/5k1p/5pp1/1p6/1q4P1/6K1/8 w - -,b7b6
8/2B4p/4kPp1/pP2p1P1/P7/1b4P1/7P/6K1 w - -,b5b6
rnb2rk1/p4p1p/3b2pP/2pPN1q1/NpP2P2/8/PB4P1/R2Q1RK1 b - f3,g5h6
6k1/6p1/5p1p/8/2p2P2/4P1P1/3RK2P/2r5 w - -,d2a2
8/1Q6/5pp1/2Q3k1/8/7P/6K1/3qq3 b - -,f6f5
r1r3k1/1Q3p1p/2N1b1p1/8/8/2p1P2P/q4PP1/2R2RK1 b - -,a2b2
r1bnkb1r/pp2pppp/1n6/1B2P3/8/5N2/PP3PPP/RNB1K2R b KQkq -,c8d7
8/1Rr1kp2/B5p1/4b2p/8/p3PKP1/P4P1P/8 w - -,b7b4
2kr1b1r/ppqn1pp1/2p5/3np1p1/3P4/1Q1BPP2/PP1B2PP/2R1KN1R w K -,d3c4
r2q1rk1/1b1nbppp/p3pn2/1pp5/8/1P2NNP1/PBQPPPBP/2R2RK1 b - -,d8b6
8/5k2/3b1p1p/2p5/8/6P1/2R3P1/6K1 b - -,d6g3
8/5k2/1p5R/5p2/6p1/6P1/1r3P2/5K2 b - -,b6b5
8/5pk1/p5p1/1p1p4/1Pr4P/P1P2rK1/8/2R5 w - -,g3f3
5r1k/p4rpp/6n1/3Qp3/1B6/P2pRp1q/5P1P/4K2B b - -,h3h2
8/5n1k/3q1Qp1/p1p1p2p/P3P3/BbN4P/5PP1/6K1 w - -,f6f3
r1b2rk1/p1p3pp/2pp4/8/4P2q/2N4P/PPP2NP1/R1B1Q1K1 b - -,c8h3
r4r2/pp3pkp/4bqp1/3p4/7P/1N3P2/PPPQ2P1/2KR3R w - -,h4h5
8/pp2k3/1n2p3/4K1p1/PP1P1p2/5P2/3B1P2/8 w - -,d2c1
2bqk2r/rp1nbp2/2p1pn1p/p1Pp2p1/P2PP3/BPN2NP1/2Q2PBP/R4RK1 b k e3,g5g4
2k5/2p2Rp1/2p5/2b1p3/p1p1P1pP/P1P3r1/1PN1K3/8 w - -,f7g7
5rk1/pr1b2b1/2p3pp/R2p4/3P1p2/3BP3/P2N1PPP/R5K1 w - -,d3g6
rqb1r1k1/pp2bpp1/4pn2/1N2Q1pP/2P5/1B4N1/PP3PP1/R3R1K1 b - -,a7a6
4qrk1/pp4bp/2n3p1/5p2/2b5/Q3B1P1/PP1rPPBP/R4RK1 w - -,g2c6
r2q1rk1/p2nbpp1/2p1p2p/2Pp4/1PnP1B2/P1N5/Q3BPPP/R4RK1 b - -,e6e5
r2q1rk1/p4ppp/bpn1pb2/3p4/3P4/1PN2NP1/P2QPPBP/R4RK1 b - -,f6e7
8/p4p2/2p1kprb/1p1p1N1p/1P1P1R1P/P1P3P1/5PK1/8 w - -,f5h6
