5k2/2R5/3KB3/p2p3p/P1nP4/8/4r3/8 w - -,d6d5
r1r3k1/5pbp/4b1p1/2P1p3/pp6/1P2BP2/P3NKPP/R1R5 b - -,f7f5
8/pp2n1p1/8/5p2/3k4/6PP/PP1NKP2/8 w - -,d2b3
r7/2p3p1/5k1p/3prP2/P5P1/1P1K4/8/R2B4 b - a3,a8a5
2r3k1/7p/p7/4Np2/2P5/3PpK1r/P7/1R2N3 w - -,f3f4
3n4/2Rrk1p1/pr2pp1p/3b4/P2P4/3B1P2/1P4P1/K1R1B3 w - -,a4a5
r3r1k1/ppp1q1p1/3n1pp1/3Pp3/2P3Q1/1P4P1/PB5P/4RR1K b - -,g6g5
5rk1/4Rp1p/5bp1/3PN3/4P3/8/5PPP/5K2 w - -,e5c6
4r1k1/6p1/1Q2p2p/3pPp2/4nP1q/7P/6PK/5R2 b - -,g8h7
1q1r2k1/5pp1/p3bb1p/3P4/2p5/2B3PP/P1Q2PB1/4R1K1 b - -,f6c3
1k1r3r/pbq2pp1/1p5p/2ppn3/7R/2PBPNP1/PP2QPP1/1K5R w - -,f3e5
r3kbr1/3bpp2/p1pp1p2/q4N1p/1P2P3/2NQ4/P1P2PPP/R4RK1 b q b3,a5c7
3k3r/4pBb1/p1b2np1/1p2p2p/8/2N1BP2/PPP3PP/2K4R b - -,h5h4
r2q1rk1/pbpnbppp/1p2pn2/3pN3/2PP4/2N1P1P1/PP3PBP/R1BQ1RK1 b - -,c7c5
r1b2rk1/pp4pp/2n2p2/3p4/2pP1B2/2P2N2/P1PK1PPP/R6R w - -,h1e1
r5k1/p2rp1bp/2N2np1/1p6/6P1/4BP2/PPb4P/R3R1K1 w - -,e3c5
1r6/R1R1pk1p/3p2p1/1p1p4/1P2r3/4P1P1/P4P1P/6K1 b - -,b8e8
rqr3k1/1p3pb1/n1P4p/p5p1/2QNb3/PP4PP/1B3P2/R2R1BK1 w - -,d1e1
1r1qr1k1/ppp2pbp/3pb1p1/3Nn3/2P5/1P4P1/PB1QPPBP/3R1RK1 b - -,b7b5
8/8/8/4k1p1/1KB5/P7/7P/3b4 w - -,c4b3
r1b2rk1/pp3p2/1q2p1p1/1N1pP1Pp/1n1P3N/4P3/P3BQ1P/5RK1 w - -,h4g6
2r1r1k1/3n3p/b2R1pp1/2n5/P1p1P3/2N1B1PP/1N3P2/5BK1 b - -,e8e6
r2q1rk1/pp3ppp/2np1b2/2pbp3/P3P3/2PPBN2/1P3PPP/R2QR1K1 w - -,e4d5
r4rk1/ppp1q2p/4p1pb/3pPnN1/3P3P/6P1/PPPQN3/1K1R3R b - -,b7b6
r2q1rk1/1pp1bppp/2np1n2/p3p3/P1P1P3/2P2N2/1P3PPP/RNBQR1K1 w - a6,b1d2
2B5/6p1/4pn1p/4k3/7P/5KP1/8/8 b - -,e5d5
4rb2/1RR3p1/3p2kp/4p3/1rP5/1p1KB2P/1P3PP1/8 b - -,e8b8
r2r2k1/4npp1/p4nb1/Pp2N3/1P3PP1/1B2N3/8/R2R2K1 b - -,g6e4
3r1k2/6pp/2p1r3/1p3P2/pP1P3P/2R2KP1/1P6/3R4 b - -,e6f6
r1bq1rk1/ppbn1Bp1/2p4p/8/3NNP2/4P3/PP4PP/2RQ1RK1 b - -,f8f7
r2r2k1/3q1pp1/2pn2b1/p1Q3Pp/PpB1P2P/1N3P2/1P6/2R2K1R b - -,d6c4
8/3K4/3p1kBP/5Pp1/1bP5/8/8/8 b - -,b4c3
r1b1r1k1/ppq2pb1/2p3pp/P3P2n/2B1Np2/5N1P/QPP2PP1/R3R1K1 b - -,g7f8
5k2/3n1ppp/p2p4/3p4/1r6/NP3P2/2P2KPP/R7 w - -,a3b1
r2qnrk1/2p1bppp/p1npb3/1p2p3/4P3/1BPP1N1P/PP3PP1/RNBQR1K1 w - -,b3d5
4r1k1/3r1p2/5Rpp/4q3/8/2Q1P1P1/7P/5RK1 w - -,c3e5
5k2/6p1/4p1K1/1p1p4/1PpP1P1P/2P3P1/5P2/8 b - -,f8g8
r1b1kb1r/ppqp1ppp/2n1pn2/1N6/2B1P3/5N2/PP3PPP/R1BQ1RK1 b kq -,c7b8
8/6pk/P1q5/8/1K4p1/Q7/1P5P/8 b - -,c6e4
2r2rk1/p1q2ppb/1pp1p2p/3nN3/3P4/P1P2Q2/BP1R1PPP/4R1K1 w - -,e1d1
2qr2k1/pp1n1ppp/r2Pp1b1/2P1P3/P2B4/1RR1QN2/6PP/6K1 w - -,b3b4
3r1rk1/pbq1p1b1/1p4p1/n1pP1p2/4PP2/2PBB3/P3N1P1/2RQ1RK1 b - -,f5e4
r1bq1rk1/1p3pbp/2n1pnp1/2pp4/p3P3/P2P1NP1/1PP1QPBP/R1B1RNK1 b - -,b7b5
r4rk1/3n1pp1/p2Q1n1p/8/q6P/B1N2pP1/1R4K1/2R5 w - -,g2f2
3r1rk1/1p2q1p1/8/p2p3p/3p1pP1/PQ1P1P2/1P3P1P/R4RK1 w - h6,h2h3
r4rk1/1p3pbp/p5p1/2Q2b2/3pN3/3q1PP1/PP4BP/R3R2K w - -,e4d6
5k2/5p2/pB4p1/4P3/p5b1/3pK3/1P4P1/8 b - -,g4e2
3R4/p1n1r1p1/3k3p/1p1P4/8/3B3P/5PP1/6K1 b - -,e7d7
5r1k/p1p1p1q1/pb2Q3/3P3p/4N3/P7/1PP3PP/3R3K b - -,h5h4
r4rk1/4q1pp/2p1p1b1/p1NpP3/1Pn3P1/P1P2N1P/4Q3/R4R1K b - -,a5b4
q2rrbk1/3n1ppp/p1n1p3/1pp3P1/2P2P1N/2BPP2P/P2NQ3/3R1RK1 b - -,d7b6
r7/2p1k3/1p4p1/3Pp3/2P4p/1P2K2P/5RP1/8 w - -,e3e4
2r5/5pkp/1p2n1p1/4P3/6N1/R1P5/P5PP/6K1 b - -,c8c5
r7/1R4R1/4p2k/4p1p1/4Np1b/7P/P1P5/2K5 w - -,g7h7
rnbqk2r/pp2ppbp/2p3pn/3pP3/2PP1B2/2N5/PP3PPP/R2QKBNR b KQkq -,d5c4:f7f6
8/5p1k/p4Pp1/3P4/8/1P3QPK/2r2R2/3q4 b - -,d1f3
8/1r4k1/p4p2/P2R2pp/1BN5/1n3P1P/4K1P1/8 b - -,b7b4
3r1k2/3r1ppp/pp1pp3/2q5/PnP1PP2/1PN3P1/3RQ1KP/3R4 w - -,e2f2
6k1/6p1/1R5p/8/1p4P1/5K2/1r3P2/8 w - -,b6b7
2kr1b1r/ppp1pBpp/2n2n2/q4b2/3P4/2N5/PPP1NPPP/R1BQ1RK1 b - -,e7e6
r2r1nk1/b1q1n1pp/1pp1bp2/p3p3/P1N1P3/1N2B1P1/1PP1QPBP/R2R2K1 b - -,d8d1
8/3r3k/p3B1pp/2R3b1/8/8/5P1P/6K1 b - -,d7a7
6k1/5pbp/p1p5/1p1p2p1/3P2N1/PP4P1/4r1BP/3R2K1 w - -,g4e5
4rk2/p3b3/1pp3p1/4Q3/3R4/4P1PB/PP5P/4q1K1 w - -,h3f1
8/p2p3p/2p1pp2/PkP3p1/3P4/4P1P1/4KP1P/8 w - -,e2d3
8/pp3k2/2p1p1pb/2P1Pp2/PP1Pp3/2B1P2r/5KR1/8 w - -,c3d2
r1bq1rk1/ppppbppp/2n2n2/4p3/2P5/P1N3P1/1P1PPPBP/R1BQK1NR w KQ -,b2b4
r2qr3/p4ppk/1p1p1n1p/2pPpP2/2P1Pn1P/2PB1QB1/P4P2/R3K2R w KQ -,g3f4
6b1/8/4P1P1/p4B2/8/Pkp1K3/8/8 b - -,g8e6
8/6k1/6p1/Q1p2p1p/1p3q1P/1P6/P5P1/5K2 w - -,f1g1
r1b3B1/p3r1kp/2p1N1p1/1p6/2Qp4/3P2P1/Pq3P1P/5RK1 b - -,e7e6
r3k2r/1b2qp2/p1n1p1pp/1pbpP3/5P1P/P1NB2Q1/1PP1N1P1/2KR3R w kq -,h4h5
1r3rk1/nppqbppp/p3pn2/8/2PP1P2/4PB2/PB1N2PP/R2Q1RK1 w - -,e3e4
r3kb1r/p2n1p1p/bqp1pp2/8/PpNP4/6P1/1PQ1PPBP/R1B2RK1 b kq -,b6d4
r1bq1rk1/pppn1ppp/3b1n2/6B1/2pP4/3B1N2/PP3PPP/RN1Q1RK1 w - -,d3c4
r3k2r/1bqnbp2/p1n1p1p1/1pp1P2p/3p1P1P/3P1NP1/PPPBQ1B1/R4RNK w kq h6,g1h3
r3k2r/pbq2pbp/1pn1p1p1/2p2nN1/2B2P2/2PP1N2/PP4PP/R1B1QRK1 b kq -,e8g8
rnQb2k1/1p3p1p/pq2pn2/6p1/P4B2/2N2PP1/1P2P1KP/R7 w - g6,a4a5
4bk2/5p2/5p1p/2bp1B2/3N4/2P2P2/3K2PP/8 b - -,c5d6
2R5/2Pr4/8/5p2/4pk2/8/5K2/8 b - -,d7g7
5b2/1r3pk1/p1N3p1/2nB4/6P1/4P3/R3KP2/8 b - -,b7b6
rn1q2k1/1b3nbp/1p2Rpp1/1p1p4/P2P1p1P/BP3N2/2P2PP1/R2Q2K1 w - -,a4b5
6k1/8/3N2R1/2pP4/5K2/6P1/rp1n4/8 b - -,g8h7
r2r2k1/p1p2pbp/4p1p1/2pbP3/2B2P2/8/PPPN2PP/R3R1K1 w - -,c4d3
1r3rk1/1pp1nppp/p5q1/3p2P1/3P4/2PQ1NP1/P1P2PK1/1R3R2 w - -,d3e2
