8/p3R1p1/1p2p3/1P4k1/3PK3/8/r7/8 w - -,e7g7
2r2rk1/pb1qppbp/1pnp1np1/2p5/3P4/P1P1PN1P/1P1NBPPB/R2QR1K1 b - -,f8d8
r1b2rk1/pp2bppp/1qnpp3/2p5/2P1P1n1/2NPBN2/PP2BPPP/1R1Q1RK1 w - -,e3f4
k2r3r/p2q1n2/1pb1p2p/n2pPpp1/PBpP3P/2P2NP1/1QP1KPB1/R6R w - -,b2c1
1r2r1k1/2p5/p6p/1pPnNqp1/3PR3/3Q3P/P4PK1/1R6 w - -,b1b3
4r1k1/ppp3pp/r7/3nN3/3P1P2/2P2P1P/P1RK4/7R b - -,d5f4
8/4bp1k/6p1/2p1p1Bp/2P1P1n1/r1N4P/2R2PPK/8 w - -,h3g4
2r1k2r/1p1nnppp/2pqp3/B4b2/2BP4/P4N2/1PP2PPP/2RQR1K1 b k -,b7b5
rq3rk1/1p1n1pbp/pB4p1/4pb2/1nP5/1NN5/PP2BPPP/R2Q1RK1 w - -,b6a5
r1b1rbk1/1pq2ppp/2pp1n2/p1n5/P1PNP3/2N1B1PP/1PQ2PB1/3R1RK1 w - -,f2f4
rnbqkb1r/p4ppp/3p1n2/1ppP4/4P3/5N2/PPQ2PPP/RNB1KB1R b KQkq e3,a7a6
rnbqkbnr/pp3ppp/4p3/8/1pPp4/5NP1/P2PPPBP/RNBQK2R w KQkq -,a2a3
r2qrbk1/1b2nppp/p2p1n2/2pPp3/1pP1P3/3B1N1P/PP1NQPPB/2R1R1K1 w - -,f3h4
r2nr1k1/pppqppbp/4b1p1/8/3N4/Q2PB1P1/PP2PPBP/2R2RK1 w - -,d4e6
1rb2k2/5ppp/3p4/p1r1pPb1/2p1P3/P1P3P1/N1P1B2P/K2RR3 w - -,d1d6
8/1Q2p3/p1rk1p2/6p1/P3P1P1/2p2P2/2K5/8 b - -,e7e6
r2b1rk1/1b3ppp/p2p4/3N1q2/2pB2n1/P5PP/1P1QPPB1/2RR2K1 b - -,f5e6
2r2rk1/p1q1bpp1/bpnppn1p/8/2P1P2B/P4N2/1PQNBPPP/R2R2K1 w - -,a1c1
