8/6r1/8/8/4k3/R3p1p1/6K1/8 w - -,a3a4
2r1r3/p2bkpp1/1p1bp1n1/2p3Rp/2P1PP1P/3NBP2/PP6/2KB2R1 b - -,e8h8
8/8/8/8/5R2/1P1k2K1/1r6/8 b - -,b2b3
3q1k1b/1r3p1p/4nnpN/2pp4/1p4BQ/7P/1PP3P1/R4RK1 b - -,f6g4
r2qr1k1/1p3pbp/2ppb1p1/7n/2P1P3/1PN1BP2/3Q2PP/1R2RBK1 w - -,c3a4
5k2/5pp1/7p/1pr5/8/P5P1/1P2R1PK/8 b - -,f7f6
3q2k1/5pbp/pp2pnp1/4N3/P1P5/1P4P1/1B2QP1P/6K1 w - -,b3b4
3r3r/1bk2p1p/p2pp3/6b1/PpN1P3/5B2/1PP3PP/2KRR3 w - -,c1b1
r1bqk2r/ppn1ppbp/2p2np1/8/4P3/5NP1/PPPN1PBP/R1BQ1RK1 w kq -,d1e2
1r1b2k1/1q3ppp/2p1p3/p1PnP2P/2Q2PP1/1P6/P1RB1N2/1K6 w - a6,f2e4
7k/7p/6q1/2p5/3b4/5BBP/4Q1K1/8 w - -,h3h4
2r2r2/pp3pkp/bnn3p1/3Np3/4P3/qP2QNPP/P1R2PB1/3R2K1 b - -,f8d8
r5k1/3qbppp/3p4/1r1R2P1/pp2Pp1P/5P2/PPPQ4/1KN4R b - -,a8c8
r4rk1/2pq1pp1/p2b1nnp/1p1Pp3/1P2P3/1QN2NPb/P2B1P1P/1R2RBK1 w - -,g1h1
r4rk1/pp3p1p/6p1/2pp1b2/6Q1/2P1P3/PPNP2B1/R1B3K1 b - -,f5g4
2n1rrk1/1N2q1pp/p1Qp4/5b2/8/5N2/PPP2PPP/3R1RK1 w - -,b7d6
r1b2rk1/ppp2ppp/3p1q2/2n1n3/3N4/P7/BPP2PPP/R1BQ1RK1 w - -,b2b4
r4rk1/1pq1npb1/p1bp3p/4p1p1/PQB1P3/2P2PB1/1P2N1PP/R2R2K1 b - -,a8d8
1q3rk1/r5pp/3p1b2/pbnN4/4pP2/1P2B3/P2QB1PP/3R1RK1 w - -,d5f6
8/5rk1/7p/1p2Q1pP/1P2P3/2p3P1/3q1PK1/8 b - -,g7h7
k3r3/1p3p2/p2Pp2p/5q2/2PQ1P2/P2R2P1/1P6/K7 b - -,e8d8
r1bqkb1r/ppp2ppp/5n2/3Pp3/1np5/2N2NP1/PP2PP1P/R1BQKB1R w KQkq -,f1g2
r1b1kb1r/4nppp/p1p1p3/4P3/2B5/8/PP3PPP/RNBq1RK1 w kq -,f1d1
1r1q1rk1/3nbppp/b3p3/2ppP1B1/p2n2NP/P2P1NP1/2P2PB1/R2QR1K1 w - -,f3d4
5r1k/B3r1bp/1p3qp1/1N1P1n2/B3npQ1/7P/PP4P1/4RRK1 w - -,f1f4
rnbq1rk1/1p2bppp/p2ppn2/8/2PNP3/2N1B3/PP2BPPP/R2Q1RK1 b - -,b8c6:d8c7:b8d7
8/1R2kppp/2p5/p7/q5P1/7P/1P2B3/5K2 b - -,e7f6
2r5/p1r2k1p/1p1R1bp1/1B6/2P5/1P6/P3K1PP/3R4 b - -,c7e7
