1R6/8/3p4/P2P1npk/1P1r3r/2R5/6KN/8 b - -,d4d2
r1bqk1nr/1p2ppbp/p1np2p1/8/2P1P3/4QN2/PP2BPPP/RNB1K2R w KQkq -,e1g1
2r2k1r/1p3p2/2b1pNp1/q3P2p/p1pP1P1Q/PnN5/1P4PP/3R1R1K b - -,f8g7
3r2k1/1b1nbppp/1pp1p2q/r3P3/P1BPN3/1Q2RN1P/1P3PP1/3R2K1 w - -,e4d6
2k1r3/p1p3pp/2pp4/N3n3/4P3/4Q3/PPP3PK/5R2 b - -,e5g4
5rk1/pp3ppp/1np1b3/6B1/2P5/1P4P1/P4PBP/3rR1K1 w - -,e1d1
3rr1k1/1p3p2/p1np1n1p/3p1Bp1/3P3B/4PP2/PP3P1P/R5RK w - g6,f3f4
2r1r1k1/p2q1pb1/8/2ppP2p/3n1B2/1P1Q1P1P/P5B1/3RR1K1 b - -,e8d8
r2q1rk1/pp2bppp/2p1pn2/3pP1B1/3P4/2NPP3/PP4PP/2RQ1RK1 b - -,f6d7
rnbqkbnr/pp3pp1/7p/2Pp4/8/6P1/PPPN1P1P/R1BQKBNR b KQkq -,f8c5
4r3/5pk1/1p2p1pp/p1rnN3/P1N5/1P4P1/n1P1RP1P/4R1K1 b - -,a2c3
8/6p1/p4pk1/8/1n4P1/R1N5/5r1K/8 w - -,h2g3
1q4k1/3npp2/b2p2p1/2pP3p/r1P1PP2/2Q3PP/3N4/3R1BK1 w - -,d1b1
rq2r1k1/p2b1pBn/3p2p1/1ppPn2p/4PQ1P/2N2P2/PP2BNP1/R3K2R b KQ -,g8g7
5q1k/p2b1r2/2pbp1rp/2pp1pB1/5P1Q/3P1RN1/PPP3PP/4R1K1 w - -,h4h5
r1bqk2r/pp1pppbp/2n2np1/1Bp1P3/8/2N2N1P/PPPP1PP1/R1BQK2R b KQkq -,f6g8
r1bqr1k1/1p1n1pbp/2p3p1/p2p4/3P4/2NNP3/PP2BPPP/R2Q1RK1 w - -,c3a4
3q2k1/1bp2pp1/1p5p/p3p3/PbPNP3/1N2Q1P1/1P2BP1P/6K1 b - -,e5d4
2r1r1k1/pp2npbp/4p1p1/3qN3/3P4/B1Q2PP1/4P1KP/R2R4 w - -,c3b2
7k/p2q2p1/1p4Qp/3p4/5P2/1P6/P2N3K/8 w - -,d2f3
r4bk1/2r2pp1/pq1n3p/3pP3/2p5/2P2QBP/P4PP1/R3R1K1 w - -,e5d6
4k2r/3n1ppp/r1n5/p1qpPp2/1p6/5N2/PPPQ1NPP/R4R1K w k -,d2d3
r2qr1k1/pb2bppn/1p4np/3p1Q2/3P4/P1N3B1/1PB2PPP/R3R1K1 b - -,a8c8
1r1qr1k1/QP3p1p/6p1/8/8/N1n3P1/5PBP/5RK1 w - -,a3c4
3r2k1/1pq2pp1/p5r1/2p1P3/4Q3/2P2R1P/PP6/5R1K b - -,d8d7
2rq1rk1/1b1pnp1p/p3p1p1/1pb5/3pPP2/1B1P2N1/PPP1Q1PP/R1B2RK1 b - -,f7f5
6k1/4b3/4p3/2p1Pp2/2Nn1Ppp/5rP1/1N4KP/R7 w - -,a1a8
6rk/p2bp1r1/2pp1q1p/5P2/1PP1Q3/P3B3/6PP/4RRK1 w - -,e3d4
3r4/1p2k1p1/p1n1p3/1P1pP1KB/P2P4/8/8/2R5 b - -,a6b5
8/8/5R1k/8/6PK/8/2r5/8 b - -,h6g7
