8/2n2p1k/3p4/8/1PP1K3/8/8/8 b - -,h7g6
8/3k4/1P1p2pp/1r2pp2/5P2/7P/6P1/3R1K2 b - -,d7e6
1qr3k1/4b1p1/RPr1p3/2Pp1p1p/3P2n1/1N1BP1P1/2Q2PP1/6K1 w - -,b3a5
5k2/5R2/2r3pp/5p2/1p3P2/1Bn4P/P5PK/8 b - -,f8e8
1k1rr3/ppnb3p/4p1p1/3p4/5P2/5NP1/PPP1R1BP/2KR4 w - -,d1e1
8/p3rp1k/6p1/2P4p/4RP2/3QP1P1/P3RK1q/8 w - -,f2f3
8/8/1p4p1/6b1/2kNp2p/7P/4K3/8 w - -,d4c6
2kr3r/1pq2pb1/p3p1p1/3p3p/5P2/1B3QP1/PPP3PR/2K4R b - -,c7c5
4r1k1/1p3ppp/pbq1rn2/2p5/2R1P3/1P3PP1/PB3Q1P/3R1NK1 w - -,b2a3
5rk1/p7/3p3p/2p1b3/4bNpP/2P1B3/r4PP1/2R1K2R w - -,f4h5
r2q1rk1/1p3ppb/p1pb1n2/4N1p1/Pn1P4/1BN4P/1P3P2/R1BQR1K1 w - -,c1g5
8/p6p/8/1P1k4/1P3p2/8/P4KP1/8 w - -,f2f3
3rrb2/Bpk2ppp/1Np2n2/8/5Pb1/2P3P1/PP3RBP/R5K1 w - -,b6c4
r4rk1/p2nbppp/2p1p3/2Pp1b2/N2PnB2/5N1P/1P2PPP1/R3KB1R b KQ -,f7f6
r2k3r/pp2ppb1/2np2pp/1B1bn3/4NB2/8/P1P2PPP/3R1RK1 w - -,d1d5
3rr1k1/1pqnppbp/p2p2p1/PnpP4/N1N1PB2/2P5/1P2QPPP/3R1RK1 w - -,f1e1
3r3r/pp2npk1/1q2bN1p/3pPp2/6pP/2PR1N2/PP1Q1PP1/5RK1 w - -,f3d4
8/8/2k4p/P4pp1/8/2B3K1/7P/8 w - -,c3g7
8/2q3pk/P3Q3/2p5/3p4/1P2p2P/2P3PK/8 w - -,g2g3
4rk2/2p2pp1/1p1p1n1p/1Pq1r3/Q1P1P2P/4RnN1/5PP1/1R5K w - -,g2f3
2rqr1k1/pp2ppbp/3pb1p1/nB6/4PPnB/1NN5/PPP3PP/R2QR2K b - -,g7f6
rn3rk1/p1q2p1p/3ppp2/2p5/2P1N3/2P3P1/P3PPKP/1R1Q1R2 b - -,c7c6
rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/5NP1/PPP2P1P/RNBQKB1R b KQkq -,c7c6
r1br2k1/pp3pb1/6qp/RP4p1/N2pPn2/3P1P2/1B1Q2PP/2R1N1K1 w - -,b5b6
r3r1k1/pp3pp1/2qn1n1p/4p3/8/2P2NP1/P1Q1PPKP/2BR1R2 w - -,g2g1
1n2k2r/p4ppp/1q1bpnb1/1p6/3P1P2/2N2QN1/PPP3PP/R1B2RK1 b k -,e8g8
r2qn1k1/1b1p1ppp/1p1Pr3/1pp2N2/4PQP1/2P5/PP4BP/R4RK1 b - -,f7f6
4qrk1/2n1p1b1/3p3p/2pP2p1/1rN1P3/8/1P2Q1P1/2BRR2K w - -,e1f1
8/p7/2pk3p/6p1/p3B3/b1P4P/2K3P1/8 w - -,c2b1
2r3k1/5pbp/bq1p1np1/p1pPr3/1p2P3/1P1BBP2/P2QN1PP/2R2R1K w - -,e2f4
1rb2k1q/4rp2/pp1p1bp1/3P3P/PPP1pP1Q/R3B2P/R3B2K/8 w - -,h4g3
5bk1/p3q2p/1p2p1p1/2p5/3PQ3/BPP5/P5PP/6K1 b - -,e7f6
rnbqkb1r/pp1p1ppp/4pn2/8/2P1P3/Pp3N2/3P1PPP/RNBQKB1R w KQkq -,b1c3
5rk1/8/p2R4/8/6p1/1N1B2P1/Pb3PK1/3n4 w - -,d3c4
r2Bn1k1/nrP2pbp/2Qp2p1/1Np5/P7/5N1P/1P3PP1/R2R2K1 b - -,a7c6
3k4/3n4/5p2/6p1/1r1PQ3/7P/5KP1/8 b - -,d7b6
8/8/8/1k6/p7/4K3/1Bp5/1bRr4 w - -,e3e2
4R3/1p3pkp/pB3bp1/8/1P3P2/P3P1PK/r6P/8 w - -,b6c5
rnb1k2r/pp2p2p/3p1np1/q1pP1p2/2P5/2P3PN/P1Q1PPBP/R1B1K2R b KQkq -,b8d7
5r2/p3q1k1/1p1p1pp1/3Pp3/4P1QP/1P3R2/P1r3P1/5RK1 b - h3,c2a2
8/2r2kpp/R3bp2/1pp5/4q3/5N2/PPPQ2PP/2K5 w - -,b2b3
6k1/5p1p/6p1/2p5/8/1P6/R3rPPP/5RK1 b - -,e2a2
