6k1/5p2/5Bp1/7p/5b2/8/PP2KPb1/8 b - -,g2d5
5b2/4pk2/2R2pp1/1r6/3P2P1/4PPB1/8/6K1 b - -,b5b3
7r/p1k1bp1p/4p1p1/n1p1P1P1/2P2P2/2PB3P/P1KB4/6R1 b - -,a5c6
r1b1rbk1/1ppnq1pp/pn6/5pP1/1P1Qp3/PNN1P2P/1BP2PB1/2KR3R w - f6,g5f6
r1bqr1k1/pp3pbp/3p1np1/2pP4/5B2/P4NPP/1P2PPB1/2RQR1K1 b - -,c8f5
2kb4/pp5R/2n5/8/1PK5/P1P5/4N3/3r4 b - b3,d1d2
6r1/8/1p3p1p/pPk1p2P/P1PrB1P1/3P1K2/1R6/8 b - -,g8g7
2Rr4/p3kp2/1p1rp1p1/7p/P1R4P/2KP2P1/4PP2/8 w - -,c8c7
r2qk1r1/pQ6/1pn1pP1p/3p4/3P4/PN6/1P5P/2R2R1K b - -,e8f8
rnbqkbnr/1ppppppp/p7/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq d3,g7g6:b7b5:c7c5:d7d5
8/4r1p1/P1Q2n2/2p1kB2/2Pb4/4r1P1/7P/5R1K b - -,e3a3
8/6r1/R3pk1p/1B2p2K/3pPbPP/3P4/8/8 w - -,b5c4
8/Q4pkR/3p1q2/3P4/1p1b4/6PB/1r3PK1/7R b - -,g7h7
rnbqkb1r/pp1ppppp/5n2/8/4P3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,b8c6
rn1q1rk1/pb2bppp/2p1pn2/1p2N3/3PPB2/1P4P1/2Q2PBP/RN1R2K1 b - -,d8c8
r2qk2r/1ppn1ppp/5nb1/2b1p3/p3P1P1/P4N1P/1PPNQPB1/R1B2RK1 w kq -,g1h1
8/4bb2/n1k2p2/pp2pPp1/2p1P1P1/2P1BK2/1PN5/5B2 b - -,a6c5
q4rk1/pbr1ppbp/1p3np1/n3B3/P1p1P3/2P2N1P/1PB1QPP1/R4RK1 w - -,e5c7
1k6/1p6/p2Q4/2pPr1p1/2P1r3/2P5/P5P1/6K1 b - -,b8c8
8/p4p2/1b4k1/2p4p/P1K5/5R2/6P1/8 b - a3,f7f5
rn1qk2r/1b2bppp/pp1ppn2/8/2PN4/1PNBP3/PB3PPP/R2Q1RK1 b kq -,b8d7
8/b7/4B3/7R/1k5P/3P4/4K3/7r b - -,h1h2
5r2/5r1k/4Q1p1/7p/8/8/6K1/8 b - -,f7f2
r3r1k1/pp1n1p1p/6p1/3N4/3Q4/1P3P2/P3q1PP/3R1RK1 b - -,e2e5
7R/8/3b4/1k6/1p6/1K6/P7/8 b - -,b5c6
5k2/7p/2p3p1/2bp1p2/5Pn1/1P1B2P1/P1P1Q2P/q5BK w - -,e2f1
r5k1/p1p2ppp/2pq4/3n4/4Q3/1P6/P1R2PPP/5BK1 b - -,a7a5
8/5k2/5ppp/p1r5/1p6/7P/1N3PP1/R5K1 b - -,f7e6
r4r1k/pppbq2p/n2p1b2/2nP1PB1/2P1p2N/2N4P/PP1QBP2/1R2K1R1 w - -,g5f6
3rk2r/1pq1bp2/2n1p2p/2Pn2p1/p1N3Q1/P1P2N1P/1P3PP1/1RB1R1K1 b k -,e7c5
r1bq1rk1/1ppn1pbp/2np2p1/p7/2P1P3/2N1B1P1/PP2NPBP/R2Q1RK1 b - -,d7c5
3r1rk1/pbq1bppp/1pn1pn2/2pp4/2P5/1PNPPNP1/PB2QPBP/R2R2K1 b - -,d5c4:c7b8
3r1r2/1pk3pp/p1pp4/4n3/3NP1b1/1P4N1/P1PR2PP/R5K1 b - -,g7g6
r1bq1rk1/pp1n1ppp/4pn2/2pp4/1bPP4/P1NBPN2/1P3PPP/R1BQ1RK1 b - -,b4c3
8/p3N2k/1p3Q1p/1P1p4/P2P1bP1/6qP/4K3/8 w - -,f6f7
8/8/4p3/k4r2/2KB4/8/8/1R6 b - -,a5a6
rn1qkbnr/pp2ppp1/2p4p/3pPb2/3P4/2NB4/PPP2PPP/R1BQK1NR b KQkq -,f5d3
2rq1rk1/p3ppbp/1pn3p1/8/3PP3/4BN1P/P3QPP1/R4RK1 w - -,a1d1
r1q2rk1/pp3pp1/5n1p/3Pp3/1P6/P2PB1P1/5PKP/R2Q1R2 w - -,d1f3
r2q2rk/ppnnb2p/3p1p1P/2pPpPp1/2P1P1R1/2NBBP2/PPKQ4/7R w - -,h1g1
8/8/3k4/1p1n2p1/1P3pP1/1NbPpK2/4P3/4B3 w - -,e1c3
4nbk1/1p5p/2rpb1p1/8/6P1/3R1P2/PBPN4/1K5R w - -,d2e4
rn2kb1r/p3pppp/2p2n2/8/P2P4/1pq1PN2/3N1PPP/RQB1K2R w KQkq -,e1g1
8/3q2p1/7p/1p1k1p2/p2Qp2P/P1P3P1/1P3P2/6K1 b - -,d5c6
r5k1/1p1qnppp/2r1bn2/p2p4/P2Pp3/BP2N1P1/3QPPBP/R1R3K1 w - -,f2f3
5rk1/pbpq2n1/1p1p1rBp/4b1pP/8/2P2P2/PPQ3P1/R1B1RNK1 w - -,c1e3
2br1rk1/pp2ppb1/2n3pp/2N5/1q1P2P1/PB2B2P/1P2QP2/3R1K1R b - -,b4b6
r2q2k1/ppp2rb1/3p4/3Qn1Np/6p1/4B3/PPP2P2/2KR3R b - -,c7c6
8/8/8/2N2k2/3K4/8/r7/8 w - -,c5d3
3r1rk1/p2q1ppp/1n2p3/1p3n2/2pP1P2/P3B1P1/1P2QPBP/2RR2K1 b - -,b6d5
2b2r2/k1b4p/p1p3p1/2P1p3/1P2N3/2K3PP/5P2/4RB2 b - -,a6a5
5k2/r3b1p1/1q2P1Q1/p7/5P2/2p2KPP/1r6/R3R3 b - -,e7f6
8/B4kb1/3p4/3P1np1/4p1N1/7P/6PK/8 w - -,g2g3
8/5R2/KB3P2/6Pk/r7/1p6/8/1r6 w - -,a6b7
rnb2rk1/pp2qppp/2p2n2/3p4/3P4/2NBPN2/PPQ2PPP/R3K2R b KQ -,b8d7
r5k1/5pb1/p2p3p/P1nP1p2/2B5/4rN2/5PPP/4R1K1 w - -,e1e3
1rb2rk1/2p1npbp/4p1p1/2N1P3/1p6/5NPP/PP3PB1/2RR2K1 b - -,b8a8
8/p4p1p/4k3/5p2/p2P1K2/4N1PP/1P3P2/1b6 w - -,h3h4
r1r3k1/4bppp/4q3/8/p7/P2Q2P1/3B1P1P/1R1R2K1 b - -,c8d8
8/p7/1q1Q2p1/7p/1r4nk/1B6/PP1R2P1/2R4K b - -,b6d6
r2r4/pp2npk1/1b3q1p/3p2p1/NPpP4/P1NbP1P1/5PBP/2RQR1K1 b - -,d8d7
r1b1r1k1/1pqnppbp/p2p1np1/P7/4P3/1NN1B3/1PP1BPPP/R2Q1R1K b - -,b7b5
q3r1k1/3bbpp1/p1p2n2/2Pp3p/1P3B2/P4P2/3QB1PP/2R1R1K1 w - -,e2d3
1n1qnrk1/1pNb2p1/p2p4/P1PPpp2/1PB5/1NR2Pp1/2Q4P/3R2K1 b - -,g3h2
8/2r4k/7p/1Rp5/4P3/1P3P2/2P4P/6K1 b - -,c5c4
r1b1rbk1/1pq5/2n1np2/p1p1p1pp/2PpP3/PP1P1PPN/2Q3BP/2B1RRNK w - h6,h3f2
2k4r/p1p3bp/b5p1/4rp2/2PR4/1PB5/P3B1PP/4K2R w K -,d4d3
2b3k1/2b2pp1/p3p1p1/1p1nN3/1P1B1P2/P2BP3/6PP/6K1 b - f3,g6g5
2r2rk1/ppp1ppbp/3q2p1/3P4/4P3/4PP2/PP2N2P/2QR1RK1 w - -,e2d4
3r1bk1/5pp1/p7/1pp2N2/4PN2/1bP2P1P/1P1K4/7R w - -,d2e3
r2qk2r/4bpp1/pp1pbn1p/4p3/P1B1P3/1NN5/1PP2PPP/R2QK2R w KQkq -,d1d3
