8/8/1R6/p7/1p3k2/5p2/r7/4B1K1 w - -,b6b8
4n1k1/4bp1p/6p1/1p2P3/7P/5PPB/4N1K1/8 w - -,e2d4
r4rk1/5pbp/1q1p2p1/p1nPp1P1/2p2PB1/2NbP2P/PP4Q1/R1B1R1K1 b - -,e5f4
8/p1p5/1pb4p/2p2pk1/P1P5/1P4P1/2P2KN1/8 w - -,g2f4
2r2bk1/5p2/7p/4B1p1/3P4/2n2N1P/5PPK/2R5 b - -,f8b4
r6r/ppq2pk1/4pbpp/2Pn4/QP6/5N2/P1RB1PPP/5RK1 b - -,a7a6
r3qrk1/5pb1/pp1p1np1/2pP3p/4PP1P/5BN1/PP1Q2P1/R3K2R b KQ -,a8a7
2r5/5pkp/1n1p2p1/6P1/1Pb1N3/6P1/3N1PB1/4R1K1 b - -,c4d5
3q1r1k/1r5p/3p2b1/p2N4/2Q1p2R/2P5/8/3NK2R b - -,d8g5
r2q1rk1/1p2bppp/2npbn2/p3p3/4P3/1NN2B1P/PPP2PP1/R1BQ1RK1 w - a6,a2a4
3r4/1q3pkp/5bp1/8/1r1p4/1P1R3P/2QN1PP1/2R4K b - -,d8e8
r2qkb1r/1p1npppp/p4n2/3pNb2/3P4/1QN1P3/PP3PPP/R1B1KB1R b KQkq -,e7e6
r4bk1/1q4p1/np2Q2p/1Npp4/3P1B2/7P/PP6/R5K1 b - -,b7f7
r1bq1rk1/2ppnppp/1pp5/8/2B1P3/N1P5/PP3PPP/R2Q1RK1 b - -,d7d5
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq -,a7a6:e8g8:d7d6:h7h6
r3k2r/pp1bbppp/2p1p3/3n4/2NP4/1P2P3/1P1B1PPP/R3KB1R w KQkq -,f1e2
2r1k2r/1bq1bpp1/p3pn2/1pn1P1B1/3N4/P1N5/1PP1Q2P/2KR1BR1 b k -,f6e4
r3r3/2qn1Qbk/pp3Np1/2pPn2p/2P4P/8/PPBB4/2K1R2R b - -,h7h8
rn1q1rk1/pb3pp1/1pp2b1p/3p4/3P4/1QNBPN2/PP3PPP/3RK2R b K -,b8a6
3q4/2n3bk/6p1/2Np4/P3P3/6P1/Q4PK1/7R b - -,g7h6
5k2/7R/6p1/6r1/P1rB1n2/8/7P/4R2K w - -,h7d7
r2r2k1/p2q1pbp/bp2p1p1/1N1pP3/P2PnP2/4B1P1/1P4BP/R2QR2K w - -,g2f1
r2b3k/1b6/p5p1/2pp2n1/4p3/N1P5/PP2N3/1BK3R1 w - -,e2f4
2rq1rk1/p2bpp1p/1p4p1/n2B4/3QP3/2P2P2/P3N1PP/1R3RK1 w - -,f1d1
2qr1b1k/1p4pp/p1n5/P1N2Q2/4P3/3P3P/1BP3P1/5RK1 b - -,f8c5
4r1k1/6pp/p1b2p2/2p1B3/P1R1P3/5PPB/7P/6K1 b - -,e8e5
1r3rk1/pb2qp1p/1p4p1/2p1p3/1PP1P3/P1QP2P1/6BP/1R3R1K w - -,b4c5
8/2p2kbp/3p2p1/3P1p2/p1B5/P6P/1r3PP1/1R4K1 w - -,b1b2
2r3r1/5p1k/p1b1pPpp/1pR5/2pB1PPP/2P5/PP3R2/6K1 w - -,c5e5
q4rk1/rb1nbpp1/p3pn1p/2p5/4PB2/2N2NP1/PPQ2PBP/R2R2K1 w - -,f3d2
r4rk1/ppp2ppp/8/3P1nN1/4p3/2P1P3/PP4PP/2KRR3 b - -,f8e8
r3r3/P1k4p/R5p1/2P5/4pp2/8/4KPPP/2R5 w - -,g2g3
r1b1kbnr/p4ppp/2p5/4p3/8/8/PPP2PPP/R1BNKB1R w KQkq e6,f1d3
1rb1nrk1/2q3bp/1p3n2/2pPp1p1/2P1Pp2/1N1B1P1P/2Q1N1P1/R3BRK1 w - -,e1f2
r1bqr1k1/pp1nbppp/2p5/6B1/3PN3/4PN2/PPQ2PPP/R4RK1 b - -,e7g5
3r2k1/pb1rq2p/1p2n1p1/3pP3/1p4R1/1Q2P3/P4PBP/B2R2K1 b - -,a7a5
2R5/4p1bk/3p2pp/3P4/4q3/6P1/5PKP/2Q5 w - -,g2g1
r1b1k3/pp1n1p1p/4pnr1/8/2Ppp3/P1B5/2P2PPP/R3KBNR w KQq -,c3d4
2k5/2p4p/8/2P5/3Q4/7P/2q2PPK/8 b - -,c8b8
2r3k1/4R1b1/pp4pp/2p5/8/1P2p2P/P5PK/2R5 w - -,e7e3
5rk1/p3p1bp/2r1P1p1/2p2p2/5P2/3PB2P/P5P1/1R3RK1 w - -,f1c1
3n4/2K3k1/p4r2/8/P1R5/8/8/8 b - -,d8e6
5rk1/3qbpp1/p1rNp2p/1p2P3/8/8/PP1Q1PPP/2RR2K1 w - -,c1c6
r5rk/3q1p2/p3n2p/1p6/1Q5P/2N3Rb/PPP2P1P/3R2K1 b - -,d7c6
8/3r4/1R1Ppk2/5p2/r5p1/6P1/4PPK1/7R b - -,a4d4
rn3rk1/pbp1qpb1/1p1pp1pp/8/3PP3/2PB1N2/PP1NQPPP/R3R1K1 w - -,e4e5
6k1/6p1/p2K2B1/3p2PP/1P1Pb3/P7/8/8 w - -,d6e5
r1bq1rk1/ppn1ppbp/3p1np1/2pP4/P3P3/2N5/1PPNBPPP/R1BQ1RK1 b - a3,e7e6
r1b3k1/pp2bppp/n3p3/4P3/4B3/2N2N2/PP3PPP/3R2K1 w - -,f3d2
4r1k1/3n1pp1/5n1p/3p4/Q2N1B2/bP2P3/P2q1PPP/5RK1 b - -,a3c5
r4rk1/pp4pp/1b3n2/3Pp3/6R1/2N1P3/PP3P1P/R1B1K3 w Q -,g4g5
r1b1kbnr/1pqp1p1p/p3p1p1/8/2PpP3/1P4P1/P2PNPBP/R1BQK2R b KQkq -,e6e5
1nrqr1k1/4bpp1/p2p3p/1p1RpP2/4P2P/1NP1Q1P1/PP6/1K3B1R w - -,f1e2
r6k/pppq2p1/3b1r1p/3Q4/5P2/2P4P/PP4P1/RN3R1K b - -,c7c6
6k1/1p3p1p/2n1rppB/p1P5/1P6/P6P/5PP1/3R2K1 b - -,a5b4
8/2r2k2/5pp1/2B4p/p3P2P/Pb2KP2/6P1/2R5 b - -,f7e6
rq2k2r/pp1n1pp1/2pbpnp1/3p4/2PP4/2NBP3/PP1B1PPP/2RQK2R w Kkq -,d1f3
8/1k6/1P3Kp1/1P3p1b/7P/4B1P1/8/8 b - -,b7c8
1q6/6kp/5pp1/N2P3r/1p2P3/1PR2P1b/P4Q1P/2R4K b - -,b4c3
r4rk1/2qp1pbp/ppb1pnp1/8/2P5/1PN1PB2/PB3PPP/R2Q1RK1 w - -,b2a3
3qr3/pp1bppk1/3p1np1/7p/2rNP2P/2N2P2/PPPQ2P1/1K1R3R w - -,g2g4
8/5p2/3b2p1/1k1p1p1p/3P1P1P/1K3P2/1P1B4/8 b - -,d6e7:d6c7
r1bq1rk1/pp2ppbp/1n1p1np1/8/4P3/1BN2N2/PPP2PPP/R1BQR1K1 b - -,c8g4
5rk1/ppr1p1bp/2B1bpp1/2p4n/2P5/1PN3P1/P2NPP1P/R4RK1 w - -,c6d5
rnb1r1k1/1pq1bppp/p2ppn2/8/3NPPP1/2N1B3/PPP1B2P/R2Q1RK1 w - -,g4g5
4bb2/5k2/1p3p2/p1pPpP2/P1P1B1Pr/1P4R1/3B2KP/8 w - -,d2e3
r3nk2/3n1ppp/p1Nb4/1p1P2B1/1PpPN3/P5P1/5P1P/R5K1 b - -,f7f6
2brk3/p3pp2/2p5/6N1/8/2b2PP1/P3R3/2K2B2 w - -,e2c2
8/8/p7/4Q3/2p5/1k6/r2r3P/5K2 w - -,e5e3
r3r1k1/pp3pp1/2p4p/3n4/3R4/P3PBB1/1Pb2PPP/5RK1 b - -,d5f6
4kb1r/1p1q1ppp/p3p3/3pPn2/N2P4/Pn3P2/1P1BBP1P/2Q1K2R w Kk -,c1c3
8/8/2N1k3/1nPn3p/8/5p1P/3B1P1K/8 b - -,d5f6
r4rk1/1p1qbppp/p4n2/3pBp2/3P4/2PB4/PP4PP/R2Q1RK1 w - -,d3f5
4rrk1/pp4p1/2p4p/3pN1n1/3P2P1/1PP1RP1P/P7/R5K1 w - -,g1g2
2r3k1/1p1r1p1p/pBn1bbp1/2N5/5PP1/2PBQ2P/PKP5/8 b - -,d7e7
4rrk1/pb1nq1pp/3b4/2pp1p2/4n3/1P1BPNN1/PB2QPPP/2R2RK1 w - -,d3a6
1r3rk1/R5b1/2p5/2PPp2p/3P1p1n/5P1b/P1QNNK2/2BR3q b - -,h1h2
r1b2rk1/p2pn1bp/1qp3p1/5pB1/4P3/1NN5/PP3PPP/R2QR1K1 b - -,g7f6
1r4k1/4pp2/3Rb1p1/p6p/1q2B3/1P4P1/P3QP1P/2R3K1 b - -,b4d6
r7/8/PB6/8/2B1pP1p/1P2k1p1/6K1/8 b - -,e3f4
2rqr1k1/pb2bppp/1p2pn2/3pn3/3P1B2/2PB3P/PP1N1PP1/2RQR1K1 w - -,d4e5
8/7k/b1Nr4/3pN2p/P2PpP2/4P3/2R5/4b1K1 w - -,c6e7
2R5/5pk1/2P3p1/6Pp/8/4pPP1/2r5/4K3 b - -,e3e2
3br3/1p5k/p1b1r2p/P1p1p1p1/2N1Pp2/2BP1P2/1RP3PP/1R4K1 w - -,g1f2
